@English@|@Georgian@
@biceps@|@ბიცეფსი@
@bicker@|@კინკლაობა, რაკრაკი@
@bickers@|@კინკლაობს, რაკრაკებს@
@bicycle@|@ველოსიპედი, ველოსიპედით სიარული@
@bicycles@|@ველოსიპედები, ველოსიპედის დადის@
@bid@|@ფასის დადება, ფასის წამოყენება@
@biddable@|@დამჯერი@
@bidder@|@აუქციონის მონაწილე, მიმპატიჟებელი@
@bidders@|@აუქციონის მონაწილეები, მიმპატიჟებლები@
@bidding@|@ბრძანება, მიწვევა, ფასის შეთავაზება@
@bide@|@ლოდინი, სადმე დარჩენა, ცხოვრება@
@bidet@|@ბიდე, პონი@
@bidets@|@ბიდეები, პონები@
@biennial@|@ორ წელიწადში ერთხელ რომ ხდება, ორი წლის განმავლობაში მიმდინარე, ორწლიანი მცენარე, რაც ორ წელიწადში ერთხელ ხდება@
@biennials@|@ორწლიანი მცენარეები@
@bier@|@კუბო, სარეცელი, რომელზეც ცხედარი ან კუბოა დასვენებული@
@biers@|@კუბოები, სარეცლები, რომლებზეც ცხედრები ან კუბოებია დასვენებული@
@biff@|@დარტყმა, დარტყმა@
@biffed@|@დარტყმული@
@biffs@|@დარტყმები, ურტყამს@
@bifocal@|@ბიფოკალური@
@bifocals@|@ორფოკუსიანი სათვალე@
@bifurcate@|@გაორება, ორად განშტოებული, გაყოფილი@
@bifurcated@|@გაორებული@
@bifurcates@|@ორდება@
@bifurcation@|@გაორება@
@bifurcations@|@გაორებები@
@big@|@დიდი@
@bigamist@|@ორქმრიანი, ორცოლიანი@
@bigamists@|@ორქმრიანები, ორცოლიანები@
@bigamous@|@ბიგამიური@
@bigamy@|@ბიგამია@
@bigger@|@უფრო დიდი@
@biggest@|@ყველაზე დიდი@
@bight@|@სხეულის ამა თუ იმ ნაწილის მოყვანილობა, ყურე@
@bights@|@სხეულის ამა თუ იმ ნაწილთა მოყვანილობა, ყურეები@
@bigot@|@ფანატიკოსი@
@bigoted@|@ფანატიკური@
@bigotry@|@ფანატიზმი@
@bigots@|@ფანატიკოსები@
@bigwig@|@დიდი ვინმე, ბობოლა@
@bigwigs@|@ბობოლები@
@bijou@|@პატარა და ნატიფი, ძვირფასი ნივთი@
@bike@|@კრაზანის ან ფუტკრის ბუდე, ხალხის ჯგრო@
@bikini@|@ბიკინი@
