@Italian (Theology)@|@English@
@riferire@|@(isc verb)- to report, to inform, to tell, to relate, to attribute, to ascribe@
@riferirsi@|@(isc verb)- to refer, to make reference (alludere), to refer, to be related to, to apply to (riguardare)@
@rifiuto@|@(m- il)- refusal, rejection, (pl.)- garbage, waste@
@rifondere@|@to remelt, to recast, to rewrite, to refund, to pay back, to repay@
@rifuggire@|@to flee, to escape, to escape again, to shun, to avoid (fuggire- scappare)@
@rifugiarsi@|@to take refuge, to escape, to take cover, to seek comfort, to shelter @
@rifugio@|@(m- il)- shelter, refuge, comfort, hideout@
@riga@|@(f- la)- line, row, stripe@
@rigettare@|@to throw back, to reject, to refuse, to turn down, to dismiss, to drive back, to repel (bocciare- disprezzare- respingere- ripudiare), to throw again, to resprout@
@rigoroso@|@rigorous, severe, strict, stern@
@riguardante@|@regarding, concerning, about (per quanto riguarda- per quanto concerne)@
@riguardare@|@to regard, to concern (riferirsi), to relate to, to look after, to examine, to look at@
@riguardo a@|@with regard to, in connection with@
@rilanciare@|@to raise, to reintroduce, to revive, to relaunch, to throw again@
@rilancio@|@(m- il)- revival, relaunching, reintroduction, throwing again, throwing back, raising, raise@
@rilasciare@|@to grant, to give, to issue, to release, to discharge, to set free, to loosen@
@rilevare@|@to stand out, to be important, to matter, to point out, to notice, to find, to learn, to gather, to survey, to relieve@
@rilievo@|@(m- il)- relief, importance, stress, emphasis, remark, comment, criticism, survey@
@rimandare@|@to refer to, to send again, to send back, to return, to postpone, to defer@
@rimando@|@(m- il)- return, sending back, postponement, cross-reference@
@rimanere@|@to remain, to stay@
@rimedio@|@(m- il)- remedy, cure, medicine, answer, solution@
@rimosso@|@removed, repressed@
@rimproverare@|@to chide, to reproach, to blame@
@rinchiudere@|@to shut in, to confine, to lock up@
@rinchiudersi@|@to shut oneself in, to withdraw, to retire@
@rincrescere@|@to be sorry, to regret, to mind@
@ringraziamento@|@(m- il)- thanks, thanksgiving@
@rinnovamento@|@(m- il)- renewal, renovation@
@rinomato@|@renowned, famous@
@rinsaldare@|@to strengthen, to reinforce, to consolidate@
@rinsaldato@|@strengthened@
@rintracciare@|@to trace, to find, to locate, to track down@
@rinunciabile@|@renounceable, waivable, releasable@
@rinvenimento@|@(m- il)- recovery, discovery, finding, find (riscontro- ritrovato- scoperta)@
@rinviare@|@to send back, to return, to refer, to postpone, to delay, to put off@
@rinvio@|@(m- il)- return, sending back, cross-reference, postponement, deferment, delay@
@riparare@|@to repair, to rectify, to make amends for, to protect, to shelter, to take refuge@
@ripartire@|@to divide, to split, to allocate, to leave again, to start again@
@ripassare@|@to read or look over again, to go over again, to revise, to pass again, to cross again, to hand back@
@ripensare@|@to think of again, to think over, to ponder, to have second thoughts, to change one's mind, to recall@
@ripercorrere@|@to run through again, to follow @
@riportare@|@to bring or take again, to bring or take back, to report, to relate, to receive, to suffer, to carry, to continue, to copy@
@riprendere@|@to take back, to take up again, to resume, to draw on, to recapture@
@ripresa@|@(f- la)- resumption, renewal, revival, recovery@
@ripudiare@|@to ripudiate, to hate, to reject, to disown (bocciare- disprezzare- respingere- rigettare)@
@risalire@|@to climb up again, to rise again, to ascend, to go back to, to trace or date back to or from@
@risaltare@|@to stand out, to distinguish oneself, to excel, to appear clearly, to be evident, to be revealed, to project, to highlight, to enhance, to jump again@
@risaputo@|@well-known@
@riscaldarsi@|@to heat up, to become heated or animated, to get excited, to raise one's voice@
@riscattare@|@to redeem, to ransom, to set free@
@riscatto@|@(m- il)- redemption, liberation, ransom @
@rischiarare@|@to illuminate, to enlighten, to clear up, to clarify@
@rischiare@|@to risk, to run the risk, to venture@
@rischio@|@(m- il)- risk, hazard, danger, peril@
@riscontrabile@|@verifiable, checkable, comparable (riscontrabile), discoverable, noticeable@
@riscontro@|@(m- il)- comparison, check, examination, substantiation, confirmation, discovery (rinvenimento- ritrovato- scoperta), correspondence, match, parallel @
@risorgere@|@to rise again, to revive@
@risorto @|@risen, resurrected, revived@
@risparmiare@|@to save, to spare@
@risparmio@|@(m- il)- saving, conservation, (pl.)- savings@
@rispecchiare@|@to reflect, to mirror@
@rispetto a@|@as regards, as to, compared to, in comparison with@
@rispondente@|@in conformity with, in accordance with, suitable to, answering@
@ristorare@|@to restore, to refresh, to compensate@
@ristretto@|@narrow, restricted, confined, condensed@
@risultato@|@(m- il)- result, outcome, solution, effect, consequence@
@risvegliare@|@to awaken, to revive@
@risveglio@|@(m- il)- reawakening, revival, recovery@
@risvoltare@|@to turn again, to unwrap again@
@risvolto@|@(m- il)- consequence, implication, aspect, jacket flap, cuff@
@ritenere@|@to retain, to hold, to believe, to remember, to hold back, to stop@
@ritiro@|@(m- il)- withdrawl, retreat, seclusion, secluded spot, hermitage, retirement, revokation, cancellation, shrinkage, collection, withdrawl@
@ritratto@|@(m- il)- portrait, image, picture, portrayal, description, (adj.)- portrayed, depicted, withdrawn@
@ritrovare@|@to find again, to discover, to recover, to visit, to recognize (scoprire)@
@ritrovato@|@(m- il)- discovery (rinvenimento- riscontro- scoperta), invention, product, device (past part. of ritrovare)@
@riuscire@|@to succeed, to mangage, to get, to be successful, to turn out, to be, to lead to, to be good at, to go out again@
@riuscita@|@(f- la)- result, outcome, success@
@riuscito@|@successful (past part. of riuscire)@
@rivale@|@(m or f- il or la)- rival, competitor, opponent, (adj.)- rival, competing@
@rivedere@|@to look over again, to correct, to revise, to return, to see again@
@rivelare@|@to reveal, to disclose, to show, to detect (svelare)@
@rivendicare@|@to claim, to demand, to claim responsibility for@
@rivista@|@(f- la)- review, inspection, revision@
@rivolgere@|@to turn, to direct, to address, to speak to, to turn away, to dissuade, to overturn@
@rivolgersi@|@to turn, to address, to speak to, to ask, to devote oneself@
@rivolgimento@|@(m- il)- upheaval, disturbance, trouble, revolution, change@
@rivolta@|@(f- la)- revolt, rebellion@
@rivoltare@|@to rivolt, to upset, to disgust, to turn, to turn upside-down, to mix@
@rivolto@|@addressed, turned, facing, intent on@
@rocca@|@(f- la)- stronghold, fortress, rock@
@roccia@|@(f- la)- rock, cliff@
@rodere@|@to gnaw at, to eat into, to corrode@
@rompere@|@to break, to break up, to burst, to bother@
@rotolo@|@(m- il)- scroll, roll@
@rotta@|@(f- la)- route, course, course of action, direction, disorderly retreat@
@rotto @|@broken, aching, tired, torn, split, worn-out, accustomed, used to, addicted to (past part. of rompere)@
@rovesciare@|@to overturn, to overthrow, to upset, to turn inside out, to throw, to pour, to spill, to empty (capottare- capovolgere- ribaltare)@
@rovescio @|@(m- il)- opposite, reverse, other side, hail, shower, setback, (adj.)- reverse, upside down, inside out, on one's back@
@roveto@|@(m- il)- thorn bush@
@rovina@|@(f- la)- collapse, fall, downfall, ruin@
@rovinare@|@to ruin, to spoil, to demolish, to collapse, to crash, to fall (crollare)@
@rubare@|@to steal, to rob@
@rubinetto@|@(m- il)- tap, faucet@
@rumoroso@|@noisy, loud@
@ruolo@|@(m- il)- list, part, role, position@
@sacco@|@(m- il)- bag, sack, sackcloth, pillage, plunder@
@sacro@|@sacred, holy, consecrated, dedicated@
@saggezza@|@(f- la)- wisdom@
@saldo@|@(m- il)- balance, full payment, sale, (adj.)- solid, sound, whole, firm, strong, secure, steadfast@
@salire@|@to go up, to climb, to get on, to get in@
@salma@|@(f- la)- corpse, body, remains (cadavere)@
@salmo@|@(m- il)- psalm@
@salone@|@(m- il)- hall, reception room@
@saltare@|@to jump, to leap, to explode, to blow up@
@salto@|@(m- il)- jump, leap, increase, gap, omission@
@salutare@|@to greet, to welcome, to bow, (adj.)- healthy, beneficial, wholesome@
@saluto@|@(m- il)- greeting, welcome@
@salvo@|@safe, unhurt, secure, (prep.)- except for, but, apart from@
@sanare@|@to heal, to rectify, to put right@
@sancire@|@(isc verb)- to sanction, to confirm, to ratify @
@santamente@|@piously, devoutly@
@sapienza@|@(f- la)- wisdom, learning, knowledge@
@sapore@|@(m- il)- taste, flavor@
@sboccare@|@to flow into, to lead to, to come to, to end up in, to emerge onto, to pour into, to rush into, to chip@
@sbocco@|@(m- lo)- outlet, opening, way out, exit, outflow, opportunity, prospect, market@
@scacciare@|@to drive out, to drive away, to expel, to dispel@
@scadere@|@to expire, to decay, to decrease, to fall due@
@scalino@|@(m- lo)- step, foothold@
@scambiare@|@to exchange, to change, to mistake@
@scampare@|@to rescue, to deliver, to avoid, to escape, to flee, to take refuge@
@scampo@|@(m- lo)- escape, way out, safety@
@scandire@|@(isc verb)- to articulate, to pronounce, to scan @
@scannare@|@to slaughter, to butcher, to unwind, to unroll@
@scapito@|@(m- lo)- damage, loss, detriment@
@scapolo@|@(m- lo)- bachelor, (adj.) - single, unmarried@
@scappare@|@to escape, to run away, to flee, to rush (fuggire- rifuggire)@
@scarica@|@(f- la)- discharge, shower, storm, round, burst, volley (ex: scarica di insulti = flood of insults)@
@scaricare@|@to unload, to discharge, to free, to unburden @
@scarno@|@meager, inadequate, insufficient, lean, thin, spare@
@scarsamente@|@insufficiently, little, not much, barely@
@scarseggiare@|@to be lacking in, to be scarce, to be short, to run out@
@scarso@|@scarce, lacking in, poor@
@scartare@|@to reject, to throw away@
@scattare@|@to go off, to lose one's temper, to spring, to jump, to increase, to begin, to take (a photo) @
@scatto@|@(m- lo)- outburst, release, fit of anger, impulse, jump, increment, advancement, photo@
@scaturire@|@(isc verb)- to spring, to gush @
@scegliere@|@to choose, to pick out, to prefer@
@scelta@|@(f- la)- choice, selection@
@scena@|@(f- la)- scene, scenery, view, stage, theater, act@
@scendere@|@to go down, to descend, to get off, to fall, to drop, to decline (discendere)@
@scheda@|@(f- la)- schedule, chart, file, card, vote@
@schernire@|@to mock, to scoff, to ridicule, to sneer at@
@scherzo@|@(m- lo)- joke, trick, (pl.)- effects@
@schiavista@|@(m or f- il or la)- taskmaster, slavedriver, (adj.)- slave@
@schiavitù@|@(f- la)- slavery@
@schiena@|@(f- la)- back@
@schiudere@|@to open, to half-open, to part@
@schiudersi@|@to open, to half-open, to part, to open up, to dawn@
@scia@|@(f- la)- wake, trail, footsteps (ex:  Lui segue la scia di Gesú. = He follows in the footsteps of Jesus.)@
@scienza@|@(f- la)- science, knowledge@
@scindere@|@to divide, to split, to break up, to separate, to resolve@
@scintilla@|@(f- la)- spark, flash@
@scioccare@|@to shock, to upset@
@sciocchezza@|@(f- la)- foolishness, silliness, nonsense@
@sciocco@|@(m- lo)- fool, (adj.)- silly, stupid, tasteless@
@sciogliere@|@to untie, to loosen, to release, to free, to dissolve, to annul, to break up, to resolve, to fulfill, to melt@
@sciolto@|@untied, loose, free, easy, agile, dissolved, broken up, melted (past part. of sciogliere)@
@scolpire@|@(isc verb)- to carve, to engrave, to impress, to emphasize, to stress@
@scolta@|@(f- la)- watch, guard, sentry@
@scommessa@|@(f- la)- bet, wager, gamble, risk@
@scomparire@|@to disappear, to vanish, to die out, to die, to pass away, to look insignificant, to be shown up (sparire)@
@scomparsa@|@(f- la)- death, extinction, passing, death, demise @
@scomparso @|@(m- il)- missing person, dead person, (adj.)- disappeared, vanished, extinct, deceased (past part. of scomparire)@
@scomporre@|@to dismantle, to take apart, to decompose, to divide, to break up, to split, to ruffle, to throw into disorder, to distort, to upset@
@sconcertare@|@to bewilder, to baffle, to upset, to disconcert@
@sconcerto@|@(m- lo)- bewilderment, bafflement, perplexity, disconcertment@
@sconfiggere@|@to defeat, to overthrow, to conquer@
@sconfinare@|@to stray from, to digress from, to exceed the limits of, to trespass@
@sconfitta@|@(f- la)- defeat, elimination@
@sconfitto@|@defeated, beaten, eliminated, extracted, removed (past part. of sconfiggere)@
@sconfortante@|@discouraging, disheartening, depressing, gloomy, pitiful@
@sconfortare@|@to discourage, to dishearten, to demoralize, to depress (scoraggiare)@
@sconfortarsi@|@to get discouraged, to get disheartened, to lose heart (scoraggiarsi)@
@sconfortato@|@discouraged, disheartened, depressed (past part. of sconfortare)@
@sconosciuto@|@(m- lo)- stranger, (adj.)- unknown, unidentified, unappreciated, neglected @
@sconsideratezza@|@(f- la)- rashness, thoughtlessness@
@scontare@|@to discount, to deduct, to reduce, to pay off, to atone for, to serve (in prison), to expect, to forsee, to take for granted@
@scontentare@|@to displease, to dissatisfy, to discontent@
@scontento@|@(m- lo)- dissatisfaction, discontent, (adj.)- dissatisfied, displeased, unhappy, disappointed@
@scontro@|@(m- lo)- encounter, battle, fight, collision@
@sconvolgente@|@upsetting, disturbing, shocking, devastating@
@sconvolgere@|@to upset, to disturb, to throw into confustion@
@sconvolgimento@|@(m- lo)- devastation, disruption, upsetting, havoc, confusion, disorder@
@sconvolto@|@upset, disturbed, shocked, unsettled, deranged@
@scoperta@|@(f- la)- discovery (rinvenimento- riscontro- ritrovato), reconnoitering@
@scoperto@|@(m- il)- outdoor place, (adj.)- uncovered, exposed, bear, open, unsheltered (past part. of scoprire)@
@scopo@|@(m- lo)- purpose, aim, goal, design, intent, reason, object, point, target@
@scoppiare@|@to explode, to burst, to break, to uncouple@
@scoppio@|@(m- lo)- explosion, outburst, outbreak, crash, boom@
@scoprire@|@to uncover, to unveil, to discover, to expose (ritrovare)@
@scoraggiare@|@to discourage, to dishearten, to demoralize, to dissuade, to deter (sconfortare)@
@scoraggiarsi@|@to lose heart, to get discouraged (sconfortarsi)@
@scoraggiato@|@discouraged, disheartened (past part. of scoraggiare)@
@scorcio@|@(m- lo)- glimpse, view, perspective, short period, close, end@
@scorgere@|@to catch a glimpse of, to discern, to perceive, to notice, to realize, to see, to guide@
@scorrere@|@to flow, to run, to slide, to pour, to stream, to pass, to go by, to be consistent, to raid, to glance over, to look through, to browse (ex:  le ore scorrone lente = the hours pass slowly)@
@scorrevole@|@fluent, flowing, sliding, fluid, thin@
@scorso@|@(m- lo)- slip, oversight, (adj.)- last, past (past part. of scorrere)@
@scudo@|@(m- lo)- shield, defense, protection@
@scuotere@|@to shake, to stir, to rouse, to upset@
@sdegnare@|@to scorn, to arouse, to enrage, to get angry@
@sdegno@|@(m- lo)- indignation, anger, scorn@
@se stesso@|@itself, himself, herself@
@sebbene@|@although, even though@
@secolo@|@(m- il)- century, age, epoch, time, world@
@sede@|@(m- il)- The Holy See, seat, center@
@sedia@|@(f- la)- seat, chair@
@segnare@|@to mark, to underscore, to indicate, to show@
@segnarsi@|@to make the sign of the cross@
@segno@|@(m- il)- mark, symbol, sign, indication, token, gesture@
@seguace@|@(m or f- il or la)- follower, supporter@
@seguente@|@(m or f- il or la)- next one, next person, (adj.)- following, next, subsequent@
@sembrare@|@to seem, to look, to appear@
@seminare@|@to sow, to scatter, to leave behind@
@seminario@|@(m- il)- seminar, workshop, conference, seminary@
@semmai@|@if ever, in case, if necessary, at most, at worst@
@sempre che@|@provided that, as long as@
@senno@|@(m- il)- common sense, judgment, wisdom, mind (raziocinio), (pl.)- wits, senses@
@sennò@|@otherwise@
@seno@|@(m- il)- womb, bosom (grembo- viscere)@
@senonchè@|@but, except @
@sensato@|@sensible, reasonable, wise@
@senso@|@(m- il)- meaning, sense, sensibility, sensation, feeling, direction, way, manner@
@sentenza@|@(f- la)- sentence, judgement, verdict, decision, opinion@
@sentiero@|@(m- il)- path, pathway, track, trail@
@sentimento@|@(m- il)- feeling, emotion, sentiment, sense, opinion, feeling, (pl.)- feelings, emotions, consciousness, senses@
@senz'altro@|@certainly, definitely, of course (beninteso- certo- magari)@
@seppellire@|@(isc verb)- to bury, to forget @
@seppure@|@even if@
@sequela@|@(f- la)- sequence, series, succession@
@serie@|@(f- la)- series, sequence, succession, line, set, range, league, division, variety@
@serrato@|@closely knit, closed, shut, tight, fast, pressing, brief and to the point (past part. of serrare)@
@serto@|@(m- il)- wreath, garland@
@servo@|@(m- il)- servant, slave@
@setta@|@(m- il)- sect, faction, secret society@
@settentrionale@|@(m or f- il or la)- northerner, (adj.)- northern, northerly, north@
@sfera@|@(f- la)- sphere, circle, field, range (ambito- portata)@
@sfida@|@(f- la)- challenge, defiance@
@sfidare@|@to challenge, to face, to dare, to defy@
@sfigurato@|@disfigured, distorted, defaced (past part. of sfigurare)@
@sfogare@|@to vent, to let out, to come out, to escape, to find an outlet, to flow into@
@sfogarsi@|@to relieve (give vent to) one's feelings, to let off steam, to unburden oneself, to get something off one's chest, to run wild, to sow one's wild oats@
@sfogo@|@(m- lo)- outburst, release, eruption, vent, outlet, way out@
@sfondare@|@to smash, to break, to break through or down, to have success, to make a name for oneself@
@sfondo@|@(m- lo)- background, setting (ambientazione- ambiente- fondo)@
@sforzare@|@to force, to strain@
@sforzarsi@|@to strive, to try hard@
@sforzo@|@(m- lo)- effort, strain, exertion, stress@
@sfottere@|@to make fun of, to tease@
@sfruttare@|@to exploit, to utilize, to make good use of, to overwork, to take advantage of@
@sfuggire@|@to escape, to get away from, to slip from one's mind, to avoid, to shun, to shirk (sottrarsi)@
@sfumatura@|@(f- la)- nuance, shade, tone, undertone, subtlety, hint, suggestion@
@sganciamento@|@(m- lo)- unhooking, releasing, dropping@
@sgomentare@|@to dismay, to frighten (spaventare)@
@sgomento@|@(m- lo)- consternation, fright, (adj.)- frightened@
@sgridare@|@to scold, to rebuke, to reprimand@
@sguardo@|@(m- lo)- look, glance, gaze, stare@
@sia…sia@|@both…and, either…or, whether…or@
@sicchè@|@so, therefore (allora- così- dunque- per cui- perciò- pertanto- qunidi), then, well@
@siccome@|@as, since, because@
@sicurezza@|@(f- la)- safety, security, certainty, assurance, confidence, trust@
@sigillo@|@(m- il)- seal, trademark@
@significativo@|@significant, meaningful, important, considerable@
@significato@|@(m- il)- meaning, sense, importance, significance (past part. of significare)@
@signoria@|@(f- la)- rule (kingly), lordship, domination, seigniory@
@sin dall'inizio@|@from the beginning, from the start (da capo- daccapo- da principio)@
@sinchè@|@until, as long as (finchè)@
@singolo@|@(m- il)- individual, (adj.)- single, individual, separate, sole, simple, one@
@sinistra@|@(f- la)- left, left hand or side, left wing (ex:  in politics)@
@sino@|@until, up to, as far as, since, from, even@
@sinora@|@up to now, so far (finora)@
@sintesi@|@(f- la)- synthesis, summary, (pl.)- gist, essentials@
@sintonia@|@(f- la)- agreement, tuning, syntony@
@sisma@|@(m- il)- seism, earthquake (terremoto)@
@sistemare@|@to arrange, to organize, to put in order, to settle, to resolve, to accommodate@
@slegare@|@to untie, to undo, to set free@
@slegato@|@disconnected, unconnected, loose, untied, undone, unbound (past part. of slegare)@
@smentire@|@to deny, to disclaim, to withdraw, to recant, to take back, to not live up to@
@smettere@|@to stop, to end, to give up@
@sobrietà@|@(f- la)- sobriety, moderation, restraint, simplicity@
@soddisfare@|@to satisfy, to please, to gratify, to fulfill, to meet, to discharge@
@sofferente@|@(m or f- il or la)- sufferer, (adj.)- suffering, pain-stricken@
@soffermare@|@to stop briefly@
@soffermarsi@|@to stop, to pause, to dwell upon, to linger@
@soffio@|@(m- il)- breath, gust of wind, inspiration, murmur@
@soffitta@|@(f- la)- attic@
@soffitto@|@(m- il)- ceiling@
@soffrire@|@to suffer, to endure (subire- patire)@
@soggettivo@|@subjective, personal@
@soglia@|@(f- la)- threshold@
@sognare@|@to dream@
@sogno@|@(m- il)- dream, fancy@
@solamente@|@(adv.)- only, just, alone, merely (solo- soltanto- unicamente), (conj.)- but only, if only (unicamente)@
@soldato@|@(m- il)- soldier, champion, defender@
@solidale@|@in agreement with, solidly behind, on one's side, sympathetic with, integral with, joint@
@solidità@|@(f- la)- firmness, soundness, validity, solidity@
@solito@|@(m- il)- the usual, (adj.)- usual, customary@
@sollecitare@|@to urge, to press for, to request urgently, to hasten, to quicken, to hurry@
@sollecitazione@|@(f- la)- solicitation, urging, plea, appeal, request, stimulus, stress, strain@
@sollecitudine@|@(f- la)- promptness, readiness, eagerness, willingness, diligence, kindness, attention, concern, care, thoughtfulness@
@sollevare@|@to lift, to raise (ex:  shoulders or a question), to comfort@
@sollievo@|@(m- il)- relief, comfort@
@solo@|@(m- il)- only one (unico), (adj.)- alone, by oneself, only, single, unique, mere, very (unico), (adv.)- only, just, alone, merely (solamente- soltanto- unicamente), (conj.)- but only, if only (solamente- soltanto)@
@soltanto@|@(adv.)- only, alone, just, merely (solamente- solo- unicamente), (solo), (conj.)- but, only, if only (solamente)@
@somiglianza@|@(f- la)- resemblance, similarity, likeness (assomiglianza- rassomiglianza)@
@somigliare@|@to resemble, to look like, to be like, to be similar to, to compare, to liken (assomigliare- rassomigliare)@
@somma@|@(f- la)- sum, total, conclusion, main point, essence, epitome@
@sommo@|@highest, supreme, great (ex:  somma sacerdote = high priest)@
@sommossa@|@(f- la)- uprising, rebellion, revolt, insurrection, riot@
@sondaggio@|@(m- il)- exploration, survey, poll, inquiry, investigation@
@sonno@|@(m- il)- sleep@
@sopraddetto@|@(m- il and adj.)- above mentioned, aforesaid@
@soprannaturale@|@(m- il)- supernatural, (adj.)- supernatural, extreme, extraordinary@
@soprappiù@|@(m- il)- extra, surplus, addition@
@soprattutto@|@above all, especially, particularly@
@sopravvivere@|@to survive@
@sordo@|@(m- il)- deaf person, (adj.)- deaf, indifferent, insensitive, dull, muffled@
@sorgente@|@(f- la)- spring, well, source, origin, cause, (adj.)- rising (fonte- germe- origine- principio- provenienza)@
@sorgere@|@(m- il)- rising, (verb)- to rise, to arise, to spring forth, to stand, to attain@
@sormontare@|@to surmount, to overcome, to rise above@
@sorprendente@|@surprising, unexpected, astonishing, remarkable@
@sorregere@|@to support, to hold up, to sustain (mantenere- sostenere)@
@sorreggere@|@to support, to hold up, to sustain, to carry the weight of, to comfort, to encourage, to assist, to help@
@sorridere@|@to smile, to favor, to make happy, to appeal@
@sorriso@|@(m- il)- smile, pleasantness, sweetness, charm (past part. of sorridere)@
@sorte@|@(f- la)- destiny, fate, fortune, state, chance, opportunity, (pl.)- lots (ex:  gettare Ie sorti = to cast lots)@
@sorvegliante@|@(m- il)- taskmaster, supervisor, watchman, inspector@
@sospeso@|@suspended, hanging, interrupted, cancelled, postponed, delayed, doubtful, uncertain, hesitating, in suspense, anxious (past part. of sospendere)@
@sospirare@|@to sigh, to long for, to yearn for, to grieve@
@sospiro@|@(m- il)- sigh, sighing, breath, puff@
@sosta@|@(f- la)- stop, halt, pause, rest, peace@
@sostegno@|@(m- il)- support, prop@
@sostenere@|@to support, to sustain, to hold up, to maintain (mantenere- sorregere)@
@sostenersi@|@to support oneself, to keep up one's strength@
@sotterrare@|@to bury, to sow, to plant@
@sottile@|@subtle, thin, fine, slender, sly, cunning@
@sotto@|@(m- il)- bottom, underside, (prep.)- under, underneath, below, less than, near, around, at, during, (adv.)- under, below, down, further on@
@sottofondo@|@(m- il)- background, foundation, undercurrent, undertone@
@sottolineare@|@to underline, to stress, to emphasize@
@sottomesso @|@subdued, subject, submissive, obedient@
@sottomettere@|@to subject, to subdue, to subordinate, to submit (asservire- assoggettare- sottoporre)@
@sottomissione@|@(f- la)- submission, obedience, subjection, conquest@
@sottoporre@|@to subject, to submit, to put through (asservire- assoggettare- sottomettere)@
@sottostante@|@below, subordinate@
@sottosviluppato@|@underdeveloped, backward@
@sottrarre@|@to subtract, to deduct, to take away, to deliver, to rescue, to steal, to embezzle@
@sottrarsi @|@to escape, to avoid, to evade, to get out of, to shirk (sfuggire)@
@sovente@|@often, frequently (spesso- non di rado)@
@sovraccarico@|@(m- il)- overload, (adj.)- overloaded, overburdened@
@sovranità@|@(f- la)- sovereignty, supremacy@
@sovrano @|@(m- il)- soverign, king, (adj.)- soverign, supreme, absolute, towering@
@sovrapporre@|@to superimpose, to place or lay on/over/on top of, to overlap, to set above, to give first place to@
@spaccarsi@|@to split, to break@
@spaccatura@|@(f- la)- split, rift, break-up, breaking, splitting, crack, conflict@
@spada@|@(f- la)- sword@
@spalla@|@(f- la)- shoulder, side, (pl.)- back@
@spandere@|@to spread, to scatter, to circulate, to shed, to squander (allargare- diffondere- espandere- spargere)@
@spargere@|@to scatter, to sprinkle, to spread, to broadcast, to spill, to shed (allargare- diffondere- espandere- spandere)@
@sparire@|@(isc verb)- to disappear, to vanish, to go away, to die out (scomparire)@
@sparso@|@sparse, occasional, stray, scattered, loose, shed@
@spartire@|@to separate, to divide, to split, to apportion@
@spartizione@|@(f- la)- division, sharing, partition@
@spaventare@|@to scare, to frighten (sgomentare)@
@spaventarsi@|@to be frightened, to be afraid@
@spazio@|@(m- lo)- space, room, period@
@specchio@|@(m- lo)- mirror, model, example, pattern, stretch, expanse, table, timetable, schedule@
@specie@|@(f- la)- species, kind, sort@
@spegnere@|@to extinguish, to put out, to turn off (a light- etc.)@
@sperimentabile@|@testable, knowable by experience@
@sperimentare@|@to experiment, to test, to experience, to undergo, to endure, to live through, to try, to attempt@
@sperimentato@|@experienced, skilled, proven, well-tried, known, tested (past part. of sperimentare)@
@spesso@|@(adv.)- often, frequently (non di rado- sovente), (adj.)- thick, dense, heavy, frequent, numerous, repeated@
@spessore@|@(m- lo)- thickness, depth, importance@
@spettare@|@to be one's responsibility, to be one's concern, to be up to, to rest with, to be incumbent upon, to be entitled to, to go to (ex:  Gli spetta per dovere. = It is his duty.) @
@spezzare@|@to break, to break up, to interrupt@
@spezzato@|@broken, fragmentary, interrupted (past part. of spezzare)@
@spiccio@|@quick, prompt, brisk, no-nonsense@
@spina@|@(f- la)- thorn@
@spingere@|@to push, to press, to press against, to drive, to urge, to encite@
@spinta@|@(f- la)- push, shove, nudge, thrust, pressure, incentive, stimulus, boost, helping hand@
@spinto@|@pushed, driven, urged, inclined, willing, ready, excessive, extreme, daring, risky (past part. of spingere)@
@spirare@|@to breathe, to blow, to exhale, to emanate, to radiate, to give off, to exude, to die, to breathe one's last, to expire, to fall due@
@spogliarsi@|@to undress, to take off, to lose, to strip (ex:  as in the kenosis)@
@sponda@|@(f- la)- bank (of a river), shore, side, edge, parapet@
@sportivamente@|@sportingly, in good part, casually, informally@
@spossessare@|@to dispossess, to deprive, to oust, to evict, to eject@
@spostamento@|@(m- lo)- change, move, shift, transfer, displacement@
@spostare@|@to move, to shift, to displace, to change, to postpone, to defer@
@sprecare@|@to waste, to squander, to throw away@
@sprecarsi@|@to waste one's time- energy- talent- etc., to overstrain oneself, to put oneself out@
@spreco@|@(m- lo)- waste, loss@
@spregevole@|@despicable, contemptible, mean@
@sprigionare@|@to give off, to emit, to release, to set free@
@spuntare@|@(m- lo)- appearance, sprouting, rising, break, dawning, beginning, (verb)- to sprout, to appear, to emerge, to obtain, to check off, to overcome, to get around, to trim, to blunt (ex:  allo spuntare dell'alba = at the break of dawn)@
@spunto@|@(m- lo)- cue, idea, hint, starting point, occasion, opportunity@
@staccare@|@to detach, to separate, take off, to remove, to unfasten, to stand out@
@stadio@|@(m- lo)- stadium, stage, period, phase@
@stante@|@current, (prep.)- because of, on account of, owing to, in consideration of, in view of@
@stanza@|@(f- la)- room, place of residence@
@stato@|@(m- lo)- state, condition, status, mode (past part. of essere)@
@stendere@|@to extend, to stretch out, to lay out, to knock down, to write, to draw up@
@stesura@|@(f- la)- drawing up, writing up, wording, text, version, draft, coat@
@stilare@|@to write, to draw up, to draft@
@stile@|@(m- lo)- style, class, manner, way@
@stillare@|@to drip, to ooze, to seep@
@stima@|@(f- la)- esteem (pregio), estimate, evaluation, assessment@
@stimare@|@to estimate, to value, to rate, to assess, to survey, to calculate, to consider, to think, to judge, to regard, to think highly of, to esteem@
@stirpe@|@(m- la)- ancestry, descent, line, family, race, progeny, origin, birth@
@stolto@|@(m- lo)- fool, (adj.)- silly, foolish, stupid@
@strabiliante@|@amazing, astounding, astonishing@
@straniamento@|@(m- lo)- estrangement, alienation@
@strappare@|@to tear, to rip, to pull up or out, to pull away, to secure, to snatch, to extract, to exort@
@strapparsi@|@to tear oneself away, to tear@
@stretta@|@(f- la)- grasp, hold, crush, press, difficult situation, predicament, climax, critical moment, squeeze, tightness@
@strettamente@|@tightly, strictly, absolutely@
