@Haitian creole@|@English@
@anfouraye@|@to misplace, to lose@
@anfouye@|@to misplace, misplaced, lost in the mess@
@anfrajele@|@to destroy, ruin, make mincemeat of@
@ang la@|@angle@
@angaje@|@engage, bound, in a jam, in difficult straights@
@angaje 2@|@short of cash, in a bad fix, also vodou term@
@angaje 2@|@short of cash@
@angajman@|@involvement, obligation, promise, undertaking@
@angajman an@|@troubles, difficulty, contract with the devil@
@angaway@|@in desorder@
@angi a@|@eel@
@angiz@|@instead of, in place of@
@angle@|@English, English language@
@angle a@|@englishman, englishwoman@
@anglè a@|@English language@
@Angle waf@|@broken english, street english@
@angogay@|@in abundance, plenty, aplenty@
@angòje@|@to be blocked, obstructed@
@angoudi@|@to render dull, sleepy, numb, dormant@
@angranman@|@haughtily@
@angrave@|@to make worse, aggravate, to become more serious@
@angre a@|@fertilizer@
@angrè a@|@fertilizer@
@angren@|@granulated, shelled, grain@
@angrenaj la@|@gear@
@angrese@|@to fatten as in animals@
@angro@|@wholesale@
@angrosi@|@to get a woman pregnant@
@angwas la@|@anguish@
@anhan@|@so@
@ani an@|@anise@
@anika@|@arnica@
@anile@|@to cancel, void, nullify@
@anilin lan@|@aniline, a oily water soluable liquid for dyes@
@animal@|@animal@
@animal la@|@beast, animal@
@animatè@|@host@
@anime@|@brisk@
@anivèsè@|@anniversary@
@anivèsè a@|@anniversary, birthday@
@anizan@|@pleasant@
@anj la@|@angel@
@anjandre@|@violent, completely crazy, possessed@
@anjandreman an@|@pact, engagement with the devil@
@anjelis la@|@angelus, dusk@
@anjeneral@|@in general, generally@
@anjwèt@|@in jest, jokingly@
@anka@|@quart, if, in case@
@ankachèt@|@secretly@
@ankadre@|@to frame@
@ankadreman@|@frame for pictures, framing@
@ankatimini@|@secretly, underhandedly@
@ankave@|@badly infected and full of pus@
@anke@|@whole, entire@
@ankenn@|@none, no, not at all, no one@
@ankenn bagay@|@nothing, anything@
@ankenn moun@|@nobody, anybody@
@ankenn pa vini@|@no one came@
@ankese@|@to catch and hold tight as in a ball etc@
@ankèt la@|@investigation, inquiry, inquest@
@anketè a@|@investigator@
@ankiloze@|@numb@
@anklim nan@|@anvil@
@anko@|@yet, anymore@
@ankò@|@again, still, besides, extra, so, anymore@
@ankò 2@|@any longer, by, also, in addition@
@ankonbre@|@to crowd, overcome@
@ankonbreman an@|@crowding@
@ankouraje@|@to promote, encourage, cheer, urge, uphold, incite@
@ankourajman an@|@encouragement@
@ankriye a@|@inkwell@
@anksyete@|@anxiety@
@anlagan@|@in the beginning, from the start@
@anlè@|@upper part, top, above, on top, on top of, high@
@anlè 2@|@on high, up in the air, frivolous, flighty@
@anmadwe@|@to sweet talk, wheedle, cajole@
@anmatè a@|@owner of a ship@
@anmatè a@|@amateur, non professional, connaisseur, fan@
@anmè@|@bitter@
@anmèdan@|@troublesome, annoying@
@anmède@|@to bother, peeve, annoy, irritate, tease, nag@
@anmèdè a@|@a bothersome person, meddler, pain in the neck@
@anmèdman an@|@nuisance@
@anmègdan@|@troublesome, annoying@
@anmègde@|@to annoy, irritate, tease, bother, nag@
@anmèkde@|@to annoy, irritate, tease, bother, nag@
@anmenm@|@unsatiated, unsatisfied@
@anmenmtan@|@at the same time, simultaneously@
@anmidonnen@|@to starch@
@anmilpye a@|@millipede, centipede@
@anmize@|@to amuse, entertain, enjoy oneself@
@anmizman an@|@entertainment, amusement, roasted peanuts@
@anmore a@|@lover, sweetheart, boyfriend@
@anmorèz la@|@sweetheart feminine, girlfriend@
@anmòrèz la@|@girl sweetheart, girlfriend@
@anmourèz la@|@girl sweetheart, girlfriend@
@anmre@|@cry for help@
@anmwe@|@cry for help@
@ann@|@let's@
@annachis la@|@anarchist@
@annafè ak@|@in business with, involved with, to have an affair@
@annanfans@|@senile@
@annanna@|@pineapple@
@annanna a@|@pineapple@
@annantye@|@whole, entirely@
@annapre@|@the following, that follow, after, later@
@annapre@|@after@
@annaryè@|@in the back, behind@
@annasi a@|@type of spider@
@annatandan@|@meanwhile, until@
@annavan@|@ahead, in front@
@annavan@|@ahead, in front, lets go@
@annavans@|@early@
@anndan@|@inside of, within, into@
@anndan@|@inside, indoors, inward@
@anne a@|@year@
@annefè@|@in fact, indeed, really@
@annega de@|@with regard to, regarding, as for@
@annega de 2@|@as far as ( ) is concerned@
@annegad@|@with regard to, regarding, as for, as far as@
@annekay@|@made of shell@
@annekò@|@flooding, overflowing@
@annèryè@|@in the back, behind@
@annik@|@only, just, as soon as@
@annile@|@to cancel, void, nullify@
@annimal la@|@beast, animal@
@annipye a@|@millipede, centipede@
@anniye@|@bore@
@anniye@|@annoy@
@annò@|@golden@
@annòd@|@in order@
@annonse@|@to announce, to notify@
@annou@|@let's, let's go, come on@
@annui an@|@trouble, problem@
@annuiyan@|@annoying@
@annuiye@|@to annoy, bother, to be bored, to be weary@
@annwi an@|@trouble, problem@
@annwiyan@|@annoying@
@annwuiye@|@to annoy, to bother, to be bored, to be weary@
@anonse@|@to announce, notify@
@anouvo@|@anew@
@anpakte@|@pack@
@anpalan@|@referring, referring to, speaking@
@anpàn@|@out of order, stuck, short of@
@anpare@|@to take possession of, invade, fill, seize@
@anpase@|@to do without@
@anpatan@|@to start with, in the first place@
@anpaye@|@to stuff, to cover with straw or any other stuff@
@anpè@|@peace, peaceful, quiet, at peace@
@anpeche@|@to impeach, prevent, deter, hinder@
@anpechman an@|@hindrance, impediment, financial difficulties@
@anpenpan (adj)@|@fancy, swell, beautiful, ok, smart, elegant@
@anpeny nan@|@vamp, upper part of a shoe@
@anpeste@|@to permeate with a bad odor@
@anpetre@|@slow, not at ease, indolent@
@anpeze@|@to starch@
@anpil@|@very, much, a great deal, a lot of, many, great@
@anpil@|@(a) lot, plenty, much, most@
@anpil (adj)@|@bunch, many@
@anpil 2@|@immensely, plenty, a lot, very much, quite@
@anpil 3@|@numerous, scores of, a good deal of, plenty of@
@anpil 4@|@insolent (mostly applied to children)@
@anpil epis@|@spicy@
@anpil fwa@|@over and over, many times@
@anpil kapasite@|@capable, plenty of capacity@
@anpil moun@|@many people@
@anpile@|@to pile up@
@anpire@|@to worsen@
@anplasman an@|@lot, a plot or concession of land, site, location@
@anplat la@|@plaster cast@
@anplimdezwa@|@elegantly dressed@
@anplis@|@besides, additionally, in addition, more@
@anplwaye@|@to employ, engage, utilize, hire@
@anplwaye a@|@employee, clerk@
@anpoche@|@pocket@
@anpòte@|@to seize, angry@
@anpoul flach@|@flash bulb@
@anpoul la@|@electric bulb@
@anpremye@|@primary, first@
@anpren@|@loan@
@anprent la@|@finger print@
@anpresman@|@haste, eagerness, hurry@
@anprèsman@|@zeal@
@anprizonnen@|@to jail, imprison@
@anpwazonnen@|@to poison@
@anraje@|@rabid, mad, enraged, furious, irresponsible, crazy@
@anrasinen@|@rooted, grounded, established@
@anrèg@|@in order@
@anrejistre@|@to record, to register@
@anreleng@|@in rags, penniless@
@anreta@|@overdue, late@
@anreta (adv) ta@|@late@
@anrichi@|@to enrich@
@anro@|@noun upper part, top@
@anro 2@|@prep on, over, on top of, above, about, concerning@
@anro 3@|@adv upstairs, above, up, upward@
@anro lavil@|@uptown, in the upper part of town@
@anrole@|@to draft, enroll, enlist also spelled anwole@
@anrout@|@enroute, on the way@
@ansanm@|@together, along@
@ansanm avèk@|@with, together with@
@ansanm nan@|@ensemble, band@
@ansanswa@|@censer@
@ansante@|@healthy@
@ansasinen@|@to kill, murder, assassinate@
@ansèk@|@circular@
@ansekirite@|@safe@
@ansekirite (adj)@|@secure@
@ansent@|@pregnant, expecting, to impregnate@
@ansèt la@|@ancestor, forefather, forebears@
@ansèy la@|@sign, sign on a store@
@anseyan@|@teacher, faculty, educator, provider@
@anseye@|@to teach@
@ansèyman@|@education, teaching@
@ansi@|@desire@
@ansibreka@|@uneven, failing, not too good@
@ansiskatde@|@in a jiffy@
@ansite@|@safe@
@ansòsele@|@bewitch@
@ansòt@|@in such a way that@
@ansoudin@|@secretly@
@ansuit@|@then, afterwards@
@answuit@|@then, afterwards@
@ansyen@|@ancient, old, antique, ex, former, congrgatn elder@
@ansyen ayisyen@|@old style Haitian@
@ansyen prezidan@|@former president@
@ant@|@between, among@
@ant somèy e revèy@|@still half asleep@
@antan@|@while, at the time when@
@antandi@|@so be it@
@antanke@|@in the role of, as, like@
@antann@|@to mean, intend, to be out to, agree, get along@
@antannman an@|@understanding, comprehension@
@antant la@|@understanding, agreement@
@antase@|@to pile up@
@antay la@|@notch, gash, slashing@
@antchenkon@|@piecemeal, bit by bit@
@antchouprèt@|@restless, excessively curious, excited@
@antchoutchout@|@restless, excessively curious, excited@
@antdezay@|@middle aged@
@antdezo@|@underneath the surface of the water@
@ante@|@haunted, fantastic, extraordinary@
@antè@|@earthen@
@antèman@|@burial@
@antènwa a@|@funnel, whirlpool@
@antere@|@to bury@
@antèt@|@caption@
@antete@|@determined, stubborn, willful@
@antiche@|@to be hot after, persist, be persistent@
@antipile@|@to pile up@
@antipislin@|@secretly, furtively, surreptitiously, poco por poc@
@antiray la@|@fence, enclosure@
@antò@|@at fault, wrong, guilty@
@antòch la@|@sprain, twist@
@antònwa a@|@funnel, whirlpool@
@antòs la@|@sprain, twist@
@antòtiye@|@tangled up@
@antòtye@|@tangled up, mele@
@antou@|@altogether@
@antouka@|@in any event, anyhow, in any case, at any rate@
@antoupwèt@|@restless, excessively curious, excited@
@antouray la@|@fence, enclosure@
@antoure@|@to surround@
@antouzyas@|@rapt@
@antranp@|@soaking@
@antrav la@|@a difficult, worrisome, compromising situation@
@antrav la 2@|@problem, difficulty, worry, handicap, mess@
@antrav la 3@|@bad spot@
@antravan@|@compromising@
@antrave@|@to implicate, to put s o in an embarassing situatn@
@antravè@|@crosswise, obliquely, across, athward@
@antre@|@to penetrate, come in, go in, enter, get in, among@
@antre 2@|@to step in, entrance, opening, admission, become@
@antre 3@|@to put inside, between, among@
@antre lib@|@free admission@
@antre nan@|@got into, enter in, get into, go into, going in@
@antre nan chanm nan@|@to enter the room@
@antre nan mè@|@to go into a convent@
@antre sòti@|@to come and go, to get in and out@
@antre tan@|@meanwhile, in the meantime@
@antre yo@|@between them@
@antremetè a@|@meddlesome@
@antremetèz la@|@meddlesome femenine@
@antren@|@zest@
@antrene@|@to practice, to train, to drill@
@antrenè a@|@coach, trainer@
@antrènman an@|@training, practice, drill@
@antreprann@|@to undertake, take on@
@antreprenan@|@enterprising@
@antreprenè a@|@undertaker@
@antrepriz@|@venture, enterprise@
@antrèt@|@by treason, without warning, unexpectedly@
@antretan@|@meanwhile, in the meantime@
@antretni@|@to maintain, to keep@
@antropoloji@|@anthropology@
@antrot@|@by the way@
@antròt@|@by the way@
@antye@|@whole, entire@
@antyèman@|@completely, entirely@
@antyoupwèt@|@restless, excessively curious, excited@
@antyoutyout@|@restless, excessively curious, excited@
@anvan@|@before, first@
@anvan lontan@|@before long@
@anvan tout bagay@|@first of all, in the first place@
@anvan w ale di m@|@before you leave, tell me@
@anvayi@|@to flood, invade, crowd in, surround by crowd@
@anvayi 2@|@to be flooded (carburator)@
@anve@|@bound by a vow@
@anvè@|@towards, toward, towards the, to the, toward the@
@anvenimen@|@to get worse, fester, to swell@
@anverite@|@quite, frankly, verily, in God's truth@
@anvi@|@to crave, envy, alive, yearn for, desire, wish@
@anvi 2@|@to want, feel like, to miss, a longing@
@anvi a@|@desire, craving, envy, birthmark@
@anvi kochon@|@a birthmark with hairs@
@anviron@|@around@
@anvitès@|@fast, in a jiffy@
@anviwènman@|@environment@
@anviwònman@|@environment@
@anvizaje@|@to consider, to envisage@
@anvlimen@|@to get worse, to fester, to swell@
@anvlòp@|@envelope, casing@
@anvoute@|@to cast a spell, to hex, to be possessed@
@anvye@|@envious, to be jealous of, to envy@
@anwe@|@hoarse@
@anwo@|@alternative spelling for anro@
@any@|@exclamation of disgust, disapproval@
@anyèl@|@annual@
@anyen@|@nothing, not anything, anywhere, a thing, anything@
@anzingdekontraryete@|@moody, in a bad mood, angry@
@aotvwa@|@aloud@
@ap@|@verb marker present progressive@
@ap fè rebèl@|@to become rebellious@
@ap mouri@|@dying@
@ap rive; an rout@|@be on one's way@
@ap vini@|@is arriving@
@apa@|@particular, private, apart, special, beside@
@apa (adj)@|@separate@
@apa 2@|@apart from, separately@
@apa interj@|@used in semi exclamatory, semi question sentences@
@apach@|@greedy@
@apagon@|@avaricious, greedy, grasping, avid@
@apantay la@|@surveying@
@apante@|@pace, to survey land@
@apantè a@|@surveyor@
@aparèy la@|@tool, instrument, device, gear, appliance, penis@
@apatandejodi@|@from this day forward, henceforth@
@apatandojodi@|@from this day forward, henceforth@
@apati de@|@starting from, as of@
@apatman an@|@apartment@
@ape@|@aux of present progressive tense@
@ape chante depi de jou@|@have been singing for two days@
@ape pale@|@is talking@
@apèl la@|@appeal, invitation to convene (law)@
@apèn@|@mere, hardly, scarcely, with difficulty@
@apendis@|@appendix@
@apendisit la@|@appendicitis@
@apenn@|@mere, hardly, scarcely, with difficulty@
@apepre@|@nearly, about, approximately@
@apeprè@|@nearly, about, approximately@
@apeprèman@|@nearly, about, approximately@
@apèsevwa@|@to catch a glimpse of, to see@
@apèsi@|@to get a glimpse of, to perceive@
@apèsi a@|@preview, glimpse@
@apeti a@|@appetite@
@api a@|@support@
@apik@|@high, steep, abrupt, precipitous@
@apik panno@|@very steep, almost vertical@
@apio a@|@net grass, coco grass, a potato like vegetable@
@apiye@|@to lean@
@apiye sou@|@to lean on@
@aplani@|@to levil@
@aplikasyon@|@application@
@aplim@|@agressive, eager for@
@aplodi@|@to cheer, clap, applaud@
@aplodisman an@|@applause, cheer@
@apopleksi a@|@apoplexy@
@apot la@|@Apostle@
@apòt la@|@Apostle@
@apotikè a@|@pharmacist, druggist@
@apoura@|@gluttonous, greedy, agressive@
@apòy@|@agressive, bold, unscrupulous, eager@
@apral@|@am, is, are going (ale progressive present)@
@aprale@|@am, is, are going (ale progressive present)@
@aprann@|@learn, to teach@
@aprann pa kè@|@to learn by heart@
@apranti a@|@apprentice@
@aprantisay la@|@apprenticeship@
@apre@|@after, next, afterwards, subsequently@
@aprè@|@after, next, afterwards, subsequently@
@apre demen@|@day after tomorrow@
@aprè demen@|@the day after tomorrow@
@apre midi@|@afternoon@
@apre sa@|@after that@
@apredemen@|@day after tomorrow@
@apredye a@|@money@
@aprèmidi@|@afternoon@
@apresye@|@appreciate@
@apreyande@|@apprehend@
@apròch@|@approach@
@aproche@|@to come near, draw near, bring close, approach@
@aproksimatif (adj)@|@approximate@
@aproksime@|@approximate@
@apropo de@|@concerning@
@apropode@|@concerning@
@aprouve@|@approve, to be in accord@
@aprovizyone@|@cater@
@apsan@|@absent, away, absent minded@
@apsan@|@absent, away; absent minded@
@apse a@|@abscess@
@apsoliman@|@absolutely@
@aptopriye@|@apt@
@apui a@|@support@
@apui chèz@|@chair back@
@apuiye@|@to lean@
@apwal@|@bareback@
@apwe@|@after, next, afterwards, subsequently@
@apwèl@|@bareback@
@apwen@|@ripe@
@apwentman an@|@salary, pay, wages, earnings@
@apwofondi@|@careful@
@apye@|@afoot, on foot@
@ar@|@art@
@Arab la@|@Arab@
@aran@|@herring@
@aran an@|@herring@
@aran barik la@|@kipper@
@aranbarik la@|@kipper@
@aranje@|@to manage, to arrange@
@aranjman an@|@agreement, settlement, arrangement, border, trim@
@arestasyon@|@arrest@
@arete@|@book@
@arete@|@apprehend, detain, arrest@
@arid@|@infertile, barren@
@arogan@|@arrogant@
@arondi@|@round@
@aroze@|@baste@
@artifisyèl@|@artificial@
@aryenafè@|@idle@
@asanble@|@assembly@
@asasen@|@killer@
@asasinen@|@to kill, murder, assassinate@
@asayi@|@assail@
@ase@|@enough@
@ase@|@ample, plenty, quite@
@ase (adj)@|@enough@
@asezonman@|@relish@
@asfalt@|@pavement, asphalt@
@asirans@|@assurance, guarantee, certainty, insurance@
@asire@|@ensure, assure, confident, sure, guarantee, insure@
@asire ou@|@make sure@
@asire pa sèten@|@unreliable@
@asireman@|@surely@
@asistans@|@assistance, help@
@asiste@|@to be present, to attend, to assist, to help@
@asiyasyon@|@subpoena, summons to court, assignment@
@asosye@|@associate@
@aspè@|@aspect@
@asteris*@|@asterick@
@aswè@|@tonight, evening@
@asye@|@steel@
@asyeje@|@besiege@
@asyèt@|@dish, plate@
@ata@|@even@
@ata oumenm@|@even you@
@atach@|@brace@
@atak@|@bout, raid@
@atake@|@assail, attack@
@atann@|@to expect, all of a sudden, expected, expecting@
@atann 2@|@to forsee@
@atansyon@|@attention, watch out@
@atantif@|@careful@
@atè@|@on the ground, ashore@
@ate a@|@atheist@
@atenn@|@reach, attain@
@atèri@|@land@
@ateste@|@attest, witness@
@atifisyèl@|@boat@
@atik@|@article@
@atiran@|@appealing, attractive, intriguing@
@atire@|@allure, attract@
@atistik@|@artistic@
@atitid@|@mood@
@atitud@|@attidude@
@atmosfè@|@mood@
@atò@|@then@
@atomik@|@atomic@
@atoufè@|@desperate@
@atout@|@although, even though@
@atrab@|@grasp@
@atròs@|@atrocious@
@atroupman@|@riot@
@av@|@used before verbs to signify future tense@
@av@|@will@
@ava@|@used before verbs to signify future tense@
@ava@|@will, avaricious, shall@
@avalide@|@avouch@
@avan@|@before, first@
@avan solèy kouche@|@before sundown@
@avanjou@|@dawn@
@avanse@|@forward, promote@
@avè@|@will, with, against, unto@
@avèg@|@blind@
@avegle (pete) je@|@dazzle@
@avèk@|@with, from, as, to, and@
@avètisman@|@warning, wake up call@
@avi@|@notice@
@avid@|@avid@
@avili@|@debase@
@avni@|@future, destiny@
@avnu@|@avenue@
@avoka@|@esquire@
@avril@|@April@
@avwan@|@oat@
@avwe@|@to confess, acknowlege, recognize, avow@
@avyon@|@(air)plane@
@awoze@|@irrigate@
@ayibobo@|@vodou exclamation  don't use it@
@Ayiti@|@Haiti@
@aza@|@random@
@Azi de Lès@|@East Asia@
