@English@|@Greenlandic@
@come in!@|@iserniarit aat?@
@come with me for a little while@|@aapparitsiannga@
@comes as a stranger in a place@|@takornariatorpoq, takornarniarpoq@
@comes at the right moment@|@taqamut iseqarpoq@
@comes close up to him or it@|@pallippaa@
@comes closer to it@|@pallittorpaa@
@comes here@|@maannarpoq, tamannarpoq@
@comes here with it@|@qaappaa@
@comes in to it@|@erruppaa (iserpoq)@
@comes out first@|@naaqqaarpoq@
@comes quite close to it@|@qattaarpaa@
@comes quite close with it@|@palliguppaa@
@comes quite up to it@|@palluumivaa@
@comes through@|@appakarpoq@
@comes to grief@|@ajunaarpoq@
@comes to see the new thing he has never seen before@|@takornariatorpaa, takornarniarpaa@
@comes too close to it@|@qaninaarpaa@
@comes unexpectedly upon him@|@qaninngarpaa@
@comforts him@|@nalerisarpaa@
@commences a song@|@appippaa@
@commission@|@oqariartuut@
@commits an in- famous deed@|@kanngunartuliorpoq@
@common place-name@|@salliaruseq, Salliit@
@communicates@|@nalunaarpoq@
@communicates it@|@nalunaarutigaa@
@communicates something@|@nalunaarfigaa@
@communication@|@nalunaarut@
@community@|@ilagiinneq@
@compartment@|@qarajaq@
@compassionate@|@naakkinginnippoq@
@complains (in order to be pitied)@|@kappiasaarpoq@
@complains of being hungry@|@kasserivoq@
@completed@|@naammassivoq@
@composer@|@eriinniortoq@
@composes@|@erinniorpoq@
@composes a tune for it@|@eriiniorpaa@
@compresses it@|@eqippaa, eqippoq, eqiterpaa@
@comrade@|@ikinngut@
@comrades@|@aappariit, aappariik@
@conceit@|@makitassuseq@
@concerns@|@pallimavoq@
@concertina@|@pattagiaasaq@
@conciliates him@|@saammarsarpaa@
@concludes peace with him@|@eqqisivissioqatigaa@
@conclusion@|@naggasiut, naggataaq@
@concubine@|@panerfaq@
@confesses it@|@nalunaajaatigaa@
@confirmation of baptism@|@tangeqartitsineq@
@confirms it@|@uppernarsisippaa@
@conforms with it@|@naleqquppaa@
@confronts him@|@kiinarsivaa@
@confronts him with something which he does not understand@|@nalorsippaa, nalorsitsaarpaa@
@congregation@|@ilagiit@
@conifer@|@meqqutaasalik@
@conqueror@|@ajugaasoq@
@conquers him@|@ajorsartippaa, ajorsisippaa@
@consecrates him@|@tangeqartippaa@
@considers him blameless@|@assuarnaagaa@
@considers him or it as something great@|@persuusiaraa@
@considers him unworthy of it@|@ajukkuffigaa@
@considers it@|@eqqarsaatigaa@
@considers it fragile@|@qajagaa@
@considers it good@|@ajunngigaa@
@considers it heavy@|@oqimaagaa@
@considers it light@|@oqigaa@
@considers it or him good@|@ajunngitsuutippaa@
@considers it peculiar@|@eqqumiigaa@
@considers it shameful@|@kanngugaa@
@considers it sufficient@|@naammagaa@
@considers them few@|@ikigai@
@consonnant@|@ersiutaatsoq, erseriutileeriaq@
@constellation appearing on the shortest day of the year@|@aassiit@
@consultation room@|@nakorsaavik@
@continued@|@nangitaq@
@continues@|@kaamuumivoq, nangippaa@
@continues after an interruption@|@nangippoq@
@continues on his way@|@kaamippoq@
@contradicts him@|@assortorpaa, salluiorpaa@
@converts him@|@saatippaa@
@converts himself.@|@saanniarpoq@
@cook@|@igasoq@
@cooking pot@|@iga@
@cooking-pot goblin@|@igalilik@
@cooks food@|@igavoq@
@cooper@|@nappaja (napavoq), napparsisoq@
@copper@|@kannussak aappalaartoq@
@copse@|@orpigaq@
@copulates with her@|@ajortumeerpaa@
@cormorant@|@oqaatsoq@
@corn@|@maannivoq, maannineq@
@corner of his mouth@|@eqia@
@corner of the mouth@|@eqeq, eqi@
@corresponding to something else in time@|@nalik@
@corret@|@eqqorpoq@
@cost@|@akeqarpoq@
@cottage@|@illuluk@
@cotton grass@|@ukaliusat@
@couch@|@nalaasaarfik@
@counter current@|@majorarnartoq, majorariaq@
@coursin of his mother@|@ajaasaq@
@court house@|@illu eqqartuussivik@
@court of justice@|@eqqartuussivik@
@cousin@|@illoq@
@cousins@|@illoriit@
@cover@|@qalequtaq@
@cover (of caplin bag)@|@paleq@
@cover (over something)@|@qalequt@
@cover over something@|@ulik @
@covered with rime@|@kanerpoq@
@covers his trans-gression@|@ajorliaa matoorpaa@
@covers it@|@qalleqqippaa, qalleraapput qallerpaa qaatigut@
@covers it (the wall)@|@iikkerpaa, iikkersorpaa@
@covers it several times@|@matoorpaa@
@covers it with dew or rime@|@kanerpaa@
@covers it with painting@|@qalipappaa@
@covers or wraps it up@|@ulippaa@
@cow@|@ussik@
@cows (loan word)@|@ussigit@
@crab@|@assagiaq, assagiarsuk@
@crab.@|@saattuaq (sak)@
@crack@|@naffaq, nassaq (napivaa)@
@cracks it@|@qaqquarpaa@
@cracks it entirely with his teeth@|@qaqqulaarpaa@
@cracks it with his teeth@|@qaqqorpaa@
@cramps@|@eqisarpoq@
@crash@|@kalerraq@
@crayfish@|@peqquk@
@creaksi cracks@|@qaqquarpoq@
@cream@|@immuup qalippernera@
@creek@|@eqik@
@creeps@|@paarmorpoq, paarngorpoq, (paamaarpoq)@
@creeps across it@|@paarmorpaa@
@creeps after it or on it@|@paarmorgigaa, paarngorfigaa@
@creeps on the stomach@|@lies on the stomach@
@croaks (a raven)@|@qaartorpoq@
@crook-backed@|@persinnilik@
@cross@|@sanningasulik@
@cross-tree@|@ajaaq, nammik@
@cross bill (Loxia)@|@eqangaaluk@
@cross road@|@paarlannera@
@cross.bar@|@qanattaq@
@crosses@|@ikaarpoq@
@crosses it@|@ikaarpaa@
@crosses one after the other@|@ikaararput@
@crosswise@|@sanninngarmik@
@crowd@|@eqimattat, katersuuttut, ujamerissat@
@crowd together@|@kattutaartorput, ussagarput@
@crown of head@|@kasseq@
@crucifies him@|@sanningasulimmut paaguppaa@
@crutch@|@ornavaffilik@
@crutch (in trousers)@|@nalikkaaq@
@cryolite@|@orsuiak, orsugiak@
@cuff@|@atsip-paa, aap-paa@
@cuff (of shirt)@|@atsipaaqut@
@cultivated ground@|@nuna sanarfisaq@
@cupping glass@|@ukusartut@
@cups him@|@ukusarfigaa@
@cures him@|@nakorsarpaa@
@curse@|@perloqqussut@
@cursed be he!@|@perloqqunarsili@
@curses him or it@|@perloqquvaa@
@curtain rod@|@saagulerfik, saaguliuppaa@
@curtain.@|@igalaap saagua@
@curved timber@|@nammissiaq@
@curves@|@peqippoq@
@curves it@|@peqitippaa@
@cusk (Brosmius vulgaris)@|@najorpilik@
@cut up@|@ikuagaq@
@cuts badly.@|@kiinnarluppoq@
@cuts it (the meat) into pieces for boiling@|@uullivaa@
@cuts it up@|@ikuarpaa@
@cuts off his arm@|@ikuppaa taleerlugu@
@cuts or hacks it@|@ikuppaa@
@cuts or hacks something@|@ikuppoq, Ikussivoq@
@cuts the ground from under his feet@|@paataajartippaa@
@cuts the meat into pieces for her@|@uulliuppaa, uullissuppaa@
@cuts with an axe@|@ulimavoq@
@dandriff@|@qaqortualuk@
@Danish@|@qallunaatut@
@Danish kroner@|@kooruunit@
@dare not expose him@|@sapiuppaa@
@darkness@|@taaq@
@darning needle@|@killaagut@
@darning wool or cotton@|@killaagutissiaq@
@dash@|@uiguut@
@daughter@|@panik@
@day after tomorrow@|@aqaguagu@
@day before yesterday@|@ippassaaani@
@day of arrival@|@aggiut@
@day of judgment@|@ulloq eqqartuussivk@
@deals cautiously@|@qajassuuppaa@
@deceives him@|@uappaa@
@deceives himself@|@imminut salloqittarpoq@
@declines (in diligence@|@nakkaallappoq@
@decoloured skin@|@eqartagersimasoq@
@decorates him or it@|@takujumnarsarpaa@
@decorates himself@|@takujuminarsarpoq@
@decoy@|@ukisaat@
@decoys them in great quantities to a certain place@|@ussarssaarpai@
@deed of mercy@|@naakkinnituliaq@
@deer@|@oqinninnguaq@
@defile@|@majoriaq, majoqqaq, majorteqivoq, maassak, majuarpoq, maannak@
@delays something@|@qaqugoorpoq@
@dentist@|@kigutinik nakorsaq@
@depilates it@|@meqquiarpaa@
@depressed@|@naqippoq@
@depression@|@naqerloq, qallusuk@
@desire@|@illigussuseq@
@developer@|@ersersaat@
@develops@|@perorpoq @
@develops it@|@ersersarpaa@
@dew@|@qaqunnak@
@dew drops@|@kanerneq@
@dews. vb.@|@qaqunnappoq@
@diaper@|@nangeq@
@diary@|@allattakkat@
@dice@|@nakkaasaq@
@dictionary@|@oqalunniutit@
@did not see it@|@tappiilliorpaa@
@Did you call me?@|@qaalanga?@
@did you enjoy yourselves?@|@nuannaarpisi? @
@different@|@tamalaat@
@dike@|@saputit@
@disagree-able@|@ippinnarpoq@
@disappears behind a wave@|@qapippoq@
@disappears behind something@|@qapinnguppoq@
@disappears below the surface of the water@|@qapangippoq@
@disappears below the water@|@qappivoq@
@disappears frequently behind the waves@|@qapittarpoq@
@disappears frequently below the water@|@qapangeqqavoq@
@disarms him@|@sakkuiarpaa@
@disentangles the traces@|@allaarsivoq@
@dish clout@|@ermiut@
@dislocates the jaw@|@allorpaa@
@disobedience@|@naalannginneq, naalanngissuseq@
@disorderly woman@|@arnaq eertaatsoq@
@dispensary@|@nakorsaasiorfik@
@displaces it@|@illersippaa@
@dissimulates@|@peqqutserpoq@
@dissolute man@|@kanunnarpoq@
@distends it with pegs@|@paattorpaa@
@distinguishing mark@|@malunnaat@
@distorted@|@equngavoq@
@distorts his face@|@kiinni equsaartippaa@
@distorts it@|@equsaartippaa@
@distributes it@|@ujajaarsuutigaa@
@ditty@|@erinarsuut@
@diversion something to divert one's thoughts with@|@ulapisaat@
@diverts himself@|@ulapisarpoq@
@diverts his thoughts@|@ulapisaatigaa@
@dives up a little and then goes down at once@|@peqimivoq@
@divides it into several compartments@|@affarlilersorpaa@
@do not jostle me!@|@sakaqinanga@
@do not throw stones@|@millooqinak ulorianaqaaq@
@do you like meat?@|@neqit mamareqaagit?@
@do you speak English?@|@tuluttut oqalusinnaavit?@
@do you speak Greenlandic?@|@kalaallit oqalusinnaavit?@
@doctor@|@nakorsaq@
@does good@|@ajunngitsilivoq, ajunngitsuliorpoq@
@does good towards him@|@ajunngitsuliffigaa, ajunngitsuliorfigaa@
@does gymnastics@|@eqaarsaarpoq@
@does harm@|@ajortulivoq, ajortuliorpoq@
@does him harm@|@ajortuliffigaa, ajortuliorfigaa, ajunaarpaa@
@does it at once@|@ernerpoq@
@does it several times@|@appiussorpaa@
@does not believe that he can@|@sapissangatippaa@
@does not believe that he will be able to manage him@|@sapiuffigaa@
@does not believe that he will be able to manage it@|@sapinngavaa@
@does not break@|@qajannaappoq@
@does not care about it@|@nalinginnaraa@
@does not consider it of importance profanes it@|@nalinginnaatippaa@
@does not feel inclined@|@eqiasuppoq, kajumiippoq, kajumissarpaa@
@does not feel inclined at all@|@perusoqanngilaq@
@does not get giddy@|@nangiajuippoq, nangiippoq@
@does not give himself any rest@|@katsungaaserpoq@
@does not go straight@|@nakiippoq (nakerpoq)@
@does not happen to be there@|@peqanngitsoorpoq@
@does not hit the mark@|@tamaqqavoq@
@does not joke with serious matters@|@ikasaanngilaq@
@does not know about it@|@nalornivaa@
@does not know him@|@takornaraa@
@does not know his lesson@|@nalorsarpoq@
@does not know it@|@naluaa@
@does not like it@|@aapaalingiagaa, ajoraa@
@does not like raw food@|@aapaalingiappoq@
@does not make itself observed@|@malunnaappoq@
@does not manage to see it@|@takunnataatsoorpaa@
@does not meet him@|@peqanngitsoorpaa@
@does not permit it@|@peqqunngilaa@
@does not show the least indulgence@|@kamagittaappoq@
@does not speak any more@|@oqassarlerpoq@
@does not take part in it@|@kajarpoq, kaanneq@
@does not trust that things will be going well with himself@|@naloqquppoq@
@does nothing@|@naparlivoq@
@does something entirely@|@tamakkerpoq@
@does something entirely to it@|@tamakkerpaa@
@does something falsely@|@peqqusersuusaarpoq@
@does something for the first time@|@pernaavoq, pernarpoq@
@does something for the last time@|@naggammeerpoq, naggataarpoq@
@does something involuntarily@|@piaarinngilaq@
@does something on pur-pose@|@piaaraaq@
@does something to him or it twice@|@marloriarpaa@
@does something to it@|@nakersapaa@
@does something twice@|@marloriarpoq@
@does something with care@|@peqqissaarpoq@
@dog@|@qimmeq@
@dog with hanging ears@|@palungataaq@
@dogs@|@qimmii, qimmit@
@domestic animal@|@nersut pigineqartoq@
@don't be so affected@|@meerujutseqinak@
@don't sleep@|@sininnak@
@Don't touch me there!@|@Tassuuna attornanga!@
@done it himself@|@namminiliaraa@
@door@|@matu@
@door frame@|@matserfik@
@door latch@|@sannersartoq@
@door post@|@matup sanerarutaa@
@dorsal fin@|@naparutaq@
@doublebarrelled gun@|@marlulik, allaat marlulik@
@down here@|@kanunga, kanuuna@
@down there@|@samani, samunga@
@drags his feet@|@isikkani kalikatarpai@
@drags it after him@|@kalikattarpaa, kalikataarpaa@
@drags it with him@|@nassataraa@
@drags something after him@|@kalippoq@
@draught@|@ussarneq, ussuarneq@
@draught board@|@tammoorfik@
@draught man@|@tammooq@
@draws in the stomach@|@najuppoq@
@dredges it@|@ikkanniiarpaa, ikkanneriarpaa@
@dresses him@|@sanarsorpaa@
@dresses him warmly@|@oqorsarpaa@
@dresses it@|@meqqulinngorpaa@
@dressings for a wound@|@mattutissiaq@
@dried meat or fish@|@panertoq@
@dried plum@|@paarnarsuaq saanilik@
@dries it (by a special treatment)@|@panersarpaa@
@dries it (by hanging it aside)@|@panerserpaa@
@drifts@|@persorpoq@
@driftwood@|@kanunneq, kanunngeq@
@drills an eye in it@|@ukippaa@
@drinks because of him or it@|@ermutigaa, erngutigaa@
@drinks coffee@|@kaffisorpoq@
@drinks wine@|@viinnisorpoq@
@dripping oil@|@ernaat, erngaat@
@drives@|@assorpoq@
@drops@|@nakkaavoq@
@drops it@|@nakkaavaa, sapangippaa, sapassippaa@
@drops of perspiration@|@kiagunngerit@
@drugstore@|@nakorsaataarniafik, nakorsaataarniarfik@
@drum@|@katuaq@
@drum stick@|@katuut, katu, pattaat@
@drums@|@katuarpoq@
@duet in music@|@marluuttarissat@
@dust@|@sanik@
@dwelling place@|@illoqarfik@
@eager to do it@|@kajumigaa@
@eagle@|@nattoralik@
@earlier@|@siornagut@
@earthenware dish@|@puugutaq marraasaq@
@earth-quake@|@nunap sajunnera@
@east@|@kangi@
@east Greeland@|@tunu@
@east wind@|@assarneq@
@Eastlander@|@pavanngarnisaq@
@Eater greatings@|@Påskisiorluarisi@
@eats (children's language)@|@mammarpoq@
@eats a piece of blubber@|@oqummerartorpoq@
@eats bivalves@|@uilortorpoq@
@eats for the first time@|@kaattorpoq@
@eats his own@|@namminertorpoq@
@eats it with a relish@|@mamarsarpoq@
@eats the blubber scraped off a  skin@|@mamitorpoq@
@eats the gut of a ptarmigan@|@orunitorpoq@
@eats traces@|@kigerpoq@
@ecclesiastical year@|@sapaatit kaajallannerat@
@economizes with it@|@peqqumaarpaa @
@edible seaweed@|@equut@
@educates him@|@perorsarpaa@
@egg@|@mannik@
@eggs on@|@peqqusaarpoq@
@eight@|@arfinek-pingasut@
@eighteen@|@atten (from 13 and on it's used Danish numbers)@
@eighty@|@firs (from 13 and on it's used Danish numbers)@
@eking@|@uiguneq@
@elbow@|@ikusik@
@elbow joint@|@perneq@
@elder sister or brother@|@aaqaaq (Upern)@
@eleven@|@aqqaneq@
@embroiders it@|@allapalaarpaa@
@embroidery@|@allaqqissaarpoq@
@emerges from the water@|@ippigarpoq@
@emetic@|@meriarnartoq, meriarsaat@
@en trance@|@paarsuaq@
@enables him to do something@|@piginnaanngorsarpaa@
@encouragement@|@kajumissaat@
@encourages him to something@|@kajumissaarpaa, kajumissarpaa@
@end@|@isu@
@end of harpoon shaft@|@papik@
@ends it@|@naggaserpaa@
@ends with it@|@naggatigaa@
@engaged couple@|@aappassiariit@
@English@|@tuluttut@
@enlivened.@|@eqiiallappoq@
@enters it (in writing)@|@allattorpaa@
@enters the door@|@appakaappoq@
@entertains himself with it@|@erineersaarutigaa@
@entirely@|@tamaq@
@entomostraca@|@kaassortuut@
@ermine@|@ukaliatsiaq@
@escapes@|@ajussisippoq@
@etc.)@|@nakkaallappoq, uullutigaa (uulippoq)@
@eternal@|@naassaanngilaq@
@European boots@|@kammit makkorpaluttut@
@even quite to the west there remained silent@|@alleq@
@even stretch@|@manerak (manippoq)@
@even thus (against expectation)@|@imaallaat, taamaallaat@
@even when they beat him@|@samungarsuaq allaat imaqanngilaq@
@every day@|@ullut tamaasa@
@everything possible@|@piit nalinginnaat@
@everywhere@|@tamaginni, tamani tamaani, tamatigut@
@evil smell@|@saluni@
@exaggerates@|@peqqartaappoq@
@example@|@missingiut@
@example (person or object)@|@maligassaq@
@excellent@|@palak@
@exchange them!@|@paarlallugit@
@exclamation of dismay@|@ajaa, aja, eqqanaq@
@exclamation of pain@|@na`aa, na`na`na@
@exclamation uttered in excitement@|@ta-ta-ta-ta--@
@exclamation when feeling cold@|@uuj,uuj, huj, huj@
@exclamation when suddenly touching something cold@|@ikkii@
@excrescence@|@manernaq (manippoq)@
@excuse me@|@utoqqatsissutigaa, patsit, utoqqatserpunga@
@excuses him@|@pasitsaalivaa@
@excuses himself@|@pasitsaalivoq@
@exerts himself with it@|@assoruutigaa@
@expects humbleness@|@manigorserpoq@
@explains it@|@nalunaajarpaa@
@explains something@|@nalunaajaaffigaa@
@explanation@|@nalunaajaat@
@extends his hand@|@assani manivai@
@extends it@|@ajuppaa, ajutoorpaa (S.G.)@
@extension@|@qaqeq@
@extinguisher@|@qamitsit@
@extinguishes it gradually@|@qamiterpaa, qatserpaa@
@extinguishes something@|@qassuppaa@
@extracts the marrow from it@|@paterpaa@
@extremely rarely@|@qaqutigorsuarujussuaq@
@eye-apple@|@takunnat@
@eyeball@|@tappiut@
@eyebrow.@|@qallu, qallu@
@eyesight@|@takku@
@facing@|@attoqut@
@fails@|@qammuppoq@
@faIse god@|@Guutipiluk, Guutiunngitsoq@
@falls backwards@|@issiallappoq@
@falls down@|@nakkarpoq, orluvoq@
@falls down gradually@|@nakkaalavoq, nakkalavoq@
@falls down on him or it@|@nakkarfigaa@
@falls down on his face before him worships him@|@pallorfigaa@
@falls down together with something else@|@uukkaapoq@
@falls down with him@|@uukkaappaa@
@falls down with something by several turns@|@uukkaasorpoq@
@falls forward@|@pangallappoq@
@falls forward and down from something@|@napakkarpoq@
@falls forward and turns a somersault@|@napasarpoq@
@falls into the water@|@ajaappoq@
@falls into the water with a splash@|@taqammorpoq@
@falls off in part or gradually@|@katagarpoq@
@falls through@|@nakkaappoq@
@falls upon his neck@|@qungasiagut eqippaa@
@false@|@ajorpoq@
@false teacher@|@ajoqersuinerluttoq@
@false teaching@|@ajoqersuinerluut@
@falsehood@|@sallu@
@family name@|@uigukumiaq, uiguloquttaq@
@fancy!@|@aali@
@farthest out to windward@|@assorleq@
@farthest to the right@|@talerpilleq@
@fascinating@|@takorannerpoq@
@fastens it with a peg@|@paappaa@
@fat lard@|@qaluneq@
@father@|@ataata@
@favourite expression@|@oqaaserissannaaq@
@fearing God@|@Guuti mianeralugu@
@fears him@|@merseraa@
@fears misfortune@|@eqqanaarpoq@
@fears not to be able to manage@|@sapiuppoq@
@feasts with them@|@qassimiuaartippai@
@feather-bed@|@qaaraa@
@feather stalks tied round the end of the sling which is let go@|@sapangissat@
@feels a movement in the pit of the stomach@|@qallupiaa aalavoq@
@feels a pain in his heart@|@ersarunnguvoq@
@feels anxiety@|@naalaaserluppoq@
@feels anxious about@|@kappiasuutigaa@
@feels deterred by him@|@ajangigaa@
@feels drawn towards him@|@kajungeraa@
@feels heart-sick@|@ukutserluppoq, ukutsilerivoq, ukutsileraaq@
@feels loathing@|@maajuppoq@
@feels loathing for it@|@maajugaa@
@feels revived@|@eqiiallappoq@
@feels sick@|@meriannguvoq, qaffatsikkiartorput, qaffiivoq@
@feels sick from having ea'ten too much blubber@|@orsunnguvoq, orsinnguvoq@
@feels the lack of him@|@ujariagaa@
@feels troubled@|@ippingiappoq, ippingiatorpoq@
@feels with his hand for it!@|@kaatorpaa@
@feigns@|@patsissarpoq@
@fern@|@uiffak@
@ferries him across@|@ikaappaa, ikaaruppaa@
@ferry@|@ikaartaat@
@ferryman@|@ikaassisoq, ikaassisartoq@
@fetches it@|@aavaa, piartorpaa@
@fetches it on the same occasion@|@aalliuppaa@
@fetches stones@|@ujarattarpoq@
@fetches water with both hands@|@illuttorluni imertarpoq@
@fiction@|@oqaluttualiaq@
@Fie!@|@uaa@
@fie! oh! ugh@|@ee, eeq@
@fifteen@|@femten (from 13 and on it's used Danish numbers)@
@fifty@|@halvtreds (from 13 and on it's used Danish numbers)@
@fifty one@|@enoghalvtreds (from 13 and on it's used Danish numbers)@
@fig@|@paarnarsuaq saaneqanngitsoq@
@fights with him@|@assoruuppaa, sakkuaaqatigaa@
@figure@|@allak@
@file@|@agiut@
@files@|@agiarpoq@
@files on it@|@agiarpaa@
@fills it@|@ulikkaarpaa@
@film over the eye@|@isip qaleruaa@
@finds@|@nanivaa@
@finds a crowd of sea mammals at a hole in the ice@|@sassivoq@
@finds eggs@|@mannissarpoq@
@finds him (or it) pretty to look at@|@takorannaraa@
@finds him or it reprovable@|@assuarnaraa@
@finds him or it stately@|@takummigaa@
@finds him or it ugly to look at@|@takussugaa@
@finds him unapproachable@|@talornaraa@
@finds himself hit@|@eqqortippoq@
@finds it troublesome@|@paamigaa@
@finds shelter@|@oqqioriartorpoq, oqqioriartorpoq, oqqikkiartorpoq@
@fine earth or snow strewn on something@|@saaq@
@finger@|@inuak@
@finger ring@|@assammiu@
@finger tip@|@maannak@
@finishes it@|@naammatsippaa@
@fiord@|@kangerliumaneq@
@fir stake@|@papilik@
@fir tree@|@orsuerneq@
@fire@|@ikuallanneq, ikuallattoorneq, inneq@
@fire engine@|@qatserut, qatserutit@
@Fire station@|@Qatserisarfik@
@fireman@|@qatserisoq@
@fires a canon@|@qamutilik imaarpaa@
@fire-steel@|@kasuttagaq@
@first catch@|@pernartaq@
@first growth@|@naaqqaarneq@
@fish@|@aalisagaq@
@fish hook@|@oqummersaq@
@fish tail@|@paperoq@
@Fisherman@|@Aalisartoq@
@fishes for sea scorpion@|@kanajorniarpoq, kaniorniarpoq@
