@Greenlandic@|@English@
@eqaluk kaatorlugu@|@trying to catch the salmon below a stone@
@eqalukaaq, eqalullukaaq@|@sea trout@
@eqalunniaq@|@salmon fisher@
@eqalunniarpoq@|@fishes salmon@
@eqalussuannguvoq@|@is ill from or "drunk" with shark's meat@
@eqalussuaq@|@Greenland shark @
@eqalussuarniarpoq@|@fishes sharks, is out shark fishing@
@eqalussuarniut@|@shark line@
@eqalussuarniutissarsivoq@|@buys something for a shark line@
@eqangaaluk@|@cross bill (Loxia)@
@eqaraa@|@has difficulty in doing, learning it@
@eqarpoq@|@is stiff, has difficulty in bending@
@eqartaaruppoq, eqartangerpoq@|@has lost the grain, is worn@
@eqartagersimasoq@|@decoloured skin, white skin@
@eqarti@|@grain side@
@eqartilik@|@water-tight skin@
@eqeerpoq@|@has awakened@
@eqeersaasoq@|@alarm clock@
@eqeersaatissaq@|@something to keep one awake, stimulant@
@eqeersarneq@|@Metaphorically: awakening@
@eqeersarpaa@|@rouses him@
@eqeersoorpoq@|@lies awake, cannot sleep@
@eqeq, eqi@|@corner of the mouth@
@eqeqqoq@|@the little finger, the little toe.@
@eqeripput@|@they crowd together@
@eqertooq@|@hamster@
@eqia@|@corner of his mouth@
@eqiagaa, eqeersaatissaq, eqianarpoq, eqeersoorpoq@|@cannot be bothered, thinks it dull@
@eqiannivoq@|@slack@
@eqiasuippoq@|@is willing@
@eqiasuppaluk@|@sloth (Bradypus)@
@eqiasuppoq@|@does not feel inclined@
@eqiattarpoq@|@remiss@
@eqiattartuvoq, eqiattortuvoq@|@is lazy@
@eqiiallappoq@|@feels revived, enlivened.@
@eqiingavoq@|@is awake, alert@
@eqik@|@inlet, creek@
@eqimapput@|@they lie in a heap@
@eqimattat@|@crowd@
@eqinganeq@|@wrinkle@
@eqingavoq@|@is wrinkled@
@eqippaa, eqippoq@|@compresses it@
@eqippoq@|@is tired of being unemployed@
@eqisarpoq@|@cramps@
@eqisimaarput@|@they walk arm in arm@
@eqisimiarpaa@|@grasps it@
@eqisimissat, eqisimiannguit@|@handful@
@eqissuppoq, eqiattarpoq@|@thinks that he has nothing to do@
@eqiterpaa@|@compresses it@
@eqiterut@|@glove to scrape caplin with@
@eqiterutit@|@rake@
@eqiterutit assaasaat@|@the teeth of the rake@
@eqitsit@|@brief summary@
@eqittagaq@|@trigger@
@eqivoq@|@shrinks (about material)@
@eqorpaa (iteq)@|@wipes his posterior@
@eqorpoq@|@wipes himself@
@eqqaamannissuseq@|@memory@
@eqqaamavaa@|@bears it in mind@
@eqqaamiu@|@neighbour@
@eqqaamiut@|@the people of the neighbourhood@
@eqqaani@|@in the neighbourhood of it@
@eqqaappaa@|@shoots at it@
@eqqaasassaq, eqqaaniagassaq@|@something which should be remembered@
@eqqaasiorpaa@|@lives in the neighbourhood of it@
@eqqaasippaa@|@reminds him of @
@eqqaasissutigaa@|@reminds someone of it@
@eqqaassutissaq, eqqaaniutissaq@|@remembrance@
@eqqaasutigaa, eqqaaniutigaa@|@remembers by means of it@
@eqqaavaa@|@remembers it@
@eqqaavoq@|@bears in mind@
@eqqagaa@|@is anxious to get it@
@eqqaluk@|@a species of crayfish@
@eqqanaarnarpoq@|@is threatening@
@eqqanaarpaa@|@puts it in a safe place@
@eqqanaarpoq@|@fears misfortune@
@eqqanaarsarpoq@|@provides himself@
@eqqanaq@|@exclamation of dismay@
@eqqanaraluttuaq@|@it looks bad!, Just my luck!@
@eqqanarpoq@|@it looks threatening@
@eqqannguatsinni@|@quite close to us@
@eqqaq@|@surroundings@
@eqqarleq@|@relative@
@eqqarleraa@|@is related to him@
@eqqarleriipput@|@they are related to each other@
@eqqarlimaarpaa@|@mentions him as his relative@
@eqqarlimaarut@|@gift for the sake of relationship@
@eqqarpai (igippaa)@|@thrusts them from him@
@eqqarpalupput@|@several shots are heard@
@eqqarsaat@|@thought@
@eqqarsaatigaa@|@considers it@
@eqqarsarpoq@|@meditates on @
@eqqartorpaa@|@mentions him or it@
@eqqartuuppaa@|@reminds him of something@
@eqqartuupput@|@they settle a matter between them@
@eqqartuussisoq@|@judge@
@eqqartuussissut@|@law suit@
@eqqartuussit@|@legal provision@
@eqqartuussivik@|@court of justice@
@eqqartuussut@|@sentence@
@eqqartuuteqatigiipput@|@they upbraid each other@
@eqqartuutiffissarput nalliukkumaarpoq@|@the day will come when we are to be brought to judgment@
@eqqartuutippaa@|@has him sentenced@
@eqqartuutippoq@|@goes to trial@
@eqqasuppoq@|@is anxious@
@eqqasuutigaa@|@is anxious for it@
@eqqatsinni@|@in our neighbourhood@
@eqqeq@|@louse egg@
@eqqiarpaa@|@cleans it@
@eqqiluippoq@|@is cleanly@
@eqqiluisaarneq@|@hygiene@
@eqqippoq@|@is clean@
@eqqippoq (ippoq)@|@has peace@
@eqqisiveqatigaa@|@has peace with him@
@eqqisivissioqatigaa@|@concludes peace with him@
@eqqissineq, eqqississuseq@|@peace@
@eqqissisarpaa@|@tries to bring him peace@
@eqqissisippaa@|@gives him peace@
@eqqississutigaa@|@has peace through him or it@
@eqqissivigaa@|@has peace with or through@
@eqqissivissaqanngilaq@|@has no peace@
@eqqissivissioqatigiipput@|@they conclude peace with each other@
@eqqissivoq@|@has peace@
@eqqiveqatigiipput@|@they live at peace with each other@
@eqqoq, eqquk (iteq)@|@posteriors@
@eqqoqutaa@|@something sitting on its hinder part@
@eqqoqutit@|@with four hooks@
@eqqoriarniaannarpaa@|@guesses it@
@eqqoriarniuppaa@|@lays a wager against him@
@eqqoriarniupput@|@they lay wagers against each other@
@eqqoriarniutigaa@|@lays a wager about it@
@eqqoriarpaa@|@tries to hit it.@
@eqqoriniarpoq@|@guesses@
@eqqormipput@|@they turn their hinder parts against each other@
@eqqornaveeqqut@|@shield@
@eqqorneqaat@|@a sure hit@
@eqqorpaa@|@hits him or it@
@eqqorpoq@|@corret@
@eqqorsimasumik@|@to the point@
@eqqortippoq@|@finds himself hit@
@eqquiniut@|@wager@
@eqqumaniarpoq, eqeersarneq@|@keeps awake@
@eqqumavaa@|@pulls it with him under the water@
@eqqumavoq@|@lies wide awake@
@eqqumiigaa@|@considers it peculiar@
@eqqumiippoq@|@is peculiar.@
@eqqumiitsuliaq@|@work of art@
@eqqumiitsuliorneq@|@art@
@eqqumiitsuliortoq@|@artist@
@eqquppaa (iserpoq)@|@brings it in@
@eqqusaq@|@sea urchin (Echinus)@
@eqqussorpai@|@carries them in@
@eqquuppaa@|@hits with it@
@eqquuppoq@|@is fulfilled@
@eqquussimaarpoq@|@is at his ease@
@eqquutippaa@|@lets it happen@
@equngasumik qanilik@|@has a crooked mouth@
@equngavoq@|@distorted@
@equsaartippaa@|@distorts it@
@equsaavaq, eqisaavaq@|@larva of mosquito@
@equut@|@edible seaweed@
@equutissaq@|@toilete paper@
@equvoq@|@becomes crooked@
@erfalasoq@|@flag, banner@
@erfalavoq@|@flutters in the wind@
@erfaq (erippaa)@|@coat or water-tight skin@
@erfarpoq@|@rises (into the air)@
@erfivaa@|@makes a coat of water-tight skin for him@
@erfivoq@|@makes a coat of water-tight skin@
@eriagaa@|@protects it@
@eriiniorpaa@|@composes a tune for it@
@eriiniugaq@|@song@
@eriinniortoq@|@composer@
@erinaa@|@his voice@
@erinaa atorpaa@|@sings the tune@
@erinaa nalunngilara@|@I know the tune@
@erinaa qapiarpaa@|@sings falsely@
@erinaagut ilisaraara@|@I know him by his voice@
@erinagippoq@|@has a good voice@
@erinagissiartorpoq@|@his voice is changing@
@erinaq, erinak@|@voice, tone@
@erinaqarpoq@|@can sing@
@erinarlersuutigaa@|@celebrates him or it in song@
@erinarluppoq@|@has a bad voice@
@erinarsoqattaarneq@|@choral singing@
@erinarsoqattaarput@|@they sing in chorus@
@erinarsorpoq@|@sings@
@erinarsortitsisoq@|@singing teacher@
@erinarsuut@|@ditty@
@erinarsuutigaa@|@celebrates him or it in song@
@erineersaarpoq@|@tries to shorten the waiting time@
@erineersaarutigaa@|@entertains himself with it@
@erinigaa@|@waits for him or it impatiently@
@erininarpoq@|@it lasts so long@
@erininassusia@|@what a long time it (or he) takes!@
@erinitsaappaa@|@longs violently for him@
@erinitsajuippoq@|@is patient.@
@erinitsappoq@|@is tired of waiting@
@eriniusaarpoq@|@is bored@
@erinivoq@|@is impatient@
@erinnerpoq@|@sings@
@erinnersaarpoq@|@celebrates in singing@
@erinnersaarutigaa@|@celebrates him or it in singing@
@erinnersaarutissiat@|@intonation ritual@
@erinniaq@|@tune@
@erinniorpoq@|@composes@
@erippaa@|@plucks hairs and feathers out of it@
@erisaaq@|@water-tight skin@
@erisassivaa@|@makes water-tight skin for him@
@erisassivoq@|@makes a water-tight skin@
@eritaq, erittagaq@|@skin from which hairs and feathers have been plucked in spots@
@eritsakut, eritsarlukut@|@pluckedout hairs or feathers@
@erlaarpoq@|@splinters@
@erlaq@|@splinter@
@erlaveerpaa@|@takes out his or its bowels@
@erlavii@|@his or its bowels@
@erlavik@|@bowels@
@erlavimmiu@|@intestinal worm@
@erlerpaa@|@spreads the flame @
@erlerpoq@|@spreads@
@erligaa, erleraa@|@is stingy with it@
@erliguuppaa@|@is stingy towards him@
@erlikkeerpoq@|@sacrifices himself@
@erlinnarpoq, erlernarpoq@|@is precious@
@erlippak@|@molar@
@erlippoq@|@chary@
@erlitooq@|@miser.@
@erloq (iteq)@|@rectum@
@erloqinarpoq@|@is troublesome@
@erloqissutigaa@|@is vexed@
@erloqivoq@|@is disturbed@
@erloqqunnarpoq@|@is troublesome@
@erloqquppaa@|@troubles himself about it@
@erloqqutigaa@|@has trouble about it@
@ermalisaq@|@kayak skin @
@ermiaq, ermiugaq@|@reservoir@
@ermiffik@|@wash basin@
@ermippaa@|@washes him@
@ermippoq (imeq)@|@washes himself@
@ermiut@|@dish clout@
@ermuseq, ernguseq@|@bottle@
@ermutigaa, erngutigaa@|@drinks because of him or it@
@ernaaserfik, erngaasivik@|@slop basin@
@ernaat, erngaat@|@dripping oil@
@ernaataasaq@|@treacle@
@ernannak, ernannaq@|@harpoon shaft@
@ernarpoq, erngarpoq@|@runs over@
@erneq@|@son@
@ernerlugu oqaluuppara@|@I spoke to him at once@
@ernerluinnarluni@|@at once@
@ernerlunga aallassaanga@|@I must go at once@
@ernerluni iserpoq@|@he came in at once@
@ernerpoq@|@does it at once@
@ernersiaq@|@foster-son@
@ernertaappaa@|@bears him a son@
@ernertaaraa@|@begets him@
@ernertaarpoq@|@gets a son@
@ernertuvoq@|@has a broad handle @
@erngaluttut@|@uvdloríssat erngalugtut@
@erniagaluarpoq@|@bear prematurely@
@erniaq@|@interest@
@erniaraa@|@gives birth to him or it@
@ernigaluaat@|@miscarriage@
@erniinnaq@|@at once@
@erniinnarluinnaq@|@presently@
@ernineq@|@an animal that has given birth  young@
@erninerluppoq@|@bears prematurely@
@ernioqqippoq@|@is reborn@
@erniorpoq@|@brings forth young@
@ernisoq@|@lying-in woman@
@ernissaq@|@stepson@
@ernissussiut@|@means to further delivery@
@ernisuippoq@|@is sterile@
@ernisuppoq@|@is in travail@
@ernisussiorpoq@|@is midwife@
@ernisussiortoq@|@midwife@
@ernitsorluppoq@|@has difficulty in being delivered@
@erniuvoq@|@is born@
@ernivoq@|@has given birth to@
@ernumanarpoq@|@it causes trouble or anxiety@
@ernumassutigaa@|@is anxious for that reason@
@ernumatsappoq@|@is seriously troubled@
@ernumavaa@|@is anxious about it@
@ernumavoq@|@is anxious@
@ernutaq@|@grandchild@
@ernutaqqiut@|@great-grandchiId@
@errorpaa@|@washes it@
@errorsisartoq@|@washer woman@
@errorsivik@|@wash tub@
@errortat eqipput@|@the washing has shrunk@
@errortorfik@|@basin@
@errortoriaq@|@manifolds (of ruminants)@
@errortorpaa@|@rinses it@
@errukkat, errortat@|@washing@
@erruppaa (iserpoq)@|@comes in to it@
@ersaappoq@|@his jaw is out of joint@
@ersaarpaa@|@boxes his ears@
@ersaat@|@scraper @
@ersalippoq@|@is rough@
@ersangavoq@|@speaks dialect@
@ersappoq@|@shows his teeth@
@ersaq@|@gill-cover@
@ersaqut@|@whiskers@
@ersarissarpaa@|@claps his cheek@
@ersaroq@|@pit of the stomach@
@ersaroqut@|@white spot on the. breast of a dog@
@ersarunnguvoq@|@feels a pain in his heart@
@ersarunnguvunga@|@I felt a stich in my side@
@ersaruserpaa@|@ties it round the muzzle @
@ersarut@|@Metaphorically@
@erseqqarippoq@|@is quite clear@
@erseqqippoq, ersarippoq@|@is clearly visible@
@erserpaa@|@gets sight of it@
@erserpoq@|@becomes visible@
@ersersaat@|@developer@
@ersersarpaa@|@develops it @
@ersigaa@|@is afraid@
@ersik@|@shoulder@
@ersinarpoq@|@is dreadful@
@ersiorpoq@|@is timid@
@ersippoq@|@recognizable@
@ersisaarpaa@|@makes him afraid@
@ersisaarut@|@threat@
@ersiut@|@vowel@
@ersiutaatsoq, erseriutileeriaq@|@consonnant@
@ersivoq@|@terrified@
@ersorpaa (erippaa)@|@prepares it @
@ersorsisoq@|@preparer of skins@
@ersorsit, ersorsisissaq@|@stone to prepare skins with@
@ersortaq@|@prepared skin@
@ersukkerpoq@|@takes something on his shoulder@
@ersulleraappoq@|@plays at hide-and-seek@
@ersuppaa@|@carries it@
@ersuppoq (ersik)@|@carries (on the shoulder)@
@ersuut, ersuttaat@|@carrying pole@
@eruippoq@|@is water-soaked @
@et hundrede (from 13 and on it's used Danish numbers)@|@one hundred@
@et hundrede og en (from 13 and on it's used Danish numbers)@|@one hundted and one@
@et tusinde (from 13 and on it's used Danish numbers)@|@one thousend@
@femten (from 13 and on it's used Danish numbers)@|@fifteen@
@firs (from 13 and on it's used Danish numbers)@|@eighty@
@fjorten (from 13 and on it's used Danish numbers)@|@fourteen@
@franskisut@|@French@
@fyrre (from 13 and on it's used Danish numbers)@|@fourty@
@gassi@|@gas@
@guuti@|@God@
@Guuti illersortigaara@|@God is my protector@
@Guuti mianeralugu@|@fearing God@
@Guuti upperfigigatsigu@|@because we believe in God@
@Guutigaa@|@has him as his God@
@Guutigaakkit@|@you are my God@
@Guutigisaq@|@a faIse god@
@Guutiliaq@|@idol@
@Guutimik nalusoq@|@heathen@
@Guutimut upperpunga@|@I believe in god@
@Guutip atoqqusai naammagaakka@|@I am satisfied with what God ordains for me@
@Guutip eqqartuussinera@|@God's judgment@
@Guutip nalusaqanngissusia@|@the omniscience of God@
@Guutip qaaqqusinera@|@the call of God@
@Guutip saammaanera@|@the grace of God@
@Guutip uppertai@|@God's believers@
@Guutipiluit suungillat@|@idols are of no importance@
@Guutipiluk, Guutiunngitsoq@|@faIse god, idol@
@Guutipilussiorpoq@|@practises idolatry@
@Guutipilussiortoq@|@idolator@
@Guutisiorneq@|@religion@
@Guutiunngitsunik Guutigisaqarpusi@|@the gods you have are faIse gods@
@halvfems (from 13 and on it's used Danish numbers)@|@ninety@
@halvfjerds (from 13 and on it's used Danish numbers)@|@seventy@
@halvtreds (from 13 and on it's used Danish numbers)@|@fifty@
@heliportmittarfik@|@heliport@
@hoteli@|@hotel@
@hotelimi@|@no hotel@
@ia@|@well! I see!@
@iaa, iaa, ii-aa@|@hallo!, here goes!@
@iaarnarpoq, iaaminarpoq@|@is overwhelming@
@iaatsiaarput, jaajatsiaarput@|@they play rounders@
@iangavoq@|@is indefinable@
@iasilaarpoq@|@is anxious about something@
@iasilat, iasilarattuaq@|@oh that looks bad!@
@iatappoq@|@yields up his opinion@
@iffiaq@|@bread@
@iga@|@cooking pot@
@iga marragaq@|@a glazed pot@
@iga naleqqiuppaa@|@puts the pot over the fire@
@igaaq@|@food (which is boiled)@
@igaarsunnippoq@|@it smells of food@
@igalaaliorpoq@|@makes glass windows@
@igalaamineq@|@glass (as material), pane@
@igalaamut agguut@|@glazier's diamond@
@igalaap saagua@|@curtain.@
@igalaaq@|@window@
@igalaartaa@|@the glass in it@
@igalaasaq, siutip, igalaasaa@|@tympanic membrane@
@igalaassiaq@|@pane@
@igalaat aallerput@|@the windows are dim@
@igalasserpaa@|@puts a window into it@
@igalassiorpoq@|@sews a window (of gutskin)@
@igaleq@|@kitchen@
@igalilik@|@cooking-pot goblin @
@igaq ikkullugu@|@set the pot over the fire@
@igasoq@|@cook@
@igavaa@|@boils it@
@igavoq@|@boils, cooks food@
@igerpallappoq@|@a shot is heard@
@igg@|@poor little dear!@
@iggaserpoq@|@puts the pot on the fire@
@iggavik, igaffik@|@kitchen range@
@iggiaq@|@throat, gullet@
@iggiaqanngilaq@|@melts (blubber, snow, ice)@
@iggiinngarpoq@|@becomes hoarse@
@iggorarsunnguaq-una@|@poor thing!@
@igiingavoq, iggeeruppoq, iggiaqanngilaq@|@is hoarse@
@igileq@|@scar (on seal skin from eruptions)@
@igimaaq@|@iron head (on a bladder arrow)@
@igimaq, igalaasaq, siutip@|@the loose piece of bone between the shaft and the head of the harpoon@
@igineq@|@blubber which has become@
@iginnerut@|@stock of such blubber@
@igippaa, iigarpoq@|@throws it away from him@
@igippoq@|@has been thrown away, shoots@
@igitassaangilaq issiavik iigarfilik@|@is worth something@
@igitassaannaavoq@|@is valueless@
@igitassaavoq@|@is to be thrown away@
@igitsit@|@throwing implement@
@igiulavoq@|@is melting (blubber).@
@igunaq@|@whaleskin laid by @
@igunarnippoq@|@smells of having been laid by@
@igunarsiivoq@|@puts something by so as to make it rot@
@iguppaa@|@stings him (an insect)@
@igutsak@|@humblebee@
@iguut@|@sting@
@iguutilik@|@wasp@
@ii@|@why@
@iigaq@|@wall covering, wainscot@
@iigarfik, iigartarfik@|@support for the back@
@iigarpoq@|@leans, inclines@
@iigartippaa@|@leans it against it@
@iikkerpaa, iikkersorpaa@|@covers it (the wall), wainscots it@
@iisaqaraangami saamallaaraaq@|@when he has got something to eat@
@ika@|@there in the north@
@ikaappaa, ikaaruppaa@|@ferries him across@
@ikaapput@|@they form shoals (fishes)@
@ikaaq, pl. ikaat@|@scaffold@
@ikaararput@|@crosses one after the other@
@ikaariaq@|@place of crossing@
@ikaarpaa@|@crosses it@
@ikaarpoq@|@crosses @
@ikaarsaarpoq@|@pushes off from the shore @
@ikaartaat@|@ferry@
@ikaartarfik@|@bridge@
@ikaartilluta sermitsiaq qapittarpoq@|@when we crossed the fiord@
@ikaartippaa@|@lets him cross to the other side@
@ikaartiterisoq@|@weaver@
@ikaartiterivik@|@loom@
@ikaartiterivoq@|@weaves@
@ikaartiterpaa@|@carries it gradually right across@
@ikaartitigaq@|@woven@
@ikaaruserpaa@|@provides it with a cross piece@
@ikaarut@|@top stone@
@ikaassaaq@|@furcula@
@ikaassisoq, ikaassisartoq@|@ferryman@
@ikani@|@over there@
@ikaniippoq@|@is there@
@ikannga@|@from over there@
@ikanngarpoq@|@blows from there@
@ikapput@|@they gambol@
@ikaquteqarami maniippoq@|@it is uneven@
@ikasaanngilaq@|@does not joke with serious matters@
@ikatuvoq@|@is gay@
@ikeq@|@sound@
@ikerasaa missiliorparput@|@we kept in the middle of the sound@
@ikerasak@|@sound@
@ikerasaliaq@|@channel@
@ikernuk@|@shoe@
@ikernusserpaa@|@provides it (the stock-ing) with a sole@
@ikerpasippoq, ikerparpoq@|@is about the middle of the sound@
@ikerpasissukkut ingerlapput@|@they passed through the middle of the fjord@
@ikersiorpoq, ikerinnarsiorpoq@|@keeps off the shore@
@ikersippaa@|@opens it ajar @
@ikersissimavoq@|@is ajar@
@ikertuvoq@|@is broad to cross@
@iki@|@wound@
@ikia@|@his wound@
@ikiagaq@|@split-up wood@
@ikiagoorpoq, ikiaroorpoq@|@shines through the clouds @
@ikialavoq@|@splits easily@
@ikialitsissimavoq@|@is dropsical@
@ikiaq@|@interval@
@ikiaqut@|@something that is placed in the interval@
@ikiaqutissiaq@|@something to form a layer between@
@ikiaraara@|@I wear it below my fur jacket@
@ikiaroorpoq@|@shines through the water@
@ikiarpaa@|@splits it@
@ikiarsivoq@|@is absent@
@ikiarut@|@between decks@
@ikigai@|@considers them few@
@ikikippoq@|@is narrow to cross@
@ikikkarpaa, ikikkartippaa@|@burns it@
@ikilerpaa@|@wounds him@
@ikilersimasut@|@the wounded@
@ikillipput, ikilipput@|@become fewer@
@ikillivai, ikilivai, ikillisippai, ikillisarpai@|@makes them fewer@
@ikinaarpai@|@takes or makes too few of them@
@ikineq@|@blasted land@
@ikinngut@|@comrade@
@ikinngutigaa@|@has him as a friend@
@ikinngutigaarput@|@he is our friend@
@ikinngutigiinneq@|@friendship@
@ikinngutigiipput@|@they are friends@
@ikinngutillerpaa@|@treats him as a friend@
@ikinngutimaarpaa@|@gives him something for the sake of friendship@
@ikinngutinnerfigaa@|@is friendly towards him@
@ikinngutinnerpoq@|@shows friendship@
@ikinngutinnersumik@|@please@
@ikioqqarpai, issorarpai@|@puts it into @
@ikiorpaa@|@helps him@
@ikiorserpaa@|@gives him a hand@
@ikiorsiisigaa@|@is helped by him@
@ikiorti@|@helper@
@ikiortiga@|@my helper@
@ikiortigaa@|@has him as a helper@
@ikiortigiipput@|@they help each other@
@ikiortissannik eqqasoqaanga@|@I greatly feel the lack of someone who may help me@
@ikiortissaqanngilatit@|@you have no one to help you@
@ikippaa@|@sets fire to it@
@ikippoq@|@is lighted@
@ikipput@|@they are few.@
@ikisivik, issivik@|@reservoir@
@ikitsit@|@match@
@ikitsivoq@|@lights the lamp@
@ikittunnguit@|@quite few@
@ikiuigajuppoq@|@is helpful@
@Ikiulaannga@|@Please help me@
@ikiunnga!, ikiortissannik!@|@help!@
@ikiuuppoq@|@assists@
@ikivaa@|@puts it into@
@ikivoq@|@smokes@
@ikka@|@Over there!@
@ikkalivoq@|@becomes more shallow @
@ikkanniiarpaa, ikkanneriarpaa@|@dredges it@
@ikkappoq@|@is shallow (water)@
@ikkaraa@|@has a ticklish sensation in it eye@
@ikkarlippoq@|@runs against a rock@
@ikkarlisaarpoq@|@passes over a rock@
@ikkarluk@|@skerry@
@ikkarnarpoq@|@it tickles @
@ikkatigaa@|@frolics with it@
@ikkattoq, ikkanneq@|@shallow water@
@ikkeernarpoq@|@is cold@
@ikkeq@|@redwood @
@ikkii@|@exclamation when suddenly touching something cold@
