@English@|@Macedonian@
@advisable@|@pogoden, prepora~liv, prikladen, umen (poteg)@
@advise@|@dava sovet, izvestuva, opomenuva, prepora~uva, se posovetuva, sovetuva@
@advisedly@|@namerno, promisleno, svesno@
@adviser@|@sovetnik@
@advisory@|@sovetodaven@
@advocacy@|@advokatura, odbrana, posreduvawe, zastapuvawe (na sud)@
@advocate@|@advokat, zastapnik@
@advocate (v)@|@brani, poddr`uva, se zazema za, zastapuva@
@adze@|@skepar@
@Aegean@|@egejski@
@aegis@|@pokrovitelstvo, za{tita@
@aeon@|@eon, ve~nost@
@aerate@|@gazira, produvuva, provetruva@
@aeration@|@gazirawe, provetruvawe@
@aerial@|@atmosferski, eteri~en, nestvaren, vozdu{en@
@aerial (n)@|@antena@
@aerial view@|@pogled odozgora@
@aerie aery@|@orlovo gnezdo@
@aerodrome@|@aerodrom@
@aeronaut@|@aeronaut, avijati~ar@
@aeronautical@|@aeronauti~ki@
@aeronautics@|@aeronautika, avijati~arstvo@
@aeroplane@|@aeroplan, avion@
@aesthete@|@estet@
@aesthetic@|@estetski@
@aesthetics@|@estetika@
@aether@|@eter@
@aethereal@|@eteri~en, nestvaren, voznemiren (fig)@
@afar@|@daleku, oddale~eno@
@afar off@|@daleku odovde@
@affability@|@qubeznost, umilnost@
@affable@|@mil, qubezen, umilen@
@affair@|@afera, delovni zdelki (mno`), rabota, sudir@
@affair of honour@|@dvoboj@
@affect@|@afektira, deluva vrz, naga|a, poga|a, se preprava, vlijae@
@affect (n)@|@afekti@
@affectation@|@afektirawe, izve{ta~enost, prepravawe@
@affected@|@izve{ta~en, nepriroden, trognat, usilen@
@affecting@|@trogliv@
@affection@|@naklonost, privrzanost, qubov, sklonost, vospalenie (na grloto)@
@affectionate@|@ne`en, predan, qubezen, srde~en@
@Affectionately yours@|@So naklonost, Tvoj veren@
@affidavit@|@afidavit, izjava pod zakletva@
@affiliate@|@pripojuva (kon), se zdru`uva@
@affiliation@|@afilijacija, prijatelski vrski, pripojuvawe@
@affinity@|@afinitet, privrzanost, simpatija, sklonost, srodnost, srodstvo@
@affirm@|@posvedo~uva, potpi{uva, potvrduva, svedo~i, tvrdi@
@affirmation@|@izjava, izkaz, potvrduvawe, svedo~ewe, tvrdewe@
@affirmative@|@potvrden@
@affirmative (n)@|@potvrden odgovor (da)@
@affix@|@dopi{uva, pricvrstuva, pridodava, priklu~uva (potpis), prilepuva (marka)@
@affix (n)@|@afiks@
@afflict@|@ma~i, pri~inuva bol, rasta`uva, raz`alostuva@
@affliction@|@`al, bol, nesre}a, poti{tenost@
@affluence@|@bogatstvo, obilie@
@affluent (n)@|@pritoka@
@afford@|@ima sredstva za, si dopu{ta, si dozvoluva@
@afforest@|@po{umuva@
@afforestation@|@po{umuvawe@
@affray@|@kavga, navalica, tepa~ka@
@affricate@|@afrikat@
@affront@|@nagrduva, navreduva, se sprotivstavuva@
@affront (n)@|@nagrduvawe, navreduvawe@
@affronted@|@navreden@
@affrontedly@|@so navreda@
@affrontedness@|@navredenost@
@Afghan@|@Avganistanec, Avganistanka, avganistanski@
@afield@|@daleku, nadvor@
@afire@|@vo ogan, zapalen@
@aflame@|@rasplamten, vo plamen@
@afloat@|@{to leta na voda, {to plovi, {to se {iri (glas), {to se odr`uva nekako@
@afoot@|@gotov (da stori ne{to), vo dvi`ewe@
@aforementioned@|@gorespomnat@
@aforesaid@|@gorespomnat@
@aforethought@|@so predmisla@
@afraid@|@prestra{en, upla{en, zapla{en@
@afresh@|@odnovo, pak, u{te edna{@
@African@|@Afrikanec, Afrikanka, afrikanski@
@Afrikaans@|@afrikanski (jazik)@
@Afrikaner@|@Afrikaner@
@aft@|@na krmata (na brodot), nazad@
@after@|@iden, otkako, po, podocna, podocne`en, posle, posle, potoa, sleden, sprema, za, zad, zaden@
@after all@|@me|utoa, najposle, sepak@
@after hours@|@posle rabotno vreme@
@after n (pl)@|@blago (po jadewe)@
@after one's heart@|@{to mu odgovara, kako {to saka@
@after sb@|@sprema nekogo, vo stilot na@
@after this fashion@|@na ovoj na~in@
@after you@|@posle vas, povelete@
@afterbirth@|@placenta, postelka@
@aftercrop@|@vtora `etva@
@aftereffect@|@posledica@
@afterglow@|@blesok na zajdisonce@
@afterlife@|@zadgroben `ivot@
@afternoon@|@popladne@
@afternoons@|@popladen, sekoe popladne@
@afterthought@|@posledna misla@
@afterward@|@podocna, pokasno, potoa@
@afteryears@|@idnina@
@again@|@me|utoa, no, od druga strana, pak, povtorno, u{te, u{te edna@
@again and again@|@bez prestanuvawe, postojano@
@against@|@do, kon, nasproti, pokraj, protiv@
@against this background@|@vrz ovoj fon@
@agape@|@{iroko otvoren, zinat@
@age@|@era, godini, polnoletstvo, vek, vozrast, vreme@
@age (v)@|@ostaruva, sozreva (vino sirewe), zree@
@age group@|@generacija@
@age limit@|@starosna granica@
@age of consent@|@polnoletstvo@
@aged@|@mnogu star, vo dlaboka starost@
@ageless@|@bezvremenski, ve~en@
@agelessness@|@bezvremenost, ve~nost@
@agency@|@agencija, deluvawe, posredni{tvo@
@agenda@|@dneven red@
@agent@|@agent, posrednik, pretstavnik trgovski, pri~initel@
@agglomerate@|@aglomerat, nasobran, natrupan, natrupani raboti@
@agglomerate (v)@|@nasobira, se natrupuva@
@agglomeration@|@kup, Masa, natrupuvawe@
@agglutinate@|@prilepuva, soedinuva, zalepuva@
@agglutination@|@soedinuvawe, zalepuvawe@
@agglutinative@|@aglutinativen (jazik), koj {to prilepuva@
@aggrandize@|@vozvi{uva, zgolemuva@
@aggrandizement@|@preteruvawe, vozvi{uvawe@
@aggravate@|@nalutuva, vlo{uva, zaostruva@
@aggravated assault@|@te{ka telesna povreda@
@aggravation@|@vlo{uvawe, zaostruvawe@
@aggregate@|@nasobran, soedinet, vkupen@
@aggregate (n)@|@agregat, celina, mno`estvo@
@aggregate (v)@|@se nasobira, soedinuva (so)@
@aggregation@|@kup, mno`estvo, sobir@
@aggression@|@agresija, napad@
@aggressive@|@agresiven, napa|a~ki@
@aggressiveness@|@agresivnost@
@aggressor@|@agresor, napa|a~@
@aggrieve@|@napakosti, raz`ali@
@aggrieved@|@navreden, o{teten@
@aggrievedly@|@navredeno@
@aggrievedness@|@navredenost, o{tetenost@
@aghast@|@prestra{en, v~udoviden, zbunet@
@agile@|@agilen, prgav@
@agility@|@agilnost, prgavost@
@aging@|@sozrevawe (na vino), stareewe, zreewe@
@agitate@|@agitira, klacka, potresuva, razbranuva (more), razdvi`uva (te~nost), vozbuduva, voznemiruva@
@agitation@|@agitacija, agitirawe, razdvi`uvawe (na te~nost), voznemiruvawe@
@agitator@|@agitator@
@aglow@|@vozbuden, za`aren, zarumen@
@agnail@|@podnoktica@
@agnostic@|@agnostik@
@agnosticism@|@agnosticizam@
@ago@|@porano@
@agog@|@vo napnato o~ekuvawe@
@agonise@|@ma~i, se bori so smrtta, se izma~uva@
@agonising@|@bolen, ma~en, o~ajni~ki, pretsmrten@
@agony@|@agonija, ma~ewe, patewe@
@agrarian@|@agraren@
@agree@|@prifa}a, se dogovara, se obvrzuva, se slo`uva, se soglasuva, usoglasuva (smetki predlozi)@
@agreeable@|@soglasen@
@agreeably@|@prijatno@
@agreement@|@dogovor, soglasuvawe (vo gramatika), spogodba@
@agricultural@|@agraren, zemjodelski@
@agriculturalist@|@agrar, zemjodelec@
@agriculture@|@agrarstvo, zemjodelstvo@
@agronomist@|@agronom@
@agronomy@|@agronomija@
@aground@|@nasukan@
@ague@|@treska@
@ah@|@oh!@
@aha@|@aha@
@ahead@|@na ~elo, Napred, odnapred@
@ahoy@|@ej!@
@aid@|@olesnuva, pomaga, potpomaga@
@aid (n)@|@pari~na pomo{, pomo{, potpomagawe, potpora@
@aid (pl)@|@pomagala@
@aid and abet@|@pomaga vo nedelo@
@aide@|@pomo{nik@
@aids@|@sida@
@ail@|@boleduva, boli, ma~i@
@ailing@|@bole{liv, nemo{liv@
@ailment@|@neraspolo`enie@
@aim@|@cel, namera@
@aim (v)@|@celi, ni{ani (kon), te`i@
@aimless@|@bescelen@
@air@|@arija, dr`ewe, izgled, izraz, melodija, pesna, vetrec, vozduh, zdiv@
@air (pl)@|@izve{ta~enost, prepravawe@
@air (v)@|@nametlivo iznesuva (mislewe), poka`uva (znaewe), provetruva, su{i, ventilira@
@air connu (fr)@|@poznat pogled, stara prikazna@
@air pocket@|@vozdu{na dupka@
@air raid@|@vozdu{en napad@
@airbase@|@vozdu{na baza@
@airbladder@|@vozdu{en meur@
@airborne@|@avionski@
@airconditioned@|@so klima ured@
@airconditioning@|@klima ured@
@aircraft@|@avion@
@aircushion@|@perni~e na duewe@
@airfield@|@aerodrom@
@airforce@|@vozduhoplovstvo@
@airgun@|@vozdu{na pu{ka@
@airhostess@|@stjuardesa@
@airily@|@blago, lekomisleno, ne`no@
@airiness@|@bezgri`nost, eteri~nost, lekomislenost, provetrenost@
@airing@|@provetruvawe, su{ewe@
@airing cupboard@|@orman za su{ewe ali{ta@
@airless@|@zagu{liv@
@airletter@|@avio-pismo@
@airlift@|@vozdu{en most@
@airline@|@vozduhoplovna kompanija@
@airmail@|@avionska po{ta@
@airman@|@avijati~ar@
@airplane@|@avion@
@airport@|@aerodrom@
@airs and graces@|@izve{ta~ena otmenost@
@airshaft@|@ventilacija (vo rudnik)@
@airsick@|@ma~nina od letawe@
@airspace@|@vozdu{en prostor@
@airstrip@|@vozdu{en kanal@
@airtight@|@hermeti~en, nepropustliv@
@airway@|@avionska kompanija, avionska linija@
@airwoman@|@avijati~arka@
@airworthy@|@bezbeden (vo vozduhot)@
@airy@|@bez gri`i, lekomislen, provetren, vedar@
@aisle@|@brod (vo crkva)@
@aitch@|@"h" (bukvata)@
@ajar@|@podotvoren (prozor)@
@akimbo@|@podbo~en, podlakten@
@akin@|@sroden, vo srodstvo (so)@
@alabaster@|@alabaster@
@alack@|@lele@
@alacritous@|@bodar@
@alacrity@|@bodrost, gotovnost@
@alarm@|@alarm, budilnik, gajle, nemir, nespokojstvo, panika, strav, trevoga, voznemirenost, zagajlenost@
@alarm (v)@|@alarmira, prestra{uva, rastrevo`uva, voznemiruva@
@alarm bell@|@alarmno yvono@
@alarm clock@|@budilnik@
@alarming@|@alarmanten@
@alarmist@|@pani~ar@
@alas@|@lele, za `al@
@alb@|@riza (mona{ka sve{teni~ka)@
@Albanian@|@Albanec, Albanka, albanski@
@albatross@|@albatros@
@albeit@|@iako@
@albino@|@albino@
@album@|@album@
@alchemist@|@alhemi~ar@
@alchemy@|@alhemija@
@alcohol@|@alkohol@
@alcoholic@|@alkoholen, alkoholi~ar@
@alcoholism@|@alkoholizam@
@alcove@|@ni{a@
@alder@|@evla@
@alderman@|@gradski odbornik@
@ale@|@pivo svetlo@
@alehouse@|@kr~ma, pivnica@
@alert@|@buden, podgotven@
@alertly@|@budno@
@alertness@|@budnost, gotovnost@
@alfalfa@|@lucerka@
@alga@|@alga, okrek@
@algebra@|@algebra@
@algebric@|@algebarski@
@alias@|@alias, inaku re~eno, la`no ime@
@alibi@|@alibi, izgovor, izvinenie@
@alien@|@stranski, stranski dr`avjanin, tu|, tu|inec@
@alienable@|@otu|iv@
@alienate@|@odvra}a, odzema (imot pravo), otu|uva@
@alienation@|@otu|enost, otu|uvawe@
@alienist@|@psihijatar@
@alight@|@osvetlen, ozaren (fig), raspalen, vo plamen@
@alight (pt pp alit)@|@naletuva na, sleguva (od avtobus), sletuva (ptica)@
@align@|@poramnuva, priklu~uva kon, se izramnuva, se redi@
@alignment@|@izramnuvawe, poramnuvawe, priklu~uvawe, redewe, trasa@
@alike@|@ednakvo, isto, sli~en@
@alimentary@|@hranliv, prehramben@
@alimentary canal@|@organi za varewe@
@alimony@|@alimentacija@
@alive@|@oskokliv@
@alive to@|@koj{to reagira na (opasnost), osetliv na@
@alive with@|@vrie (so vo{ki), vrie od (lu|e)@
@all@|@celiot, sekakov, sekoj, siot@
@all (pron)@|@celiot, se, siot@
@all aboard@|@ka~uvaj se!@
@all about@|@nasekade@
@all alone@|@celo vreme@
@all along@|@celo vreme@
@all at once@|@naedna{@
@all but@|@skoro@
@all day long@|@po cel den@
@all in@|@iscrpen@
@all in all@|@se na se@
@all in good time@|@se po red, se vo svoe vreme@
@all kinds of@|@se vozmo`no@
@all of a sudden@|@nenadejno@
@all of it@|@seto toa@
@all out@|@potpoln, so seta sila, so seta sila@
@all over@|@celosno, nasekade, potpolno@
@all over the shop@|@poln nered@
@all right@|@dobar, vo red, zadovolitelen@
@all round@|@sestran@
@all stars@|@od najdobrite (yvezdi igra~i)@
@all that@|@tolku@
@all the better@|@tolku poarno@
@all the same@|@seedno@
@all the time@|@celo vreme@
@all the vogue@|@moderen, popularen@
@all up@|@gotovo, svr{eno (so)@
@all wool@|@od ~ista volna@
@allay (pt pp allaid)@|@smiruva (bol il taga)@
@allegation@|@navod, tvrdewe (bez dokazi)@
@allege@|@naveduva, tvrdi (bez dokazi)@
@allegedly@|@navodno@
@allegiance@|@privrzanost, vernost@
@allegoric@|@alegori~en@
@allegory@|@alegorija@
@allergic@|@alergi~en@
@allergy@|@alergija@
@alleviate@|@olesnuva@
@alleviation@|@olesnuvawe@
@alley@|@drvored, pateka, sokak@
@alliance@|@sojuz, zdru`uvawe@
@allied@|@sroden, zdru`en@
@alligator@|@aligator@
@all-in wrestling@|@ke~@
@all-inclusive@|@vo koe e vklu~eno se@
@alliterate@|@ima aliteracija (stih), zboruva so aliteracija@
@alliteration@|@aliteracija@
@alliterative@|@aliterativen@
@all-night@|@celono}en@
@all-night pass@|@no}evawe (dozvola)@
@all-night service@|@no}no rabotewe@
@all-night showing@|@celono}no prika`uvawe@
@all-nighter@|@celono}na pretstava@
@allocate@|@dodeluva, namenuva (nekogo), predviduva (za ne{to)@
@allocation@|@dodeluvawe, namena@
@allot@|@dava (srok), dodeluva, dozna~uva@
@allotment@|@del (dodelen), doznaka@
@allow@|@dava (pari), odobruva, ovozmo`uva, predviduva, priznava, pu{ta (da vleze), vodi smetka (za)@
@allowable@|@dopu{tliv@
@allowance@|@dodatok (detski), nadomestok, odbitok, popust, rabat, tolerancija, xeparlak@
@alloy@|@legura, me{a (metali), primesa, rasipuva (fig), smesa@
@allspice@|@silen za~in@
@allude@|@aludira@
@allure@|@ma|epsuva, namamuva, zamamuva@
@allurement@|@magija, mamec, namamuvawe@
@allusion@|@aluzija@
@allusive@|@{to aludira@
@alluvial@|@nanesen (od reka plima)@
@alluvium (pl alluvia)@|@nanos (re~en)@
@ally@|@se povrzuva, se zdru`uva, soedinuva, sojuznik@
@almanack@|@almanah, kalendar@
@almighty@|@golem, semo}en@
@almond@|@badem, bajam@
@almost@|@re~isi, skoro, za malku@
@alms@|@milostina@
@alms house@|@dom za siroma{ni@
@aloe@|@aloja@
@aloft@|@gore, visoko, vo vozduh@
@alone@|@edinstven, osamen@
@alone here@|@vo ovaa nasoka@
@aloneside@|@kraj, naporedno, pokraj@
@along@|@ponataka, so sebe@
@along with@|@zaedno so@
@aloof@|@na strana, odvoeno@
@aloofness@|@rezerviranost@
@aloud@|@glasno, na glas@
@alpha@|@alfa@
@alpha and omega@|@najosnovno (ne{to), po~etok i kraj@
@alpha particle@|@alfa ~esti~ka@
@alphabet@|@azbuka@
@alphabetic@|@azbu~en@
@alphabetically@|@po azbu~en red@
@alpine@|@alpinisti~ki, gorski, mnogu visok@
@already@|@ve}e@
@alright@|@}e bide, dobro, se stori@
@Alsatian@|@germanski ov~ar@
@also@|@isto (taka), kako i, osven toa@
@altar@|@oltar@
@altar piece@|@umetni~ko delo na oltarot@
@alter@|@kastrira, preprava (plan), promenuva, se izmenuva@
@alterable@|@izmenliv, prepravliv@
@alteration@|@izmena, prepravka@
@altercate@|@se kara, se prepira@
@altercation@|@karawe, kavga, prepirka@
@alternate@|@naizmeni~en, se zamenuva, sekoj vtor, upotrebuva naizmeni~no, vzaemno@
@alternating current@|@naizmeni~na struja@
@alternation@|@naizmeni~nost@
@alternative@|@alternativa, alternativen, drug, izbor@
@alternator@|@alternator@
@although@|@iako, makar {to@
@altitude@|@visina@
@alto@|@alt@
@altogather@|@potpolno, sosema, vkupno, voop{teno@
@altogather (n)@|@golost@
@altruism@|@altruizam@
@altruist@|@altruist@
@alum@|@stipsa@
@aluminium@|@aluminium@
@alumna (pl) alumnae@|@biv{a u~eni~ka@
@alumnus (pl) alumni@|@biv{ u~enik@
@alveolar@|@predno nep~est (soglasnik)@
@always@|@sekoga{@
@amalgam@|@amalgam, sme{a@
@amalgamate@|@me{a, se fuzionira, se sleva, se zdru`uva, soedinuva, sostavuva, spojuva@
@amalgamation@|@fuzionirawe, me{awe, slevawe, soedinuvawe, sostavuvawe, spojuvawe, zdru`uvawe@
@amass@|@nasobira, natrupuva@
@amateur@|@amater, diletant, qubitel@
@amateurish@|@amaterski, diletanski@
@amateurishness@|@amaterstvo, diletantizam@
@amatory@|@quboven, qubovni~ki@
@amaze@|@iznenaduva, za~uduva@
@amazement@|@~udewe, iznenaduvawe@
@amazing@|@{to za~uduva, prekrasen@
@amazon@|@amazonka, sportski tip (`ena)@
@amazonian@|@amazonski (tip)@
@ambassador@|@ambasador@
@ambassadorial@|@ambasadorski@
@ambassadress@|@ambasadorka@
@amber@|@kilibar@
@ambience@|@ambient, atmosfera, Duh@
@ambient@|@{to okru`uva@
@ambiguity@|@dvosmislenost, dvozna~nost, pove}ezna~nost@
@ambiguous@|@dvosmislen, dvozna~en, pove}ezna~en@
@ambit@|@opfat, opseg@
@ambition@|@ambicija, silna `elba@
@ambitious@|@ambiciozen, pretenciozen@
@amble@|@odi sporo, spor od@
@ambulance@|@bolni~ka kola@
@ambush@|@napad od zaseda, zaseda@
@ameba amoeba@|@ameba@
@amebic amoebic@|@ameben@
@ameliorate@|@poprava, se podobruva@
@amelioration@|@popravawe@
@amen@|@amin@
@amenable@|@podlo`en (na vlijanie), povodliv, priemliv@
@amenableness@|@povodlivost@
@amend@|@korigira, podobruva, se poprava@
@amendatory@|@korektiven, popraven@
@amendment@|@amandman, dopolnuvawe, izmena, podobruvawe@
@amendments@|@nadomestok, od{teta@
@amenity@|@pogodnost, prijatnost@
@American@|@Amerikanec, Amerikanka, amerikanski@
@Americanaism@|@amerikanizam@
@Americanaize@|@amerikanizira@
@amiability@|@qubeznost, srde~nost@
@amiable@|@qubezen, srde~en@
@amicable@|@miroqubiv, prijatelski@
@amid amidst@|@me|u@
@amir@|@emir@
@amiss@|@krivo, lo{o, pogre{en, pogre{no@
@amity@|@prijatelstvo@
@ammunition@|@municija, oru`je (fig)@
@amnesia@|@amnezija@
@amnesty@|@amnestija@
@amok@|@vxa{eno@
@among amongst@|@me|u, pome|u, srede@
@amoral@|@amoralen@
@amorality@|@amoralnost@
@amorous@|@zaquben@
@amorousness@|@zaqubenost@
@amorphous@|@amorfen, iscepka, nekongruenten@
@amorphousness@|@amorfnost, iscepkanost, nekongruentnost@
@amortization@|@amortizacija@
@amortize@|@amortizira@
@amount@|@iznos, suma@
@amount (v)@|@iznesuva@
@amour@|@qubovna vrska, qubovnik@
@amperage@|@ja~ina na struja (vo amperi)@
@ampere@|@amper@
@ampersand (&)@|@znakot za "i"@
@amphibian@|@amfibija, vozilo-amfibija@
@amphibious@|@{to `ivee i na kopno i na voda, amfibiski@
@amphitheatre amphitheater@|@amfiteatar@
@amphora@|@amfora@
@ample@|@dovolen, iscrpen, op{iren, poln, prostran@
@amplification@|@pro{iruvawe@
@amplifier@|@zasiluva~@
@amplify@|@pro{iruva, rasprika`uva, se ra{iruva, zgolemuva@
@amplitude@|@{irina, amplituda, obilnost, opseg, prostranost@
@ampoule@|@ampula@
@ampule@|@ampula@
@amputate@|@amputira@
@amputation@|@amputacija@
@amuck amok@|@vxa{eno@
@amulet@|@amajlija, talisman@
@amuse@|@razveseluva, zabavuva@
@amusement@|@razveseluvawe, zabava, zabavuvawe@
@amusement arcade@|@prostorija so avtomati za igra@
@amusement park@|@zabaven park@
@amusing@|@zabaven@
@amusingness@|@zabavnost@
@an arrant nonsense@|@o~igledna besmislica@
@an only son@|@edinec sin@
@an outright lie@|@debela laga@
@an unknown quantity@|@nepoznata veli~ina, nepoznato@
@anachronism@|@anahronizam@
@anachronistic@|@anahroni~en@
@anaemia anemia@|@anemija, malokrvnost@
@anal@|@analen@
@analog analogue@|@analog, zamena@
@analogous@|@analogen, sli~en@
@analogy@|@analogija, sli~nost, sporedba@
@analyse (Am) analyze@|@analizira, ispituva, ras~lenuva@
@analysis@|@istra`uvawe, objasnuvawe@
@analysis pl. analyses@|@analiza, ispituvawe, izlagawe, ras~lenuvawe@
@analyst@|@analiti~ar@
@analytic.al.ly@|@analiti~en, analiti~ki@
@anarchic@|@anarhi~en@
@anarchism@|@anarhizam@
@anarchist@|@anarhist@
@anarchy@|@anarhija, bezredie@
@anathema@|@anatema, kletva@
@anathematize@|@kolne@
@anatomical@|@anatomski@
@anatomist@|@anatomi~ar@
@anatomy@|@anatomija@
@ancestor@|@pradedo@
@ancestral@|@pradedovski@
@ancestress@|@prababa@
@ancestry@|@poteklo, predci, rod@
@anchor@|@kotva, nade`, se vkotvuva, sidro, spas, vsidruva@
@anchorage@|@cvrsta podloga, sidri{te, taksa za vsidruvawe@
@anchoress@|@`ena samotnik@
@anchorite@|@samotnik@
@anchovy@|@sardela@
@ancient@|@anti~ki grk (rimjanin), damne{en, damne{en ~ovek, dreven, nekoga{en, prastar, starinski@
@ancients@|@stare{ini, stari anti~ki narodi, stari lu|e@
@ancillary@|@pomo{en, pomo{en rabotnik, zavisen (od)@
@and@|@a, i, pa@
@and at that@|@pokraj toa@
@And how!@|@I toa kako!, I u{te kako!@
@andiron@|@dr`a~ na cepanki vo ogni{te@
@anecdotal@|@kako od prikazna@
@anecdote@|@anegdota, prikazna@
@anemia@|@anemija@
@anemic anaemic@|@anemi~en, malokrven@
@anemone@|@anemona@
@anesthesia anaesthesia@|@anestezija@
@anesthetic@|@anesteti~en, anestetik@
@anesthetise@|@dava anestezija@
@anesthetist@|@anesteti~ar@
@anew@|@odnovo, pak@
@angel@|@angel@
@angelic@|@angelski@
@anger@|@bes, draznewe, gnev, nalutuva, razbesnuva, razdraznuva, razdraznuvawe, razgnevuva, srxba@
@angle@|@}o{e, agol, dvi`i pod agol, fa}a ribi so jadica, gledi{te, izvrtuva, manevrira, vrti@
@angle bracket@|@aglesta zagrada, dr`a~ za polica@
@angler@|@sportski ribolovec@
@Angles (pl)@|@Angli@
@Anglian@|@od Anglite@
@Anglican@|@Anglikanec, anglikanski@
@anglicise@|@anglizira@
@anglicism@|@anglicizam@
@anglify@|@anglizira@
@angling@|@ribolov (so jadica)@
@anglist@|@anglist@
@anglistics@|@anglistika@
@Anglo-American@|@Amerikanec so angl poteklo, angloamerikanski@
@anglophile@|@anglofil@
@anglophilia@|@anglofilija@
@anglophobe@|@anglofob@
@anglophobia@|@anglofobija@
@Anglo-Saxon@|@Anglosaksonec, anglosaksonski@
@angora@|@angora@
@angry@|@besen, lut, naluten, namurten (nebo), razdraznet, srdit@
@anguish@|@bol, maka, patewe@
@anguished@|@vo maki@
@angular@|@}o{lest (predmet), aglest zgrada), ispaknat (lice), nezgoden (~ovek), zavrten@
@animal@|@`ivo su{testvo, `ivotinski, `ivotno, telesen@
@animalism@|@~ulnost@
@animate@|@`iv (su{testvo), `ivnat, `ivost, animiranost, bodri, bodrost, dobar, hrabri, pottiknuva, pravewe animirani filmovi, razdvi`uvawe, sve`, sve`ina, vdahnovuva, vdahnovuvawe, vedar, vedrina, veselost, vozbuda@
@animated cartoon@|@animiran film@
@animator@|@animator, koj bodri i dava `ivot@
@animism@|@animizam@
@animist@|@animist@
@animosity@|@animozitet, neprijatelstvo, omraza@
@anis@|@anasonka@
@anise@|@anason@
@aniseed@|@seme od anason@
@ankle@|@zglob (na noga)@
@anklet@|@sinxir~e za noga@
@annals@|@anali, letopisi@
@anneal (v)@|@kali@
@annex@|@aneks, aneksira, dodatok (vo kniga), dodava, grabnuva, priklu~ok, priklu~uva, prisvojuva@
@annexation@|@aneksirawe, prigrabuvawe@
@annihilate@|@anulira, poni{tuva, razoruva@
@annihilation@|@anulirawe, poni{tuvawe@
