@English@|@Kiribati@
@pull the rope@|@puriti te maia@
@pulled tight@|@ariraki@
@puma@|@biuma@
@pumice@|@timít@
@pumpkin@|@b'aukin@
@punching in the side@|@ikaika@
@punctilious@|@banga n rinorino@
@punctual at work@|@bekuroroko@
@punishment@|@ana te bure@
@pupil of the eye@|@ataei ni mata, ataeinimata@
@purgatory@|@burikatorio@
@purim@|@burim@
@put coconuts together@|@bo ben@
@put in@|@karinaki@
@put it in@|@karina@
@put more fire-wood on the fire@|@kanaia@
@put on water to float@|@kabeta@
@put outside ready for use@|@aoraia@
@put something on something or somebody@|@katokaa@
@quantity@|@batin te...@
@quarrelsome@|@banganun@
@quarter@|@kuata@
@quickly cross@|@buretatara@
@quite soft@|@maraurau@
@quoits@|@kaboulina@
@racing@|@uaia@
@radio@|@reerio@
@rain@|@karaou, karau, kárau@
@rain coat@|@bai ni karau@
@rainbow@|@houi rara, kahara, kahipa, wírara@
@ranting@|@banga n tingo@
@rascally@|@babakanikawai@
@rat@|@kimóa@
@raw@|@orôra@
@rays of the sun@|@rîriña@
@read@|@wareka, wareware@
@read it@|@warekia@
@reading@|@wareware@
@ready@|@ebanako, tau, tauraoi@
@ready for gathering@|@tawa@
@ready to sail@|@ia tau parau@
@real@|@koaua@
@receiving recompense for what one does@|@babaibai@
@recipient of gifts@|@tituaraoaki@
@reckless@|@e aki akaka@
@recognize@|@kinaa@
@recognize them@|@kinai@
@record@|@raurau@
@red@|@ura, uráura@
@red and swollen as the bite of a mosquito@|@babangaki@
@red stone on the ocean beach@|@atikika@
@redness@|@buea@
@reduced to grains@|@bing@
@reduced width@|@atake@
@reef@|@panga, waiwai@
@reef jutting out at end of land@|@bukinarora@
@refreshing as certain odors@|@boboikamaiu, boikamaiu@
@refreshment@|@aroa@
@refuge@|@abatera@
@refuse@|@rawa@
@rehearsing many chants@|@banganikuna@
@relative@|@koraki@
@religion@|@Aro@
@religions@|@Aaro@
@remainder@|@nikira@
@remarkable@|@baekeke@
@remember@|@uringa@
@remember it@|@uringga@
@remora@|@tari tari@
@renouncement@|@te ka-akea@
@renowned@|@atongaki@
@reparation@|@te kabomwi@
@repast in company where food is exchanged@|@iangatoa@
@repeat from stomach@|@baneinei@
@replacement of@|@onean@
@report@|@ewetaeka@
@reproductive organs of female@|@ainen@
@repugnance@|@barainoku@
@repugnant@|@buritoto@
@request you@|@butiiko@
@requiem shark@|@bakoanimarawa@
@resist@|@eka@
@resounding as an empty cask@|@bekubeku@
@respectable@|@butika te mangoieta@
@result of@|@mwiin@
@retired@|@bangau nako@
@retting the benu@|@tao-benu@
@return@|@oki@
@reunion@|@baronga@
@revealing secrets@|@aouti@
@rheumatism in arms or hands@|@bo bai@
@rheumatism of legs@|@te bo wae@
@rice@|@raiti@
@rice is slightly covered water@|@e aitao te maniba, e aitao te raiti n te bata@
@rich miser@|@bakoko@
@rich soil@|@bonro@
@ride@|@toka@
@ridge@|@taubuki@
@riding on as in surfing@|@tokatoka@
@right@|@átai, edai@
@right hand@|@angaatai@
@right side@|@angatai@
@right there@|@ikanne@
@rigid looking@|@aotiki@
@rip@|@ourouake@
@ripe cocoa-nut@|@beni, pen'@
@ripe coconut with very hard kernel@|@benikai@
@rise up straight as smoke@|@aeto@
@rising of full moon@|@aimama@
@rising or ascending@|@bakaroto@
@rising sun@|@oti tahi@
@river@|@karaanga@
@roach@|@babatua@
@road@|@káwai@
@rock@|@bâ@
@rock or reef in passage at meeting of tides@|@atinikabo@
@rock with pebbles around it@|@baeka@
@rodfishing@|@roaroa@
@roll a strip@|@niria@
@roll book@|@te boki ni weteara@
@rolled up@|@niiraki@
@room@|@ruu@
@root@|@butan, waka, wakâ, wákaa@
@root of the tree@|@wakân te kai@
@rope@|@maca, mae, maia, roo, roobu@
@rope tied from mast to outrigger@|@ata@
@rotten@|@m'æ, mka, moko, toto@
@rotund@|@timron@
@rough as the skin or other surfaces@|@bwibwi@
@round@|@bunin, tabunak@
@row@|@rinan@
@royal crown@|@bau n uea@
@rub noses@|@arobairi@
@rub noses in greeting@|@arou pairi@
@rudder@|@bweuru, poue@
@ruffled and untidy head of hair@|@atumangaongao@
@rumbling@|@rurungaa@
@rumored@|@aning@
@run@|@biri@
@run fast@|@birim'aaka@
@run slowly@|@biri mwere@
@run to the house@|@birinok e te bät@
@run unfavorabley as a current@|@aibuaka@
@run up onto the beach as a canoe@|@erake@
@running as a current@|@aira@
@rusty@|@raraa@
@sacred@|@dua@
@sad@|@rawaawata@
@sad condition@|@kaawa@
@sail@|@borau, ie@
@sail a craft@|@ieakina@
@sail diminished to half or three-quarters@|@te itera n inai@
@sail fast as a canoe against an opposing current@|@butinaira@
@sail for@|@iea@
@sail of canoe@|@ien te wa@
@sail ship@|@ra@
@saliva@|@paouare@
@salt@|@taoro@
@salt of@|@taarin@
@salted@|@taariaki@
@same@|@botoa, te boo, titeboo@
@same meaning as ibeabure@|@ibeibeariba@
@sand@|@bíke, tano@
@sap flowing from a crevice cut in a tree@|@buro n ika@
@sap stopped@|@bamakoro@
@sapling@|@roko@
@Sarah@|@Tara@
@sarcastic@|@ui-katík@
@satisfied@|@inaña, ngae@
@satisfied with eating@|@iánuai@
@satisfy one's hunger@|@nouai@
@Saturday@|@Kaonobong, te kaonobong@
@save our lives@|@tautau maiuar@
@save us from our sins@|@tautauir in buirar@
@saw@|@taoo@
@say@|@taku@
@say as follows@|@kaangai@
@saying@|@tak@
@scaled@|@imanaki@
@scandal@|@te bai ni kabaka@
@scandal giving@|@te kabakabaka@
@scapula@|@rî n'aña@
@scar@|@mokoro-paitourou@
@scattered about@|@bakarae@
@scented oil made from coconut exposed to the sun@|@ianriringa@
@school@|@reirei@
@school of nursing@|@reirei n neeti@
@scoop it up@|@itiia@
@scooping up as fish@|@erieri@
@scoop-net@|@rea, ria@
@scraped coconut mixed with other food@|@aong@
@scratch with nails@|@aubingongoa@
@screw@|@tikuru@
@screwpine@|@aramarieba, bakororso@
@sea@|@taári, tahari, tari@
@sea of@|@taarin@
@sea swallow@|@kia kia@
@sea worm@|@tinan ibo@
@seal@|@tire@
@season@|@tain@
@season march-september@|@te aitara@
@season of Antares@|@Ana bong Rimwimata@
@season of Pleiades@|@Ana bong Nei Auti@
@seat of chief of clan@|@atibu n toka@
@sea-wall@|@bono@
@seawater@|@taari@
@second child to him@|@karimwiina@
@second island in north of Gilberts@|@Butaritari@
@second line@|@kauarinan@
@second share@|@bungira@
@second shell hung under the first@|@ibuatao@
@second stage of a coconut leaf@|@bakabane@
@secondary@|@kauarinan@
@secondary thing attached to a principal one@|@tirin@
@secret sorrow@|@emakou@
@seduce a wife's sister@|@eirikia@
@see@|@noora, noori, noria@
@see him@|@nooria@
@see the shadow@|@aori te tâmune@
@see you@|@nooriko@
@see!@|@aori!, ori@
@seem@|@kaanga@
@seen@|@nooraki@
@seen rapidly@|@itibabang@
@seize suddenly@|@guri@
@selfish@|@burinikoko@
@sell@|@kabooanako@
@send away@|@kanakoi@
@sensitive@|@binainga@
@sent away@|@kanakoaki@
@sentence@|@kibuntaeka@
@separate@|@raure, raure nako@
@September@|@Tebetemba@
@servant@|@arobai@
@set (sun)@|@bung@
@setting sun@|@epoungi tahahi@
@seven@|@iti, itiua, itoua, itúa@
@seventeen@|@tebwi ma itiua@
@Seventh day@|@Kaitibong@
@seventy@|@itibwi, itipoui@
@shade@|@taoumene@
@shall@|@ina@
@shall I come (or go) with you?@|@tia noko ôt@
@shall I come where you are?@|@tia noko ôt@
@shall I drink?@|@ina nima?@
@shall we stand or sit?@|@tia tî o tia tekateka@
@shark@|@araoboto, bakoa, bákoa, pakoa@
@shark fishing@|@kabakoa@
@sharp@|@käkaña, kakang, mariro, namta, tahina@
@sharpen@|@kakangia@
@sharpening stone@|@bai n taitaim@
@sharpnose puffers@|@batuaaikairake@
@shave@|@tokoro pourai@
@she@|@e, ngaia, ngáia, nía, nía, níin, niyin@
@she has brought forth a child@|@e boña niyire@
@she is honored@|@e bainaka níyire@
@she is not a human being@|@tiák te ômat e níñin@
@shed@|@touma@
@shell fish@|@bun@
@shell of@|@ibun@
@shell of coconut@|@ibu@
@shells@|@painia@
@sheol@|@tiore@
@shine brightly upon so as to wilt@|@aingnga@
@shining@|@aura, auraaura@
@shiny@|@bereraun@
@ship@|@kaibuke, kaipouke toa, wa-ni-matañ@
@shipping water from waves@|@autai@
@ship's deck@|@mau@
@shirt@|@tou kou ne kai@
@shock@|@angitoi@
@shoe@|@kauniwae@
@shoot out@|@tii@
@shooting star@|@tewini, wini@
@shopping@|@boob'ai@
@shore@|@benua, bïnu@
@short@|@ekimôtëta, kimótoto@
@short as a coconut spathe@|@aribuni@
@shoulder@|@abunaña, abunaña, aña, ánga@
@shoulders@|@tapouanga@
@shovel@|@tiaabora@
@show me that!@|@makamete nore@
@show of knowledge by much talk@|@iangoraraoi@
@show them (things)@|@kaotii@
@shower of rain@|@karau tanginako, tanginako@
@showing intensity of colours@|@ebuebu@
@showing refusal@|@bete@
@shrill voice@|@bana keke@
@shrink from before a blow@|@arokuikui@
@shut@|@bonota, bonotaki@
@shut up@|@boturuma@
@shut your jaws@|@kabuâ makaim@
@shy@|@maama@
@sick@|@auoumaraki, mate mate@
@sick person@|@aoraki@
@sickly@|@tinauere@
@sickly from illness or want@|@butaki@
@sickly voice@|@bana aoraki@
@side@|@erigi@
@side of@|@rarikin@
@side of the road.@|@iteran to kawai@
@side sight of a person passing by@|@bang@
@sign of the future@|@na@
@silk@|@tireka@
@silly looking@|@ai baba@
@silver@|@tireba, tirewa@
@sinew@|@iaia@
@sing@|@popihi@
@sing as a hymn.@|@anenea@
@singing with hand covering the ear@|@tau manin taninga@
@sinker@|@atintarawa@
@sinker for fish line@|@atintaura@
@sinker on fish line@|@atibung@
@sister@|@tári@
@sit@|@tekateka@
@sit cross-legged@|@toanoue@
@sitting dancing@|@bino@
@six@|@ono, onohoua, onoman, onóua@
@six (general)@|@onoua@
@sixty@|@onobwi, onopoui@
@size of@|@ab'akin@
@skilful at making watertight canoes@|@baimano@
@skilful at wrestling@|@baitau@
@skilful on land only@|@baieta@
@skilful with hands at catching@|@baireke@
@skilled@|@aoraba, atatai@
@skilled in cultivation@|@baimaiu@
@skilled in perfumeing@|@baboia@
@skilled in war@|@inaguínagu in te buók@
@skillful@|@rabakau@
@skillful in catching@|@babairekereke, bairekereke@
@skillful in hitting the mark@|@babaiteke@
@skin@|@guín, kun, kuni@
@skin (human)@|@oukoumi@
@skin them@|@kuoti@
@skinned@|@kuotaki@
@sky@|@karava, kárawa@
@slain by whom?@|@e mate rûn antai@
@slander@|@ui-n'anti@
@slant as a tree@|@einako@
@slash@|@erea@
@slashing@|@erere@
@slave@|@anákara, topouni pei@
@sleep@|@moue moue@
@slight wind@|@ang kau@
@slightly cold@|@amariri@
@slightly putrid@|@boboi@
@slightly sweet@|@akarewe@
@slightly tainted as fish or meat@|@bunau@
@slim@|@arinoko@
@slimy@|@abari@
@sliver@|@aneke@
@sloping@|@angamaran@
@sloping country@|@abatati@
@slovenliness@|@betiti@
@slow@|@waeremwe@
@slow in doing or making@|@baimangori@
@slow progress@|@butimara@
@slow running@|@birimara@
@small@|@kakárako, kárako, tekinini, tekinini, tiko, titaoutana@
@small (1)@|@uareereke, uareereke, uarêrek@
@small but brave@|@kakauben@
@small coconut shell for use at the spathe@|@ibuntabonari@
@small crab@|@titune@
@small fish@|@auan@
@small mackeral@|@bairera@
@small makei@|@buatanga@
@small or half sail@|@te ie ni kinongo@
@small shell fish@|@koumara@
@small sized taro@|@boang@
@small submerged rocks@|@atimata@
@small vessel for oil@|@banakuaku@
@smart at work@|@baitia@
@smell@|@bu@
@smell of pus@|@bukanakana@
@smell of shark@|@bubakoa@
@smell of urine emanating from places@|@buaraku@
@smelling oil@|@boi aaka@
@smoke@|@bubu, bubu, búbu, marabu, moko, poupou nei, tenamoko@
@smoke (1)@|@bubun t'ai@
@smoke a pipe@|@kaupou pouai@
@smoke made of chipped tobacco and pandanus leaf@|@moko to rauara@
@smoke of@|@mokon@
@smoking@|@ae bubu@
@smooth and level as land@|@bari@
@smooth stone like granite@|@banari@
@smooth stony coral@|@atitaai@
@snail@|@tineri@
@snake@|@náeta@
@snapper@|@babaeina, baomara, baotaburimai, baue, baueata, baweata, bawemara, bawemare, tinaemia, tineemea@
@snarled@|@beo@
@sneeze@|@matie@
@snipe@|@ukuni@
@snore@|@ringongo@
@snow@|@tino@
@so they say@|@aongkoa@
@soap@|@toobu@
@soapy@|@manenaaka@
@soapy water@|@ranin aka@
@sociable@|@boibuako, buraburanaomata@
@socialibility@|@bo ma aomata@
@sod of earth@|@ibentano@
@soft@|@bamanio@
@soft bread@|@baraua@
@soft coral stone@|@atibara, atiem@
@soft easily broken stone@|@atikona@
@soft part of palm of hand@|@tonotonon to bai@
@soil of@|@tanoni@
@soldier fish@|@bureunawa@
@sole of foot@|@aniwae, nana nounouhe@
@solitary@|@atumaroa@
@solitary isolated pers@|@atutarere@
@Solomon.@|@Toromon@
@some@|@tabeai, tabeua, teutana@
@Some names of men@|@Taian ara ni mm'aane@
@Some names of women@|@Taian ara n aiine@
@somebody@|@tabeman@
@something glittering@|@bai ni kiakia@
@something impeding sight@|@bubutei@
@something kept me late@|@e taonai Baioa@
@something like food@|@tianaki@
@something tied up@|@bei@
@something to be eaten@|@te bai ni kanak, te bai ni kanâk@
@sometimes@|@tabetai@
@somewhat covetous of food@|@burangenge@
@somewhat soft@|@marau@
@son@|@houa, houa, nati@
@son of the chief@|@natin t'uea@
@song@|@ane, anene, ánini@
@song of@|@kunan@
@soon@|@hehi@
@Sophia@|@Tobia@
@sorcery@|@kaiwa@
@sordid@|@barantauti@
@sore@|@kabuâ, kinaka, maaka@
@sort@|@aeka@
@sort of@|@aekan@
@sorting out@|@bine@
@sound of escaping air or water@|@babababa@
@sound the conch@|@katanga te bu@
@south@|@aiaki, maiaki@
@south of@|@maiakin@
@south of it@|@maiakina@
@South Pole@|@te bore maiaki@
@Southern Cross (constellation)@|@mani koro@
@south-southwest@|@mai-iô@
@spade@|@kai-ni-kâbua@
@sparse beard@|@buai maranga@
@speak@|@kangai, taetae@
@speak about@|@taekin@
@speak about it@|@taekinna@
@speaking angrily@|@banana@
@speaking with a clear@|@banataekeke@
@speaking with a loud voice@|@banababaki@
@speaking with a nasal voice@|@banabangubangu@
@speaking with a pleasant voice@|@banaraoi@
@speaking with a poor voice@|@banabuaka@
@speaking with a slip of the tongue@|@burebure@
@speaking with a small feeble voice@|@banatoto@
@speaking with a squeaking voice@|@banake@
@speaking with a stuttering voice@|@banatakutaku@
@speaking with a trembling voice@|@banarurururu@
@spear@|@katoua, tapotara oeoua@
@spear armed with shark's teeth@|@unui@
@spear fishing@|@katebe@
@spear set with shark's teeth@|@uri@
@special boat sail with no lower yard arm@|@ienibotoro@
@special smell of individual plants@|@bumarewerewe@
@special smell of old dusty things@|@burabaraba@
@species@|@aekaki@
@species of bara@|@bara ikarikiriki@
@species of bonito@|@atiburu@
@species of fish@|@bukeniku@
@species of taro@|@atimainiku, ibuota@
@species of whale@|@beibei@
@speech or song@|@ekara@
@spell it@|@tibeeranna@
@sperm@|@beka ni kai@
@spermatozoon@|@bakanikai@
@spherical@|@tironron@
@spider@|@areau, auti te waebua@
@spin@|@mino@
@spirit@|@änt, änti, ënt, tâmrir, támüne@
@spit@|@paouare@
@spittle@|@bauwar@
@split@|@rewák@
@splitting@|@te oro ben@
@spoil (food)@|@riripia@
@spoiled@|@botae@
@spoken of food not thoroughly cooked@|@buaoaomata@
@sport in which something is hidden in the sand@|@ikabaebae@
@spot on the skin@|@tautau@
@spot snapper@|@babeina, baweina, boina, boina@
@spouse@|@bu@
@spread out as mat@|@taakinaki@
@spring@|@iaka@
@spring tide at full moon@|@ia ni mama@
@sprinkle@|@bururu@
@sprout in great numbers@|@bukare@
@sprout of the cocoa-nut@|@gakak@
@spur a little child to bravery@|@bubukea@
@squanderer@|@te tia bakatae@
@squashed.@|@burinana@
@squat@|@bakurakura, toro toro@
@squeaking of the branches of a tree@|@ainikai@
@squeeze@|@totôn'@
@stacte@|@titakite@
@staggering under a load@|@bebeuakora@
@stand@|@tei@
@stand back to back@|@angaku@
@stand in front of@|@tinanikua@
@stand or sit on@|@taonna@
@standing@|@etei, teitei@
@star@|@babaniman, itoi, ítoi, toui toui, tuitui@
@starch@|@titati@
@start@|@moana@
@start to grow@|@riki@
@started@|@moanaki@
@state of...@|@kaibako@
@staved in@|@bakibora@
@stay@|@maeka@
@stay away@|@tiku@
@stay away of@|@tikuni@
@stay in a place too long a time@|@batiraeia@
@steal something@|@toto-toou toou@
@steeering-oar@|@poêtua@
@steer@|@tohoupe@
@steering paddle@|@bweeuru@
@steering-oar@|@buê, bûi@
@stem of a leaf@|@naño@
@stench@|@bimaung@
@stentor@|@nabana@
@Stephen@|@Tebano@
@stern looking@|@buraun@
@stick@|@kai@
@stick for them@|@kaiia@
@stiff action@|@kaimatoa@
@stiff-jointedd at the knees@|@tiribubua@
@stiffness@|@iakai@
@stinginess@|@banikoko, batauti@
@stingray@|@baimanutemai@
@stirred to anger with reference to a woman@|@bainaine@
@stockings@|@butiniwae, titaokin@
@stomach@|@abein, biroto, piroto@
@stomachache@|@maraki ni biroto@
@stone@|@ati, atib, atiibu, atîpu, t'áçip, touan@
@stone found in the mud of Buariki@|@atibokaboka@
@stone standing up@|@atitei@
@stone used as an anchor@|@atinro@
@stone used by a squid in closing his hole@|@atinono@
@stone used in the game of kabane@|@atau@
@stooped and small@|@beuangingi@
@stooping@|@baokoko@
@stop@|@tai@
@stop the talking@|@tai te taitai@
@stopped@|@benouanging@
@stormy weather@|@buaka-karawa@
@straight@|@aweawe, eti, îti@
@straight up@|@etirake@
@straighten me@|@kaetai@
@straighten yourself@|@kaítigo@
@strands of@|@iran@
@stranger@|@irua@
@strangle@|@tautauna@
@straying@|@batirae@
@street@|@kawai@
@strike him@|@pôïa@
@strike it@|@booia@
@string braided of human hair@|@núota@
@string of@|@koran@
@string to tie a weapon@|@bakatari@
@stripes@|@tirimataere@
@stripped of coconuts@|@era@
@strong@|@korakora, matoa@
@strong arms@|@baio@
@strong as the wind@|@baibati@
@strong handed@|@baimatoa@
@strong hands@|@baikora@
@strong hands for tying@|@baiko@
@strong shouldered@|@angamatoa@
@strong voice@|@bana ababaki@
@struggle@|@ibeku@
@struggle violently@|@ibeki@
@strugglee@|@iakiaki@
@stuck@|@nim@
@study@|@kamateb'ai, reirei@
@stump@|@butan-te-ni@
@stupid looking@|@buraou@
@stuttering@|@banarerarera@
@subject of a dispute@|@baiun@
@submerged@|@aitao@
@submerged rock@|@baoti@
@subtraction.@|@anai@
@successive crashing around sounding like thunder@|@rebwerebwe@
@such@|@ai@
@suck up@|@toma@
@suckle@|@mama ia@
@suffering from the want of sufficient@|@bakotakarewena@
@suffering loss@|@buantawa@
@suffering with cataract@|@bareau@
@sufficient in quantity@|@areare@
@sugar@|@tioka@
@sugarcane@|@tiokaken@
@suitable@|@botau@
@sulkiness@|@bararai@
@summer@|@aumaiaki@
@summit@|@toka@
@sun@|@taai, tahahi, taouanouk@
@Sunday@|@Taabati, te tabu@
@sunken rock@|@atimauna@
@sunrise@|@otintaai@
@sun's rays@|@burae ni matan tai@
@sunset@|@bungintaai@
@superabundance@|@bunati, burimatoatoa@
@superlative of akoi@|@bakako@
@superlative of bakitaia@|@bakitaiaroro@
@superlative of bungibung@|@bungati@
@superlative of buretata@|@buretataua@
@superlative of ngore@|@bingore@
@supper@|@kamaiu, matuao@
@supporting the middle of the top okai@|@bouriki@
@sure aim combined with elegance@|@baikateke@
@surf@|@no, nôno@
@surface of sea@|@aontari@
@surgeonfish@|@ibabataranga@
@surround@|@katoobibia@
@surrounded@|@katoobibiaki, otabaniniaki@
@Susan@|@Tuutana@
@suspend a second ibu under the first@|@ibuataoa@
@swallow it@|@bautia@
@swaying movements@|@bebei@
@sweat@|@mahono@
@sweating hands@|@bai maono@
@sweet@|@karewe@
@sweet talking@|@kareke nano@
@swell@|@tibu@
@swelling of abdomen@|@banabuabu@
@swim@|@houhoua@
@swooning@|@buritewetewe@
@syn@|@akeang@
@syphilitic affliction@|@bonano@
@syrup of toddy@|@te kab'aka@
@Tabiteuea Island@|@baraitoa te wae ni ma@
@table@|@taibora@
@table knife@|@bititeria@
@tack@|@eriake@
@tail@|@búki, pouki na@
@take@|@anaa, taoua@
@take care of the life of the young child@|@kamaiua banan te bina@
@take from@|@aekia@
@take hold of@|@tautau@
@take or appropriate to oneself another's place@|@eweboti@
@take possession of a hat@|@baranna@
@take the froth from the toddy@|@kâk e buirabuir in te karuôruo@
@take up a handful@|@abuta@
@take vengeance@|@kabuâ@
@take with tips of fingers@|@baitererei@
@taken captive@|@rik@
@taken captive in the war@|@e rik in te buók@
@takes breath away@|@e bo bekena@
@taking it out of retting pit@|@tae-benu@
@taking what belongs to others by mistake@|@baikairua@
@talk@|@taitai, tak, têtê@
@talk fast@|@kawiitatako@
@talk slowly@|@kawiiremweko@
@talk wildly@|@arenang@
@talkative@|@banga n tiko@
@Tamana (the 2nd island on south of the Gilberts)@|@Tamana@
@tangled@|@bebeo, bewa@
@Taputeouea island is large@|@e bâbak Taputeouea@
@Tarawa (capital island of the Gilberts)@|@Tarawa@
@taro@|@bóboi, pópoi, taorooro@
@taro leaves@|@ba ni babai@
@taro pit@|@anéran@
@taro-like food plant@|@b'ab'ai@
@tasting smoky@|@buaiai@
@tatch@|@ati, áto, áto@
@tattooing@|@tahite@
@te aomata@|@human@
@te taetae n aomata@|@vernacular@
@te tia kaaomata@|@the executor@
@teacher@|@tia reirei@
@teachers@|@taan reirei@
@teachers' college@|@reirei n tia reirei@
@Teaoraereke (village on Tarawa)@|@Teaoraereke@
@teapot@|@tiib'aati@
@tear@|@ourouake@
@tear ductt@|@bunongi ni mata@
@tear it@|@raeuaia@
@tears@|@ran i mata@
@technical institute@|@reirei ibukini mm'akuri@
@teeth@|@moui, wi@
@tell a lie@|@kewe@
@tell me@|@tuangai@
@temporary screen from a high wind@|@buibui@
@tempted@|@kataaki@
@ten@|@bwi, bwi, tañáun, tebuina, tebuina, tebwina, tebwína, teñaun, tengaun, tepouina@
@ten followed by unit@|@tebwi@
@term used in divination@|@bura marau@
@testicles@|@rato@
@thank you@|@Ko rab'a, Ko rabwa@
@Thank you@|@Kam rabwa@
@thank you (pl.)@|@kam rab'a@
@thanking@|@kaitauakin, kaitauan@
@thanks@|@rab'a@
@thanks to you!@|@ko airaba, ko aitau@
@that@|@aane, ae, aiari, aiari, áre, árei, ina@
@that is bad@|@e buâkaka te kî ari@
@that low tree@|@te nî ari ínanan, te ni ari ininan@
@that man@|@teuaane@
@that man there@|@teuaarei@
@that man who@|@teuaare@
@that thing is thrown down@|@e bake te bai, e buke te bai@
@that thing there@|@baenne@
@that thing yonder@|@baerei@
@that woman@|@neienne, neierei@
@that yonder@|@aarei@
@that yonder thing which@|@baere@
@thatch@|@rau@
@thatch of coconut leaf@|@ato@
@thatch of thy house@|@atin ûman@
@the@|@te@
@the ace of spades@|@te ai ni beti@
@the assembly@|@te bota n aomata, te botaki@
@the back@|@aku@
@the back of the head@|@bukinatu@
@the bark of the tree is rough@|@e katikitik e guin ir te bai@
@the beach is not in sight@|@iduai uti te bîka@
@the beach is not yet in sight@|@eduai uti te bika@
@the belly@|@papa@
@the biggest island in the Gilberts@|@Tabiteuea@
@the bird flew over the house@|@ikibékabi te man iôn te bat@
@the bladder@|@bakamim@
@the bloody pus of a boil@|@burinauau@
@the blows which I receive@|@bona@
@the board is narrow@|@e rereki te pap'@
@the bosom@|@baniban@
@the bottom has fallen out@|@e baka kurabena@
@the buttocks@|@boraniki@
@the canoe capsized@|@e baraki te wa@
@the canoe is in sight@|@akea b'ûti te wa@
@the canoe is lost in the surf@|@oruak te wa in te no@
@the canoe is stranded crosswise@|@e baki te wa@
@the channel is deep@|@e bûbuti te rawa@
@the channel is shallow@|@e ora te rawa@
@the chin@|@bange@
@the church@|@tion@
@the coconut was opened at the end@|@e bobukiaki te ben@
@the collar bone@|@bareke@
@the constellation Antares@|@rui-mata@
@the crop is not yet ripe@|@iduai n'tawa te tai, iduai tawa te tai@
@the culprit@|@te tia bure@
@the day after@|@ari@
@the day after tomorrow@|@niñân ari@
@the doing or making of@|@karaoan@
@the early morning@|@tingaro@
@the eaves of a house@|@bukarere@
@the echo@|@Nei Bokaboka n nei@
@the edible tail of certain big fish@|@bukitou@
@the elbow@|@bubuanibai, bukinibai@
@the end of my needle is sharp@|@e kâkaña t'ábun au ïdu@
@the entire thing@|@banin@
@the entrance of the passage is impassable@|@e bono matan te rawa@
@the eyes of@|@matan@
@the fare or freight@|@kantoka@
@the fibrous envelope@|@tin@
@the fibrous part of pandanus@|@betin te tou@
@the fight@|@e bo atin te un@
@the fire is covered up with a mat@|@e baraki te ai@
@the fish@|@baiku, batokotoko, boingo@
@the fish is fat and good@|@e nini te ika@
@the fish is tainted@|@e bo te ika@
@the fist@|@timoinibai@
@the flats@|@aonteora@
@the flooring in the hold of a canoe@|@betaru@
@the flower of the uri@|@babaku@
@the front part of the side of a fish@|@buare@
@the fruit of thought@|@bain te iango@
@the fruits are red@|@e baka morina@
@the full (resting) of the moon@|@e toka ni makaiña@
@the game of boxing@|@tau@
@the giant Goliath@|@te bakora are Koriate@
@the girl has eloped@|@e biriakinako te aine@
@the ground@|@aonteaba@
@the hawks-bill tortoise@|@tabaki@
@the heart@|@buro@
@the heel@|@bukiniwae@
@the hole of ...@|@banga n@
@the holm tree@|@tireta@
@the home@|@west of@
@the house fell on me@|@e bakarai te bata@
@the Hyades@|@botonaiai@
@the inside@|@Nan, nani, nanu@
@the kernel of a green coconut@|@marai@
@the knee@|@bubuaniwae@
@the land is far off@|@e raro te binu@
@the land is high@|@ietát e te ap@
@The language of Kiribati@|@Te taetae ni Kiribati@
@the larva of the mosquito@|@binobinonikai@
@the larynx@|@banikana@
@the last child@|@bukinikoro@
@the last flames of fire coming through stones@|@bunewe@
@the last island in the south of Kiribati@|@Arorae@
@the leaf of the uri@|@banuri@
@the leaf proper of babai@|@barobaroba@
@the leaves of the arum@|@kaio@
@the look of something@|@taraan@
@the mark or sign@|@kanikina@
@the mat here is good@|@e roairi (rayirui), te kî ai@
@the mat there is bad@|@e buakaka te kî ari@
@the men do not like him@|@iribáia te ômat@
@the merry making is in full swing@|@e bo atin te maie@
@the most ancient of female ancestor@|@tituabine@
@the moving@|@butinika@
@the mullet@|@baneawa@
@the name of a god@|@bebeti@
@the ocean side of an island@|@buakonikai@
@the odour of burning hair@|@buturuturu@
@the odour of decaying coconut@|@boimoka, boimoka@
@the older of two combatants@|@batantika@
@the organizer@|@te tia babaire@
@the ovula-shell@|@bure@
@the pandanus tree@|@kaina@
@the pearl shell@|@baeao@
@The people are assembled@|@E a bau te aomata@
@the periwinkle@|@nimatani@
@the periwinkle sticks of rock@|@e nímtea te bâ te nimatani@
@the pillar in middle of maneaba@|@te bou ae tabu@
@the pit of the stomach@|@batinawa@
@the plank is broad@|@e rapape te rai@
@the Pleiades@|@auti@
@the point of my needle's sharp@|@ka@
@the pole@|@bore@
@the price of it@|@bona@
@the prickly spine of a fish@|@ñietan te ika@
@the prodigal son@|@te nati ae bakatae@
@the prominent bone of the occiput@|@bure atu@
@the quick of the nail@|@arinibai@
@the rain abates@|@e bao te karau@
@the rain is going to fall@|@kana baka te karu@
@the rebeating of leaves for weaving with mallet@|@tiruti@
@the same@|@tî-te-eran@
@the scull@|@tabónu@
@the sea@|@taari@
@the sea-urchin@|@tantan@
@the sense of smell@|@aroboi@
@the shoulder blade@|@bukinanga@
@the slave caste@|@rañ@
@the smell disappears@|@e tae boina@
