@English@|@French@
@accident; by ~ [adv phr]@|@accidentellement [adv], hasard; par ~ [loc adv]@
@accident; to have an ~@|@accident; avoir un ~@
@accidental [adj]@|@accidentel(le) [adj], fortuit(e) [adj]@
@accidentally [adv]@|@accidentellement [adv]@
@acclaim [v tr]@|@acclamer [v tr]@
@acclaim {n}@|@acclamations {fpl}@
@acclamation {n}@|@acclamation {f}@
@acclamation; by ~ [adv phr]@|@acclamation; par ~ [loc adv]@
@acclimate [v tr‚ Am.]@|@acclimater [v tr]@
@acclimatization {n}@|@acclimatation {f}, acclimatement {m}@
@acclimatize [v tr]@|@acclimater [v tr]@
@acclimatize oneself [v refl.]@|@acclimater; s' [v pr]@
@acclimatized; to become ~ to@|@acclimater; s'~ à [v pr]@
@acclivity {n}@|@côte {f} [pente], montée {f}, pente {f}, rampe {f} [pente]@
@accolade {n}@|@accolade {f}@
@accommodate [v tr‚ house]@|@héberger [v tr], loger [v tr], recevoir [v tr‚ loger]@
@accommodate [v tr‚ reconcile]@|@accommoder [v tr‚ concilier], concilier [v tr]@
@accommodate [v tr‚ satisfy]@|@accommoder [v tr‚ satisfaire], satisfaire [v tr]@
@accommodating [adj]@|@accommodant(e) [adj], conciliant(e) [adj], obligeant(e) [adj‚complaisant], serviable [adj]@
@accommodation {n} [Am.‚a seat]@|@siège {m} (dans un véhicule)@
@accommodation {n} [lodgings]@|@hébergement {m}, logement {m}@
@accommodation {n}[arrangement]@|@accommodation {f}, arrangement {m}, compromis {m}@
@accommodation bureau {n}@|@agence {f} de logement@
@accompanied [adj]@|@accompagné(e) [adj]@
@accompaniment {n} [appendage]@|@accompagnement {m}[complément]@
@accompaniment {n} [MUS]@|@accompagnement {m} [MUS]@
@accompanist {n} [MUS]@|@accompagnateur {m} [MUS], accompagnatrice {f} [MUS]@
@accompany [v tr]@|@accompagner [v tr]@
@accompany back [v tr]@|@reconduire [v tr]@
@accompanying drawing {n}@|@annexe; dessin {m} en ~@
@accomplice {n}@|@complice {m/f}@
@accomplish [v tr]@|@aboutir [v intr], accomplir [v tr], arriver [v intr] à, atteindre [v tr], parvenir [v intr] à@
@accomplished [adj]@|@compétent(e) [adj], qualifié(e) [adj]@
@accomplishment {n} [skill]@|@talent {m}@
@accomplishment {n}[completion]@|@réalisation {f} [production]@
@accomplishment{n}[achievement]@|@accomplissement {m}, réalisation {f} [exécution]@
@accord (with) [v intr]@|@accorder; s'~ [v pr], harmoniser; s'~ [v pr]@
@accord [v tr]@|@accorder [v tr]@
@accord {n} [agreement]@|@accord {m} [agrément]@
@accord {n} [harmony]@|@harmonie {f}@
@accord; with one ~ [adv phr]@|@unanimité; à l'~ [loc adv]@
@accordance {n}@|@accord {m} [entente], conformité {f}, entente {f} [accord]@
@accordance; in ~ with@|@conformément à [loc adv]@
@according as [adv]@|@après; d'~ [prép‚ à raison de], selon [prép‚ à raison de]@
@according to [adv]@|@selon [prép‚ conformément à], selon [prép‚ en fonction de]@
@according to age [adv phr]@|@rang; par ~ d'âge [loc adv]@
@according to events [adv phr]@|@gré; au ~ des événements@
@according to plan [adv phr]@|@selon les prévisions [loc adv]@
@according to your story@|@après; d'~ ce que vous dites@
@accordingly [adv]@|@conséquence; en ~ [loc adv], conséquent; par ~ [loc adv]@
@accordingly diminished@|@conséquence; diminué(e) en ~@
@accordion {n}@|@accordéon {m}@
@accordionist {n}@|@accordéoniste {m/f}@
@accost [v tr‚ of a prostitute]@|@racoler [v tr‚ accoster]@
@accost [v tr‚address a person]@|@aborder qqn [v tr], accoster qqn [v tr], adresser la parole à [v tr], interpeller [v tr]@
@account [v tr]@|@considérer [v tr], estimer [v tr‚ considérer]@
@account {n} [at a shop]@|@compte {m} [ardoise]@
@account {n} [description]@|@compte-rendu {m (~s~s)}, compte rendu {m (~s ~s)@
@account {n} [FIN]@|@compte {m} [FIN], expliquer, facture, justifier@
@account {n} [narration]@|@récit {m}@
@account book {n}@|@livre {m} de comptes@
@account for [v tr@|@abattre [v tr‚ démolir], constituer [v tr], expliquer [v tr], faire état de [v tr], interpréter, justifier [v tr], rendre compte de [v tr]@
@account; by all ~s [adv phr]@|@dire; au ~ de tous [loc adv]@
@account; on ~ of@|@cause; à ~ de [loc prép], cause; pour ~ de [loc prép]@
@account; on no ~@|@cas; en aucun ~, prétexte; sous aucun ~, prix; à aucun ~@
@account; on two ~s [adv phr]@|@titre; à double ~ [loc adv]@
@accountability {n}@|@responsabilité {f}@
@accountability {n} [FIN‚ POL]@|@transparence {f} [FIN‚ POL]@
@accountable [adj‚ explicable]@|@justifiable [adj]@
@accountable [adj‚ responsible]@|@responsable [adj]@
@accountable; to be ~ to@|@comptes; rendre des ~@
@accountant {n}@|@comptable {m/f}@
@accounting {n}@|@comptabilité {f}@
@accounting records {npl}@|@archives {fpl} comptables@
@accounts {npl} [FIN]@|@comptabilité {f} [FIN], comptes {mpl} [FIN]@
@accounts department {n}@|@comptabilité; service {m} de ~@
@accredit [v tr‚ authorize]@|@accréditer [v tr]@
@accredited [adj]@|@accrédité(e) [adj], attitré(e) [adj]@
@accretion {n} [deposit]@|@dépôt {m}@
@accretion {n} [JUR]@|@agrégation {f}@
@accretive [adv]@|@addition; d'~, addition; par ~@
@accrue [v intr‚ FIN]@|@accumuler; s'~ [v pr‚ FIN]@
@accrue [v tr‚ FIN]@|@intérêts; produire des ~ [FIN]@
@accrued [adj]@|@acquis(e) [adj]@
@accrued charges {npl}@|@frais {mpl} connexes@
@accrued interests {npl}@|@intérêts {mpl} courus@
@accumulate [v intr]@|@accumuler; s'~ [v pr]@
@accumulation {n}@|@accumulation {f}@
@accumulator {n} [ELEC]@|@accu {m} [ÉLEC], accumulateur {m} [ÉLEC]@
@accuracy {n}@|@exactitude {f}}, justesse {f}, précision {f}@
@accurate [adj]@|@exact(e) [adj], ponctuel(le) [adj], précis(e) [adj]@
@accurate; to have an ~ eye@|@compas; avoir le ~ dans l'œil@
@accurately [adv]@|@exactement [adv], précision; avec ~ [loc adv]@
@accusal {n}@|@accusation {f}, plainte {f}@
@accusation {n}@|@accusation {f}, plainte {f}@
@accusative [adj]@|@accusatif (-ive) [adj]@
@accusative {n} [GRAM]@|@accusatif {m} [GRAM]@
@accuse [v tr]@|@accuser [v tr]@
@accused {n} [JUR]@|@accusé(e) [adj], inculpé(e) [adj], prévenu(e) [adj]@
@accuser {n}@|@accusateur {m}, accusatrice {f}@
@accusing [adj]@|@accusateur (-trice) [adj]@
@accustom [v tr]@|@accoutumer [v tr], habituer [v tr]@
@accustom oneself [v pr]@|@accoutumer; s'~ [v pr]@
@accustomed [adj]@|@habitué(e) [adj], habituel(le) [adj]@
@accustomed; to be ~ to@|@coutume; avoir ~ de, habitué; être ~ à@
@accustomed; to become ~ to@|@accoutumer; s'~ à [v pr]@
@accustomed; to get ~@|@accoutumer; s'~ [v pr]@
@accustoming {n}@|@accoutumance {f}@
@ace [adj‚ sl.]@|@extra [adj inv]@
@ace [adj‚ slang]@|@extra [adj inv]@
@ace [v tr]@|@réussir les doigts dans le nez@
@ace {n} [expert]@|@as {m} [crack]@
@ace {n} [playing-card]@|@as {m} [cartes à jouer]@
@ace {n} [tennis]@|@ace {m} [tennis], as {m} [tennis]@
@aceconitic acid {n}@|@acide {m} acéconitique@
@acenaphthene {n}@|@acénaphtène {m}@
@acenaphthylene {n}@|@acénaphtylène {m}@
@acephalous [adj]@|@acéphale [adj]@
@acerb [adj]@|@aigre [adj]@
@acerbic [adj]@|@acerbe [adj]@
@acerbity {n}@|@acerbité {f}@
@aceric acid {n} [CHEM]@|@acide {m} acérique [CHIM]@
@acerinol {n} [CHEM]@|@acérinol {m} [CHIM]@
@acerocin {n} [CHEM]@|@acérocine {f} [CHIM]@
@acerogenic acid {n} [CHEM]@|@acide {m} acérogénique [CHIM]@
@acerosin {n} [CHEM]@|@acérosine {f} [CHIM]@
@acerotin {n} [CHEM]@|@acérotine {f} [CHIM]@
@acetacetate {n} [CHEM]@|@acétylacétate {m} [CHIM]@
@acetal {n} [CHEM]@|@acétal {m} [CHIM]@
@acetaldehyde {n} [CHEM]@|@acétaldéhyde {m} [CHIM]@
@acetamide {n} [CHEM]@|@acétamide {m} [CHIM]@
@acetanilide {n} [CHEM]@|@acétanilide {m} [CHIM]@
@acetate {n} [CHEM]@|@acétate {m} [CHIM]@
@acetate butyrate {n} [CHEM]@|@acétobutyrate {m} [CHIM]@
@acethemin {n} [CHEM]@|@acethémine {f} [CHIM]@
@acetic [adj‚ CHEM]@|@acétique [adj‚ CHIM]@
@acetic acid {n} [CHEM]@|@acide {m} acétique@
@acetify [v tr‚ CHEM]@|@acétifier [v tr‚ CHIM]@
@acetin {n} [CHEM]@|@acétine {f} [CHIM]@
@acetoacetic [adj‚ CHEM]@|@acétylacétique [adj]@
@Acetobacter {n} [BIO]@|@Acétobacter {m} [BIO]@
@acetoin {n} [CHEM]@|@acétoïne {f} [CHIM]@
@acetolysis {n} [CHEM]@|@acétolyse {f} [CHIM]@
@acetone {n} [CHEM]@|@acétone {f} [CHIM], diméthylcétone {f} [CHIM], propanone {f} [CHIM]@
@acetone alcohol {n} [CHEM]@|@acétylcarbinol {m} [CHIM], hydroxyacétone {f} [CHIM], hydroxypropanone {f} [CHIM]@
@acetone bodies {npl}@|@cétoniques; corps {mpl} ~@
@acetonitrile {n} [CHEM]@|@acétonitrile {m} [CHIM], éthane nitrile {m} [CHIM], nitrile acétique {m} [CHIM]@
@acetophenone {n} [CHEM]@|@acétophénone {f}@
@acetous [adj]@|@acéteux (-euse) [adj], acide [adj], aigre [adj]@
@acetyl {n} [CHEM]@|@acétyl- {m} [préfixe], acétyle {m} [CHIM@
@acetyl number {n}@|@indice {m} d'acétyle@
@acetylate [v tr]@|@acétyler [v tr]@
@acetylator {n}@|@acétyleur {m}@
@acetylcholine {n} [BIOCH]@|@acétylcholine {f} [BIOCH]@
@acetylene {n} [CHEM]@|@acétylène {m} [CHIM]@
@acetylenic [adj]@|@acétylénique [adj]@
@acetylide {n}@|@acétylure {m}@
@acetylsalicyl acid {n}@|@acide {m} acétylsalicylique, aspirine ® {f}@
@ache [v intr‚suffer from an ~]@|@douloureux; être ~, mal; avoir ~@
@ache {n} [continuous pain]@|@algie {f} [MÉD], douleur {f}, mal {m} [douleur]@
@ache {n} [mental distress]@|@peine {f} [affliction]@
@ache to [v intr] (+ inf)@|@aspirer à [v tr ind]@
@Acheron {n} [river in Epirus]@|@Achéron {m}[fleuve de l'Épire]@
@Acheron {n} [river in Hades]@|@Achéron {m}[fleuve des Enfers]@
@achieve [v tr‚reach by effort]@|@arriver à [v tr ind], atteindre à [v tr ind]@
@achieve [vt‚acquire a quality]@|@acquérir [v tr‚ une qualité]@
@achieve; to ~ one's ends@|@parvenir à ses fins [v tr ind]@
@achievement {n} [feat]@|@action {f} d'éclat, exploit {m}, fait {m}; haut ~@
@achievement {n}[sth achieved]@|@réalisation {f} [œuvre]@
@Achilles {n} [Greek MYTH]@|@Achille {m} [héros grec]@
@Achilles' heel {n}@|@talon {m} d'Achille@
@Achilles' tendon {n} [ANAT]@|@tendon {m} d'Achille [ANAT]@
@achillin {n} [CHEM]@|@achilline {f} [CHIM]@
@aching [adj]@|@douloureux (-euse) [adj], endolori(e) [adj]@
@aching all over [adj phr]@|@courbaturé(e) [adj]@
@aching; to be ~ all over@|@mal; avoir ~ partout@
@aching; to be ~ to do (fig)@|@mourir d'envie de faire (fig)@
@acholia {n} [PATHOL]@|@acholie {f} [PATHOL]@
@acholic [adj‚ PATHOL]@|@acholique [adj‚ PATHOL]@
@achondroplasia {n} [PATHOL]@|@achondroplasie {f} [PATHOL]@
@achromat {n}@|@achromat {m}@
@achromate [v tr]@|@achromatiser [v tr]@
@achromatic [adj]@|@achromatique [adj]@
@achromatically [adv]@|@achromatique; de façon ~ [adv]@
@achromaticity {n}@|@achromaticité {f}@
@achromatin {n} [GEN]@|@achromatine {f} [GÉN]@
@achromatism {n}@|@achromatisme {m}@
@achromatopsia {n} [PATHOL]@|@achromatopsie {f} [PATHOL]@
@achromia {n} [PATHOL]@|@achromie {f} [PATHOL]@
@achromic [adj]@|@achromique [adj]@
@achy [adj]@|@courbaturé(e) [adj], endolori(e) [adj]@
@achy; I feel rather ~@|@mal; j'ai ~ un peu partout@
@achylia {n} [PATHOL]@|@achylie {f} [PATHOL]@
@achymia {n} [PATHOL]@|@achymie {f} [PATHOL]@
@acicular [adj‚ BOT]@|@aciculaire [adj‚ BOT], pointu(e) comme une aiguille@
@aciculate [adj]@|@aciculé(e) [adj]@
@aciculiform [adj]@|@aciculiforme [adj], aciforme [adj]@
@acid [adj‚ CHEM]@|@acide [adj‚ CHIM]@
@acid [adj‚ GEOL]@|@siliceux (-euse) [adj‚ GÉOL]@
@acid [adj‚ of a colour]@|@intense [adj‚ d'une couleur]@
@acid [adj‚ sour]@|@acide [adj], sur(e) [adj]@
@acid {n} [CHEM]@|@acide {m} [CHIM]@
@acid {n} [Sl.‚ LSD]@|@acide {m} [drogue], LSD {m}@
@acid addition salt {n}@|@sel {m} d'addition d'acide@
@acid amide {n} [CHEM]@|@amide {m} [CHIM]@
@acid egg {n}@|@monte-jus {m}@
@acid equivalent weight {n}@|@poids {m} d'équivalent acide@
@acid former {n}@|@générateur {m} d'acide@
@acid number {n}@|@indice {m} d'acide@
@acid promoted [adj phr]@|@catalysé(e) par un acide@
@acid rain {n} [ECOLO]@|@pluie {f} acide [ÉCOLO]@
@acid range {n} [CHEM‚ pH]@|@domaine {m} acide [CHIM‚ pH]@
@acid salt {n}@|@hydrogénosel {m}, sel {m} acide@
@acid strength {n}@|@acidité {f}@
@acid value {n}@|@indice {m} d'acide@
@acid-fast [adj]@|@acido-resistant(e) [adj]@
@acidic [adj]@|@acide [adj]@
@acidiferous [adj]@|@acidifère [adj]@
@acidifiable [adj]@|@acidifiable [adj]@
@acidification {n}@|@acidification {f}@
@acidified [adj]@|@acidifié(e) [adj]@
@acidifier {n}@|@acidifiant {m}@
@acidify [v intr]@|@acidifier; s'~ [v pr], aigrir [v intr]@
@acidify [v tr]@|@acidifier [v tr], aigrir [v tr‚ rendre aigre]@
@acidifying {n}@|@acidification {f}@
@acidifying; by ~@|@acidifiant; en ~@
@acidimeter {n}@|@acidimètre {m}, pèse-acide {m (~~s ou inv)}@
@acidimetry {n}@|@acidimétrie {f}@
@acidity {n}@|@acidité {f}@
@acidity {n} [esp. of stomach]@|@acidité {f} (de l'estomac), aigreurs {fpl}@
@acidness {n}@|@acidité {f}@
@acidolysis {n}@|@acidolyse {f}@
@acidomycine {n}@|@acidomycine {f}@
@acidophilic [adj]@|@acidophile [adj]@
@acidophilous [adj]@|@acidophile [adj]@
@acidosis {n} [PATHOL]@|@acidose {f} [PATHOL]@
@acid-proof [adj]@|@acido-resistant(e) [adj]@
@acid-soluble [adj]@|@soluble dans les acides@
@acidulate [v tr]@|@aciduler [v tr]@
@acidulous [adj]@|@acidulé(e) [adj]@
@aciform [adj]@|@aciculiforme [adj], aciforme [adj]@
@ack-ack {n} [MIL]@|@artillerie {f} anti-aérienne@
@ack-ack fire {n}@|@tir {m} anti-aérien@
@acknowledge [v tr]@|@reconnaître [v tr]@
@acknowledge receipt [v tr]@|@accuser [v tr]réception, reçu; avoir bien ~@
@acknowledged [adj]@|@autorité; qui fait ~, avéré(e) [adj]@
@acknowledgement {n}@|@reconnaissance {f}@
@acknowledgements {npl}@|@remerciements {npl}@
@acme {n}@|@acmé {m/f}, apogée {f}, summum {m}@
@acne {n}@|@acné {f}@
@acnistin {n}@|@acnistine {f}@
@acoelomate {n} [ZOOL]@|@acœlomate {m} [ZOOL]@
@acolyte {n}@|@acolyte {m}@
@aconic acid {n} [CHEM]@|@acide {m} aconique [CHIM]@
@aconine {n}@|@aconine {f}@
@aconite {n} [BOT]@|@aconit {m} [BOT]@
@aconite {n} [PHARM‚ drug]@|@aconitine {f} [analgésique]@
@aconitic acid {n} [CHEM]@|@acide {m} aconitique [CHIM]@
@aconitine {n}@|@aconitane {m}@
@aconitine {n} [PHARM]@|@aconitine {f} [analgésique]@
@acoradin {n}@|@acoradine {f}@
@acorn {n} [BOT]@|@gland {m} [BOT]@
@acorn sugar {n}@|@quercitol {m}@
@acoustic [adj]@|@acoustique [adj], phonique [adj]@
@acoustic [adj‚ MUS]@|@acoustique [adj‚ MUS]@
@acoustic coupler {n} [TECH]@|@coupleur {m} acoustique [TECH]@
@acoustics {n}@|@acoustique {f}@
@acoustics {n} [PHYS]@|@acoustique {f} [PHYS]@
@acquaint [v tr]@|@apprendre [v tr] à, informer [v tr], renseigner [v tr]@
@acquaintance {n}[knowledge]@|@connaissance {f} [notions de]@
@acquaintance {n}[relations]@|@connaissance {f} [relation], fréquentation {f}@
@acquaintance; to make sb's ~@|@connaissance; faire la ~ de@
@acquainted ; to be ~ with@|@connaître [v tr]@
@acquainted; to become ~ with@|@connaissance;prendre ~ de qqch@
@acquainted;to become ~ with sb@|@connaissance;faire la ~ de qqn@
@acquiesce [v intr] in@|@résigner; se ~ [v pr]@
@acquiesce [v intr‚ agree]@|@accorder; s'~ [v pr], assentiment; donner son ~@
@acquiesce [vi‚ raise no obj.]@|@acquiescer [v intr], consentir [v tr]@
@acquiescence {n}@|@assentiment {m}@
@acquire [v tr‚ obtain]@|@acquérir [v tr], procurer; se ~ [v pr]@
@acquired [adj‚ BIOL]@|@acquis(e) [adj‚ BIOL]@
@acquired [adj‚ obtained]@|@acquis(e) [adj‚ obtenu]@
@acquisition {n} [sth acquired]@|@acquisition {f}[chose acquise]@
@acquisition {n} of [the act]@|@acquisition {f} de [action]@
@acquisitive [adj]@|@âpre au gain [loc adj]@
@acquit [v tr]@|@acquitter [v tr]@
@acquittal {n} [JUR]@|@acquittement {m} [JUR]@
@acre {n} [HIST : 52 ares]@|@acre {m} [anc. mesure agraire]@
@acre {n} [measure of land]@|@acre {m} [40‚47 ares]@
@acre {n} [measure of land‚CAN]@|@acre {m} [4840 verges carrées]@
@acrid [adj‚ bitter in manner]@|@acerbe [adj]@
@acrid [adj‚ bitterly pungent]@|@âcre [adj]@
@acridity {n}@|@âcreté {f}@
@acridly [adv]@|@âcrement [adv]@
@acrimonious [adj]@|@acrimonieux (-euse) [adj]@
@acrimoniously [adv]@|@acrimonie; avec ~ [loc adv]@
@acrimony {n}@|@acrimonie {f}@
@acrobat {n}@|@acrobate {m/f}@
@acrobatic [adj]@|@acrobatique [adj]@
@acrobatic feat {n}@|@acrobatie {f}@
@acrobatics {n} [art of these]@|@acrobatie {f} [art]@
@acrobatics {npl}@|@acrobaties {fpl}@
@acrobatics {npl} [skill]@|@acrobatie {f} [habilité]@
@acrocephalia {n} [PATHOL]@|@acrocéphalie {f} [PATHOL]@
@acrocephalic [adj‚ PATHOL]@|@acrocéphale [adj‚ PATHOL]@
@acrocyanosis {n} [PATHOL]@|@acrocyanose {f} [PATHOL]@
@acrodermatitis {n} [PATHOL]@|@acrodermatite {f} [PATHOL]@
@acrodermatosis {n} [PATHOL]@|@acrodermatose {f} [PATHOL]@
@acromegaly {n} [PATHOL]@|@acromégalie {f} [PATHOL]@
@acromial [adj]@|@acromial(e) [adj]@
@acromion {n} [ANAT]@|@acromion {m} [ANAT]@
@acronym {n}@|@acronyme {m}, sigle {m}@
@acrophobia {n}@|@vertige {m}@
@across [adv‚from 1 side to …]@|@large; de ~, largeur; en ~@
@across [adv‚to the other side]@|@travers; à ~ [loc adv]@
@across [prep‚from 1 side to …]@|@côté; d'un ~ à l'autre de, travers; en ~ de [loc prép]@
@across [to the other side of]@|@travers; à ~ [loc prép]@
@across from [adv]@|@face; en ~ de [loc adv], vis-à-vis [loc adv]@
@across the board [adj]@|@forfaitaire [adj], universel(le) [adj]@
@across the counter [adj]@|@régulier (-ière) [adj]@
@across the sea; lands ~@|@outre-mer; pays d'~@
@acrostic {n}@|@acrostiche {f}@
@acrylate; methyl ~ {n} [CHEM]@|@acrylate {m} de méthyle [CHIM]@
@acrylic [adj‚ CHEM‚ of ~ acid]@|@acrylique [adj‚ CHIM‚ acide ~]@
@acrylic [adj‚ TEX]@|@acrylique [adj‚ TEX]@
@acrylic {n} [an ~ fibre]@|@acrylique {m}, acrylique; fibre {f} ~@
@act [v intr] alone@|@cavalier; faire ~ seul@
@act [v intr‚ behave]@|@agir [v intr‚ se comporter]@
@act [v intr‚ CIN]@|@jouer [v intr‚ CIN]@
@act [v intr‚ exert energy]@|@agir [v intr‚ prod. un effet]@
@act [v intr‚ perform actions]@|@agir [v intr‚ faire qqch]@
@act [v intr‚ pretend]@|@jouer [v intr] la comédie@
@act [v tr sep] out@|@raconter [v tr] en mimant@
@act [v tr] important@|@rengorger; se ~ [v pr‚pavaner]@
@act [v tr‚ CIN‚ THEA]@|@interpréter [v tr‚ CIN‚ THÉÂ], jouer [v tr‚ CIN‚ THÉÂ]@
@act [v tr‚ feign]@|@jouer [v tr‚ feindre]@
@act {n} [action]@|@acte {m}, action {f}@
@act {n} [circus]@|@numéro {m} [cirque‚music-hall]@
@act {n} [THEA]@|@acte {m} [THÉÂ]@
@act as [v tr]@|@office; faire ~ de@
@act of God {n}@|@catastrophe {f} naturelle@
@act of grace {n}@|@amnistie {f}@
@act of Parliament {n}@|@loi {f}@
@act of protest {n} [JUR]@|@protêt {m} [JUR]@
@act on [v tr insep‚ affect]@|@agir sur [v tr ind], influer sur [v tr ind]@
@act openly [v intr]@|@agir à découvert [v intr]@
@act up [v intr‚ misbehave]@|@conduire; se ~ mal [v pr], siennes; faire des ~@
@act up [v intr‚ Sl.]@|@déconner [v intr‚ vulg]@
@act upon [v tr insep]@|@agir [v intr] selon, respecter [v tr‚ suivre], suivre [v tr] à la lettre@
@act; sex ~ {n}@|@acte {m} sexuel@
@ACTH {n} [BIOCH]@|@ACTH {f}[BIOCH], corticotrophine {f} [BIOCH], hormone {f} adrénocorticotrope@
@actin {n} [BIOCH]@|@actine {f} [BIOCH]@
@acting [adj]@|@intérimaire [adj], suppléant(e) [adj], vacataire [adj]@
@acting {n} [CIN‚ THEA‚ TV]@|@métier {m} d'acteur@
@acting minister {n}@|@intérim; ministre {m} par ~@
@actinia {n (-e)} [ZOOL]@|@actinie {f} [ZOOL‚ Cnidaire], anémone {f} de mer [ZOOL]@
@actinic [adj‚ PHYS‚ CHEM]@|@actinique [adj‚ PHYS‚ CHIM]@
@actinic dermatosis {n}[PATHOL]@|@actinodermatose {f} [PATHOL]@
@actinism {n} [PHYS‚ CHEM]@|@actinisme {m} [PHYS‚ CHIM]@
@actinium {n} [CHEM]@|@actinium {m} [CHIM]@
@actinomycete {n} [BACTERIO]@|@actinomycète {m} [BACTÉRIO]@
@actinomycosis {n} [PATHOL]@|@actinomycose {f} [PATHOL]@
@actinon {n} [CHEM‚ Rn-219]@|@actinon {m} [CHIM‚ Rn-219]@
@actinotherapy {n} [MED]@|@actinothérapie {f} [MÉD]@
@action {n} [CIN‚ THEA]@|@action {f} [CIN‚ THÉÂ]@
@action {n} [influence]@|@action {f} [effet produit]@
@action {n} [JUR]@|@action {f} [JUR], instance {f} [JUR]@
@action {n} [process of doing]@|@acte {m}, action {f}, activité {f}@
@action {n} [TECH]@|@mécanisme {m} [TECH]@
@action at law {n} [JUR]@|@procès {m} [JUR]@
@action replay {n} [TV]@|@ralenti {m} [télé]@
@actionable [adj‚ JUR]@|@poursuivable [adj‚ JUR], sujet(te) à procès [loc adj]@
@actions {npl}@|@faits et gestes {pl}@
@activate [v tr]@|@actionner [v tr], activer [v tr]@
@activation {n}@|@activation {f}, stimulation {f}@
@activator {n} [BIOCH]@|@activateur {m} [BIOCH]@
@active [adj]@|@actif (-ive) [adj], agissant(e) [adj]@
@active [adj‚ GRAM]@|@actif (-ive) [adj‚ GRAM]@
@active {n} [GRAM]@|@actif {m} [GRAM], voix {f} active [GRAM]@
@active light {n}@|@voyant {m} lumineux@
@active voice {n} [GRAM]@|@voix {f}active [GRAM]@
@active; to be ~@|@activité; être en ~@
@actively [adv]@|@activement [adv]@
@activism {n}@|@activisme {m}@
