@English@|@Danish@
@abstain@|@afholde sig fra, undlade@
@abstain from@|@afholde, afholde sig fra@
@abstainer@|@sofavælger@
@abstemious@|@afholdende@
@abstention@|@afholdenhed(-en)@
@abstentionist@|@sofavælger@
@abstinences@|@abstinenser@
@abstract@|@abstrakt, slutte, tage bort, teoretisk@
@abstract (from f.x. music)@|@ekstrakt(-en)@
@abstraction@|@tyveri@
@absurd@|@absurd, fornuftsstridig, meningsløs@
@absurdity@|@meningsløshed, urimelighed@
@absurdly low price@|@spotpris@
@abumasum@|@kallun@
@abundance@|@overdådighed, overflod, rigdom@
@abundance of money@|@pengerigelighed@
@abundant@|@righoldig, rundelig@
@abuse@|@fornærme, fornærmelse(-en), misbrug, misbruge, mislighed, overfuse, skælde@
@abysmal@|@afgrundsdyb@
@abyss@|@afgrund(-en), svælg@
@acacia@|@akacie(-en)@
@academic@|@akademisk, student@
@academic degree@|@civilingeniør(-en)@
@academy@|@akademi(-et)@
@Academy Counsil@|@konsistorium(-et)@
@Academy of Fine Arts@|@kunstakademi(-et)@
@academy of music@|@konservatorium(-et), musikkonservatorium@
@acantus@|@akantus(-en)@
@accede@|@acceptere, gå ind på@
@acceded (to)@|@tiltrådt@
@accelerate@|@accelerere, fremskynde, påskynde@
@acceleration@|@acceleration(-en), accelerering(-en), hastighedsforøgelse@
@accelerator@|@gashåndtag(-et), gaspedal(-en), speeder@
@accellerator (step on the~)@|@speeder (træde på speederen)@
@accent@|@accent(-en), accentuere, betoning(-en), lægge vægt på, tonefald@
@accent acute@|@accent aigu (´)@
@accent caron (alt+0711/0780)@|@accent hácek@
@accent circumflex@|@accent cirkumfleks (^)@
@accent diaresis@|@accent trema (¨)@
@accent grave@|@accent grave (`)@
@accent ogonek@|@accent ogonek@
@accented (fx. syllable)@|@trykstærk@
@accentuate@|@accentuere, betone, fremhæve, lægge vægt på, udhæve@
@accept@|@acceptere, akkviescere (aftale), billigelse, godtage, gå ind for, modtage, tage imod, tiltræde@
@accept (giving~)@|@tilsagn@
@accept a burden@|@skuldre@
@acceptable@|@acceptabel, antagelig, plausibel, tilfredsstillende@
@acceptance@|@medhold, tiltrædelse@
@access@|@adgang(-en), angreb(-et), indgang(-en), tilstrømning@
@access road@|@markvej(-en), tilkørselsvej@
@access route@|@tilførselsvej@
@accessibility@|@tilgængelighed@
@accessible@|@tilgængelig, visibel@
@accession@|@erhverv(-et), erhvervelse(-en), tiltrædelse, tilvækst@
@accession of a new King/Queen@|@tronskifte@
@accessory@|@meddelagtig, medskyldig, rekvisit, tilbehør@
@accidence@|@bøjningslære(-en), tilfælde, uheld@
@accidence (conjugation)@|@formlære(-en)@
@accident@|@ulykke, ulykkestilfælde@
@accident insurance@|@ulykkesforsikring@
@accidental@|@hændelig, tilfældig@
@accidental fire@|@ildsvåde (en)@
@accidental shot@|@vådeskud@
@accidentally@|@tilfældigvis@
@accident-prone@|@kommer tit galt afsted, ulykkesfugl@
@acclaim@|@bifald(-et), hylde, tiljuble@
@acclamation@|@applaus(-en), bifald(-et)@
@acclimatization@|@tilpasning@
@acclimatize@|@akklimatisere, tilpasse@
@acclivity@|@skrænt, skråning@
@accolade@|@ridderslag@
@accommodat@|@imødekomme@
@accommodate@|@fuldende, hjælpe, støtte@
@accommodatingly@|@pligtskyldigst@
@accommodation@|@bekvemmelighed(-en), husly, husrum, indbo(-et), lejlighed, lokaleforhold, samtykke@
@accommodation bill@|@rytterveksel@
@accommodative situation@|@lokaleforhold@
@accomodate@|@huse@
@accomodatio@|@plads@
@accomodation@|@aptering(-en), bekvemmelighed(-en)@
@accomodation (space)@|@pladsforhold@
@accomodation for the night@|@natkvarter(-et)@
@accomodation ladder@|@falderebstrappe(-en)@
@accompanied by a man@|@herreselskab@
@accompaniment@|@ledsagelse@
@accompany@|@følge (at/et), følgeskab(-et), gå med, ledsage@
@accompanying boat@|@ledsagebåd(-en)@
@accomplice@|@medskyldig, medskyldig@
@accomplice(crim@|@hjælper@
@accomplish@|@effektuere (udføre), fuldbringe, fuldbyrde, gennemføre, komme om ved, udrette@
@accomplishing very little@|@fåfængt (opnå lidet), udføre meget lidt@
@accomplishment@|@fuldbyrdelse(-en), udførelse@
@accord@|@akkord(-en), enighed(-en)@
@accordance@|@overensstemmelse@
@according to@|@i henhold til, ifølge@
@according to a treaty@|@traktatmæssig@
@according to merit@|@efter fortjeneste@
@according to plan@|@planmæssig@
@according to program/schedule@|@programmæssig@
@according to regulation(s)@|@forskriftsmæssig@
@accordingly@|@altså, følgelig, herefter@
@accordion@|@harmonika, trækharmonika@
@accost@|@antaste, tiltale@
@accoucheur@|@fødselslæge(-en)@
@account@|@konto(-en), mellemværende, redegørelse@
@account book@|@handelsbog(-en), regnskabsbog@
@account by the grocer@|@købmandsregning(-en)@
@account for@|@gøre rede for, redegøre@
@account sales@|@salgsregning@
@account transcript@|@kontoudskrift(-et)@
@accountability@|@medansvar(-et)@
@accountancy@|@bogføring(-en), revision@
@accountant@|@bogholder(-en), regnskabsfører, revisor@
@account-current book@|@reskontro (udligning/regnskab)@
@accounting@|@regnskab@
@accountings@|@regnskaber@
@accoustic@|@lydlig@
@accoutrements@|@grej@
@accredit@|@akkreditere, godkende, tilskrive@
@accrue@|@samle (slå sammen)@
@accrue to@|@tilflyde@
@accrued water in the scrotum@|@vandbrok (hydrocele testis)@
@accrued(interest)@|@påløben, påløben (~rente)@
@accumulate@|@hobe sig op, opdynge, ophobe, opsamle, opspare, påløben, samle, sammenhobe, tårne (sig) op, tårne sig op, vokse@
@accumulation@|@ansamling(-en), ophobning, ophobning, opsamling@
@accumulation of air@|@luftansamling(-en)@
@accumulation of blood@|@blodansamling(-en)@
@accumulative@|@stigende, voksende@
@accumulator@|@akkumulator(-en)@
@accuracy@|@akkuratesse(-en), korrekthed, nøjagtighed, omhu@
@accuracy of fire@|@træfsikkerhed@
@accurate@|@akkurat, korrekt, netop, nøjagtig, omhyggelig, præcis, træfsikker@
@accursed@|@hjemsøgt@
@accusation@|@anklage(-en), beskyldning(-en)@
@accuse@|@anklage(-en), beskylde@
@accuse somebody of theft@|@tyvte@
@accused (the~)@|@tiltalte (juridisk)@
@accustom@|@sædvanlig, vant til, vænne@
@accustom to@|@vænne til@
@accustomed to@|@vant til@
@accustomed to the sea@|@søvant@
@accustomed to work@|@arbejdsvant@
@ace@|@es, nummer ét, stjerne(person)@
@acetic@|@eddikesur, eddikesyre(-en), syrlig@
@acetic acid@|@eddikesyre(-en)@
@acetone@|@acetone, neglelakfjerner(-en)@
@acetous@|@eddikesur@
@acetylsalicylic acid@|@acetylsalicylsyre, aspirin, kodimagnyl(-en), magnyl(-en)@
@ache@|@gøre ondt, pine, smerte, værk, værk (smerte), værke, øm@
@aches@|@knubs@
@achieve@|@opnå, præstere, præstere, udrette@
@achievement@|@bedrift(-en), dåd(-en), præstation@
@Achilles heel@|@Akilles hæl(-en)@
@Achilles tendon@|@Akilles sene(-en)@
@achromatic@|@akromatisk-u. farvespredning@
@acid@|@sur, syre, syrlig@
@acid regurgitation@|@surt opstød@
@acid retort@|@skarpt svar@
@acidic digestive fluid@|@mavesyre(-en)@
@acidify@|@syrne@
@acidity@|@surhed(-en)@
@acidulate@|@forsuring@
@acidulated@|@syrlig@
@acidulation@|@forsuring@
@ack-ack gun@|@luftværnskanon(-en)@
@acknowledge@|@anerkende, bekræfte, erkende, indrømme, medgive, vedgå, vedkende sig, vedstå@
@acknowledgement@|@erkendelse(-en), erkendtlighed(-en)@
@ackward@|@pinagtig@
@acme@|@højdepunkt, indbegrebet af@
@acme(highest)@|@solhøjde@
@acne@|@acne (akne), bumser@
@acorn@|@agern(-et)@
@acorn and beechnut (oak-beech)@|@olden, olden (fællesbetegnelse)@
@acoustic@|@akustisk@
@acoustics@|@akustik(-en), lydforhold@
@acquaint@|@gøre bekendt med, stifte bekendtskab med@
@acquaintance@|@bekendt, bekendt(-en), bekendtskab, bekendtskab(-et), kending(-en), omgangskreds@
@acquiesce@|@akkviescere (aftale), gå med til, indvillige@
@acquiescence@|@føjelighed(-en)@
@acquiescent@|@føjelig, medgørlig@
@acquire@|@anskaffe, erhverve sig, få, indhøste, skaffe@
@acquiring@|@anskaffelse@
@acquisiti@|@havesyge@
@acquisition@|@akkvisition(-en), erhverv(-et), erhvervelse(-en)@
@acquisitive@|@begærlig, bjærgsom, havesyg, med spidse albuer, om sig, possessiv@
@acquisitiveness@|@bjærgsomhed@
@acquit@|@frikende, klare (sig), udføre@
@acre@|@acre (~4047 m²), mål: knap 4047 m²@
@acreage@|@areal(-et) (grundareal)@
@acrid@|@besk, bitter, skarp, syrlig (bemærkning)@
@acrimonious@|@bitter, ramsaltet, skarp@
@acrimonious remark@|@syrlig bemærkning@
@acrobat@|@akrobat(-en)@
@acronym@|@akronym(-et), begyndelsesbogstaver, initialer@
@acronyms@|@akronymer, begyndelsesbogstaver, forkortelser@
@acrophobia@|@højdeskræk@
@across@|@over tværs, tværs@
@across (from)@|@over for@
@across from@|@imod, overfor@
@across there@|@derover@
@act@|@agere, akt(-en), dåd(-en), forholde sig, gerning(-en), gøre, handle, handling, lov(-en), optræde, virke, virke på@
@act of clemency@|@nådesbevisning@
@act of friendship@|@vennetjeneste@
@act of madness@|@galmandsværk(-et)@
@act of providence@|@forsynets styrelse@
@act of respect and kindness@|@cadeau(-en)@
@act of terrorism@|@terrorhandling@
@act of violence@|@voldshandling@
@Act regulating staff/wages@|@normeringlov, normeringslov@
@act the part of the hero@|@helterolle@
@act ultra vires@|@overskride sin kompetence@
@act up to@|@efterleve@
@act upon@|@indvirke@
@act using discretion@|@konduite(-en)@
@act with disregard@|@skalte og valte@
@acting@|@fungerende, handlende@
@acting appointment@|@konstitution(-en)@
@acting as host@|@værtsskab@
@acting temporarily@|@konstitueret@
@action@|@aktion, batalje(-en), funktion(-en), gerning(-en), handling, proces@
@action (jur.)@|@søgsmål@
@action for damages@|@erstatningssag(-en)@
@action-packed@|@handlingsmættet@
@actions@|@handlinger@
@activate@|@aktivere, sætte igang@
@activated charcoal@|@aktivt kul@
@active@|@aktiv, driftig, dådrig, handledygtig, handlekraftig, mobil, vims, virkende, virksom@
@active power@|@virkekraft@
@active service@|@krigstjeneste(-en), tjenstgørende@
@activities@|@færden, virken@
@activity@|@aktivitet, røre, virke (job)@
@activity level@|@aktivitetsniveau@
@actor@|@scenekunstner, skuespiller@
@actress@|@scenekunstner, skuespillerinde@
@Acts (NT)@|@Apostlenes Gerninger (NT)@
@actual@|@egentlig, nuværende, virkelig@
@actually@|@faktisk, i realiteten@
@actuary@|@beregner@
@acumen@|@skarpsindighed@
@acuminate(leaf)@|@tilspidset@
@acute@|@akut, skarp, skarpsindig, skarpsynet, spids, tilspidset@
@acute (meriting no delay)@|@uopsætteligt@
@acute accent@|@aigu@
@acute articular rheumatism@|@gigtfeber(-en)@
@acute gastroenteritis@|@roskildesyge@
@acute-angled@|@spidsvinklet@
@ad@|@annonce(-en)@
@AD (anno domini)@|@e.Kr. (efter Kristi fødsel)@
@ad infinitum@|@i det uendelige@
@ad libitum@|@efter behag@
@ad libitum (as you please)@|@ad libitum (efter behag)@
@ad valorem duty@|@værditold@
@adage@|@devise(-en), ordsprog@
@adamant@|@stivnakket, stivsindet, ubøjelig@
@adamantine@|@hverken - hugge eller stikke i@
@Adam's ale (paraphrase)@|@postevand@
@Adam's apple@|@Adamsæble(-et), strubehoved@
@adap@|@indrette@
@adapt@|@afpasse, omarbejde, tilpas, tilpasse, tilpasse sig, tilrettelægge@
@adapt (to)@|@tillempe@
@adapt for stage@|@dramatisere@
@adapt to@|@indordne, omstille@
@adaptability@|@tilpasningsevne@
@adaptation@|@bearbejdelse(-en), bearbejdning(-en), tilpasning@
@adaptation (sowing)@|@sy om@
@adapter@|@mellemstykke@
@adaption@|@omarbejdelse, tilpasning@
@adaption (harmonize)@|@afstemning (tilpasning)@
@adaption for the screen@|@filmatisering(-en)@
@adaption for the stage@|@dramatisering(-en)@
@add@|@addere, tilføje, tillægge, tilskyde, tilsætte, vedføje@
@add (to story)@|@tildigte@
@add fuel to the fire@|@bringe ved til bålet@
@add spice to a situation@|@kolorit@
@add to@|@forøge, indføje, tilføre@
@add up@|@addere, opgøre, passe, sammentælle, stemme@
@Add words@|@Tilføj ord@
@addenda@|@supplement@
@adder@|@hugorm, snog@
@addessed envelope@|@svarkuvert@
@addict@|@fanatiker(-en), narkoman(-en)@
@addicted@|@afhængig, tilbøjelig, være forfalden til@
@addicted to drinking@|@alkoholiker, drikfældig@
@addiction@|@afhængighed, tilvænning@
@addictive@|@vanedannende@
@add-in@|@tilføjelsesprogram@
@adding/addition to story@|@tildigtning@
@addition@|@addition(-en), sammenlægning, sammentælling, tilbygning, tilføjelse, tilsætning, udbygning@
@additional@|@mer, overskydende, tillægs-, yderligere, øvrig@
@additional consumption@|@merforbrug@
@additional expences@|@ekstraudgifter@
@additional expenditure@|@merudgift@
@additional grant@|@efterbevilling(-en)@
@additional payment@|@efterbetaling(-en)@
@additional tax@|@ekstraskat(-en)@
@additional ticket@|@tilkøbsbillet@
@additional(ly)@|@mere@
@additive@|@tilsætningsstof@
@addled@|@forstyrret (tankemæssigt), forvirret@
@addled brains@|@blød i pæren@
@addlehead@|@blød i pæren@
@address@|@adresse(-en), bopæl(-en), henvende, henvendelse, påskrift@
@address (fx. Your Honor)@|@titulere@
@address (speech)@|@programtale@
@address (to)@|@stile til@
@addressee@|@modtager@
@adduce@|@fremføre@
@adductor muscle (mussels)@|@lukkemuskel(-en)@
@adenoids@|@polypper@
@adenoids (in nose)@|@polyp@
@adept@|@dygtig, ferm@
@adequacy@|@fyldest@
@adequate@|@adækvat, fyldestgørende, passende, rimelig, tilstrækkelig@
@adequate space (to spare)@|@husrum@
@adhere@|@holde sig til, kline, klæbe til@
@adhered to@|@klinet op ad@
@adherent@|@forbundet, klæbende, tilhænger@
@adhering to ~ beliefs@|@ortodoks@
@adhesion@|@fastholdelse(-en), klæben, vedhæftelse@
@adhesive@|@klæbemiddel(-et), klæbestof(-et), klæg, lim@
@adhesive bandage@|@plaster@
@adhesive tape@|@klisterpapir, klæbestrimmel(-en)@
@adhesiveness@|@klæbrighed(-en)@
@adieu@|@farvel@
@adjacent@|@hosliggende, tilgrænsende, tilliggende, tilstødende, ved siden af@
@adjacent angle@|@nabovinkel(-en)@
@adjectival@|@tillægsagtig@
@adjective@|@adjektiv (tillægsord), tillægsord@
@adjoin@|@støde op til@
@adjoining@|@nabo-, tilgrænsende, tilliggende@
@adjoining house@|@nabohus(-et)@
@adjoining land@|@tilliggende@
@adjourn@|@hæve møde@
@adjournment@|@udsættelse@
@adjudicate@|@domsmands mægling, pådømme, retslig mægling@
@adjunct@|@tilknyttet@
@adjunct professor@|@adjunkt@
@adjunctive@|@tilknyttet@
@adjust@|@afpasse, afrette, bilægge, indrette, indstille, justere, regulere, rejicere (forkaste), stille ind, tilpasse@
@adjustable@|@indstillelig, justerbar, regulerbar@
@adjustable spanner@|@skiftenøgle, svensknøgle@
@adjusting@|@afretning(-en), justering@
@adjusting screw@|@stilleskrue@
@adjustment@|@bilæggelse(-en), justering, tilpasning@
@adjustment difficulties@|@tilpasningsvanskeligheder@
@adjutant stork@|@marabustork(-en)@
@adjutant(fx. adjutant-general)@|@adjudant@
@ad-lip@|@improvisere, improviseret@
@adm.of a dead person's estate@|@skifte@
@administer@|@administrere, bestyre, forvalte, give f.eks. medicin, indgive, tildele@
@administration@|@administration(-en), forvaltning(-en), ledelse, regering@
@administration of justice@|@justits, retspleje, retsvæsen@
@administrative manager@|@kurator(-en)@
@administrator@|@administrator(-en), leder(-en)@
@admirable@|@beundringsværdig@
@admiral@|@admiral(-en)@
@admiralty@|@Admiralitetet(-et), marineministeriet@
@Admiralty (the~)@|@søværnskommandoen@
@admiration@|@beundring@
@admire@|@beundre@
@admirer@|@beundrer(-en), tilbeder, ynder@
@admission@|@adgang(-en), entré(-en), indrømmelse(-en), optagelse, vedgåelse@
@admission of failure@|@falliterklæring(-en)@
@admission ticket@|@entrébillet(-en)@
@admission to hospital@|@indlæggelse(-en)@
@admit@|@anerkende, bekende, erkende, indrømme, lukke ind, tilstå, vedgå@
@admit (entrance)@|@tilstede@
@admit (entry)@|@tillade@
@admit into@|@tilføre@
@admittance to a hospital@|@hospitalindlæggelse@
@admitted into@|@indlagt@
@admixture@|@tilsætning@
@admonish@|@formane, påminde@
@admonition@|@advarsel(-en), formaning(-en), påmindelse, reprimande@
@admonitory@|@manende@
@admonitory speech@|@formaningstale(-en)@
@ado@|@hurlumhej, kommers(-en), larm(-en), postyr@
@adolescence@|@pubertet, teenager, ungdom, ungdomstid, ungdomsår, ynglingealder(-en)@
@adolescens@|@opvækst@
@adoloscent@|@halvvoksen@
@adopt@|@adoptere, antage (en indstilling), vælge@
@adopt (f.x. a policy)@|@knæsætte@
@adopted@|@adopteret@
@adopted son@|@plejesøn@
@adoption of report@|@decharge@
@adorable@|@betagende, henrivende, tilbedelsesværdig, yndig@
@adoration@|@tilbedelse@
@adore@|@dyrke, forgude, tilbede, være vild med (betaget af), være vild med(betaget af)@
@adorer@|@tilbeder@
@adorn@|@pryde, pryde, smykke, udsmykke@
@adornment@|@pryd, prydelse, sirat (prydelse)@
@Adriatic (Sea)@|@Adriaterhavet@
@adrift@|@drive, flyde, uden tilknytning@
@adroit@|@adræt, behændig, dygtig, smidig@
@adscript@|@stavnsbunden@
@adscription@|@stavnsbånd@
@adsorb@|@opsuge@
@adsorption (fx.activ charcoal)@|@opsugning, opsugning (fx.med aktivt kul)@
@adulation@|@smiger@
@adult@|@fuldvoksen, moden, voksen@
@adulterate@|@blande op, forfalske@
@adultery@|@utroskab, ægteskabsbrud(-et)@
@adumbrate@|@skitsere@
@adumbration@|@skitsering@
@adumbrationally@|@skitsemæssig@
@advance@|@avancere, fremføre, fremgang(-en), fremskridt(-et), gå frem, gå fremad, opsving, rykke frem@
@advance (fx. money)@|@udlåne@
@advance (money)@|@forstrække, forstrækning (penge), forstrækning(-en)@
@advance (move forward)@|@fremrykning(-en)@
@advance booking@|@forudbestilling(-en)@
@advance by leap and bounds@|@stormskridt (gå frem med~)@
@advance information@|@forhåndsmeddelelse(-en)@
@advance notice@|@forhåndsmeddelelse(-en)@
@advanced@|@avanceret, fremrykket, fremskreden@
@advanced (fx. studies)@|@videregående@
@advanced (position)@|@fremskudt@
@advanced guard@|@avantgarde(-en)@
@advanced in years@|@alderstegen, bedaget@
@advanced sale@|@forsalg(-et)@
@advanced stage of decomposing@|@opløst@
@advanced stage of pregnancy@|@højgravid@
@advancing@|@fremadskridende@
@advantage@|@fordel(-en), fortrin(-et), gavn, gode, nytte@
@advantageous@|@fordelagtig, gunstig, nyttig@
@advantages@|@fordele (flertal)@
@advent@|@advent, begyndelse(-en), komme@
@Advent calendar@|@julekalender(-en)@
@Advent wreath@|@adventskrans(-en)@
@adventageous@|@udbytterig@
@adventitious root@|@birod(-en)@
@adventure@|@eventyr(-et), oplevelse, vovestykke@
@adventure playground@|@skrammellegeplads@
@adventurer@|@eventyrer(-en), lykkeridder(-en)@
@adventuress@|@eventyrerske(-en)@
@adventurous@|@eventyrlig, eventyrlysten@
@adverb@|@adverbium(-et), biord(-et), tillægsord@
@adverb of manner@|@mådeadverbium@
@adverb of place@|@stedsadverbium@
@adverb of time@|@tidsbiord@
@adverbium@|@adverbium(-et)@
@adversary@|@kontrapart, modpart, modspiller, modstander@
@adverse@|@ugunstig, uhensigtsmæssig@
@adverse to@|@mod (imod)@
@adversity@|@modgang, trængsel (modgang)@
@advert@|@annonce(-en)@
@advertise@|@annoncere, avertere, fremlyse, opslå, reklamere, reklamere@
@advertise for@|@efterlyse@
@advertisement@|@annonce(-en), inserat, reklame@
@advertisement board@|@plakattavle@
@advertiser@|@annoncør(-en)@
@advertising@|@annoncere, avertere, reklamere@
@advertising pillar@|@plakatsøjle@
@advertize@|@opreklamere@
@advice@|@retningslinjer, råd@
@advice coloumnist@|@brevkasseredaktør@
@advice of claim@|@skadesanmeldelse@
@adviceable@|@rådelig@
@advisable@|@tilrådelig@
@advisary@|@genpart(-en)@
@advise@|@advisere, råde, tilråde@
@advisedly@|@med fuldt overlæg, tilrådeligt@
@adviser@|@konsulent(-en)@
@advisor@|@rapportør, rådgiver@
@advisory@|@rådgivende@
@advocate@|@advokat(-en), advokere, forfægte, forfægter(-en), forkæmper(-en), gå ind for, husfoged, proponere, rekommandere, sagfører, tilråde@
@advocating@|@forfægtelse(-en)@
@adytum (temple)@|@lønkammer(-et)@
@adz (US)@|@skarøkse, tværøkse@
@adze@|@skarøkse, tværøkse@
@Aegean@|@Ægæiske hav@
@aegis@|@auspicier@
@aegis (protection)@|@ægide (beskyttelse)@
@aerate@|@ilte, lufte@
@aerial@|@antenne(-en), luft - antenne, luftantenne(-en)@
@aerial bombardment@|@luftbombardement(-et)@
@aerial combat@|@luftkamp@
@aerial electricity@|@luftelektricitet@
@aerial photography@|@luftfotografering(-en)@
@aerial roots@|@luftrødder@
@aerial ropeway@|@svævebane, tovbane@
@aerial view (photo)@|@luftfotografi(-et)@
@aerie (birds of prey)@|@rede@
@aerodrome@|@flyveplads(-en)@
@aerodynamic@|@aerodynamisk@
@aeroplane@|@flyvemaskine(-en)@
@aeroplane service@|@flyverute(-en)@
@aertex shirt@|@poloskjorte@
@aesir (Nordic gods)@|@aser@
@aesthete@|@skønånd@
@aesthetic@|@æstetisk@
@aesthetics@|@æstetik(-en)@
@afar@|@langt borte fra@
@affability@|@forekommenhed@
@affable@|@forbindtlig, forekommende, venlig@
@affair@|@affære(-en), anliggende(-et), forhold(-et), sag@
@affairs of State@|@statssager@
@affect@|@anfægte, berøre, berøre, indvirke, påvirke, påvirke@
@affectated@|@krukket@
@affectation@|@affekterethed, krukkeri(-et), skabagtighed@
