@English@|@Persian@
@be refreshed [to]@|@âsudan@
@be related [to]@|@nesbat dâshtan@
@be resolved (upon) [to]@|@banâ budan@
@be resolved [to]@|@qarâr budan, qarâr shodan@
@be rich [to]@|@dârâ budan@
@be ripe [to]@|@rasidan@
@be rumoured [to]@|@shohrat dâshtan@
@be sad [to]@|@ghosse khordan@
@be saved [to]@|@nejât yâftan@
@be separated [to]@|@dur oftâdan@
@be settled [to@|@qarâr budan, qarâr shodan@
@be shaken up [to]@|@tekân khordan@
@be startled [to]@|@tekân khordan@
@be struck [to]@|@kotak khordan@
@be stuck [to]@|@gir kardan@
@be surprised [to]@|@ta'ajjob kardan@
@be tired [to]@|@khaste shodan@
@be upset (of a motor) [to]@|@cap shodan@
@be utterly exhausted [to]@|@dar mândan@
@be victorious [to]@|@ghâleb âmadan@
@be within reach [to]@|@dar dastras budan@
@be worth [to]@|@arzidan@
@beach@|@sâhel@
@bead@|@mohre@
@beak@|@nuk@
@beak (of a bird)@|@menqâr@
@beam (of wood)@|@tir@
@bear@|@khers@
@bear fruit [to]@|@bâr âvardan@
@beard@|@rish@
@bearing witness [subs]@|@shahâdat@
@beast for riding@|@mâl@
@beast of prey@|@dad@
@beat [to]@|@kubidan, zadan@
@beaten [to]@|@kotak khordan@
@beautiful@|@qashang, zibâ@
@beauty@|@adâ, hosn, jamâl, qashangi, vajâhat@
@because@|@az bahr(e), ce, cerâ ke, cun, cunke, ke, zirâ(ke)@
@because of@|@az jehat(e), banâ bar, be vâsete(ye)@
@become [to]@|@gardidan, gashtan, shodan@
@become agitated [to]@|@jush kardan@
@become bothered [to]@|@jush kardan@
@become cordial with s.o. [to@|@ons gereftan@
@become current [to]@|@ravâj yâftan@
@become engaged in [to]@|@pardâkhtan@
@become fond of [to]@|@ons gereftan@
@become object of favour [to]@|@mourede navâzesh vâqe' shodan@
@become quiet [to]@|@qarâr gereftan@
@become steady [to]@|@qarâr gereftan@
@become tired [to]@|@khaste shodan@
@becoming@|@darkhor@
@bed@|@bestar@
@bedclothes@|@rakhte khâb@
@bedstead@|@takhte khâb@
@bee@|@zambur@
@beetle@|@susk@
@beetroot@|@coghondar@
@befit [to]@|@shâyestan (defective)@
@before@|@dar nazd(e), pish(e), qabl, qabl az@
@before (of place)@|@nazd(e)@
@before [conj]@|@pish az ânke@
@before [pre]@|@pish(e)@
@beforehand@|@qablan@
@begetting@|@toulid@
@beggar@|@gadâ@
@begin [to]@|@shoru' kardan@
@beginner@|@mobtadi, nouâmuz@
@beginning@|@âghâz, ebtedâ, mansha', shoru'@
@behind@|@aqab(e), dombâl(e), pas, pei(ye), poshte sar(e)@
@behind (in search of)@|@dar pei(ye)@
@behind ¹@|@az posht(e), dar pas(e), dar posht(e), posht(e)@
@behind ²@|@farâ, farâz@
@behold@|@tâ@
@being a carpenter@|@najjâri@
@being a clerk@|@monshigari@
@being a doctor@|@pezeshki@
@being a governor@|@farmândâri@
@being a herdsman@|@galledâri@
@being a representative@|@namâyandegi@
@being a servant@|@noukari@
@being a Shi'i@|@tashayyo'@
@being a Sunni@|@tasannon@
@being absent@|@gheib@
@being acquainted@|@âshnâi@
@being alone@|@enferâdi@
@being an agent@|@vekâlat@
@being an architect@|@me'mâri@
@being an ass@|@khariyat@
@being annexed@|@enzemâm@
@being awake@|@bidâri@
@being beloved@|@mahbubiyat@
@being broken@|@enkesâr@
@being capable (of doing sthg.)@|@estetâ'at@
@being choleric@|@tondi@
@being concerned (in sthg.)@|@madkhaliyat@
@being dear@|@ghalâ@
@being disturbed@|@parishâni@
@being easy@|@âsâni@
@being economical@|@sarfejui@
@being equal@|@tasâvi@
@being established@|@esteqrâr@
@being far@|@duri@
@being favourable@|@teib, tib@
@being good@|@tib@
@being head (of a department)@|@riâsat@
@being high-priced@|@ghalâ@
@being hot (of food)@|@tondi@
@being in narrow straits@|@tangdasti@
@being in proportion@|@tanâsob@
@being in the company (of)@|@hamrâhi@
@being intimate@|@ons@
@being joined@|@peivastegi@
@being known@|@ma'rufiyat@
@being legal@|@fallâl@
@being liked@|@mahbubiyat@
@being longwinded@|@rudedarâzi@
@being mature@|@pokhtegi@
@being numerous@|@kesrat@
@being occupied (in)@|@eshteghâl@
@being opened@|@eftetâh@
@being opposite@|@barâbari@
@being peppery@|@tondi@
@being pleasant@|@safâ@
@being popular@|@mahbubiyat@
@being present@|@hozur@
@being quarrelsome@|@tondi@
@being shaken@|@tazalzol@
@being twisted (of a rope)@|@tâb@
@being weak@|@ajz@
@being worn out@|@farsudegi@
@belief@|@aqide, bâvar, imân@
@beliefs@|@aqâyed (pl. of aqide)@
@believe (in) [to]@|@geravidan, imân âvardan (be), imân dâdan (be)@
@believe [to]@|@bâvar kardan@
@believer@|@mo'men, mo'taqed@
@believing (in)@|@mo'taqed@
@bell@|@zang@
@belles lettres@|@adab, adabiât@
@belonging (to)@|@molhaq, mota'alleq@
@belonging to@|@az, mâl(e)@
@belonging to a large landlord@|@arbâbi@
@belonging to hot climate place@|@garmsiri@
@belonging to the homeland@|@vatani@
@belonging to the Shi'i sect@|@shi'i@
@belonging to the state@|@doulati@
@belonging to the summer@|@seifi@
@belonging to the world@|@jahâni@
@belongings@|@asbâb (pl. of sabab), bone@
@beloved@|@mahbub@
@below@|@foru, forud, zir@
@bench@|@korsi, nimkat@
@beneath@|@zir@
@benefactor@|@mohsen@
@beneficence@|@ne'mat@
@beneficent@|@mehrabân@
@beneficial@|@mofid@
@benefit@|@ehsân, estefâde, fâede, fâyede, manfa'at, sud@
@benefit [adj]@|@mostafiz@
@benefit [to]@|@estefâde kardan@
@benefits@|@manâfe (pl. of manfa'at)@
@benevolence@|@kheirkhâhi@
@benevolent@|@mehrabân@
@bent@|@kaj, kham@
@berry@|@dân, dâne, habb@
@beseeching@|@eltemâs, ested'â@
@beside@|@nazd(e), pahlu(ye)@
@besides@|@alâve, joz@
@besieged@|@monhaser@
@bestow [to]@|@bakhshudan@
@bestowal@|@atâ@
@bestowed@|@mabzul@
@bet@|@shart@
@betraying one's country [subs]@|@vatanforushi@
@between@|@(fi) mâ bein, bein(e), dar bein(e), miân(e)@
@beware@|@bar hazar (bash), tâ, zenhâr@
@beyond@|@mâ fouq@
@bicycle@|@docarkhe@
@bifurcated@|@doshâkhe@
@big@|@bozorg, gonde@
@biliteral@|@sonâi@
@bill@|@surate hesab@
@bill of exchange@|@bârat@
@bill of lading@|@bârnâme@
@bill of sale@|@qabâle@
@bill-book@|@sarrasidnâme@
@bimetallism@|@dofelezi@
@bind [to]@|@bastan@
@binding (of a book)@|@jeld@
@bird@|@morgh, parande@
@birth@|@milâd, tavallod@
@birthday@|@moulud@
@bit of a bridle@|@dahane@
@bite@|@gâz@
@bite [to]@|@gâz gereftan, gazidan@
@biting@|@gâz@
@bitter@|@talkh@
@bitter orange@|@nârang@
@black@|@meshki, siâh@
@black and blue@|@kabud@
@black earth@|@mâse@
@blackness@|@savâd, siâhi@
@blaming@|@malâmat@
@blandishment@|@nâz@
@blanket@|@patu@
@blaze@|@sho'le@
@blaze [to]@|@afrukhtan, sho'le zadan@
@blaze on horse forehead@|@ghorre@
@blazing@|@sho'levar@
@bleached shirting@|@celvar@
@bleacher@|@gâzor@
@blemish@|@eib@
@blessed@|@homâyun, homâyuni, mobârak@
@blessing@|@barakat@
@blind@|@kur@
@blindness@|@kuri, nâbinâi@
@blister@|@tâvel@
@blocked@|@masdud@
@blood@|@dam, khun@
@bloodshed@|@khunrizi@
@bloodthirsty@|@khunkhâr@
@blossom@|@shekufe@
@blossom [to]@|@damidan@
@blow (with a stick)@|@kotak@
@blow [to]@|@damidan, nafas kashidan@
@blow in the face@|@sili@
@blow with the fist@|@moshtmâli@
@blue@|@âbi, azraq, kabud@
@blunder@|@sahv@
@blunt@|@kond@
@boar@|@gorâz@
@board@|@takhte@
@boast@|@lâf@
@boast [to]@|@lâf zadan@
@boat@|@qâyeq@
@bobbin@|@qerqere@
@bodkin@|@mil@
@body@|@andâm, jesm, kâlbod, tan, tane@
@body (of an aeroplane)@|@badane@
@body of men@|@fouj@
@body of travellers@|@qâfele@
@boil@|@domal@
@boil [intrans] [to]@|@jush khordan, jushidan@
@boil over@|@sar âmadan@
@boiled (of food)@|@âbpaz@
@boiled sweet@|@âbnabât@
@boiling (of water)@|@jush@
@bold@|@delâvar@
@boldness@|@jesârat, jor'at@
@bolster@|@nâzbâlesh@
@bolt@|@qofl@
@bomb@|@bomb@
@bombardment@|@bombârân@
@bomber aeroplane@|@bombafkan@
@bon mot@|@letâfat@
@bond@|@zamânat@
@bondage@|@gereftâri, qeid@
@bone@|@ostokhân@
@bone-setter@|@shekasteband@
@book@|@daftar, jeld, ketâb, sahife@
@book keeping@|@hesâbdâri@
@book-keeper@|@hesâbdâr@
@books@|@kotob (pl. of ketâb)@
@bookseller@|@ketâbforush@
@boon companion@|@nadim@
@boot@|@cakme@
@booty@|@ghanimat, yaghmâ@
@border@|@hâshie@
@bore [to]@|@softan@
@born@|@motavalled, moulud@
@borrowed (of a loan-word)@|@dakhil@
@borrowing@|@eqtebâs@
@bosom@|@bar, sine@
@botanist@|@giâhshenâs@
@botany@|@giâhshenâsi@
@botcher@|@pineduz@
@both@|@har do@
@both...and@|@ham...ham@
@bottle@|@shishe@
@bound@|@baste, moqaiyad@
@bounty@|@feiz, karam, ne'mat@
@bow@|@kamân@
@bowl@|@kâse, tasht@
@bow-string@|@zeh@
@box@|@sanduq@
@box [to]@|@mosht zadan@
@boxing@|@moshtzani@
@box-tree@|@shemshâd@
@boy@|@pesar, shâgerd@
@boy scout@|@pishâhang@
@brackish@|@shur@
@brackishness@|@shuresh@
@bragging@|@lâf@
@brain@|@maghz@
@brains@|@demâgh@
@bran@|@sabus@
@branch@|@far', shâkh, shâkhe, sho'be@
@branches@|@foru' (pl. of far'), sho'ab (pl. of sho'be)@
@brand@|@dâgh@
@brass@|@berenj@
@brave@|@cire, dalir, delâvar, mardâne, shojâ'@
@bravo@|@âfarin, bârak allâh@
@brawl@|@janjâl@
@brazen@|@berenji, porru@
@brazier@|@manqal@
@bread@|@nân@
@bread baked on pebbles@|@sangak@
@breadth@|@pahnâ@
@break@|@tanaffos@
@break [to]@|@shekastan@
@break off [to]@|@gosestan, gosikhtan@
@break up [intrans] [to]@|@be ham khordan@
@break up [to]@|@be ham zadan@
@breakfast@|@nâshtâi, sobhane@
@breaking (an agreement)@|@faskh@
@breaking bounds@|@toghiân@
@breaking off@|@qat'@
@breaking the fast (in Ramazan)@|@eftâr@
@breast@|@bar, sine@
@breast-bone (of a person)@|@janaghe sine@
@breast-bone of a bird@|@janagh@
@breath@|@dam, nafas@
@breathe [to]@|@damidan@
@breathe heavily [to]@|@nafas kashidan@
@breathing space@|@tanaffos@
@bribe@|@reshve@
@brick burner@|@âjorpaz@
@brick burning@|@âjorpazi@
@brick-kiln@|@kure@
@brick-maker@|@kheshtmâl@
@brick-making@|@kheshtmâli@
@bride@|@arus@
@bridegroom@|@dâmâd@
@bridge@|@pol@
@bridge of boats@|@pole shenâvar@
@bridle@|@enân, legâm, mahâr, zemâm@
@briefly@|@ejmâlan, mokhtasaran@
@brigade@|@tip@
@brigadier@|@sartip@
@bright@|@roushan, tond@
@brightness@|@roushanâi, tondi@
@brilliance@|@darakhshandegi, tâbesh@
@brilliant@|@darakhshân, shâyân@
@brimfull@|@sarshâr@
@bring [to]@|@âvardan, âvordan@
@bring back [to]@|@farâ âvardan@
@bring forward [to]@|@pish kashidan@
@bring out [to]@|@dar âvardan@
@bring to mind [to]@|@be khâter âvardan@
@bring up (for discussion) [to]@|@dar miân nehâdan@
@bring up [to]@|@bâr âvardan, farâ âvardan, parvaresh dâdan@
@bringing land into cultivation@|@omrân@
@briskness (of market; etc)@|@garmi@
@broad@|@goshâd, pahn, pahnâvar@
@broad bean@|@bâqelâ@
@broadcast talk@|@sokhanrâni@
@broadcloth@|@mâhut@
@brocade@|@dibâ@
@broil@|@setize@
@broken@|@kharâb, monkaser, shekaste@
@broken in health@|@shekaste@
@broker@|@dallâl@
@brokerage@|@dallâli@
@broth@|@shurvâ@
@brothel@|@fâheshekhâne@
@brother@|@akhavi, barâdar@
@brother [colloq]@|@dâdâsh@
@brought up [to]@|@parvaresh yâftan@
@bruise [to]@|@kubidan, kuftan@
@bruised@|@kabud@
@bruised (of fruit; etc)@|@leh@
@bubble [to]@|@jushidan@
@buck@|@quc@
@bucket@|@dalv, satl@
@bud@|@ghonce@
@budget@|@budje@
@buffalo@|@gâmish, gâvmish@
@buffer@|@hâel@
@bug@|@sâs, sorkhak@
@bug [kind of]@|@sorkhak@
@bugle@|@sheipur@
@bugler@|@sheipurzan@
@build@|@sâkht@
@build [to]@|@banâ kardan@
@builder@|@bannâ@
@building@|@banâ, emârat, sâkhtemân@
@building a dam@|@saddbandi@
@buildings@|@mabâni@
@built (upon)@|@mabnâ, mabni@
@bulb@|@piâz@
@bulky@|@gonde@
@bullet@|@golule, tir@
@bully@|@gardankoloft@
@bunch of grapes@|@khushe@
@bundle@|@daste@
@burn@|@suzesh@
@burn [intrans] [to]@|@sukhtan@
@burning@|@suzesh@
@bush@|@bote@
@business@|@kâr, shoghl@
@business dealing@|@mo'âmele@
@business transaction@|@mo'âmele@
@bustard@|@hubare@
@but@|@ammâ, bal, balke, laken, magar, vali@
@butcher@|@qassâb@
@butcher's shop@|@qassâbkhâne@
@butter@|@kare@
@butterfly@|@parvâne@
@button@|@dogme@
@buy [to]@|@kharidan@
@buyer@|@kharidâr@
@by@|@alâ, az, be@
@by boat@|@bâ kashti@
@by chance@|@ettefâqan, magar, tasâdofan@
@by degrees@|@âheste, be tadrij@
@by God@|@bellâh@
@by God!@|@vallâhe@
@by means@|@az@
@by means of@|@be tavassot(e), be vâsete(ye), be vasile(ye)@
@by night@|@shabâne@
@by sea@|@bâ kashti@
@by the agency of@|@be tavassot(e)@
@by the time that@|@tâ@
@by this means@|@be in vasile@
@by virtue of the fact that@|@be hokme ânke@
@by way of@|@az, be envân(e), be manzele (ye)@
@by way of exception@|@be estesnâ (ye)@
@cab@|@doroshke@
@cabbage@|@kalam@
@cabinet@|@qafase@
@cabman@|@doroshkeci@
@cage@|@qafas@
@calamitous@|@faji'@
@calamity@|@âfat, balâ, baliye, ghâ'ele, mosibat@
@calendar@|@taqvim@
@calf@|@gusâle@
@calico@|@celvar, cit@
@caliph@|@khalife@
@caliphate@|@khelâfat@
@call [to]@|@sadâ zadan@
@call and return call@|@did o bâzdid@
@call to prayer@|@azân@
@call with a loud voice@|@bâ sadâye boland@
@calligraphist@|@khoshnevis@
@calling@|@pishe@
@calling to account@|@bâzkhâst, bâzporsi@
@calling to prayer@|@azân@
@calumny@|@efterâ', tohmat@
@camel@|@shotor@
@camel driver@|@shotorbân@
@camera@|@durbine akkâsi@
@camp@|@ordu@
@camphor@|@kâfur@
@camping-place@|@ordugâh@
@canal@|@nahr@
@canalization@|@lulekashi@
@cancellation@|@elghâ, laghv, naskh@
@cancelling@|@faskh@
@cancelling [subs]@|@naskh@
@cancer@|@saratân@
@candid@|@sâf@
@candidness@|@sarâhat@
@candle@|@sham'@
@candlestick@|@sham'dân@
@candy@|@âbnabât@
@cannon@|@tup@
@capable@|@lâeq, lâyeq, mosta'edd@
@capable of@|@ahle fann, qâbel(e)@
@capacity@|@kefâyat, zarfiyat@
@cape@|@damaghe, ra's@
@capital@|@mâye@
@capital (money; stock)@|@sarmâye@
@capital city@|@markaz, pâitakht@
@capitalism@|@sarmâyedâri@
@capitalist@|@sarmâyedâr@
@captain (military)@|@sarvân@
@captain (naval)@|@nâkhodâ@
@captive@|@asir@
@captured@|@gereftâr@
@carafe@|@shishe@
@caravan@|@kârvân, qâfele@
@caravanserai@|@kârvânsarâ, khân@
@carcase@|@lâsh@
@carcass@|@lâsh@
@cardamom@|@hel@
@care@|@ehtemâm, ehteyât, e'tenâ, morâqebat ¹@
@careful@|@ta'ammol@
@careless@|@bie'tenâ, ghâfel, lâ obâli@
@carelessness@|@bie'tenâ'i, gheflat, taghâfol@
@caress [to]@|@navâkhtan@
@carnation@|@mikhak@
@carpenter@|@dorudgar, najjâr@
@carpentry@|@najjâri@
@carpet@|@basât, farsh, qâli@
@carpet [to]@|@farsh kardan@
@carpet-weaver@|@qâlibâf@
@carpet-weaving@|@qâlibâfi@
@carrier@|@mokâri@
@carrion@|@mordâr@
@carrot@|@havij, zardak@
@carrot [kind of]@|@zardak@
@carry [to]@|@bordan@
@carry away [to]@|@bordan@
@carry off [to]@|@bordan, dast bordan@
@carry off as booty [to]@|@be ghârat bordan@
@carry on the back [to]@|@kul gereftan, kul kardan@
@carry out (a task) [to@|@az ohde birun âmadan@
@carry out [to]@|@adâ kardan@
@carrying@|@haml@
@carrying loads@|@bârkash@
@carrying on a lawsuit@|@morâfe'e@
@cart@|@carkh, gâri@
@carter@|@carkhi, gârici@
@cartridge@|@feshang@
@case@|@moured, mouzu', qâb@
@case in point@|@masal@
@cash@|@naqd@
@cash [to]@|@naqd kardan@
@cash account@|@rizhesâb@
@cashier@|@sanduqdâr@
@casing@|@rudkhâne@
@casket@|@sanduq@
@Caspian Sea@|@bahre khazar@
@cast anchor [to]@|@langar andâkhtan@
@cast away [to]@|@rikhtan@
@cast the evil eye on [to]@|@cashm zadan@
@castle@|@hesâr@
@castor sugar@|@shakar, shekar@
@casualties@|@talafât@
@cat@|@gorbe@
@catarrh@|@zokâm@
@catch (of a fire; etc) [to]@|@gereftan@
@catch [to]@|@dar gereftan@
@catch a chill [to]@|@câidan@
@catch by surprise [to]@|@ghâfelgir kardan@
@catch cold [to]@|@sarmâ khordan@
@catch fire [to]@|@âtesh gereftan@
@catch on [to]@|@dar gereftan, gereftan@
@catching a chill@|@sarmâkhordegi@
@category@|@senf@
@caught@|@gereftâr@
@cauldron@|@dig@
@cauliflower@|@gole kalam@
@cause@|@bâ'es, ellat, jehat, moured, mujeb, sabab@
@cause (s.o.) to determine [to]@|@bar ân dâshtan@
@cause injury [to]@|@latme zadan@
@cause loss [to]@|@latme zadan@
@cause of weakness@|@mâyeye za'f@
@cause to graze [to]@|@carânidan@
@cause trouble on the sly [to]@|@angolak kardan@
@causes@|@asbâb (pl. of sabab), avâmel (pl. of âmel)@
@causing inconvenience@|@mozâhem@
@causing to act@|@e'mâl@
@causing to operate@|@e'mâl@
@cautery@|@dâgh@
@caution@|@ehteyât@
@cave@|@ghâr@
@ceasing from labour@|@fâregh@
@cedar@|@kâj, sarve âzâd@
@celebrate (a holiday) [to]@|@jashn gereftan@
@celebrated@|@nâmvar@
@celebration@|@jashn@
@celery@|@karafs@
@cellar@|@sardâb, zirzamin, zirzamini@
@cement@|@simân@
@cemetery@|@qabrestân@
@censure@|@malâmat@
@central@|@markazi@
@centralisation@|@tamarkoz@
@centralize [to]@|@tamarkoz dâdan@
@centre@|@markaz@
@centre of gravity@|@markaze seql@
@century@|@qarn@
@ceremonial cleaning@|@vozu'@
@ceremonially unclean@|@nejes@
@ceremonies@|@tashrifât (pl. of tashrif)@
@ceremony@|@âin@
@certain@|@hatmi, mosallam, motma'enn, sâbet, yaqin@
@certainly@|@albatté@
@certainty@|@hatm, yaqin@
@certificate@|@gavâhinâme, tasdiqnâme@
@chain@|@selsele, zanjir@
@chair@|@sandali@
@chamber (of a rifle)@|@khazâne@
@chameleon@|@buqalamun@
@champion@|@pahlavân, qahramân@
@chance@|@gardun@
@chance happening@|@tasâdof@
@chandler@|@allaf@
@change@|@badal, tabdil, taghyir@
@change (condition)@|@tahavvol@
@changeable@|@monqaleb@
@changed@|@mobaddal, mohavval@
@chapter@|@bâb@
@chapter of the Qor'ân@|@sure@
@character@|@akhlâq (pl. of kholq)@
@charcoal@|@zoghâle cub@
@charge@|@da'vâ, ettehâm, ma'muriyat, ohde, tahvil@
@chargé d'affaires@|@kârdâr@
@charged (with)@|@motasaddi, ohdedâr@
@charged with a duty@|@mokallaf, movazzaf@
@charitable@|@kheirkhâh@
@charitable work(s)@|@kheiriye@
@charity@|@kheir@
@charm@|@jâdu@
@charming@|@delrobâ@
@charter@|@asâsnâme, manshur@
@chase@|@seid, shekâr@
@chaste@|@afif, pârsâ@
@chastise [to]@|@adab kardan@
@chastity@|@effat, nâmus, parhzigâri@
@chatter [to]@|@câne zadan@
@cheap@|@arzân@
@cheat@|@qallâbi@
@cheat s.o. [to]@|@kolâh sar kasi gozâshtan, kolâhe kasi bar dâshtan@
@checking [subs]@|@bâzrasi@
@cheek@|@rokh@
@cheerful@|@bashshâsh, khosh, shâd, shâdmân@
@cheerfulness@|@khoshi, neshât@
@cheese@|@panir@
@cheetah@|@yuz@
@chemical@|@shimiâi@
@chemist@|@dârusaz, dârushorush, davâforush@
@chemistry@|@shimi@
@cheque@|@bârat, cek@
@cherry@|@gilâs@
@chest@|@sanduq@
@chewing the cud@|@neshkhâr@
@chicken@|@juje@
@chick-pea@|@nokhodci@
@chief@|@omde, ra'is, sardâr@
@chief landowner in a village@|@arbâb (pl. of rabb)@
@chief petty officer (naval)@|@nâvostavâr@
@chiefs@|@ro'asâ (pl. of ra'is)@
@child@|@bacce, bace, farzand, tefl@
@childhood@|@baccegi, bacegi@
@childish@|@baccegâne, bacegâne@
@childishly@|@baccegâne, bacegâne@
@children@|@oulâd (pl. of valad)@
@chill@|@sarmâkhordegi@
@chimney@|@bokhâri, dudkash@
@chin@|@câne@
@china@|@cini@
@China@|@cin@
@Chinese@|@cini@
@chivalry@|@fotovvat, morovvat@
@choice@|@ekhteyâr, entekhâb, momtâz@
@choice part of anything@|@nokhbe@
@cholera@|@vabâ@
@choleric@|@tond@
@choose [to]@|@bar gozidan, entekhâb kardan, gozidan@
@chosen@|@montakhab, mostafâ@
@chosen by election@|@entekhâbi@
@Christian@|@isavi, nasrâni@
@Christianity@|@nasrâniyat@
@Christmas@|@ide milâd@
@chronic@|@mozmen@
@church@|@kalisâ@
@cinnamon@|@dârcin@
@cipher@|@ramz@
@circle@|@dâere, dâyere, halqe@
@circulating freely@|@râ'ej, ravâj, râyej@
@circulation@|@gardesh, jariân, obur o morur, ravâj@
@circumference@|@dour, mohit@
@circumspect@|@ma'âlandish@
@circumspection@|@molâheze@
@circumstance@|@cegunegi@
@circumstances@|@keifiyat@
@cities@|@belâd, boldân@
@citing before a judge@|@mohâkame@
@city@|@shahr@
@civil@|@madani, mo'addab@
@civility@|@modârâ@
@civilization@|@tamaddon@
@civilized@|@motamadden@
@claim@|@haqq, modda'â, talab@
@claimant@|@modda'i@
@clan@|@tire@
@clarified butter@|@roughan@
@class@|@jamâ'at, senkh@
@class (social)@|@tabaqe@
@classical (of a language)@|@fasih@
@claw@|@cangâl, nâkhon@
@claw of a wild beast@|@cang@
@claws (of a bird)@|@panje@
@clay@|@gel, gele ros, lâi, tin@
@clean@|@pâk, pâkize, tamiz, tamyiz@
@clean [to]@|@zadudan@
@cleaning out@|@hafr@
@cleanliness@|@nezâfat, pâki@
@clear@|@bârez, fâsh, namâyân, sâf, sarih, vâzeh, zâher@
@clear away snow (spade) [to]@|@pâru kardan@
@clear soup@|@âbgusht@
@clearing silt from channels@|@lârubi@
@clear-sighted@|@sâhebnazar@
@clerk@|@monshi@
@climate@|@âb o havâ@
@clinic@|@darmângâh@
@cloak@|@abâ@
@cloak [kind of]@|@abâ@
@clock@|@sâ'at@
@clod of earth@|@kolukh@
@close@|@khafe@
@closed@|@masdud@
@cloth@|@pârce@
@clothe [to]@|@pushidan@
@clothes-brush@|@mâhutpâkkon@
@clothes-moth@|@bid@
@clothing@|@pushâk@
@cloud@|@abr@
@clove@|@mikhak@
@clover@|@shabdar@
@club@|@gorz@
@club (social)@|@bâshgâh, kânun@
@cluster of grapes@|@khushe@
@coal@|@zoghâl, zoghâle sang@
@coalition@|@e'telâf@
@coarse@|@ghaliz, khashen, rakik, zebr@
@coarse kind of carpet@|@gelim@
@coarse linen@|@kerbâs@
@coast@|@kenâr, lab, sâhel@
@cob@|@yâbu@
@co-believer@|@hamaqide@
@cock@|@khorus@
@coconut@|@nârgil@
@coffee@|@qahve@
@cog@|@dandâne, dande@
@coin@|@sekke@
@coiner of false money@|@qallâbi@
@cold@|@sard, zokâm@
@cold (noun)@|@sarmâ@
@collar@|@garibân, yakhe, yaqe@
@collating@|@moqâbele@
@collect [to]@|@andukhtan, cidan, jam' kardan@
@collecting@|@jam'@
@collection@|@majmu'e@
@collection (of taxes; etc)@|@vosul@
@collection of poems@|@divân@
@college of a university@|@dâneshkade@
@colliding@|@tasâdom@
@collision@|@tasâdom@
@colloquies (of great men)@|@mohâzerât@
@collusion@|@sâzesh@
@collyrium@|@kohl, sorme@
@colonel@|@sarhang yakom@
@colonial@|@este'mâri@
@colonization@|@este'mâr@
