@English@|@Ukrainian@
@acrimonies@|@уїдливість@
@acrimonious@|@уїдливий@
@acrimony@|@уїдливість@
@acrobat@|@акробат@
@acrobatic@|@акробатичний@
@acrobatics@|@акробатика, витівки, гімнастика, номера, номери@
@acrobats@|@акробати@
@acromacria@|@арахнодактилія@
@acromegaly@|@акромегалія@
@acro-osteolysis@|@акроостеоліз@
@acropolis@|@акрополь@
@acropolises@|@акрополі@
@across@|@впоперек, через@
@acrostic@|@акровірш@
@acrylic@|@акриловий@
@act@|@акт, вчинити, вчинок, вчиняти, грати, дія, діяти, закон, поводитися, чинити@
@acted@|@діється@
@acting@|@гра, дійовий, діючий, дія, чинний@
@actinia@|@актинія@
@actinias@|@актинії@
@actinic@|@актинічний@
@actinism@|@актинічність@
@actinium@|@актиній@
@actinoid@|@актиноїд@
@actinokymogram@|@рентгенокімограма@
@actinokymography@|@рентгенокімографія@
@action@|@акція, бій, виступ, вплив, вчинок, дію, дія, діяльність, діяння, ефект, звинувачення, звинувачування, обвинувачення, обвинувачування, позов, учинок, чинність@
@actions@|@дії@
@activate@|@активізувати, активуйте@
@activated@|@активована, активоване, активований@
@activates@|@активує@
@activating@|@активування@
@activation@|@активаційна, активаційне, активаційний, активація@
@activations@|@активації@
@activator@|@активатор@
@active@|@активна, активне, активний, ввімкнути, діючий, енергійний, самодіяльний, увімкнути@
@actively@|@активно@
@activist@|@активіст, енергійний@
@activists@|@активісти@
@activities@|@діяльність@
@activity@|@активність, діяльність, енергія, пожвавлення, спритність@
