@English@|@Laotian (romanized)@
@A water bird the size of a teal@|@pá hein@
@a weak knock@|@bat khory@
@A weak word ending in a short vowel@|@kham la hu@
@a weapon which can kill one hndred persons at a stroke@|@sá tack kha ni:@
@a welcoming phrase@|@sá var kha ta@
@a white fish measuring six inches@|@pa: taeb@
@a white flat-bodied finger length fish@|@pa: mang@
@a white scaleless fish measuring six inches and having soft flesh@|@pa: xeuam@
@a white silkweed used medicinally@|@ngiv don@
@A white wide fish with a long mouth and red tail@|@pa: sa tho@
@a white-spotted mushroom@|@khao khay@
@a whole year@|@tang pi@
@a wild fowl of the forest@|@kay theun@
@a wild fowl of thefields@|@kay na@
@a winged creature@|@kin na ri, kin na ron@
@a winged lizard@|@ka phom phik@
@a wish for a happy marriage@|@phua keo mai thip@
@a wish for happiness@|@sá vard di: mong khon@
@a witness@|@pen pha yan@
@a woman who has been widowed several time@|@phae phua@
@a woman whose husband is still alive@|@xi va phat ta ni@
@a women capable of love@|@ka mi ni@
@a wooden bell with clapper or stick@|@kor lor@
@a wooden or metal hook@|@khor hoy@
@a wooden supporting frame used for transporting rockets for festivals@|@kha khia@
@a wooden tablet for writing@|@ka darn hin@
@a word used for emphasis at the end of a sentence (not translated)@|@ka day@
@a worm living in rotted wood@|@kha muan@
@a woven bamboo container resembling a pocket@|@ka long@
@a year and a few months@|@pi pai@
@a yellow and black cicada@|@meng kat@
@a yellow lizard living in the sand@|@tua ngae@
@a young bud@|@nguang tan@
@aa a example; acccording to a pattern@|@khi tua yang@
@abacus@|@ka bat nap, lù:k khīt, sû:t lauk khid@
@abandon@|@haem hang, lā sear, né: ra nar tha, nyok lerk, pá la, pá poy hai, pá sear, pory pa, pory pa la lery, pory siay, pory thim, sá la, sá la, sá la la thim, sá la la thim, sá la thim, sá la thim, sá la thim, sá la thim, sá phāt, thor thoy, vá:ng pa pao, xang thor@
@abandon  village@|@hang ban@
@abandon a sentry post@|@thim yam@
@abandon hope of living@|@pong a lay@
@abandon leave@|@pá them@
@abandon or forsake a wife@|@thim miay@
@abandon or forsake one’s parents@|@thim phor mae@
@abandon or throw down one’s work@|@thim kan ngan@
@abandon the effort@|@leuk lom khuam pa nhar nharm@
@abandoned@|@theuk pha la@
@abandoned house@|@heun hang@
@abandoned ricefield@|@ná: heua@
@abasement@|@kan kom long@
@abashed@|@tok kha ma@
@abate@|@lōt noy long, pá noud, pá thaow, sā:ng@
@abattoir@|@hong kha sat@
@abbess@|@á thi kar ri ni:, me a thi kan@
@abbot@|@á thi karn vard@
@abbot of a group of monasteries@|@chao a thi kan@
@abbot of a wat@|@chao a vat@
@abbot of a wat or monastery@|@chao vat@
@abbr. Christian era; A.D.@|@khá sor@
@abbreviation for hours@|@xor mor@
@abbreviation; initial letter@|@ák son nhor@
@abdicate@|@sá la rard xa som bard, sá la rard xa som bard, yā kan@
@abdomen@|@pum, thong@
@abhor@|@khi nay, láng kîa:t, xang@
@abhorrent@|@pá ti koun@
@abide@|@phak a say@
@ability@|@fi mai lay meu, khuem sa mad, sá mard tha, sá mard tha pharp, să: mard tha pharb@
@abjuration@|@pat chut@
@abjure@|@thon sa ban@
@ablation@|@kan khat ork@
@able dirt on the body@|@khi khang khae@
@able to swallw easily@|@keun long khor dai@
@able-body man@|@xai sa kan@
@ablution@|@kan hud song@
@abmormal@|@vi karn@
@abnegation@|@kan sa la thim@
@abnormal@|@á nīd nhom, phi kon, phit pong ka ti, phit sang kaet, vi sar man, vip pa lard@
@abnormal in size@|@khong kang@
@abnormal mentality@|@chit bok phong@
@abode of the gods@|@sú rar lay@
@abolish@|@lòm lerk, nyok lerk@
@abolish slavery@|@leuk thard@
@aborad@|@bon heu@
@abort@|@thaeng@
@abound@|@mi thom thae pay@
@abounding@|@á nek nong@
@about@|@hao day, này la vang, phor pha man@
@About@|@hao@
@about equal@|@láy līa:@
@about ot arrive@|@kay cha ma leow@
@about to@|@keup cha@
@about to end@|@keup sot thay laev@
@about to give birth@|@thong kae@
@about to rain@|@tua pha tua phon, tua phon@
@above@|@beung bon, khang bon, khang therng, thang theng, thang therng, therng, yu therng@
@aboveboard@|@paen na pen ta@
@above-mentioned@|@khang ton@
@Abrasive@|@pô:k, pô:k, pô:k, pô:k@
@abroad@|@nork, vi rard@
@abrogate@|@lòm lerk, pherk thon@
@abrupt rock@|@pha tang@
@abruptly@|@pat chu ban than duan@
@abscess@|@fi dip@
@absence@|@á phā vā, kan bor yu@
@absence of disease@|@á rauk@
@absent from school@|@khat hong hian@
@absentminded@|@chay loy, khat sa ti@
@absolute(ly)@|@det khat@
@absolutely@|@an khard, pen an ta lay, pen daet khat, pen vang, yang dat khat@
@absolutely sure@|@nea leua keun@
@Absolutely! Indeed!@|@ching chang@
@absolution@|@ma nat@
@absorb@|@xae xeum@
@absorbed@|@xeum@
@absorbent cotton@|@fay som li, săm li:@
@abstain@|@bor ork siang, ngot vaen@
@abstention@|@kan ngot ven, vé: rar ma ni:, vi rom ma na@
@abstention from desire@|@sá mút seid@
@abstinence@|@á thi và:t sa na, kan ngot ven, kha ma, sát ta nha khor si ti:, vi rom ma na@
@abstract@|@lerm ao, ná:m ma tham@
@absurb@|@phi leuk@
@absurd@|@phi leuk heuk na, thi sa deng va ngo@
@absurdity@|@săm phard pa larp, săm phard pa larp@
@abundance@|@cha rern, phay boun@
@abundant@|@á nan ta, á nek á nan, á nek pa karn, á nek pa karn, bor ra bun, da dat, dok, mak may kay kong, nong, pheung, phit sa lang, phun, phun phon, sá lang, sá lon, thom phay, thom thae, xa va lit@
@abundant; much@|@de@
@abuse@|@lor luang, phan chan, xai-arm nard@
@abuse one's power@|@sá daeng am nard bard nhay@
@abuse or misuse of power@|@kan say am nat nay na thi pheu suan tua@
@abusive@|@pha ru sa@
@abyss@|@á khā:t@
@academic year@|@pi karn seuk sar@
@academician@|@ban dit@
@academy@|@ban dit sa than@
@acarice@|@mat sa ri ya@
@accede@|@nyin nyom, sá nong, sá nong@
@accelerate@|@heng, heng meu@
@accent@|@săm nieng@
@accentuation@|@kan say kheung khvam ak son@
@accept@|@hap, hap ao, hap xop, sá nong, sá nong@
@accept an idea or proposal@|@hap khuam@
@accept in principle@|@hap lak than@
@accept misfortune@|@sĭa: khor, sĭa: khor@
@accept responsibility@|@hap phit hap xop, hap phit xop, làp phid xorp@
@accept the conditions@|@nyom tam@
@accept to do according to someone's desire@|@khan a sa@
@accept to reimburse@|@hap xay@
@accept to serve@|@hap xay@
@acceptable@|@phor au@
@acceptance@|@sát ta karn@
@acceptance of an offer or proposal@|@kan sa nong@
@accessible@|@khao phop ngay@
@accidental fire@|@ák khi: phay@
@accidentally@|@doy bang ern, pha ern@
@acclaim@|@peng siang hong@
@acclamation@|@kan hong ho@
@acclimated@|@lung nam, lung nam lung din, lung nam lung nhar@
@accompanied by@|@tam ma duay@
@accompanied by good manners and character@|@ngam phin vin@
@accompany@|@pay pen pheuan, pay pheuan, pay song, sōng@
@accompany the king or prince@|@tam sa dat@
@accomplice@|@phu huam chay, phu som hu huam khit, sŏm hou pen chay, xeuy@
@accomplish@|@bam phen, hap phon kan ka tham, pha daet, săm buan, săm leid lou luang pay@
@accomplishment@|@á thi pá tay, pá sid thi pharb, săng sid, săng sid thi@
@accomplisnment@|@pá sid@
@accord with a style@|@khao ken@
@according to@|@doy khuam pa song, leaw tae, neuang dauy, sák tae var, sút laew tae, sút tae, sút tae var@
@according to custom@|@tam tham niam@
@According to natural principles@|@á nū lom, á nū lom, á nū lom, á nū lom@
@according to pattem@|@tam bep@
@according to prescription@|@ban yat vay@
@according to reality@|@tam mi@
@according to reports@|@tam lay ngan@
@according to the destiny@|@tam tae naen pen@
@according to the facts@|@tam khuam ching@
@according to the text@|@doy at@
@according to what there is@|@tam tae mi@
@according too@|@tam@
@accost@|@khao ma thak thay, khao phang@
@account@|@ban xi, ban xi@
@account book@|@sá mút ban xi:@
@accountant@|@sá mou ban xi:@
@accounts and ledgers@|@ban xi han kha@
@accounts payable@|@ban xi chao ni@
@accounts receiveable@|@ban xi luk ni@
@accredit@|@het hay kert xeu theu@
@accumulate@|@kep hom, kep huav huam, kep kop koy, sá som, sâ:ng som, sāng som, sŏm sang@
@accumulate little by little@|@pá som pá sar@
@accumulation@|@sá mou thay@
@accumulation of riches@|@săn ni thi@
@accurate@|@nea non, nea non, thiang kong@
@accurate of a weapon)@|@maen yam@
@accusation@|@chot tha na, kan kao thot, kham fong, kham fong, khor ha, khor khaov ha, khor tu ha@
@accusation charge allegation@|@kham kao ha@
@accusative case@|@kam ma ka lok@
@accuse@|@bor li phat, fong san, kao chom ti, kao thot say, ti hay, ti thot@
@accuse falsely@|@bit khuam ching, fong khuam thaet@
@accuse or denounce each other@|@fong kan@
@accuse penalty@|@tu thot@
@accuse unjustly@|@kao ha, sāy hai pai si:@
@accused@|@phu theuk kao ha, theuk phong, theukk khuam@
@accuser@|@phu kao ha@
@accustomed to@|@lung@
@accustomed to eat used to eat used to go@|@kherg kin@
@accustomed to hearing@|@dang khery day yin@
@acent@|@thad kan@
@acerbe@|@pâ:k cheb, pâ:k cheb@
@acetate@|@keu nam kot a sa tik@
@acetylene lamp@|@kat fay@
@ache@|@puat@
@ache all over@|@chep kherng@
@ache all over the body@|@puat khing@
@achieve@|@să: thid@
@achieve sanctity@|@săm leid or la han@
@achievement@|@á thi khom, săm rid, săm rid, săm rid thi: phon, săm rid thi: phon@
@Achilles tendon@|@ka nong@
@aching@|@puat hao@
@acid@|@kot, nàm kod, ya kat@
@acid banana@|@kuay som@
@acid in taste@|@sôm@
@acid taste@|@lōt som@
@acient title of the minister of agriculture@|@kom na@
@acknoledgment@|@sát ta karn@
@acknowledge@|@xap@
@acknwoledgement of debt given by the debtor to the authorities@|@kom than@
@acne@|@fot heu, si:v, si:v@
@acquire dishonestly@|@dai ma doy bor xop@
@acquire knowledge@|@dai khuam hu@
@acquire merit@|@dai boun, sâ:ng boun@
@acquisition@|@á thi khom, kan dai ma, khong thi day ma@
@acquisition of personality@|@át ta pa ti larb@
@acquisitive merit@|@pha la ni song@
@acquit@|@pory hay phon thot@
@acquitial@|@kan phoy tua cam lery@
@acrid@|@khiv@
@acrid(odor@|@khiv@
@across@|@kham@
@across legs@|@nāng khau lung@
@act@|@het, ká tham, kan tham tha, kom, pá ti bad ngarn, sá daeng ki li nhar, sâ:k soud thai, tham tha@
@act (drama)@|@sá daeng la khon@
@act according to the law@|@chat kan tam kot mai, chat kan tam kot mai@
@act as a representative or agent@|@chat kan taen@
@act conspicuously@|@sá daeng den@
@act contrarily@|@feun@
@act contrary@|@pha lao@
@act contrary to the usual or normal@|@feun tham ma da@
@act dishonorably@|@sĭa: khon@
@act dissatisfied@|@sá daeng ki li nhar yang bor phor chay@
@act fearfully@|@pho vo@
@act for@|@tang hu tang ta, vā: tang@
@act forcefully@|@sŏm bauk sŏm ban@
@act gradually@|@khoy tham@
@act hurriedly@|@lūk lee lūk lon@
@act impolitely@|@vá:ng thar vá:ng thang an bor pen tar beung tar nheang@
@act in accordance with one’s duty@|@ka tham tam na thi@
@act in concert@|@hum het@
@act in place of@|@het tang@
@act in spite of oneself@|@feun chay@
@act like a child@|@tham ki li ya kheu dek noy@
@act of giving birth@|@pá soud ti kam@
@act of seeing gracious objects@|@that sa na nut ta ri ya@
@act of taking out@|@kan o thong@
@act or believe@|@nyua@
@act or speak to save one’s honor afetr a dishonorable act@|@kae na@
@act politely@|@sá daeng ki li nhar@
@act secretly@|@lāk tham@
@act to save face or reputation@|@khay pha ua na hot@
@act tyrannically@|@sá daeng am nard@
@act unexpectedly@|@phor vor@
@act within the scope of one’s authority@|@ka tham tam khob am nat@
@acting@|@phu hak sa kan thaen, vā: karn, vā: karn thaen, var thi:@
@Acting as@|@hak sa kan thaen@
@acting leader@|@pou rei cha rik@
@acting slowly@|@duam diam@
@action@|@kan ka tham, ki ri ya, sá nied@
@action of calming@|@sá ma na@
@action of cleaning@|@sŏ: tha na@
@action of composition@|@nyo kha@
@action of drinking together@|@sá ha barn@
@action of listening@|@sá va na@
@action of mining@|@ló: há kam@
@action of paying homage@|@nā mard thou@
@action of receiving the precepts@|@sá má: tharn sin@
@action pressing down@|@nik kha ha@
@action productive of good@|@ku son kam@
@action similar to the beating of wings@|@ka phap phap@
@action taken to cause disunity within a religion@|@săng kha phard@
@action to amend Buddhist law@|@tham ma pha ti hup@
@active@|@ka chat ka chaeng, kha nyan, kha nyan khun kheng, kheng khan, sú ra, tha van, vong@
@Active@|@pá peiw@
@active voice@|@kan tu va chok@
@actively@|@yang thae ching@
@activity@|@pha ra@
@activity carried on by at least four bonzes inside the temple@|@săng kha kam, săng kha kam@
@activity of a teacher@|@khu ru kam@
@actor@|@phu haet, tua la khon@
@actress@|@ná: ta, ná:ng la khone@
@actual@|@tua ching@
@acute@|@pay lem@
@acute in vision@|@thi hu than@
@acute tone@|@sĭa:ng tho@
@Adam and Eve@|@nyer@
@adapt oneself@|@tham tua khong tua eng@
@adaptable@|@khao pha khao nang, mi fi meu@
@adaptable to any situation@|@khao phu khao khon@
@adaptation@|@kan bpop, kan dat phaeng@
@add@|@buak, chan cheua, pá som, pha nuak, pherm, pherm term, po, seum, term, tor, tor term, xod xeuay@
@add on@|@teum them, thaem, xon sai@
@add one’s good wishes@|@thaem phon@
@add to@|@cheu term, teum@
@add up@|@teum erk@
@add water@|@pha nam, teum nam@
@add water to alcohol@|@pha lao@
@addicted@|@mua mao@
@addicted to@|@mao mua@
@addicted to opium@|@tit phin@
@addiction@|@ngian@
@addition@|@bot teum thay, kan buak khao kan, lè:k buak, lè:k som@
@additional@|@á ti rek, á ti rek, teum@
@additive day for a leap year ( 365 +1 days)@|@á thi ka sou ri thin@
@addled egg@|@khay huan, khay luk@
@address@|@sá lack lung, sá lack lung, sŭn thon phod, thak thay, thi yu@
@address a letter@|@cha na, cha na@
@address number@|@ban lek thi@
@address the king@|@bang khom thun@
@addressed to@|@sá daeng khuam mar nhung@
@adept@|@phu theu@
@adept of the same doctrine@|@sá ha tham mik@
@adequate@|@khan phor say, phor@
@adhere to a religion@|@theu sat sa na@
@adherence@|@săng kha@
@adhesion@|@sá leid@
@adj@|@chek chin, kha nan, khom, phor dee dai, sá lang, sĕ: thin@
@adjacent@|@kay kheing, khang khiang, thi yu kiang kan@
@adjective clause@|@khu na nu pa nyok@
@adjoining@|@khang khiang@
@adjourn@|@phat meu mai, phiang@
@adjudication@|@kan pha mun@
@adjust@|@het hay thor kan, pap pung, phon sen phon yao@
@adjustment@|@kan chat kan hai mi la biap@
@adjutant general@|@tha ra na@
@administer@|@nāng meung@
@administer a sacrament@|@phot sin@
@administer the antidote@|@thot phit@
@administration@|@á thi karn, bor li han, ra xa karn, rāt thá ka:n@
@administration of the royal household@|@mon thian ban@
@administrative code@|@kot phok kong@
@administrative committee@|@săm par thik ka sa phar, săm par thik ka sa phar@
@administrative court@|@să:n pok khong@
@administrative group@|@khá na bor ri han@
@administrative official@|@kha lat tha kan phay phok khong@
@administrative reform@|@pá tu:@
@administrative tribunal@|@sú phar fai bor ri harn, sú phar fai bor ri harn@
@administrator@|@pá xar phi barn, phu am nuay kan, phu phok khong, te xa phi ban@
@administrator of a district@|@chao meuang@
@admirable@|@pa: sar thi ka@
@admirable worthy of praise@|@săn sa ni:@
@admiral@|@chom phon heu@
@admire@|@lām, lām nhaeng, săn seun, xert xu, xeuy som, xom, xom xery@
@admire oneself@|@song nhaeng@
@admire oneself in a mirror@|@nyeng phaet@
@admissible@|@hap ao day, khao phay day@
@admission@|@kan hob sa la pab@
@admit@|@să: ra pharb, sŏm nhom@
@admit defeat@|@nyom saiy@
@admit guilt@|@nyom hap fit@
@admit one’s guilt after constant denial@|@khor hap@
@admonish@|@kao kham tam ni ti tian, sāng sear, ti tian than sang son@
@adolescence@|@vay loun@
@adolescence of a girl@|@kan nya kan@
@adolescent@|@hun num sao, nyu va zon, să:n nhou va xon, vay roun@
@adopted child@|@tham ma but@
@adoptive child@|@lù:k lieng@
@adoptive father@|@phor hak, phor liang@
@adoptive mother@|@me hak, me liang@
@adorable one@|@să:y sa vard@
@adoration@|@pha li, ván thar@
@adore@|@hak bu xa@
@adored@|@khin@
@adorer@|@phu na mat sa kan@
@adorn@|@pá dab, pá dab dauy khay mouk, pá did@
@adorn onself@|@pá dab kai@
@adorned@|@vi phu sit@
@adornment@|@phu sit@
@adroit@|@săn thard, sú par ni:@
@adroit skilled expert@|@khong kheo@
@adulate@|@lía: na khaeng@
@adult@|@phu hay@
@adult education@|@seuk sar phou nhay@
@adult school@|@hong hian phu yai@
@adulterer@|@xai xou, xu@
@adulteress@|@xu@
@adultery@|@kan nok chay, mit sa chan@
@adulthood@|@vay nha voud@
@adv@|@sá larp, sá larp karn, si: khar, sîn xeung, sŏm boun, sút khid, thong the, xam teum, xu, xuay@
@advance@|@kao toy lung, leuan thi, pay nar@
@advance by continuous contraction and expansion@|@ka dib dib@
@advance by one's own efforts@|@sâ:ng tua@
@advance in a body@|@da na kan khao phay@
@advance in social class by one's own efforts@|@sâ:ng tua eng@
@advance money@|@berk ngern luang na@
@advance something for someone@|@lūa:ng na pai kon@
@advancement@|@kan lern sun, phi phat tha na@
@advances era@|@phat tha kap@
@advantage@|@phon pa yot@
@adventure@|@pá chon phay, pha chon phay@
