@Ligurian@|@English@
@bastàrdo@|@bastard@
@bastón@|@stick, walking stick@
@batâ@|@to knock@
@bâtâ@|@to barter, to swap@
@batàggia@|@battle@
@batéllo@|@boat@
@baterîa@|@battery@
@batêximo@|@baptism@
@batezâ@|@to baptize@
@bàtisene e bàlle (volg.)@|@not to give a damn@
@bâto@|@barter@
@batôxi (mpl)@|@street urchins, street children@
@batôzo@|@street urchin, street child@
@bâva@|@dribble@
@bavæn (nm)@|@bib@
@Bâvai@|@Bavari (GE)@
@baxâ@|@to kiss@
@baxaicö@|@basil@
@baxeicö@|@basil@
@baxìlica@|@basilica@
@bâxo@|@kiss@
@bazànn-a@|@bean, broad bean@
@bâze@|@base@
@bazètte (fpl)@|@sideboards, sideburns@
@becalìn@|@gravedigger@
@becamòrto@|@gravedigger@
@becàssa@|@woodcock@
@beciâ (volg.)@|@to have sex, to fuck@
@Begæ@|@Begato (GE)@
@béive@|@to drink@
@beléssa@|@beauty@
@bèlga@|@Belgian@
@Bèlgio@|@Belgium@
@belìn (volg.)@|@dick (vulg.), cock (vulg.)@
@belìn! (volg.)@|@fuck! (vulg.)(excl.), hell! (vulg.)(excl.)@
@belinâio@|@idiot@
@belinón@|@stupid, idiot, jerk (vulg.)@
@bèlle mainêe (fpl)@|@good manners (pl)@
@bèllo@|@nice@
@bèloa@|@weasel@
@bén@|@well (adv.)@
@bén bén@|@very, very much, much@
@bén de@|@many, several, quite many@
@bén fæto@|@well done@
@bén vosciûo@|@well-liked@
@Benàrdo@|@Bernard@
@benàrdo (ag.)@|@simpleton, dummy, easy-minded@
@benché@|@even though@
@benediçión@|@blessing@
@benìscimo@|@very well, very good@
@benscì@|@though@
@benvegnûo@|@welcome@
@Béppe@|@Joseph@
@bèrbero@|@Berber@
@berétto@|@cap (garment)@
@bernìsso@|@mush@
@bernòcolo (it.)@|@protuberance, lump, swelling@
@berödo@|@black pudding, blood sausage@
@bersò (nm)@|@bower (arbour)@
@bèrta@|@magpie (bird)@
@bertagnìn@|@cod (small and tender)@
@bertèlle (fpl)@|@braces, suspenders@
@Bertìn@|@Albert@
@Bèrto@|@Albert@
@bertoêla (nf)@|@dumb, fool@
@bertoêlo@|@broccoli@
@bestentâ@|@to hesitate, to vacillate, to balk, to dillydally@
@béstia@|@animal, beast@
@bestiàmme (nm)@|@cattle, livestock@
@bétoa@|@shop@
@betón@|@concrete (n), cement@
@betòrdo@|@dumb@
@beu (nm)@|@ox@
@Béubbi@|@Bobbio (Emilia)@
@béuggio@|@hole@
@béuilo@|@boot, trunk@
@béusai (mpl)@|@blackberries@
@béusou@|@blackberry@
@bevànda@|@beverage@
@Bévera@|@Bevera (IM)@
@bezagnìnn-a@|@greengrocer@
@Bezàgno@|@Bisagno (Genoese river)@
@bezéugna...@|@it is necessary to..., to have to... (impersonal)@
@bezéugno@|@need, necessity, craving, poverty@
@bezìggio@|@swollen, inflated@
@biaximâ@|@to sanction, to penalize@
@bìbia@|@bible@
@bibìn@|@turkey (bird)@
@bìccio@|@clever@
@bîci (nf)@|@bike, bicycle@
@biciclétta@|@bike, bicycle@
@Bielorùscia@|@Byelorussia@
@bielorùscio@|@Byelorussian@
@bigétto@|@ticket@
@bigétto de bànca@|@banknote@
@biliàrdo@|@billiards@
@bìndolo@|@wandering, roving, layabout, idler@
@binéllo@|@twin@
@biografîa@|@biography@
@biologîa@|@biology@
@bióndo@|@blonde@
@bîra@|@beer@
@bìscia@|@snake@
@biscioêta@|@piggy bank@
@bitêga@|@shop, store@
@bitegâ (nm)@|@shopkeeper, storekeeper@
@bitêga da polaieu (nf)@|@poultry shop@
@bitîro@|@butter@
@bìtta@|@bollard, bitt@
@bleu@|@blue@
@bleu ciæo@|@light blue@
@bleu do çê@|@sky blue@
@bleu maræn@|@sea-blue@
@bleu scûo@|@dark blue@
@bleu turchìn@|@turquoise (colour)@
@blocâ@|@to block, to ban@
@blòcco@|@blockade, blocking@
@böa@|@buoy@
@Boâxi@|@Boasi (GE)@
@Bòbio@|@Bobbio (Emilia)@
@Bocadâze@|@Boccadasse (GE)@
@bócca@|@mouth@
@bòcce (nfpl)@|@bowls@
@bocón@|@mouthful@
@bödisón@|@foolish, stupid@
@bogénte@|@boiling@
@bogî@|@to boil@
@Bogiàsco@|@Bogliasco (GE)@
@bogîo@|@boiled@
@boìn@|@good (mpl)@
@Boisàn@|@Boissano (SV)@
@bolàcco@|@bucket@
@Bolàn@|@Bollano (SP)@
@bolâse sott'ægoa@|@to dive in@
@bolâxo@|@comber (fish)@
@bolezùmme@|@choppy (sea)@
@bolìtigo@|@tickling@
@Bolivia@|@Bolìvia@
@boliviàn@|@Bolivian@
@bón@|@good (msing)@
@bón apetìtto!@|@enjoy your meal!@
@Bon Dênâ!@|@Merry Christmas!@
@bonarietæ@|@kindness@
@bónba@|@bomb, bombshell, explosive (n)@
@bonbardâ@|@to bomb@
@bonbardaménto@|@bombing@
@bonbón@|@bonbon, ring of a bell, bell ringing@
@bonétto@|@pie, pudding@
@bongiórno!@|@good morning!@
@bonìscimo@|@great@
@bónn-a@|@good (fsing)@
@bónn-a fortùnn-a!@|@good luck!@
@bónn-a néutte!@|@good night!@
@Bónn-a Pàsqua!@|@happy Easter!@
@bónn-a séia!@|@good afternoon!, good evening!@
@bónn-a voentæ@|@good will@
@bónn-e@|@good (fpl)@
@bôra@|@misery@
@borbóggio@|@bustle, hustle and bustle@
@bordèllo@|@brothel, mess@
@Bordighêa@|@Bordighera (IM)@
@bordigòtto@|@from Bordighera (IM)@
@borgâ@|@district, neighborhood@
@borgàdda@|@hamlet, small village@
@borghéize@|@bourgeois@
@Borghétto@|@Borghetto Santo Spirito (SV)@
@borghexîa@|@bourgeoisie@
@Borgomâ@|@Borgomaro (IM)@
@Borgonêuvo@|@Borgonuovo (GE)@
@bòrlo@|@protuberance, lump, swelling@
@borsaieu@|@pickpocket@
@borsaiòllo@|@pickpocket@
@Borzón@|@Borzone (GE)@
@Borzonàsca@|@Borzonasca (GE)@
@Bösanæo@|@Bolzaneto (GE)@
@Bösanêo@|@Bolzaneto (GE)@
@bòsco@|@forest@
@Bòsnia@|@Bosnia@
@bosnìaco@|@Bosnian@
@botezâ@|@to jump, to leap, to leap up, to hop@
@botìggia@|@bottle@
@bòtta@|@hiding, beating@
@bótte (nf)@|@barrel@
@böxàrdo@|@liar@
@böxîa@|@lie@
@brâghe (fpl)@|@trousers, pants@
@braghétte (fpl)@|@knickers, panties, underpants (women's), pants (women's)@
@brànda (nf)@|@folding bed, camp bed, zed bed, cot bed@
@bràsca@|@voracity, voraciousness, insatiable hunger@
@bràsse (fpl)@|@arms@
@bràsso@|@arm@
@bràtta@|@mud@
@bratùmme@|@mud@
@brâv'òmmo@|@good man@
@Brazî@|@Brazil@
@braziliàn@|@Brazilian@
@Bretàgna@|@Brittany@
@brétone@|@Breton@
@Bréumia@|@Bromia (GE)@
@brevétto@|@patent@
@brìcco@|@crag@
@brichétti (mpl)@|@matches (for lighting fire)@
@brichétto@|@match (for lighting fire)@
@bricòcalo@|@apricot@
@Brîga@|@La Brigue (in France after WWII)@
@brigàsco@|@from La Brigue (in France after WWII)@
@brìgna@|@plum@
@brìgna sécca@|@prune@
@Brignæ@|@Brugnato (SP)@
@brigneu@|@plum@
@brignón@|@plum@
@brìgoa@|@spot (skin), pimple@
@brilâ@|@to shine, to sparkle, to twinkle, to gleam@
@brilànte@|@bright (adj.), gleaming, shining, shiny, brilliant@
@brìlla@|@rein@
@brìndixi@|@toast (drink)@
@brìnn-a@|@frost@
@brìsca@|@honeycomb@
@bristolî@|@to toast, to roast@
@britànico@|@British@
@brîxa@|@breeze@
@bròddo@|@clear soup@
@bronzìn@|@tap, faucet@
@brónzo@|@bronze@
@brostolî@|@to toast, to roast@
@brumézzo@|@bait (fishing lure)@
@brùmma@|@mist@
@brutéssa@|@ugliness@
@brutô@|@dirtiness, dirt@
@brùtto@|@ugly@
@bruxâ@|@to burn@
@bruxéuia@|@burn, scald@
@bùdego@|@angler (monkfish)@
@bùffo@|@mocking@
@bùfou@|@buffalo@
@bugàixe@|@laundress, washerwoman@
@Bulgâia@|@Bulgaria@
@bùlgaro@|@Bulgarian@
@buratìn (nm)@|@puppet@
@bùrbo@|@bulb@
@bùrla@|@mockery@
@burlón@|@mocking, joking@
@Busànn-a@|@Bussana (IM)@
@buscàggia@|@splinter@
@bùscio@|@box (tree), boxwood@
@busción@|@stopper@
@bùsta (nf)@|@envelope@
@Buzonéngo@|@Busonengo (GE)@
@cà@|@house, home@
@cà de canpàgna@|@country house@
@cabànna@|@shack, hut@
@cabìrda@|@gang@
@cacàvou@|@cocoa@
@càccia@|@hunting@
@cacciavîe (nm)@|@screwdriver@
@cacéuia@|@hunter (f)@
@cacezâ@|@to hunt@
@caciâ@|@to throw, to discard, to vomit@
@caciâ di crîi@|@to shout, to yell@
@caciâ di ùrli@|@to shout, to yell@
@caciâ vîa@|@to throw away@
@caciâ zu@|@to pull down@
@caciafrùsto@|@catapult, slingshot, sling@
@caciòu@|@hunter@
@Cadebónn-a@|@Cadibona (SV)@
@Cademâ@|@Cadimare (SP)@
@cadénn-a@|@chain@
@Câdezédda@|@Calasetta (Sardinia)@
@câdo@|@hot (m)@
@câdo (nm)@|@heat, hot weather@
@câdûa@|@heat wave, heat (summer)@
@caezâ@|@to caress@
@cæzâ@|@to caress@
@cafè (nm)@|@coffee@
@cafè e læte@|@coffee with milk@
@cafetêa@|@coffee pot, coffee maker@
@cagâ@|@to shit@
@cagàdda@|@shit@
@Càgge@|@Cagliari (Sardinia)@
@caigâ@|@shoemaker@
@Caignàn@|@Carignano (GE)@
@Càiri@|@Cairo Montenotte (SV)@
@Càiro@|@Cairo Montenotte (SV)@
@caitæ@|@charity@
@calabâ@|@racket, commotion, mess@
@calendâio@|@calendar@
@Calisàn@|@Calizzano (SV)@
@calorôzo@|@warm@
@Càlvai@|@Calvari (GE)@
@câmâ (nm)@|@squid, inkwell@
@camalâ@|@to carry@
@camê@|@waiter@
@camêa@|@waitress@
@caméllo@|@camel@
@càmera@|@camera@
@camìn@|@way, path@
@caminâ@|@to walk@
@Caminâ (Spézza)@|@Camminata (SP)@
@camîxe (nf)@|@shirt@
@camixêua@|@vest, undershirt@
@camoâ@|@to pit@
@Camóggi@|@Camogli (GE)@
@camogìn@|@from Camogli (GE), seamen's beret with pompom@
@camoòu@|@pitted, worm-eaten@
@camóscio@|@chamois@
@càn@|@dog@
@Canâ@|@Canale (GE)@
@canâ (nm)@|@eaves@
@canâ da màchina (nf)@|@exhaust pipe (vehicle's)@
@Cànada@|@Canada@
@canadéize@|@Canadian@
@cancarón@|@cheap wine@
@candêia@|@candle@
@Candiêua@|@Candlemas@
@canestrelétti (nmpl)@|@small buttery tea biscuits (Liguria)@
@canestrélli (nmpl)@|@buttery tea biscuits (Liguria)@
@cànfora@|@camphor@
@cangiâ@|@to change@
@cangiànte@|@changing@
@càngio@|@exchange, change, barter, swap@
@cànna@|@reed, cane@
@canpàgna@|@countryside, campaign@
@Canpêgi@|@Campegli (GE)@
@canpión@|@champion, sample@
@canpionéssa (f)@|@champion@
@Cànpo@|@Campoligure (GE)@
@Canpogêxa@|@Campochiesa (SV)@
@Canporósso@|@Camporosso (IM)@
@canpùccio@|@camping@
@cantâ@|@to sing@
@cànto@|@corner, singing, chant@
@cantonê@|@watchman, security guard, guard@
@câo (ag.)@|@expensive, beloved, dear, hollow, concave@
@câo (nm)@|@wire, cape@
@Câo de Méie@|@Capo Mele (SV)@
@càoza@|@cause@
@capelâ (nm)@|@hatter@
@capî@|@to understand@
@capitâ@|@to happen@
@capitànio@|@captain@
@capìtolo@|@chapter@
@capón@|@gurnard (fish), capon (castrated cockerel)@
@caporâle (nm)@|@ladyfinger (biscuit)@
@càppo@|@boss, chief@
@Caprâia@|@Capraia (island)@
@caprìçio@|@whim, caprice@
@capriçiôzo@|@whimsical, capricious@
@capùsso@|@hood, cap@
@carabinê@|@policeman@
@caràffa@|@jar@
@Caràsco@|@Carasco (GE)@
@carbinê@|@policeman@
@carbón@|@coal@
@carbonê@|@coal merchant@
@Càrcae@|@Carcare (SV)@
@cardænn-a@|@goldfinch@
@caregâ@|@to load, to carry@
@carêga@|@chair@
@càrega (nf)@|@charge@
@caregaménto@|@load@
@càrego@|@loaded@
@Careu@|@Carrodano (SP)@
@carlevâ (nm)@|@carnival@
@carliâ (nm)@|@carnival@
@Carlofòrte@|@Carloforte (Sardinia)@
@càrne@|@meat@
@câro@|@cart@
@Câro (Spézza)@|@Carro (SP)@
@câro armòu@|@tank (military)@
@caróbba@|@carob@
@Caròdan@|@Carrodano (SP)@
@caróggio@|@alley, narrow street@
@carogìn@|@alley, narrow street@
@caròssa@|@carriage@
@Carpâxe@|@Carpasio (IM)@
@Càrpe@|@Carpe (SV)@
@Carpinêio@|@Carpeneto (GE)@
@Càrsci@|@Carsi (GE)@
@càrta da zêugo@|@playing card@
@Cartazêna@|@Cartagenova (GE)@
@càrte (fpl)@|@cards (playing)@
@cartélla@|@folder@
@cartolìnn-a@|@postcard@
@cascê (nm)@|@cashier@
@càscia@|@box@
@Casciàn@|@Cassano Spinola (Piedmont)@
@cascìnn-a@|@cottage@
@câse (fpl)@|@sockets@
@casiòula@|@pan, casserole@
@câso@|@kick@
@càsou@|@aftcastle (nautical)@
@castàgna@|@chestnut@
@Castàgnoa@|@Castagnola (GE)@
@castigâ@|@to scold@
@Castigión@|@Castiglione (GE)@
@castöro@|@beaver@
@catâ@|@to buy, to purchase@
@Catæn@|@Catherine@
@Catænn-a@|@Catherine@
@Catainìn@|@Catherine@
@catalàn@|@Catalan@
@Catalógna@|@Catalonia@
@catechîximo@|@catechism@
@catîvo@|@bad, nasty, mean@
@catûa@|@capture@
@caturâ@|@to capture@
@cavagêo@|@knight@
@cavagerîa@|@cavalry, chivalry@
@cavagnìn (nm)@|@basket@
@cavàgno@|@basket@
@cavalerîa@|@cavalry, chivalry@
@cavaliêre@|@knight@
@cavàllo@|@horse@
@cavélli gràsci (mpl)@|@greasy hair@
@cavélli sciâtæ (mpl)@|@shaggy hair@
@cavélli sparpagiæ (mpl)@|@shaggy hair@
@cavitæ@|@cavity, hollow (n)@
@Cazâ@|@Casale (GE)@
@câza@|@house, home@
@cazàdda@|@surname@
@cazænga@|@housewife, housekeeper@
@cazængo@|@homemade@
@Cazaìn@|@Casalino (GE)@
@Cazanêuva@|@Casanova (SV)@
@cazànn-a (f)@|@client@
@cazìn (nm)@|@mess, brothel@
@càzze@|@to fall@
@Cê@|@Vincent@
@çê (m)@|@sky, heaven@
@cegæso@|@folding@
@çégge (nfpl)@|@eyelashes@
@çéggia@|@eyelash@
@çéia@|@wax@
@Céive@|@Pieve Ligure (GE)@
@Céive de Söi@|@Pieve di Sori (GE)@
@çéixai (mpl)@|@chick-peas@
@çéixo@|@chick-pea@
@celèste@|@light blue@
@celestìn@|@light blue@
@Çélle@|@Celle Ligure (SV)@
@çélula@|@cell@
@çenâ@|@to have dinner@
@Céngio@|@Cengio (SV)@
@çénia@|@ash@
@çénn-a@|@dinner, supper@
@Censìn@|@Vincent@
@censûa@|@censure, condemnation, censorship@
@censurâ@|@to censor, to condemn, to censure@
@çénta@|@belt@
@çénta de seguéssa@|@seat belt, safety belt@
@çentanâ (nm)@|@hundred@
@çentanæa (fpl)@|@hundreds@
@çentenâio@|@centenary, centennial@
@çénto@|@hundred@
@çénto mìlle@|@hundred thousand@
@Çentocrôxi@|@Cento Croci (SP)@
@céntro@|@centre, center, downtown@
@çéntro@|@centre, center, downtown@
@çentùn@|@one hundred and one@
@çenturión@|@centurion@
@ceràmica@|@ceramic@
@çercâ@|@to search, to look for, to look up@
@çèrca@|@search@
@çercâ de@|@to try to@
@çerciâ@|@to circle, to encircle@
@çèrcio@|@circle@
@çèrne@|@to choose@
@çèrnia@|@choice, selection@
@çèrto@|@certain@
@çervéllo@|@brain@
@çèrvo@|@deer@
@Çèrvo@|@Cervo (IM)@
@Césare@|@Caesar@
@Césco@|@Francis@
@çetrón@|@orange (fruit)@
@Cêva@|@Ceva (Piedmont)@
@Cêve@|@Pieve di Teco (IM)@
@çêxa@|@cherry@
@che@|@what, that (conj)@
@che ciù?@|@what else?@
@che ôa l'é?@|@what time is it?, what is the time?@
@Chécco@|@Francis@
@chechezâ@|@to stutter, to stammer, to babble@
@chéita@|@fall@
@chêugo@|@cook@
@chêuio@|@leather@
@Chéulia@|@Via del Colle (in Genoa)@
@chéunou@|@silverside (fish)@
@chéuscia@|@thigh@
@chéutto@|@cooked@
@chêuxe@|@to cook@
@chi@|@who, here@
@chi l'aviéiva mâi dîto?@|@Go figure!@
@chi se sæ@|@whoever@
@chi se ségge@|@whoever@
@chi vêgne@|@next@
@chìfaro@|@croissant@
@chìggia@|@keel@
@chighéumou@|@cucumber@
@chilòmetro@|@kilometre@
@chìmico@|@chemical@
@chinâ@|@to go down, to get down@
@chinâ zu@|@to go down@
@chìnto@|@fifth@
@chìnz'ànni@|@fifteen years@
@chìnze@|@fifteen@
@chinzén@|@fifteenth@
@chinzénn-a@|@quantity of fifteen items, fortnight@
@chìnz'ôe@|@fifteen hours@
@chiónque@|@whoever@
@chisà@|@who knows, maybe@
@chitâra@|@guitar@
@chitarâ (nm)@|@luthier@
@ch'o l'à pèrso i cavélli@|@bald@
@ch'o l'à sæ@|@thirsty@
@ch'o pèrde i cavélli@|@balding@
@ciàciara@|@talk@
@ciaciarón@|@chatterbox@
@ciæbèlla@|@firefly@
@ciætezâ@|@to gossip@
@ciæti@|@gossip@
@ciæto@|@piece of gossip@
@ciamâ@|@to call@
@ciamâ agiùtto@|@to cry out for help@
@ciamâ scûze@|@to apologise, to apologize@
@ciamâse@|@to be called, to be named@
@ciamâta@|@call@
@Ciàn Carnéize@|@Pian Carnese (GE)@
@Ciàn de Làite@|@Pian di Latte (IM)@
@Ciàn di Prævi@|@Pian dei Preti (GE)@
@cianìn@|@slowly, gently@
@ciànta@|@plant@
@ciànta do pê@|@sole@
@ciantâ i éuggi adòsso a@|@to fix one's gaze/eyes on@
@ciantapóffi (nm)@|@debtor, insolvent@
@cianûa@|@plain (n), prairie@
@ciànze@|@to cry, to weep@
@ciâo!@|@hi!, hello!, goodbye!, byebye!@
@ciapélla (nf)@|@tile@
@ciapùsso@|@slapdash, botched@
@ciaràffo@|@gewgaw@
@ciarlón@|@chatterbox@
@ciasâ (nm)@|@square@
@ciavaìn@|@from Chiavari (GE)@
@ciâve@|@key@
@ciavéuia@|@keyhole, lock@
@ciavòtto (fig.)@|@brothel@
@ciàzza@|@beach@
@Cicàgna@|@Cicagna (GE)@
@cicagnìn@|@from Cicagna (GE)@
@çiétoa@|@little owl, kestrel (bird)@
@çighéugna@|@stork@
@çìgno@|@swan@
@Cîle@|@Chile@
@cilén@|@Chilean@
@cilìndro@|@cylinder@
@çiméllo@|@fishing rod@
@çimitêio@|@cemetery@
@çìmma@|@top@
@cîne (nm)@|@motion picture, film@
@cinéize@|@Chinese@
@Cìnn-a@|@China@
@çinquànta@|@fifty@
@çìnque@|@five@
@ciocâ e màn@|@to clap@
@ciocâ e moén@|@to clap@
@ciödo@|@nail (metal)@
@ciömâ@|@to idle@
@ciöo@|@nail (metal)@
@çiprèsso@|@cypress@
@cìrca@|@about, approximately@
@çitæ@|@city@
@çìtara@|@cither@
@ciù@|@more@
@ciù a bón prêxo@|@cheaper@
@ciù a prêxo@|@cheaper@
@ciù nìnte@|@nothing else@
@ciù nisciùn@|@no-one else, nobody else@
@ciù ò mêno@|@more or less, something like@
@ciù spésso@|@more often@
@Ciugiavéia@|@Chiusavecchia (IM)@
@ciumìn@|@eiderdown, duvet, fluff@
@Ciusànego@|@Chiusànico (IM)@
@çivétoa@|@little owl, kestrel (bird)@
@çivétta@|@little owl, kestrel (bird)@
@clandestìn@|@clandestine@
@clandestinitæ@|@clandestinity, secrecy@
@clascificâ@|@to classify@
@clascìfica@|@classification, ranking@
@clìnica@|@clinic@
@clonâ@|@to clonate@
@clonaçión@|@clonation@
@clorûro@|@chloride@
@cô@|@colour@
@cô de castàgna@|@brown@
@cô de çetrón@|@orange (colour)@
@co-a@|@with the (fsing)@
@coâ@|@to strain, to drain, to drip, to leak@
@côa@|@tail, queue@
@coâ (o nâzo)@|@to run (nose)@
@côa d'âia@|@tornado, twister@
@coadéuggio@|@sperm whale@
@coæ (nf)@|@wish, will (n)@
@co-e@|@with the (fpl)@
@Coêgia@|@Coreglia Ligure (GE)@
@coerénte@|@coherent@
@Coghêuo@|@Cogoleto (GE)@
@cognómme@|@surname@
@Cogoeu@|@Cogoleto (GE)@
@Cogoêuo@|@Cogoleto (GE)@
@cogornìn@|@from Cogorno (GE)@
@co-i@|@with the (mpl)@
@coî (mpl)@|@colours@
@cóìn@|@colander, tea strainer@
@coìnta@|@hurry@
@coiôzo@|@curious@
@coixitæ@|@curiosity@
@colâ@|@to swallow@
@colaçión@|@breakfast@
@colæn (nm)@|@collar@
@colæn di prævi (nm)@|@clergymen's collar@
@colæn do càn (nm)@|@dog collar@
@colànn-a@|@necklace@
@colegâ@|@to connect, to link@
@colegaménto@|@link@
@còlica@|@colic@
@còllo@|@neck@
@còllovèrde (nm)@|@mallard (bird)@
@colocâ@|@to collocate@
@Colónbo@|@Columbus@
@colôro@|@colour@
@coltivâ@|@to cultivate@
@coltûa@|@culture@
@comandaménto@|@commandment@
@comédia@|@comedy@
@comediànte@|@comediant@
@comensâ@|@to start, to begin@
@coménto@|@commentary@
@comerçiâ@|@to trade, to do business@
@comèrçio@|@trade, business@
@còmico@|@comical@
@comisción@|@commission@
@comiscionâ@|@to commission@
@cómme@|@how@
@comme sciâ sta?@|@how are you? (formal)@
@comme ti stæ?@|@how are you? (informal)@
@cómme ti t'aciàmmi?@|@what is your name?@
@cómme ti te ciàmmi?@|@what is your name?@
@còmodo@|@comfortable@
@Comunêgia@|@Comuneglia (SP)@
@con@|@with@
@Cônâ@|@Coronata (GE)@
@cónba@|@pigeon@
@conbaxâse@|@to fit together@
@cónbo@|@pigeon@
@conceçión@|@conception@
@concêde@|@to grant, to bestow, to indulge@
@conçèrto@|@concert@
@condiçionâle@|@conditional@
@condûta@|@behaviour@
@conétte@|@to connect@
@confermâ@|@to confirm@
@confèrma@|@confirmation@
@confesâ@|@to confess@
@Confêugo@|@Christmas bonfire in Liguria@
@confiâ@|@to confide to, to trust@
@confiâse@|@to confide@
@confidénsa@|@confidence@
@confòrto@|@comfort, consolation@
@confuxón@|@mess, disarrangement, perturbation, disorder@
@congoléize@|@Congolese@
@congratulaçión@|@congratulation@
@conìggio@|@rabbit@
@conósce@|@to know, to get to know@
@conoscénsa@|@acquaintance, knowledge@
@conosciûo@|@known@
@conpatìbile@|@compatible@
@conpletâ@|@to complete@
@conplêto@|@complete@
@conprenscìbile@|@understandable, comprehensible@
@conpromìsso@|@compromise@
@contâ@|@to count, to tell@
@contànti (nmpl)@|@cash@
@contêa@|@county@
@continoâ@|@to keep on, to continue@
@continoâ a fâ@|@to keep on doing@
@continoaçión@|@continuation@
@contìnoo@|@continuous@
@cónto@|@account, count, calculation, bill@
@cónto avèrto@|@open account@
@cóntra@|@against@
@cóntra o ténpo@|@against time@
@contràtto@|@contract@
@controcorénte@|@upstream@
@controlâ@|@to control@
@controlòu@|@controlled@
@conversâ@|@to talk@
@co-o@|@with the (msing)@
@cöo garbûxo@|@Savoy cabbage@
@copiâ@|@to copy@
@còpia@|@copy@
@cóppo@|@tile@
@copùsso@|@back of the neck@
@Corêa@|@Korea@
@coreàn@|@Korean@
@corètto@|@right, correct@
@corêze@|@to correct@
@corezìn (nm)@|@belt (man's)@
@corî@|@to run@
@còrnabùggia@|@oregano@
@cornagétta@|@jackdaw (bird)@
@cornàggia@|@crow@
@còrne (fpl)@|@horns@
@Cornigén@|@Cornigliano (GE)@
@cornigiòtto@|@from Cornigliano (GE)@
@cornîxe (nf)@|@frame@
@còrno@|@horn@
@córpo@|@blow, stroke, hit, shot@
@còrpo@|@body@
@córte@|@court@
@coruçión@|@corruption@
@cösa@|@thing@
@Coscéria@|@Cosseria (SV)@
@cöse@|@what@
@cöse (nfpl)@|@things@
@cöse gh'é?@|@what's up?@
@cöse sciâ dîxe?@|@what do you say? (formal)@
@cöse sciâ veu?@|@what do you want? (formal)@
@cöse ti dîxi?@|@what do you say?@
@cöse ti fæ?@|@what do you do?@
@cöse ti veu?@|@what do you want?@
@Còsovo@|@Kosovo@
@costâ@|@to cost@
@còsta@|@coast@
@costigeu@|@knoll, hillock@
@costipaçión@|@cold (n)(illness)@
@cósto@|@cost@
@costroî@|@to build@
@costrûe@|@to build@
@cotelìn@|@small knife@
@cotéllo@|@knife@
@cotêlo (Savona)@|@knife@
@cotûa@|@cooking@
@Côxe@|@Cosio di Arroscia (IM)@
@coxìn@|@cousin (m)@
@coxìnn-a@|@cousin (f)@
@Cræn@|@Caprile (GE)@
@craieu@|@roe deer@
@crâva@|@goat@
@cravâ (nm)@|@owl@
@crâva sarvæga@|@ibex@
@creâ@|@to create@
@crédde@|@to believe@
@créddo@|@faith@
@créi@|@to believe@
