@English@|@Brazilian Portuguese@
@appetizing@|@apetitoso@
@applause@|@aplauso@
@apple@|@maçã@
@applicable@|@aplicável@
@applicant@|@postulante, requerente@
@application@|@aplicação, aplicativo, loção, requerimento@
@application form@|@ficha de inscrição, requerimento (formulário)@
@application program@|@aplicativo (programa)@
@appointment@|@compromisso, designação, entrevista, nomeação@
@appointment book@|@agenda@
@appraisal@|@apreciação@
@appraisal costs@|@custo de avaliação@
@appraisal report@|@laudo de avaliação@
@appreciation@|@admiração, agradecimento, apreciação@
@apprehension@|@apreensão, compreensão, prisão (de criminoso)@
@apprentice@|@aprendiz, principiante@
@apprenticeship@|@aprendizado, aprendizagem@
@approach@|@enfoque@
@appropriation@|@apropriação, orçamento, verba orçamentária@
@approval@|@aprovação@
@approximating confabulation@|@conciliábulo aproximativo@
@apricot@|@damasco (Prunus armeniaca)@
@April@|@abril@
@April Fool´s Day@|@Primeiro-de-Abril@
@apron@|@avental@
@apt@|@apto, disposto, passível de, pertinente, sujeito a@
@aptitude@|@aptidão, capacidade, tendência@
@aquarium@|@aquário@
@aquatic@|@aquático@
@Arab@|@árabe@
@Arabian@|@árabe@
@Arabian pastry@|@esfiha (culinária)@
@Arabic@|@arábico, idioma árabe@
@arable@|@arável@
@arbitrage@|@arbitragem@
@arbitrary@|@arbitrário@
@arbour@|@caramanchão, pérgula@
@arc@|@arco, curva@
@arch@|@arco@
@archaic@|@antiquado, arcaico@
@archbishop@|@arcebispo@
@archduchess@|@arquiduquesa@
@archduke@|@arquiduque@
@archer@|@arqueiro, Sagitário@
@archery@|@arco e flecha (esporte)@
@archetype@|@arquétipo@
@archipelago@|@arquipélago@
@architect@|@arquiteto@
@architectonic@|@arquitetônico@
@architectural@|@arquitetural@
@architecture@|@arquitetura@
@arctic@|@ártico@
@Arctic Ocean@|@oceano Ártico@
@ardent@|@fervoroso@
@ardor@|@ardor, calor@
@are (100 square meters)@|@are (100 metros quadrados)@
@area@|@área@
@area code@|@código DDD (telefone)@
@arena@|@arena@
@areola@|@aréola, aréola@
@Argentina@|@Argentina@
@Argentinian@|@argentino@
@argonaut@|@argonauta@
@arguing@|@argüição, controvérsia@
@argument@|@argumento, debate@
@argumentation@|@argumentação@
@arid@|@árido@
@aright@|@acertadamente, com razão@
@arithmetic@|@aritmética@
@ark@|@arca, cofre@
@arm@|@braço@
@arm rest@|@braço do assento@
@Armageddon@|@Armagedon@
@armchair@|@cadeira de braços, impraticável, poltrona@
@armful@|@braçada@
@armhole@|@cava (de manga)@
@arm-in-arm@|@de braço dado@
@armorial bearing@|@brasão@
@armour@|@armadura@
@armoured@|@blindado, couraçado@
@armoured car@|@carro-forte@
@armoury@|@arsenal@
@armpit@|@axila@
@armpit hair@|@pelos axilares, pêlos axilares@
@army@|@exército@
@aroma@|@aroma@
@aromatic@|@aromático@
@around@|@em torno de@
@around-the-clock@|@sem interrupção, sem parar@
@arousal@|@despertar, estimulação, preliminares (ao sexo)@
@arpeggiator@|@harpejador@
@arpeggio@|@harpejo@
@ARQ (Automatic Repeat reQuest)@|@ARQ@
@arrangement@|@ajuste, arranjo, combinação, ordem@
@arranger@|@arranjador(a)@
@arras@|@tapeçaria@
@array@|@trem@
@arrears@|@atrasados (pagamentos), em atraso (débito)@
@arrest@|@interrupção, parada, prisão (de criminoso)@
@arrogance@|@arrogância, empáfia@
@arrogant@|@arrogante@
@arrow@|@flecha, seta@
@arrow diagram@|@diagrama de setas@
@arrowhead@|@ponta de flecha@
@arrowroot@|@araruta@
@arroyo@|@arroio@
@arse@|@ânus, nádegas@
@arse (slang)@|@bundão (vulgar), trabalho porco (gíria)@
@arsenal@|@arsenal@
@arson@|@incêndio culposo, incêndio proposital@
@art@|@arte@
@art gallery@|@museu de arte@
@arteriosclerosis@|@arteriosclerose@
@artery@|@artéria@
@artful@|@engenhoso@
@arthritis@|@artrite@
@artichoke@|@alcachofra@
@article@|@artigo@
@article of clothing@|@peça de roupa@
@articles of incorporation@|@contrato social@
@articulate@|@articulado@
@articulation@|@articulação@
@artifice@|@artifício@
@artificer@|@armeiro, artífice, inventor@
@artificial@|@artificial@
@artificial person@|@pessoa jurídica@
@artisan@|@artesão@
@artist@|@artista@
@artistry@|@habilidade artística, talento artístico@
@arugula@|@rúcula@
@arvo (AUS)@|@tarde@
@as@|@assim como, como@
@as a matter of fact@|@na realidade@
@as a rule@|@geralmente@
@as black as hell@|@escuro como breu@
@as drunk as a piss ant (AUS)@|@bêbado como um gambá@
@as far as@|@tanto quanto@
@as far as I am concerned@|@pelo que me toca@
@as follows@|@como segue@
@as for@|@quanto a@
@as it is@|@como é, do jeito que é, do jeito que está@
@as long as@|@enquanto, todo tempo que@
@as many@|@tanto@
@as much@|@tanto, tão@
@as much as possible@|@tanto quanto possível@
@as of@|@com vigência a partir de@
@as one@|@como um só, todos juntos@
@as regards@|@com relação a@
@as soon as@|@logo que@
@as soon as possible (ASAP)@|@o mais breve possível, o quanto antes@
@as such@|@como tal@
@as though@|@como se@
@as well@|@ademais, além de, também@
@asana@|@asana (ioga)@
@ascendant@|@ascendente, dominante, predominante@
@ascendent@|@o mesmo que "ascendant"@
@ascending@|@ascendente@
@ascension@|@ascensão@
@ascent@|@ascensão, encosta, subida@
@ascetic@|@asceta, ascético@
@aseity@|@asseidade@
@aseptic@|@asséptico@
@ash@|@cinza@
@Ash Wednesday@|@Quarta-feira de Cinzas@
@ashore@|@em terra, encalhado@
@ashtray@|@cinzeiro@
@Asia@|@Ásia@
@aside@|@à parte, aparte, de parte@
@askance@|@de esguelha, de soslaio@
@asp@|@áspide@
@asparagus@|@aspargo@
@aspect@|@aparência, expressão@
@aspen@|@faia negra@
@aspersion@|@aspersão (arcaico), calúnia, difamação@
@asphalt@|@asfalto@
@aspiration@|@aspiração@
@aspirin@|@aspirina@
@ass@|@bunda, bunda (vulgar), burro, foda (vulgar)@
@assault@|@assalto, atentado, tentativa de escalar@
@assault rifle@|@rifle de assalto@
@assay@|@análise@
@assembly@|@assembléia, concentração@
@assembly cargo@|@carga consolidada@
@assembly language@|@assembler (informática)@
@assembly line@|@linha de montagem@
@assent@|@consentimento@
@assertability@|@assertibilidade@
@assessment@|@avaliação, tributação@
@assets & liabilities@|@ativos e passivos@
@asshole@|@babaca (gíria), bundão (vulgar), cu (vulgar), idiota, imbecil@
@assignable@|@assinalável, transferível, transmissível@
@assignable cause@|@causa assinalável@
@assigne@|@beneficiário de transferência, procurador@
@assignment@|@cessão, missão, tarefa, transferência escrita@
@assignor@|@cedente, transmitente@
@assistance@|@patrocínio@
@assistant@|@ajudante, assistente, auxiliar (pessoa)@
@associate@|@sócio@
@association@|@união@
@assortment@|@miscelânea, sortimento, variedade@
@assumed@|@fictício, presumido@
@assumed name@|@pseudônimo@
@assumption@|@assunção, pressuposto, presunção, suposição@
@assurance@|@certeza@
@assured@|@assegurado, seguro@
@asterisk@|@asterisco@
@astern@|@à popa@
@asthma@|@asma@
@asthmatic@|@asmático@
@astigmatic@|@astigmático@
@astigmatism@|@astigmatismo@
@astir@|@ativo, desperto, em movimento@
@astonishing@|@embasbacante, espantoso, surpreendente@
@astonishment@|@admiração, pasmo@
@astraddle@|@com uma perna de cada lado@
@astral@|@astral@
@astray@|@extraviado@
@astrologer@|@astrólogo@
@astrology@|@astrologia@
@astronaut@|@astronauta@
@astronomer@|@astrônomo@
@astronomy@|@astronomia@
@astrophysicist@|@astrofísico@
@Asuncion@|@Assunção (capital do Paraguai)@
@asunder@|@à parte, dividido@
@asylum@|@asilo, manicômio@
@asymmetrical@|@assimétrico@
@asynchronous@|@assíncrono@
@at@|@ás, em, na, no, nas, nos@
@at (your) service@|@às (suas) ordens@
@at all@|@afinal, ao menos, enfim@
@at all costs@|@custe o que custar@
@at all events@|@aconteça o que acontecer, em todo caso@
@at any rate@|@de qualquer jeito@
@at best@|@na melhor das hipóteses@
@at bottom@|@em verdade, na realidade@
@at close quarters@|@a curta distância, de perto@
@at close range@|@à queima-roupa@
@at death's door@|@à beira da morte, mais pra lá do que pra cá@
@at full length@|@por extenso@
@at hand@|@iminente, perto@
@at home@|@em casa@
@at last@|@finalmente, por fim@
@at least@|@ao menos, pelo menos@
@at leisure@|@à vontade, parado (desempregado), sem pressa@
@at length@|@eventualmente, finalmente, por extenso@
@at midday@|@perto de meio-dia@
@at most@|@no máximo, quando muito@
@at once@|@sem demora, simultaneamente@
@at one@|@de acordo@
@at random@|@a esmo, à toa, aleatoriamente, ao acaso@
@at sea@|@desorientado, em mar aberto@
@at short notice@|@com a maior brevidade, com a maior rapidez@
@at sight@|@à vista, contra apresentação@
@at stake@|@em jogo@
@at the close of day@|@no fim do dia@
@at the expensive of@|@à custa de@
@at the first blush@|@à primeira vista@
@at the worst@|@na pior das hipóteses@
@at times@|@às vezes@
@atavic@|@atávico@
@atavism@|@atavismo@
@atheist@|@ateu@
@athlete@|@atleta@
@athletic@|@atlético@
@Atlantic@|@atlântico, oceano Atlântico@
@Atlantic Ocean@|@oceano Atlântico@
@Atlantis@|@Atlântida@
@ATM-Automatic Teller Machine@|@caixa eletrônico@
@atmosphere@|@atmosfera@
@atom@|@átomo, partícula@
@atomic@|@atômico@
@atomic number@|@número atômico@
@atomic weight@|@peso atômico@
@atrocious@|@nefando@
@atrocity@|@atrocidade@
@attaché (French)@|@adido diplomático@
@attached@|@anexo@
@attachment@|@adesão, amarração, conexão, ligação@
@attack@|@ataque@
@attacker@|@agressor, atacante@
@attained@|@alcançado, atingido@
@attempt@|@atentado@
@attendant@|@assistente, concomitante, subalterno@
@attending physician@|@médico de plantão@
@attention@|@atenção@
@attention !@|@sentido !@
@attic@|@sótão@
@attitude@|@atitude, posição@
@attorney's fees@|@honorários advocatícios@
@attraction@|@atração@
@attraction for@|@tesão por (gíria)@
@attractive@|@atraente, cativante, magnético@
@attribute@|@atributo@
@au pair@|@babá@
@aubergine@|@berinjela@
@auburn (hair)@|@castanho-avermelhado (cabelo)@
@auction@|@leilão@
@auction sale@|@venda em leilão@
@auctioneer@|@leiloeiro@
@audacious@|@atrevido, audacioso@
@audacity@|@audácia@
@audible@|@audível@
@audience@|@platéia@
@audio@|@áudio@
@audio engineer@|@engenheiro de som@
@audio engineering@|@engenharia de áudio@
@audit@|@auditoria@
@audit adjustment@|@ajuste de auditoria@
@auditing@|@auditoria@
@auditive@|@auditivo@
@auditor@|@ouvidor@
@auditorium@|@auditório@
@auditory@|@auditivo, auditivo(a)@
@auditory hallucination@|@alucinação auditiva@
@auditory nerve@|@nervo auditivo@
@auger@|@broca@
@augmented@|@aumentado@
@augur@|@adivinho, áugure@
@augury@|@augúrio, prognóstico@
@august@|@augusto, ilustre@
@August@|@agosto@
@aunt@|@tia@
@aura@|@aura, auréola, halo@
@auricle@|@aurícula, vestíbulo auricular@
@auspice@|@augúrio, auspício@
@auspicious@|@auspicioso@
@Aussie@|@australiano (gíria)@
@austere@|@austero@
@austerity@|@austeridade@
@Australia@|@Austrália (AUS)@
@Australian@|@australiano@
@Australian Aborigine@|@nativos australianos@
@Austria@|@Áustria@
@Austrian@|@austríaco@
@authentic@|@autêntico@
@authenticity@|@autenticidade@
@author@|@autor, escritor@
@authoress@|@autora@
@authorial@|@autoral@
@authority@|@autoridade, domínio@
@authority to purchase (A/P)@|@autorização de compra@
@authorization@|@autorização, permissão@
@autochthonal@|@autóctone@
@autocrat@|@autocrata@
@automatic@|@automático@
@automation@|@automação@
@automaton@|@autômato@
@automobile@|@automóvel@
@automotive@|@automotriz@
@autonomy@|@autonomia@
@autopsy@|@autópsia@
@autumn@|@outono@
@avail@|@proveito, utilidade@
@availability@|@disponibilidade@
@available@|@avaliável, conveniente, disponível, utilizável@
@available (place)@|@vago@
@avalanche@|@avalanche@
@avarice@|@avareza, mesquinhez@
@avaricious@|@avarento@
@avaritia (deadly sin)@|@avareza (pecado mortal)@
@avenue@|@avenida@
@average@|@avaria, cota, estragos, média, médio, proporção@
@average chart@|@gráfico de médias@
@average cost@|@custo médio@
@average deviation@|@desvio médio@
@average premium@|@prêmio médio (seguro)@
@average sample number@|@número médio de amostras@
@averse@|@adverso, oposto@
@aversion@|@aversão@
@avg. (average)@|@avaria@
@aviary@|@granja@
@aviation@|@aviação@
@aviation exclusion@|@exclusão de aviação (seguro)@
@aviator@|@aviador@
@avidity@|@avidez@
@avion@|@avião@
@avocado@|@abacate@
@avoidance@|@esquiva@
@avowal@|@confissão, declaração@
@avowals@|@exteriorização@
@awake@|@acordado@
@awake to@|@atento a@
@awakening@|@o despertar, o levantar-se@
@award@|@condecoração, prêmio, recompensa@
@aware@|@alerta, atento, ciente, consciente@
@awareness@|@consciência@
@awash@|@inundado@
@away@|@distante de, fora@
@awe@|@respeito, temor, veneração@
@awesome@|@legal (gíria), pasmado@
@awful@|@abominável, aterrador, atroz, espantoso, terrível@
@awkward@|@desajeitado, desgracioso, inconveniente@
@awkwardly@|@desajeitadamente, estupidamente@
@awl@|@furador, sovela@
@awning@|@cobertura, toldo@
@awry@|@cambaio, desconforme, escangalhado, torto@
@ax@|@machado@
@axe@|@machado@
@axe man (AUS)@|@guitarrista (homem)@
@axe woman (AUS)@|@guitarrista (mulher)@
@axial@|@axial@
@axiom@|@axioma@
@axis@|@eixo (da Terra)@
@axle@|@eixo (máquinas, rodas)@
@aye@|@sim, voto afirmativo@
@azure@|@azul-celeste, céu@
@B@|@si (nota musical)@
@B.O. (body odour)@|@C.C. (cheiro de corpo), sovaqueira@
@B.T.U.@|@B.T.U. (British Thermal Unit)@
@babble@|@balbucio@
@babe@|@bebê@
@baby@|@bebê, imaturo, nenê@
@baby beef@|@baby beef@
@bacchanal@|@bacanal@
@bachelor@|@celibatário, solteiro@
@bacillus@|@bacilo@
@back@|@costas, de volta, dorso, zagueiro@
@back court@|@fundo da quadra, pátio dos fundos@
@back of Bourke (AUS)@|@cafundó do Judas, meio do nada@
@back of the house (tourism)@|@área restrita a funcionários@
@back to back@|@consecutivo, garantia em moeda forte@
@back to back credit@|@crédito documentário@
@back value@|@lançamento valorizado@
@backache@|@dor nas costas, dor nos quartos@
@backboard@|@espaldar, tabela (basquete)@
@backbone@|@coluna vertebral, espinha dorsal@
@backdrop@|@pano de fundo@
@backer@|@investidor (teatral), patrocinador (teatral)@
@backfire@|@aceiro, contra-explosão, retrocesso@
@background@|@experiência, fundo, plano de fundo, suave (música)@
@background noise@|@ruído de fundo@
@backhand@|@backhand (tênis)@
@backing@|@apoio, patrocínio, proteção, volta@
@backing vocals@|@vocais de acompanhamento, vocal "de fundo"@
@backless@|@a, costas de fora, costas nuas, S@
@backlit@|@luz de fundo@
@backpack@|@mochila@
@backside@|@traseiro(a)@
@backslash@|@barra invertida (\)@
@backslash (\)@|@barra invertida (\)@
@backstage@|@bastidores@
@backstitch@|@pesponto@
@backstroke@|@nado de costas, revés@
@backup@|@backup, cópia de segurança, substituto@
@backup man@|@dublê, substituto@
@backward@|@para trás, retardado (pessoa), retrógrado@
@backwardness@|@atraso, retardo@
@backwards and forwards@|@de um lado para outro@
@backwards causation@|@causalidade invertida@
@backwater@|@fim-de-mundo, lugar atrasado@
@bacon@|@toucinho@
@bacteria@|@bactéria@
@bacteriology@|@bacteriologia@
@bad@|@deteriorado, infeliz, intenso, mau, nocivo, ruim@
@bad breath@|@bafo@
@bad condition@|@má condição, mau estado@
@bad debt@|@calote@
@bad dream@|@pesadelo@
@bad luck@|@azar@
@bad payer@|@caloteiro@
@bad penny@|@moeda sem valor@
@badge@|@crachá, distintivo, sinal@
@badger@|@texugo@
@badly@|@de verdade, gravemente, mal, muito, seriamente@
@badness@|@peraltice, ruindade@
@bafflement@|@mistificação@
@baffling@|@desafiante, frustrante, problemático@
@bag@|@bolsa, saco, sacola@
@Bagdad@|@Bagdá@
@bagel@|@biscoito, rosca@
@baggage@|@bagagem@
@baggage claim@|@reclame de bagagem@
@baggy@|@folgado, frouxo@
@baggy trousers@|@pantalonas@
@bagpipe@|@gaita de foles@
@bail@|@caução, fiança@
@bailee@|@depositário, fiador, mutuário@
@bailment@|@libertação sob fiança, transferência por contrato@
@bait@|@isca@
@baked@|@assado@
@baker@|@padeiro@
@baker's dozen@|@dúzia de frade (treze)@
@bakery@|@padaria, panificação@
@baking@|@cozimento, escaldante@
@baking powder@|@fermento em pó, fermento químico@
@balance@|@equilíbrio@
@balance (account)@|@balanço@
@balance of payments@|@balanço de pagamentos@
@balance of trade@|@balança comercial@
@balance on capital account@|@balanço de capitais@
@balance sheet@|@balancete, balanço geral@
@balancer@|@balancim@
@balcony@|@apartamento com varanda, sacada@
@bald@|@calvo@
@baldness@|@calva@
@bale@|@fardo@
@Balkans@|@Balcãs@
@ball@|@baile, bola@
@ball gown@|@vestido de noite@
@ball mill@|@moinho de bolas@
@ballad@|@balada@
@ballast@|@lastro (de navio), tara (peso)@
@ballerina@|@bailarina@
@ballet@|@balé@
@balloon@|@balão@
@ballot@|@eleição, escrutínio, voto, voto (cédula)@
@ballot box@|@urna eleitoral@
@ballpoint pen@|@caneta esferográfica@
@balm@|@erva-cidreira@
@balsam@|@bálsamo@
@Baltic Sea@|@mar Báltico@
@bamboo@|@bambu@
@banal@|@banal@
@banana@|@banana@
@band@|@banda, banda de música, bando, faixa, fita@
@Band Aid@|@band-aid, curativo@
@bandage@|@bandagem@
@bandana (Old West slang)@|@lenço de pescoço@
@bandit@|@bandido@
@bandwidth@|@largura de banda@
@bane@|@desgraça, praga, ruína@
@baneful@|@nefasto@
@bang@|@bofetada, estrondo, pancada, sucesso inconteste@
@banger and mash (AUS)@|@salsicha com purê de batata@
@Bangkok@|@Bangcoc (capital da Tailândia)@
@bangle@|@bracelete, pulseira@
@bangs@|@franja@
@banister@|@corrimão@
@banjo@|@banjo@
@bank@|@banco@
@bank acceptance@|@aceite de banco@
@bank discount@|@desconto bancário@
@bank holiday@|@feriado bancário@
@banker@|@banqueiro@
@banker´s draft@|@ordem de pagamento@
@banking@|@bancário@
@banking industry@|@sistema financeiro@
@bankrupt@|@falido, insolvente@
@bankruptcy@|@bancarrota, falência, quebra@
@bankruptcy (voluntary)@|@concordata@
@banner@|@bandeira@
@banter@|@provocação@
@bantering@|@provocativo@
@baptism@|@batismo@
@baptismal@|@batismal@
@Baptist@|@batista@
@bar@|@bar, barra, botequim, tablete@
@bar (music)@|@pestana (técnica musical)@
@bar code@|@código de barra@
@barb@|@farpa@
@Barbados@|@Barbados (ilha do Caribe)@
@Barbados cherry@|@acerola@
@barbarian@|@bárbaro@
@barbecue@|@assado (culinária), churrasco@
@barbed@|@farpado@
