@English@|@Cheyenne@
@ashes: in ~@|@páéva (obl)@
@Ashland (MT) (unwilling place) (hard translation)@|@Totoemanâhéno (ni)@
@Ashland people@|@Totoemanaho (na pl)@
@Ashland person (name of band of Totoemana)@|@Totoemana (na)@
@Ashland person: be an ~@|@totoemanâheve (vai)@
@ashore@|@onó- (i), onóve- (i)@
@ashore: float ~@|@onóvóé'ó (vai)@
@ashore: run ~@|@onóvo'âhéotse (vai)@
@ashore: wash ~@|@onóvóé'ó (vai)@
@ashtray@|@né'tôheoenévetoo'o (ni)@
@ashtrays@|@né'tôheoenévetóonôtse (ni pl)@
@aside@|@no'hé- (pv)@
@aside: go ~@|@no'héhné (vai)@
@ask about SB of SB@|@nôhtsêstomev (vta)@
@ask about SB to SB (variant)@|@nôhtsêstomevé'tov (vta)@
@ask about ST@|@nôhtsestá (vti)@
@ask for@|@nôhtsem (vai), véestomev (vta)@
@ask for food@|@hotsénomo'he (vai)@
@ask for food from@|@hotsénov (vta)@
@ask for on behalf of SB@|@véestomó'hevomotah (vta)@
@ask for SB@|@véem (vta)@
@ask for ST@|@véestá (vti), véestomo'he (vai)@
@ask for ST/SB@|@véestan (vti)@
@ask SB@|@nêstov (vta), nôhtsêstov (vta)@
@asleep: sit ~@|@oávenomoo'e (vai)@
@asleep: while ~@|@he'éšenome (vai)@
@aspen@|@véškeë'e (na)@
@aspen (variant)@|@véškee'éhoohtsêstse (na)@
@aspirin@|@vonomóhtâhestôtse (ni nom)@
@aspirins@|@vonomóhtâhéstotôtse (ni pl)@
@ass@|@pôhoo'o ('e?) (ni)@
@assign work on SB@|@hotse'éme'tov (?) (vta)@
@assign work on ST@|@hotse'eme (vti)@
@assimilated@|@(assim)@
@Assiniboine (Indian)(wrapped)@|@Hóheehe (na)@
@Assiniboine Woman@|@Hóheehé'e (na)@
@Assiniboines (Indians)@|@Hóheeheo'o (na pl)@
@Assiniboines (Indians) (variant pl)@|@Hóheeo'o (na pl)@
@assist SB@|@nêsót (vta)@
@assistant boss@|@hóna'ovevéhoneve (vai)@
@astonished at SB: be ~@|@otoéstátam (vta)@
@astonished: become ~@|@otoésetanóotse (vai)@
@astray: go ~@|@no'héhné (vai), ó'ôhtsehné (vai)@
@asylum: insane ~@|@mâsêháneemâhëö'o (ni)@
@at a place@|@héstánóva (obl)@
@at end@|@ho'óx- (i)@
@at least@|@kómááhe (p), kómáhe (p)@
@at the same time@|@séetó'e'še@
@at this point@|@tšêše- (pv)@
@at this time@|@tsêhe'xove (vii), tsêhe'xóvéva (obl)@
@at times (variant)@|@totóne'xóvéva (p)@
@at what time?@|@tóne'xóvéva?@
@ate meat: he ~@|@émese ho'évohkôtse (vai)@
@ate up everything@|@óove'hanáotse (vai)@
@Atsina people@|@Hestóetaneo'o (na pl)@
@Atsina person@|@Hestóetane (na)@
@Attached Feathers Woman@|@Pâhoevótoná'e (pn)@
@attacked him: he ~@|@éa'eotsé'tovóho (vta)@
@attacked: he ~@|@éa'eotse  (vai)@
@attain@|@hohtam (vta), hohtaméstá (vti)@
@attain ST@|@ho'ée'tá (vti), hohtamésto'tá (vti)@
@attend school@|@ôxe'êstóné (fai)@
@attention: give surface ~@|@táho'kamanéné (vai)@
@attitude toward SB: have a bad ~@|@áhanêsenovem (vta)@
@attitude: bad ~@|@hávêsévoéstomo'he (vai)@
@attitude: he has a bad ~@|@éáhanêsenove (vai)@
@attorney@|@ho'emanéhe (na)@
@attract attention of SB@|@homa'êstséh (vta)@
@attractive@|@émo'onahe (vai)@
@attributive (hearsay) mode@|@(attrib)@
@audited: he ~@|@éévenohe (vai)@
@auditing: he's ~@|@éévenohe (vai)@
@auditor@|@évenôhéve'ho'e (na)@
@auger@|@otaaheo'o (ni)@
@augers@|@otaaheonôtse (ni pl)@
@augment@|@hóna'óéstse (vti)@
@August (harvest moon)@|@Oenenéeše'he@
@aunt (paternal): he has a ~@|@éhehaehe (vai)@
@aunt(s): his/her paternal ~@|@hehaeho (na poss)@
@aunt: have a paternal ~@|@hehaehe (vai)@
@aunt: have SB as a maternal ~@|@heškamóone'tov (vta ai+o)@
@aunt: have SB as a paternal ~@|@hehaehé'tov (vta ai+o)@
@aunt: his/her maternal ~@|@heškamóono (na poss)@
@aunt: my ~ (voc.)@|@nâháa'e (voc)@
@aunt: my maternal@|@škamóon (na poss)@
@aunt: paternal ~@|@haeh  (na poss)@
@authorities@|@tséamo'emanese (vai cj ppl)@
@authority to SB: give ~@|@tsêhetane'ónaov (vta)@
@authority: those in ~@|@tséamo'emanese (vai cj ppl)@
@authorize ST to SB that way@|@nêhetôhóot (vta)@
@automobile@|@amâho'héhe (na)@
@automobile (variant)@|@ameohestôtse (ni)@
@automobiles@|@amâho'héheo'o (na pl)@
@automobiles (variant)@|@amâho'héstotôtse (ni pl)@
@autumn: be ~@|@tonóeve (vii)@
@autumn: in the ~ (lit when cool)@|@tonóéva (obl)@
@available@|@oséhe'kahe (vai)@
@available: always ~@|@oóotâhámahe (vai), oótâhámahe (vai)@
@avoid@|@nâhahétsestá (vti), nâhest- (i), ováhae'ov (vta)@
@avoid him@|@ovóhae'ov (vta)@
@avoid it@|@nâhestá (vti)@
@avoid it/SB@|@nâhestov (vta)@
@avoid SB@|@vó'hova'ov (vta)@
@avoid SB due to a taboo@|@nâhestov (vta)@
@avoided@|@nâhestohe (vai)@
@awake@|@sé'h/šé'š@
@awake a long time@|@háano'xe (vai)@
@awake all night with respect to ST: be ~@|@vóonoé'tá (vti)@
@awaken SB@|@to'é'o'ha (vta)@
@aware of: be ~@|@homáotsé'tá (vti), homáotsé'tov (vta)@
@away@|@ase- (pv), ase(t)- (i), o'e- (pv)@
@away (future tense + translocative)@|@hta (pv)@
@away (translocative directional preverb)@|@ta- (pv)@
@away from edge@|@no'óhtó'e (p)@
@away: get ~@|@no'héoesta'xe (vai)@
@away: run ~@|@he'névo'âhéotse (vai)@
@awed@|@tó'omahe (vai)@
@awful: do ST ~@|@hoháo'eétahe (vai)@
@awhile later@|@nenóve'xóvéva (obl)@
@awhile later (variant)@|@nonóve'xóvéva (p)@
@awkward: be ~@|@onó'homahe (vai)@
@awl@|@he'óne (ni)@
@awl: bone ~@|@he'konéhe'one (ni)@
@awls@|@he'onôtse (ni pl)@
@axe@|@hohkôxe (ni), hóo'ôxe (ni), htóhkôxe (ni poss)@
@axe: little ~@|@hóhkôxéso (ni dim)@
@axes@|@hóhkóxêstse (ni pl)@
@babble@|@vové'evenestse (vai)@
@babies@|@mé'êševoto (na pl)@
@baby@|@mé'êševotame (na poss), mé'êševôtse (na), óvohe (fai)@
@baby on back: sit with ~@|@páo'óvôhee'e (vai)@
@baby: little ~@|@mé'êškevotsëso (na dim)@
@bachelor@|@hovóahe (na)@
@back@|@hestóxeto (p), hóe'tó (p), hóotóe- (pv), ma'pa'o (mbp)@
@back (head posture)@|@hánoht- (i)@
@back (of body)@|@ma'pa'o (ni poss)@
@back again@|@éva- (pv)@
@back and forth@|@hátôxóve  (pv), to'ôhee- (pv)@
@back and forth: move camp ~@|@hátôxóveno'eehe (vai)@
@back and forth: roll ~@|@hátôxovó'eohtsé (vai)@
@back and forth: run ~@|@háto'êstséá'e (vai)@
@back and forth: run about ~@|@évavo'âhéotse (vai)@
@back and forth: swing ~@|@hátôxovónea'xe (vai)@
@back and forth: walk ~@|@hátôxovehné (vai)@
@back of dwelling@|@he'pa'onéome (ni), he'pa'onéomëë'e (ni)@
@back out@|@hetseveotse (vai)@
@back then@|@évaveto (p)@
@back together@|@ma'an- (i), ma'ane- (pv)@
@back: get in the ~@|@hestóxemé'oné'evohne (vai)@
@back: in the ~@|@hestóxemé'one (p)@
@back: my ~@|@na'pa'o (ni poss)@
@back: on my ~@|@na'pa'öne (obl)@
@back: turn ~@|@évaotse (vai)@
@backbone@|@htâhtoono (ni poss)@
@backbone (variant)@|@htâhtoónoná (mbp), htsêstâhtoono (ni poss)@
@backed away@|@hosóohtsé (vai)@
@background: stays in the ~@|@hoómetahe (vai)@
@backpacking@|@amo'xestôtse (ni nom)@
@backrest: willow ~@|@hó'otseónó'e (ni)@
@backrests: willow ~@|@hó'otseonó'êstse (ni pl)@
@backside@|@nesêstse (mbp)@
@backward: be ~@|@hotoma'éhe tóm? (vai)@
@backwards@|@éva'âséve (pv), éva'sé- (pv), éva'séve- (pv), hosó- (i), hosóve- (pv)@
@backwards: be ~@|@hosóvahe (vai)@
@backwards: crawl ~@|@hosóvonehné (vai)@
@backwards: sit facing ~@|@hotama'ee'e (vai)@
@backwards: step ~@|@hosóvo'ne'é (vai)@
@backwards: talk ~@|@éva'sénestse (vai)@
@backwards: walk ~@|@hosóohtsé (vai)@
@bacon@|@éškôseeséhotame (na)@
@bad@|@hávêsév- (i), hávêséva'e (vii), hávêséve- (pv)@
@bad (mentally): feel ~@|@hávêsévetanó (vai)@
@bad (weather)@|@hoháatamáno'e (vii)@
@bad attitude toward SB: have a ~@|@áhanêsenovem (vta)@
@bad attitude: have a ~@|@hávêsévoéstomo'he (vai)@
@bad breath: he has ~@|@éhoxeméáhtse (vai)@
@bad feelings between parties@|@óhnetsêstósenestôtse (p)@
@bad feelings between people@|@óhnetsêstósenestôtse (ni nom)@
@bad feelings toward each other: they have ~@|@éhávêsévâhé'tovâhtseo'o(vta)@
@bad horse@|@hátavêsévé'háme (na)@
@Bad Morning@|@Hávêsévevóonä'o (pn)@
@bad personality: have a ~@|@hávêsévoéstomo'he (vai)@
@bad shape: be in ~@|@hétsêhesta (vai)@
@bad toward SB: be ~@|@hávêsévâhé'tov (vta)@
@bad way: be in a very ~@|@hoháeotse (vii)@
@bad way: use ST in a ~@|@hávêsévotse'óhtá (vti)@
@bad: act ~@|@tátsetséstá (vai)@
@bad: be ~@|@hávêsévahe (vai)@
@bad: declare SB@|@hávêsévo'ót (vta)@
@bad: do ST ~@|@hótoanávo'eétahe (vai)@
@bad: experience ST@|@hávêsévo'omenehe (vai)@
@bad: he smells ~@|@éháeméa'xe (vai)@
@bad: he's ~@|@éhávêsévahe (vai)@
@bad: he's doing ST ~@|@éhávêsévo'eétahe (vai)@
@bad: it's ~@|@éhávêséva'e (vii)@
@bad: look ~@|@háenáno'e (vii), hétsêhesta (vai)@
@bad: regard SB as ~@|@hávêsévátam (vta)@
@bad: smell very ~ (lit like cowboy)@|@tôhé'kêsaéveméa'há (vai)@
@bad: taste ~@|@hávêséveéno'e (vii)@
@badger@|@ma'háhko'e (na)@
@Badger Sees All (pn) (a spirit)@|@Ma'háhko'e Ôhtanevóósánêstse@
@badgers@|@ma'hahkö'e (na pl)@
@badly@|@hávêséve- (pv)@
@badly treat SB@|@hávêsévo'eéh (vta)@
@bag@|@hoo'he (na)@
@baggy@|@vovéhpoe'to (vai)@
@bags@|@hoo'heno (na pl)@
@bail@|@vovéehevahtôtse (ni nom)@
@bail hay@|@hohpo'óesané (vai)@
@bail out@|@vovéehevá  (vai)@
@bail out (liquid)@|@nóohené (vai)@
@bail out (variant)@|@nóohané (vai)@
@bail out SB@|@vovéehevávomotah (vta)@
@bail out ST@|@nóohá (vti)@
@bailer@|@hohpo'óesanestôtse (ni)@
@bailer (for hay)@|@hohpo'óeseo'o (ni)@
@bailers@|@hohpo'óeseonôtse (ni pl)@
@bait: use ~@|@ho'enôhová (nôhevá?) (vai)@
@bait: use SB as ~@|@ho'enôhová'tov (vta)@
@bake@|@honó (vai), honóné (vai)@
@bake (ST) for SB@|@honóhtomev (vta)@
@bake Indian bread@|@tsêhéstâhononé (vai)@
@bake SB@|@honót (vta)@
@bake ST@|@honóhtá (vti)@
@baked: anything ~@|@honoo'o (ni)@
@baker@|@kóhkonôheonanéhe (na)@
@baker (bread making whiteman)@|@kóhkonôheonanéve'ho'e (na)@
@baker (female) (bread making white woman)@|@kóhkonôheonanéve'ho'á'e (na)@
@bakery (bread making house)@|@kóhkonôheonanémâhéó'o (ni)@
@bakes: anything ~@|@honóonôtse (ni pl)@
@baking out of the oven: take ~@|@onóvâhononé (vai)@
@baking pan@|@honónestôtse (ni)@
@baking pans@|@honónêstotôtse (ni pl)@
@baking powder@|@póhaneo'o (ni)@
@baking: she is ~@|@éhonóne (vai)@
@bald eagle@|@vóaxaa'e (na)@
@Bald Eagle Medicine Woman@|@Vóaxaa'éma'heóná'e (pn)@
@bald eagle pin feathers (used on altar Sun Dane)@|@vóaxaa'émeeno (na pl)@
@bald eagles@|@vóaxaa'eo'o (na pl)@
@Bald Face@|@Vó'heeséhe (pn)@
@bald in different places: be ~@|@ooo'kêstséá'e (vai)@
@bald spot on the head: have a round ~@|@vó'hestséá'e (vai)@
@bald: be ~@|@oo'êstséá'e (vai)@
@bald: be ~ (variant)@|@oo'kêstséá'e (vai)@
@Baldy@|@Oo'êstséáhe (pn)@
@balk@|@pâhpone'ó (vai)@
@ball@|@hohtsemo (na), htóhtséme (na poss)@
@ball went in: the ~@|@ééseváoohe (vii)@
@ball: be a ~@|@hóhtsemóneve (vai)@
@balloon@|@éstovóseo'o (ni)@
@balloons@|@éstovóseonôtse (ni pl)@
@balls@|@hohtsemono (na pl)@
@baloney@|@ma'xêhestâhtötse (ni)@
@baloney: Indian ~@|@hevé'keonéhestâhtötse (ni), vé'keonéhestâhtötse (ni)@
@banana@|@vóhka'éhe, vóhka'émene (na)@
@banana (pl)@|@vóhka'éhe (na)@
@banana bread@|@vóhka'éhemenékohkonôheo'o (ni)@
@bananas@|@vóhka'émeno (na pl)@
@band@|@manaho (na)@
@band member@|@mana (na)@
@bandage@|@hóxe'êhestôtse (ni)@
@bandage eyes of SB@|@nêhpéneet (vta)@
@bandage SB@|@hóxe'et (vta)@
@bandage ST@|@hóxe'estsé (vti)@
@Bandaged Nose (lit bandaged nose one)@|@Hóxeeséehe (pn)@
@bandaged nose: have a ~@|@hóxeeséehe (vai)@
@bandaged: be ~@|@hóxe'ehe (vai)@
@bandit@|@nêhpa'éehéve'ho'e (na), šéenováhe (na)@
@bang@|@pónevonêstse@
@Bang@|@Pónevonêstse (pn)@
@bangs (in hair): have ~@|@tamóhtaxe (vai)@
@bank@|@ma'kaataémâhéó'o (ni)@
@bank (lit money house)@|@ma'kaetaemâhëö'o (ni)@
@banker@|@ma'kaataevé'ho'e (na), ma'kaetaéve'ho'e (na)@
@banned@|@náa'sêháá'e (p)@
@Bannock Indian@|@Panâhke'e (na)@
@Bannock Indians@|@Panâhke'eo'o (na pl)@
@baptize@|@e'óoestaáh(n) (vta)@
@bar@|@manémâhéó'o (ni)@
@bar (whiteman water house)@|@vé'ho'émâhpémâhéó'o (ni)@
@bar: wrecking ~@|@toóneoheonéne'taneo'o (ni)@
@barbaric: he's ~@|@énâhahe (vai)@
@barbecue@|@honoo'o (ni)@
@barbecues@|@honóonôtse (ni pl)@
@barbed wire@|@heškóvoneaneo'o (ni)@
@barber@|@oo'kóhtâxováhe (na)@
@barber (variant)@|@oo'kóhtâxováve'ho'e (na), oo'óhtâxováhe (na)@
@barbers@|@oo'kóhtâxováheo'o (na pl)@
@barbers (variant)@|@oo'kóhtâxováhe (na pl)@
@barbershop@|@oo'kóhtâxová-mâhéó'o (ni), oo'kóhtâxovámâhéó'o@
@bare@|@neeme'se- (pv), oo'(k)- (i)@
@bare feet: he's got ~@|@éhósóóta (vai)@
@bare ground: be ~@|@oo'kóma'o'e (vii)@
@Bare Medicine Woman@|@Oo'kemánôhóvá'e (pn)@
@bare teeth@|@héškonené'ó (vai)@
@bare teeth to SB@|@nêsétsêstahe (vai)@
@bare the tail of SB: make ~@|@oo'kêhevá'se'ó'h (vta)@
@bare: be ~@|@neeme'só (vii)@
@bare: make ST/SB ~@|@oo'kan (vti)@
@barefoot@|@hósoetá- (i)@
@barefoot: be ~@|@hósóetá (sóetá?) (vai)@
@barefoot: sit ~@|@hósoetaa'e (vai)@
@barefoot: walk ~@|@hósoetáohtsé (vai)@
@barely@|@hovee- (pv), hóvéhno (p)@
@Bares White Buffalo Calf Woman@|@Vóestanóehné'e (pn)@
@bark@|@maa'e (vai)@
@bark (as in a dog barking)@|@maésta (vti)@
@bark (of a bush)@|@hestoomo'(k)e tóom? (ni)@
@bark (of tree)@|@hetone'ke (ni)@
@bark (of tree) (variant)@|@hetone'e (na)@
@barked at him: he ~@|@émaetóho (vta)@
@barked: he ~@|@émaa'e (vai)@
@barley@|@pénôheo'o (na)@
@barn@|@mo'éhno'hamémâhéó'o (ni)@
@barracks@|@nótâxémâheonôtse (ni pl), nótâxéve'ho'éno (ni)@
@barren: be ~ (of a woman)@|@kéavo'ta (vai)@
@barrette@|@hohpo'eáseehestôtse (ni), séno'êhaseo'o (ni)@
@barrettes@|@hohpo'eáseehéstotôtse (ni pl)@
@barter@|@hohtóvá'tov (vta ai+o)@
@bartered: he ~@|@éhohtóvá (vai)@
@baseball@|@o'hohnéhóhtséme (na)@
@baseball (the game)@|@o'hohnestôtse (ni nom)@
@baseball cap@|@a'kóhkêha'e (ni)@
@baseball: play ~@|@o'hohné (vai), o'ôhohné (vai)@
@bashful: be ~@|@ómatahe (vai)@
@basin: be a ~@|@vótanóma'o'e (vii)@
@basket@|@hó'hamó'séó'o (na), mo'e'évetohko, mo'e'évetoo'o, vénôhó'etohko (ni), vénôhó'etohko (véno'etohko ?)@
@basket game: have white seeds up in the ~@|@vóhpêhasené (vai)@
@basketball (the ball itself)@|@éseváohéhóhtséme (na)@
@basketball: play ~@|@éseváohe (vti)@
@baskets@|@vénôhó'etóhkonôtse (ni pl)@
@bastard@|@mé'anéka'êškóne (na)@
@bastard (son)@|@mé'ánêstse (na)@
@bat@|@no'ôheo'o (na)@
@bat (as in baseball)@|@no'ôhené (vai)@
@bat (lit buckskin winged one)@|@môséškanetsénoonáhe (na)@
@bath: he is taking a ~@|@étoo'hame (vai)@
@bathe@|@too'hame (vai)@
@bathe SB@|@too'hamot (vta)@
@bathhouse@|@too'hamémâheo'o (ni)@
@bathroom@|@o'êhnémâhéó'o (ni), too'hamémâheo'o (ni)@
@baton: police ~@|@tamôheo'o (na)@
@bats@|@no'ôheonôtse (na pl)@
@battery@|@ho'ësta (ni), nonóma'e (na)@
@battery water@|@nonoma'é-ho'êstá-mahpe (ni), nonoma'ého'êstámahpe@
@battery: small ~@|@nonómá'késo (ni dim)@
@batting (ex for quilt liners)@|@tóovenó'estôtse (na)@
@Battle Little Big Horn (June 25th)@|@Tsêhe'êsta'éhe Tséhvonanêse@
@bawl out SB@|@vé'hoéševaen (vta), vé'hoét (vta)@
@bay@|@tsévó'néóvâtse@
@bay colored hide: have a ~@|@vó'neová (vai)@
@bay colored in hide: be ~@|@vó'névová (vai)@
@be a person@|@vo'êstaneve (vai)@
@be at@|@hestoéstove (vai), hoé'tá (vti), hoénove (vii impers), nééhá (vii), oo'e (fai)@
@be by itself@|@neeme'tá (vii)@
@be here@|@hö'ta (vii)@
@be in that shape@|@hešêtovahe (vai)@
@be in the way of SB@|@ta'oma'ov (vta)@
@be just like@|@tóva'ov (vta)@
@be like@|@tsêhesta (vai)@
@be of such (for ex age)@|@hestóhtôhe (pv rr)@
@be of that kind@|@nêhestâhevónó'é (vii)@
@be on SB's side@|@véstamaotsé'tov (vta), véstame'tov (mé't?) (vta)@
@be quiet!@|@he'kotoo'êstse! (voc)@
@be shattered@|@vove'sá (vii)@
@be so@|@hešetovátó (vii), nêhesó (vii)@
@be so many@|@nêhestôhe- (pv)@
@be that way@|@hešêtovahe (vai), hešetovátó (vii), nêhesó (vii)@
@be that way (anaph)@|@nêheto'ohe (vai)@
@be the meaning of@|@hešetovátó (vii)@
@be the one@|@néehove (vai)@
@be the person@|@néehove (vai)@
@be there@|@hö'ta (vii)@
@be there all night@|@vóonoo'e (vai)@
@be there: also ~@|@vésto'tá (vii)@
@be with@|@vésto'e'e (vii), véstoo'e (vai)@
@be with but against SB@|@vésêstótsem (vai)@
@be with on a side@|@véstâhévá (vai)@
@be with on the same side with people@|@véstámôsáne (vai)@
@be with SB@|@vésév (vta)@
@bead@|@onéhavo'kame (ni poss), onéhávó'ke (ni), oxa'ôhené (vai)@
@bead a medicine wheel design@|@hotóhkeoxa'ôhené (vai)@
@bead for SB@|@oxa'ôhemev (vta)@
@bead ST@|@oxa'ohá (vti)@
@beaded@|@oóxa'ôheone- (pv), oxa'ohe (vii), oxa'ôhéone- (pv)@
@beaded belt@|@ôxa'ôhévoestáto (ni)@
@beaded breastplate@|@nonó'hovôhto'ótanôtse (ni pl)@
@beaded choker@|@ôxa'ôhéonévo'ota (ni)@
@beaded medicine wheel design@|@hotóhkeoxa'ôhe (vii)@
@beaded moccasins@|@ôxa'ôhévo'kêhanôtse (ni pl)@
@beaded teepee design: have a ~@|@oéškôseoxa'ohe (vai)@
@beaded vest@|@ôxa'ôhéoneoésena'éva'ohtôtse@
@beaded white: be (mainly) ~@|@vóhpeoxa'ohe (vai)@
@beaded yellow: be ~@|@heóveoxa'ohe (vii)@
@beaded: be all ~@|@mâheoxa'ohe (vii)@
@beading: he is ~@|@éoxa'ôhene (vai)@
@beads@|@onéhávó'kêstse (ni pl)@
@beadwork: know how to do ~@|@nôhtóvôhtâhéné (vai)@
@beak (lit bird nose)@|@vé'kêséhema'evo (ni)@
@bean@|@móneške (na)@
@bean shooter@|@asêséoneo'amestôtse (ni)@
@bean: red ~@|@ma'emóneške (na)@
@bean: white ~@|@vóhpevóneške (na)@
@beans@|@monêškeho (na pl)@
@beans: white ~@|@vóhpevónêškeho (na pl)@
@bear@|@náhkohe (na)@
@Bear Animal (translation uncertain)@|@Náhkôhehóváhne (pn)@
@Bear Butte@|@Nóávóse (ni loc), Nóávóse (ni)@
@bear child@|@óehné (fai)@
@bear children in rapid succession@|@vé'sóéhne (vai)@
@Bear Claws@|@Kôheoso (napn), Náhkôheóse (pn)@
@Bear Claws Woman@|@Náhkôheósá'e (pn)@
@Bear Comes Out@|@Náhkôxhóé'éhne (pn), Náoxhóé'éhne (pn)@
@Bear Comes Out (variant)@|@Náoxhóé'éhnêstse (pn)@
@bear cubs@|@náhkôhesono (na dim pl)@
@Bear Doctor Woman@|@Kôhenaa'é'e (pn), Náhkôhenaa'é'e (pn)@
@bear first child@|@ná'tomóehné (vai)@
@bear four children@|@névóehné (vai)@
@bear growl@|@náhkôhe'šeme (vai)@
@bear how many children@|@tónêstôhnóehné (vai)@
@Bear Kills Woman@|@Náhkôhena'hané'e (pn)@
@bear many children@|@háestôhnóehné (vai)@
@Bear Medicine@|@Náhkôhema'heóná'e (pn)@
@Bear Medicine Woman@|@Náhkôhema'heóná'e (pn)@
@bear only one child@|@no'kóéhne (vai)@
@Bear Robe@|@Hoomâhénâhkohe (pn), Náhkôhehóoma (pn)@
@bear SB as a person@|@vo'êstanévóehné'tov (vta)@
@Bear Shirt@|@Náhkôhéestse'henáhe (pn)@
@Bear Sings Woman@|@Kôhenoné'e (pn), Náhkôhenoné'e (pn)@
@Bear Stands Woman@|@Kôheóó'e (pn)@
@bear three children@|@na'nóehné (vai)@
@bear two children@|@nésóehné (vai)@
@bear what gender of child?@|@hová'evóehné (vai)@
@Bear Woman@|@Náhkôhá'e (pn)@
@bear: become a ~@|@náhkôhéveotse (vai)@
@bear: grizzly ~@|@vóhpâhtse-náhkohe (na), vóhpâhtsenáhkohe (na)@
@bear: little ~@|@náhkôhéso (na dim)@
@bear: polar ~@|@vóhpenáhkohe (na)@
@bear: small ~@|@náhkôhéso (na dim)@
@Bearchum@|@Náhkôhéma'háahe (pn)@
@beard@|@mé'hahtse@
@beard: have a good ~@|@pêhévemé'hahtse(ná) (vai)@
@beard: sit plucking ~@|@oo'kemé'hahtsenaa'e (vai)@
@bearing children: stop ~@|@énoehné (vai)@
@Bearquiver@|@Náhkôhééstóso (pn)@
@bears@|@náhkôheo'o (na pl)@
@bears: little ~@|@náhkôhesono (na dim pl)@
@beast: mysterious ~ (kind of monster)@|@ma'heónêhóva (na)@
@beat@|@hó'tâhevá (vai)@
@beat (for people)@|@hó'tâhevátôsané (vai)@
@beat around the bush@|@onéhamó'ané (vai)@
@beat child(ren)@|@na'tóvohe (vai)@
@beat child(ren)(variant)@|@na'tóvôhéoohe (vai)@
@beat her husband: she ~s@|@étaä'e (vta)@
@beat him to death: he@|@éáhaneoestôhnóho (vta)@
@beat his wife: he ~s@|@étaä'e (vta)@
@beat SB@|@hó'tah(n) (vta), vovóna'o'h (vta), vovónan (vti)@
@beat SB in a bet@|@má'to'óh(n) (vta)@
@beat SB in contest@|@novoh(n) ? (vta)@
@beat SB until they fall over@|@áveanôxévaen (vta)@
@beat spouse@|@taa'é (vai)@
@beat spouse (variant)@|@taa'éoohe (vai)@
@beat ST@|@hó'tahá (vti)@
@beat up SB@|@ne'enéseh (vta), ne'enéšêšéváen (vta)@
@beaten: be ~@|@hó'tahe (vai)@
@beautiful@|@mo'on (p)@
@beautiful place@|@véhonátamáno'e (vii)@
@beaver@|@hóma'e (na)@
@Beaver (Constellation)@|@hóma'e (pn)@
@Beaver Appears@|@Hóma'e Ôhmé'éhnêstse (pn)@
@Beaver Heart@|@Homa'êhësta (pn)@
@Beaver River@|@Homa'éo'hé'e (pn loc)@
@Beaver River (Note 2 rivers OK and Kansas)@|@Homa'éo'hé'e (ni loc)@
@beaver: small ~@|@homa'këso (na)@
@beavers@|@homä'e (na pl)@
@beavers (alt pl form)@|@homá'eo'o (na pl)@
@because@|@hése- (pv), homá'xe- (pv), vé'še- (pv)@
@because he is merciful@|@tséhvé'nêševátsêstaese@
@because he is sick@|@tséhvé'háomóhtaese@
@beckon@|@onóosetanevá (vai)@
@beckoned to him: he ~@|@éonóomóho (vta)@
@become@|@otse (fai)@
@become a member of@|@hó'xêseotse (vai)@
@become conscious of@|@homáotse (vai)@
@become different@|@nétâhéveotse (vai)@
@become exhausted while@|@ná'tse- (i)@
@become full from eating@|@ná'so'enôhéotse (vai)@
@become good@|@pêhéveotse (vii)@
@become happy@|@pêhévetanóotse (vai)@
@become that way@|@nêhesóotse (vii), nêhestáotse (vii)@
@become: what ~@|@tónêstáotse (vai)@
@bed@|@hoeseonó'e (ni), šéešestôtse@
@bed (over there): have a ~@|@hestoomaa'e (vai)@
@bed fixtures@|@héstoomôtse (ni)@
@bed there: have a ~@|@héstooma (vai)@
@bed: get SB out of ~@|@to'é'o'ha (vta)@
@bed: he's in ~@|@éšééše (vai)@
@bed: make ~@|@vóhetanené  (vai)@
@bedbug@|@hexóva'e (na)@
@bedbugs@|@hexová'e (na pl)@
@bedding@|@hestoomaestôtse (ni), héstoomôtse, hono'ko (na)@
@bedding (on ground)@|@héstoomôtse (ni)@
@bedding(s)@|@honó'kono (na pl)@
@bedding: make ~@|@hestoomané (vai)@
@bedstead (traditional)@|@hó'otseónó'e (ni)@
