@English@|@Laotian@
@a small cylindrical pannier of woven bamboo@|@ກະຢ່ອງ@
@a small dog with long fur@|@ຈູ@
@a small earthware kitchen bowl@|@ກະອູບ@
@a small fish@|@ກະຈົນ@
@a small fish-eating bird@|@ກະເຕັນຊິວ@
@a small flat bronze cymbal@|@ພ່າງຮາດ@
@a small fresh-water scomber which is usually served salted@|@ທູ@
@a small gong@|@ຄ້ອງກະແຕ@
@a small jungle bird@|@ໂກນຈາ@
@a small Lao cake@|@ກະເຕິລອດຊ່ອງ@
@a small lizard@|@ກະປອມໃຫມ່@
@a small mouse which appears in large numbers during the fruition of bamboo@|@ຂີ@
@a small mussel@|@ກາບກີ້@
@a small owl@|@ເຄົ້າຫມາກກອກ, ເຄົ້າໝາກກອກ@
@a small oxcart@|@ກຽນສາລີ@
@a small river fish@|@ກະເດີດ, ກະເຕົາ@
@a small scaled fish@|@ປາໂກນ@
@a small scorpion@|@ງອດ@
@a small species of river fish@|@ກະແຍງ@
@a small temple in the pagoda which holds just  21 bonzes@|@ຂັນທະສີມາ@
@a small two-faced drum@|@ກອງຕະໂພນ@
@a small type of banana@|@ກ້ວຍກ້ານບຸ່ນ@
@a small type of deer@|@ກວາງຊີ@
@a small type of flying lemur@|@ບ່າງຕອງ@
@a small white flower used for decorating bowls for the Lao wedding ceremony@|@ດອກຮັກ@
@a small white scaled fish@|@ປາກະມັນ@
@A small wooden bar@|@ຮົ້ວຮາວ@
@a small woven pannier of bamboo@|@ກະລຸມ@
@A smooth and slimy white mushroom@|@ຕາໂລ້@
@a smooth eggplant with a spiny stem@|@ເຂືອຂົນ@
@a smooth white rock@|@ນາງຝານ@
@a solid thing or hard object@|@ຂອງແຂງ@
@a sond@|@ກ້ອດ@
@a soul seeking to be born@|@ສັມພະເວສີ, ສຳພະເວສີ@
@a sound@|@ຄຶກຄື້ນ@
@a soup or ragout of porking giblets and assorted condiments@|@ບວນ@
@a sour soup mage of meat@|@ຕົ້ມແກງສົ້ມ@
@a source of guttapercha@|@ໂບງ@
@a species of tree fern@|@ກູດກະນີ@
@a spiced sausage@|@ໃສ້ກອກ@
@a spiny@|@ແຄ້ງຫນາມ, ແຄ້ງໜາມ@
@a spiny bush@|@ງ່ຽງດຸກ@
@a spiny eggplant used medicinally@|@ເຂືອຫນາມ@
@a spiny tree with dark blue fruit@|@ເກັນ@
@a spiny vine@|@ກະທາດ@
@a spiny vine with small multiple leaves and a strong odor@|@ຂະ@
@a stand@|@ແທ່ນ@
@a starving tiger@|@ເສືອຫິວ@
@a steer gone wild@|@ງົວບາ@
@a stick skims the head@|@ຄ້ອນຫວິດຫົວ@
@a strong believer@|@ສັດທາທິກະ@
@a student interested in learning@|@ເວໄນ@
@a substitute cock@|@ໄກ່ຮອງບ່ອນ@
@a suburb of Bangkok@|@ທົນບຸຣີ@
@a suffocating odor@|@ຂື່ນ@
@a suit of clothes a set of tool@|@ເຄື່ອງຊຸມຫນື່ງ@
@a sweet prepared by boiling yams@|@ແກງບວນ@
@a system for calculating the time of a solar eclips@|@ກຳມັດຊະພົນ@
@a taboret for serving food@|@ກະໂຕກ@
@a tanning substance@|@ສີສຽດ@
@a technical word@|@ສັບເທັກນິກ@
@a Thai orchestra@|@ພິນພາດ@
@a thick@|@ບັນທຸກັມພົນ@
@a thick-leaved plant@|@ຜັກສັງ@
@a third party@|@ບຸກຄົນພາຍນອກ@
@a thorny tree without flowers@|@ທອງຫນາມ@
@a thousand or so@|@ຈຳນວນພັນ@
@a thousand years@|@ພັນປີ@
@a tied game@|@ຈາວ@
@A tiny fish@|@ປາກົມ@
@a tiny green aquatic plant@|@ໄຂ່ແຫນ@
@A tiny white fish which@|@ປາກະເຕົາ@
@a tiny white fish with a red dorsal fin@|@ປາວຽນໄຟ@
@a tiny white scaled fish@|@ປາປົກ@
@a title for the Buddha@|@ພະຄະວາ@
@a title given to one who served as novice@|@ຊຽງ@
@a toy of northern Laos@|@ກະແຊ@
@a transparent photographic positive@|@ຮູບພິມໃສ່ແກ້ວ@
@a tree@|@ກາກະທິງ, ຊຸ້ມກະຕ່າຍ, ມະຫາລະລາຍ, ມອນວ່າ, ລອມຄອມ@
@a tree having edible fruit and seeds used medicinalyl@|@ມ່ວງຄຸດ@
@A tree in India’s garden@|@ປາຣິຊາດ@
@a tree of foreign origin in the Buddhist romance@|@ກາວພຸ່ມ@
@a tree of heaven@|@ກັນລະປະພຶກ@
@a tree of the dense forest used for firewood and medicinally@|@ດຸກໄສ@
@a tree of the Dipterocarpus family@|@ຍາງຂາວ@
@a tree relted to ko bearing no fruit@|@ໂກເກືອ@
@a tree used medicinally@|@ສັນພ້າມອນ, ສັນພ້າຫອມ@
@a tree with dark blue flowers@|@ກາກະເລົາ@
@a tree with edible  red fruit growing in clusters@|@ແງວໂຫວດ@
@a tree with edible young leaves@|@ເມັກ, ເມັກ@
@a tree with frgrant perfume@|@ຕັກຄັນ@
@a tree with handsome wood@|@ສັນພ້ານາງແອ@
@a tree with red flowers touched with white@|@ສະມັ່ງ@
@a tree with round sweet edible fruit@|@ຕາໄກ້@
@a tree with small fragrant flowers used in garlands@|@ພິກຸນ@
@a tree with small fruit used medicinally against rheumatism@|@ເຟື້ອງຖ້ວຍ@
@a tree with spiny branches and trunk@|@ງົວເລັຍ@
@a tree with white flowers@|@ກະດອມຕົ້ນ@
@a tribe between the Mon and Khmer@|@ຂ່າ@
@a tribe in the mountains of Khammouane Province@|@ໂຖ້@
@a tribe of mountaineers in North Burma@|@ຍາງ@
@a true item@|@ຂອງຈິງ@
@a tureen from which rice is offered to the bonzes@|@ເຂົ້າບາດ@
@a two-faced drum@|@ຕະໂພນ@
@a type of bamboo@|@ໃກ, ກວັນ, ໂຄຍຊ້າງ, ສະຫລອຍ@
@a type of beetle@|@ຈີ່ນຸນ@
@a type of cake@|@ເຂົ້າສະຕູ@
@a type of cereal grain@|@ເຂົ້າຂ້ວງ@
@a type of conical fishnet@|@ຈໍ້ຫວໍ້@
@a type of decorative bamboo tree@|@ໄມ້ສາງໄພ@
@a type of dragonfly@|@ກະນູນ@
@a type of fiab@|@ສະກາງ@
@a type of fireworks@|@ໄຟພະນຽງ@
@a type of flower@|@ມຸນທາ@
@a type of freshwater fish@|@ໂກ່ນ@
@a type of grapefruit@|@ກ້ຽ'ຄຳ@
@a type of green leafy vegetable@|@ຜັກກາດຂົມ@
@a type of hardwood tree@|@ໄມ້ແຄນ@
@a type of heron@|@ກາບບົວ@
@a type of iguana@|@ໂຄທາ@
@a type of large banana@|@ກ້າຍ@
@a type of lizard@|@ໂກະ, ຈີ່ປອມ@
@a type of lizard with a black and red neck@|@ກະປອມຂາງ@
@a type of mango@|@ສະວາຍສໍ@
@a type of masked play@|@ໂຂນ@
@a type of mimoss@|@ດອກກະຖິນ@
@a type of mushroom@|@ກໍ່ຫນາມ@
@a type of music@|@ກ້າມ@
@a type of orange@|@ຂຽວຫວານ@
@a type of orchid@|@ກ້ວຍໄມ້@
@a type of others to work more effectively@|@ກຽງລົມ@
@a type of pannier@|@ກະເປ@
@a type of perch@|@ເຂັງປາ@
@a type of perch with tiger colors@|@ປາງສືອ@
@a type of pumpkin@|@ຟັກເຫລືອງ@
@a type of ragout m ade with vegetable@|@ຊົ້ວ@
@a type of rattan@|@ສະນອຍ@
@a type of rubber vine@|@ຄໍ້ຫມາກງ່າມ@
@a type of short poem consisting of eight lines@|@ສັກກະວາ@
@a type of skyrocket@|@ນົກກະຈອກ@
@a type of slacked@|@ໂຍະ@
@a type of small@|@ຈາດ@
@a type of small frog living in rice paddies@|@ຈ່າຣົງ@
@a type of teal smaller than pet deng@|@ເປັດບິ່ງ, ເປັດປ່ອງ@
@a type of thornless bamboo@|@ໄມ້ຊາງ@
@a type of tree@|@ເຂ, ຂູມຟູມ@
@a type of tree similar to sandal-wood@|@ຈວງຫອມ@
@a type of wasp@|@ໄຢ@
@a type of watercress@|@ຕັງໂອ@
@a type of white scorpion fish@|@ປາຫມູ@
@a type of woven bamboo pannier@|@ກວຍຕາແຫລວ@
@a type of xyophone with sixteen small bronze gongs@|@ຄ້ອງວົງ@
@a type of yam@|@ຮຶບ@
@a type pf domestic chicken@|@ໄກ່ຕະເພົາ@
@a variety of rice used medicinally for rheumtism@|@ເຂົ້າຄາຍເຫລືອງ@
@a vast crowd of people@|@ຜູ້ຄົນມາກມາຍ@
@a vegetable@|@ຜັກຄາວທອງ@
@a venomout snake@|@ສາມລຽມ (ງູ)@
@a vertical piston@|@ສູບຕັ້ງ@
@a very famous physician in the early Buddhist era@|@ໂກມາຣະພັດ@
@a very fine-meshed sieve@|@ເຂີງຖີ່@
@a very intelligent procedure@|@ກົນລະເມັດ@
@a very large bee@|@ພະມະຣິນ@
@A very large member of the catfish family@|@ປາແຂ້@
@a very light noise@|@ງິ້ງ@
@a very small earthworm@|@ຂີ້ຖັກແທ່@
@a very small eel-like fish@|@ປາສະໂທງ@
@a very small frog which lives underground@|@ຂຽດບັກແອ່ງ@
@a very small mango@|@ກະສໍ່@
@a very small mosquito@|@ຍູງຫິນ@
@a very small rodent@|@ກະເລັນ@
@a very small stream fish@|@ກະແຕບ@
@a very strong@|@ຂີ້ຫມູ@
@a very tall and strong reed@|@ແຂມ@
@a very tiny fish@|@ປາອີດ, ປາອອດ@
@a vine@|@ຮວງສຸ່ມ@
@a vine of the pumpkin family@|@ກະໂຕ່ນ@
@a vine reputedly able to conteract poison@|@ແກ້ວເມືອງມາງ@
@a vine reputedly able to contetract posion@|@ແກ້ວເມືອງລ້າ@
@a vine resembling rattan@|@ເທົ້າສານ@
@a vine used for medicine@|@ງ້ວນຕັກຫງາຍ@
@a vine with sour-tasting@|@ໂກ່ຍ@
@a vine with thorns on the stem@|@ຕະໂປງ@
@a vine with white flowers@|@ກະດອມເຄືອ@
@a virgin@|@ກັນຍາ@
@a volcano erupts@|@ພູເຂົາໄຟລະເບີດ@
@a wading bird@|@ກະຖຽນ@
@a watch@|@ຕັ້ງໂມງ@
@A water bird the size of a teal@|@ປະຫຽນ@
@a weak knock@|@ບາດຄ່ອຍ@
@A weak word ending in a short vowel@|@ຄຳລະຫຸ@
@a weapon which can kill one hndred persons at a stroke@|@ສະຕັກຄະນີ@
@a welcoming phrase@|@ສະວາຄະຕະ@
@a white fish measuring six inches@|@ປາແຕບ@
@a white flat-bodied finger length fish@|@ປາມາງ@
@a white scaleless fish measuring six inches and having soft flesh@|@ປາເຊືອມ@
@a white silkweed used medicinally@|@ງົ້ວດ່ອນ@
@A white wide fish with a long mouth and red tail@|@ປາສະໂທ@
@a white-spotted mushroom@|@ເຂົ້າໄຄ@
@a whole year@|@ຕັ້ງປີ@
@a wild fowl of the forest@|@ໄກ່ເຖື່ອນ@
@a wild fowl of thefields@|@ໄກ່ນາ@
@a winged creature@|@ກິນນະຣີ, ກິນນະຣອນ@
@a winged lizard@|@ກະປອມປີກ@
@a wish for a happy marriage@|@ຜົວແກ້ວເມັຍທິບ@
@a wish for happiness@|@ສະວັດດີມົ່ງຄົນ@
@a witness@|@ເປັນພະຍານ@
@a woman who has been widowed several time@|@ແພ້ຜົວ@
@a woman whose husband is still alive@|@ຊີວະປັດຕະນີ@
@a women capable of love@|@ກາມິນີ@
@a wooden bell with clapper or stick@|@ເກາະລໍ່@
@a wooden or metal hook@|@ຂໍຫ້ອຍ@
@a wooden supporting frame used for transporting rockets for festivals@|@ຂາເຂັຍ@
@a wooden tablet for writing@|@ກະດານຫິນ@
@a word used for emphasis at the end of a sentence (not translated)@|@ກະດາຍ@
@a worm living in rotted wood@|@ຂະມວນ@
@a woven bamboo container resembling a pocket@|@ກະໂລງ@
@a year and a few months@|@ປີປາຍ@
@a yellow and black cicada@|@ແມງກາດ@
@a yellow lizard living in the sand@|@ຕົວແງ້@
@a young bud@|@ງວງຕານ@
@aa a example; acccording to a pattern@|@ຄືຕົວຢ່າງ@
@abacus@|@ກະບາດນັບ, ສູດລູກຄິດ, ລູກຄິດ@
@abandon@|@ສະພັດ, ສະຫລະ, ສະຫລະຖິ້ມ, ສະຫລະຫລະຖິ້ມ, ສະຫຼະ, ສະຫຼະຖິ້ມ, ສະຫຼະຫຼະຖິ້ມ, ສະຫລະຖິ້ມ, ສະຫຼະຖິ້ມ, ຊ່າງເທາະ, ຍົກເລີກ, ທໍ້ຖອຍ, ເນຣະນາຖະ, ປະເສັຍ, ປະປ່ອຍໃຫ້, ປະລະ, ປ່ອຍເສັຽ, ປ່ອຍຖິ້ມ, ປ່ອຍປະ, ປ່ອຍປະລະເລີຍ, ລະເສຍ, ວາງປະເປົ່າ, ແຮມຮ້າງ@
@abandon  village@|@ຮ້າງບ້ານ@
@abandon a sentry post@|@ຖິ້ມຍາມ@
@abandon hope of living@|@ປົງອາໄລ@
@abandon leave@|@ປະຖື້ມ@
@abandon or forsake a wife@|@ຖິ້ມເມຍ@
@abandon or forsake one’s parents@|@ຖິ້ມພໍ່ແມ່@
@abandon or throw down one’s work@|@ຖິ້ມການງານ@
@abandon the effort@|@ເລີກລົ້ມຄວາມພະຍາຍາມ@
@abandoned@|@ຖືກປະລະ@
@abandoned house@|@ເຮືອນຮ້າງ@
@abandoned ricefield@|@ນາເຮື້ອ@
@abasement@|@ການກົ້ນລົງ@
@abashed@|@ຕົກຄະມະ@
@abate@|@ສ່າງ, ປະເທົາ, ປະນຸດ, ລົດນ້ອຍລົງ@
@abattoir@|@ໂຮງຂ້າສັດ@
@abbess@|@ແມ່ອະທິການ, ອະທິກາຣິນີ@
@abbot@|@ອະທິການວັດ@
@abbot of a group of monasteries@|@ເຈົ້າອະທິການ@
@abbot of a wat@|@ເຈົ້າອາວາດ@
@abbot of a wat or monastery@|@ເຈົ້າວັດ@
@abbr. Christian era; A.D.@|@ຄ.ສ@
@abbreviation for hours@|@ຊ.ມ@
@abbreviation; initial letter@|@ອັກສອນຫຍໍ້@
@abdicate@|@ສະຫລະຣາຊສົມບັດ, ສະຫຼະຣາຊສົມບັດ, ຢ່າການ@
@abdomen@|@ທ້ອງ, ປູມ@
@abhor@|@ຂີ້ຫນາຍ, ຊັງ, ລັງກຽດ@
@abhorrent@|@ປະຕິກູນ@
@abide@|@ພັກອາໄສ@
@ability@|@ຄວາມສາມາດ, ສະມັດຖະ, ສະມັດຖະພາບ, ສາມາດຖະພາບ, ຝີໄມ້ລາຍມື@
@abjuration@|@ປັດຈຸດ@
@abjure@|@ທົນສາບານ@
@ablation@|@ການຄັດອອກ@
@able dirt on the body@|@ຂີ້ຄັງແຄ@
@able to swallw easily@|@ກືນລົງຄ່ຳໄດ້@
@able-body man@|@ຊາຍສະກັນ@
@ablution@|@ການຫາປາ@
@abmormal@|@ວິການ@
@abnegation@|@ການສລະຖິ້ມ@
@abnormal@|@ຜິດສັງເກດ, ຜິດປົກກະຕິ, ພິກົນ, ວິສາມັນ, ວິບປະລາດ, ອະນິຍົມ@
@abnormal in size@|@ໂຄ່ງຄ່າງ@
@abnormal mentality@|@ຈິດບົກພ່ອງ@
@abode of the gods@|@ສຸຣາໄລ@
@abolish@|@ຍົກເລີກ, ລົ້ມເລີກ@
@abolish slavery@|@ເລີກທາດ@
@aborad@|@ບົນເຮືອ@
@abort@|@ແທ້ງ@
@abound@|@ມີຖົມເຖໄປ@
@abounding@|@ອະເນກນອງ@
@about@|@ໃນລະຫວ່າງ, ພໍປະມານ, ຮາວໃດ@
@About@|@ຮາວ@
@about equal@|@ໄລເລັ່ຍ@
@about ot arrive@|@ໃກ້ຈະມາແລ້ວ@
@about to@|@ເກືອບຈະ@
@about to end@|@ເກືອບສຸດທ້າຍແລ້ວ@
@about to give birth@|@ທ້ອງແກ່@
@about to rain@|@ເຕົ້າຝົນ, ເຕົ້າຟ້າເຕົ້າຝົນ@
@above@|@ຂ້າງເທິງ, ຂ້າງບົນ, ທັງເທິງ, ທາງເທິງ, ເທິງ, ເບື້ອງບົນ, ຢູ່ເທິງ@
@aboveboard@|@ແປນຫນ້າແປນຕາ@
@above-mentioned@|@ຂ້າງຕົ້ນ@
@Abrasive@|@ໂປກ, ໂປກ, ໂປກ, ໂປກ@
@abroad@|@ນອກ, ວິຣັດ@
@abrogate@|@ເພີກຖອນ, ລົ້ມເລີກ@
@abrupt rock@|@ຜາຕັ້ງ@
@abruptly@|@ປັດຈຸບັນທັນດ່ວນ@
@abscess@|@ຝີດິບ@
@absence@|@ການບໍ່ຢູ່, ອະພະວະ@
@absence of disease@|@ອະໂຣກ@
@absent from school@|@ຂາດໂຮງຮຽນ@
@absentminded@|@ຂາດສະຕິ, ໃຈລອຍ@
@absolute(ly)@|@ເດັດຂາດ@
@absolutely@|@ເປັນເດັດຂາດ, ເປັນຫວ່າງ, ເປັນອັນຕະລາຍ, ຢ່າງເດັດຂາດ, ອັນຂາດ@
@absolutely sure@|@ແນ່ເຫລືອເກີນ@
@Absolutely! Indeed!@|@ຈິງຈັງ@
@absolution@|@ມານັດ@
@absorb@|@ແຊກຊືມ@
@absorbed@|@ເຊື່ອມ@
@absorbent cotton@|@ສຳລີ, ຝ້າຍສຳລີ@
@abstain@|@ງົດເວັ້ນ, ບໍ່ອອກສຽງ@
@abstention@|@ການງົດເວັ້ນ, ວິຣົມມະນະ, ເວຣາມະນີ@
@abstention from desire@|@ສະມຸດເສດ@
@abstinence@|@ການງົດເວັ້ນ, ຂະມາ, ສັດຕະຍະເຄະສິທີ, ວິຣົມມະນະ, ອະທິວາດສະນະ@
@abstract@|@ນາມມະທັມ, ເລືອມເອົາ@
@absurb@|@ພິລຶກ@
@absurd@|@ທີ່ສະແດງວ່າໂງ່, ພິລຶກຫຶກຫນາ@
