@English@|@Hmong@
@brilliant@|@ci ntsa iab@
@bring@|@nqa, nqa tuaj@
@Bring some more@|@txhab mov ntxiv rau.@
@brisk@|@mus kev ceev@
@brittle@|@nkig@
@broad@|@dav, tua@
@broad surface of a knife@|@npluav@
@broadcaster@|@tus qhauj kws nthuav xov xwm@
@broccoli@|@zaub cob pob@
@broken@|@lov ntho, tu nrho@
@broken in two@|@lov ntho, tu nrho@
@broken tooth@|@hniav khis, hniav ntais@
@brook@|@menyuam dej@
@broom@|@khaub rhuab@
@brother@|@kwv tij nrog niam nrog, kwv yau, nus yau, tijlaug@
@brother of wife@|@yawm dab@
@brother-in-law@|@txiv laus, yawm yij@
@brothers@|@nus@
@brothers and sisters@|@nus muag@
@brown@|@kas fes, liab daj, txho liab tseb@
@brown fish owl@|@lib@
@browse@|@xauj@
@bruise@|@dhoog ntshav, doog, doog ntshav@
@brush@|@pleev, tus txhuam ub no, txhuam@
@bubbles@|@npuas@
@buck@|@phaws muaslwj@
@bucket@|@thoob@
@buckle@|@khawb, sia@
@bud@|@cos, kev ua paj, pib tawg paj@
@Buddhist priest@|@haujsam@
@budget@|@kev npaj nyiaj@
@Budha@|@mlom@
@buffalo@|@nyuj qus, twm dej, twmwater@
@buffet@|@txee rau khob thiab phaj@
@bug@|@kab, looj koov, thab, yoov, zes@
@build@|@npoog, tuam, txhim, txua@
@build a bridge@|@tuam choj@
@build bridge@|@tuam choj@
@build waterline@|@tuam ciav dej@
@build with brick@|@txhim@
@building@|@tsev, tsev loj, Tsev nloog lus qhuab qhia@
@bulge@|@su@
@bulimia@|@noj txuj txom thiab ntuav tawm@
@bulky@|@tua@
@bull@|@nyuj, txiv nyuj@
@bulldozer@|@tsheb nrau av@
@bullet@|@mos txwv, muas txwv@
@bulletin board@|@txiag ntsia ntawv@
@bully@|@siab phem, thab plaub, yuam cai ua@
@bump@|@nrau@
@bump against@|@phoom, tsiam, tsiam@
@bump into accidentally@|@nphoov@
@bumpy@|@thawv@
@bunch@|@rev, xyuv@
@bundle@|@qhoo@
@bunny@|@luav@
@burden@|@lub nra@
@burglar@|@neeg tsoo@
@burial day@|@sam sab@
@burlap@|@tsaj@
@burn@|@hlawv, kub nyhiab, kub nyiab@
@burned@|@hlab, hnyiab@
@burp@|@qais@
@burrs@|@nrhab@
@burst@|@tawg ntho@
@burst open@|@tawg ntho@
@bury@|@faus, los, paus@
@bury people@|@faus, los@
@bury something in the ground@|@log@
@bus@|@tsheb npav, tsheb ntiav loj@
@bus driver@|@tus tsav npav@
@bus station@|@chaw tsheb ntiav loj@
@bus stop@|@chaw tos tsheb ntiav loj, chaw tsheb npav nres@
@bush@|@hav txwv yeem@
@business@|@kev ua lag ua luam, lag luam, luam@
@business expenses@|@nyiaj siv ua haujlwm@
@business matters@|@xwm@
@business person@|@tub luam@
@busy@|@muaj num, tsis khoom@
@but@|@tabsi, tiamsis@
@But he will be back soon@|@Nws nyuam qhuav mus, tiamsis ib pliag no nws yuav@
@butcher@|@neeg tua tsiaj@
@butter@|@roj pleev ncua ci@
@butterfly@|@npauj npaim, npooj npaim@
@buttocks@|@caj tw, ntsag@
@button@|@khawm, khawm txiv@
@buttons@|@nyees khawm@
@buy@|@muas, yuav@
@by@|@nyob ze ib sab, ze ntawd@
@cab@|@tsheb tav xis, tsheb tavxij@
@cab driver@|@neeg tsav tsheb tav xis@
@cabbage@|@zaub pob, zaub qhwv@
@cabbin@|@tsev pw nyob to hav zoov@
@cabinet@|@txee@
@cabinet maker@|@kws ua txee@
@cace@|@kev sib tw@
@cackle@|@tsauj@
@cafeteria@|@chaw muag kav fes, chaw noj mov, chaw noj mov@
@cage@|@nkuaj, tawb, tawv@
@cake@|@ncuav mog qab zib@
@cakes@|@ncuav@
@calculate@|@xav kom tawm@
@calculator@|@tshuab xam zauv@
@calendar@|@daim ntawv qhia hnub@
@calf@|@menyuam nyuj, plab hlaub@
@call@|@hu@
@call 911@|@hu rau 911@
@call animals or birds@|@cuab@
@call the soul to return@|@hu plig@
@call the spirits to come@|@txheev@
@callous@|@kaub puab@
@callus@|@kaub@
@calm@|@mluas, ntsiag to, nyob twj ywm@
@camel@|@ntxhuav, um, um nees khoov pob@
@camera@|@koob yeeg duab@
@camouflage@|@nkaum@
@camp@|@mus pw hav zoov@
@campaign@|@kev sib tw@
@can@|@kas poom, muaj cuab kav, muaj peev xwm, ua tau@
@can (1)@|@kas poos@
@Can father take us if it rains@|@koj txiv puas kam coj peb mus., Yog los nag@
@can opener@|@hlau tho kos poom, tus hlau tho koas poom@
@Can you read?@|@Koj puas paub nyeem ntawv?@
@Can your brother lift it?@|@Koj tus tijlaug nqa puas taus.@
@canal@|@kwj dej@
@cancel@|@ncua tseg@
@candidate@|@tus neeg sib tw@
@candle@|@tswm ciab@
@candy@|@qhob noom@
@cane@|@nrig pas, pas nrig@
@canker sores@|@qhov ncauj tawm@
@cannibal@|@cov ntsiaj uas rov noj nws cov, neeg noj neeg@
@cannot@|@tsis muaj cuabkav ua@
@Can't feel pulse@|@Mem tes nkaum lawm@
@canteen@|@plhaub taub dej@
@canyon@|@hav cuam kawb@
@cap@|@kos hom caws pliaj, kos mom caus pliaj@
@capability@|@cuab kav, muaj peev xwm ua, muaj rab peev xwm@
@capability (1)@|@muaj cuab kav ua@
@capable@|@cuab kav, muaj rab peev xwm, muaj tswv yim ua tau@
@capable (1)@|@muaj cuab kav ua tau, muaj peev xwm ua@
@capacity@|@kev ntim tau, txaus ntim@
@capillaries@|@hlab ntsha@
@capital@|@lub hauv paus xeev teb@
@capital for investment@|@peev@
@capital letter@|@ntawv loj@
@capsule@|@tshuaj ntsiav@
@caption@|@npe duab@
@capture@|@kev ntes, ntes@
@car@|@tsheb@
@car mechanic@|@kws kho tsheb@
@car seat@|@rooj thauj me nyuam@
@carbon monoxide@|@pa roj av tsheb@
@carbuncle@|@mob fab@
@card@|@daim menyuam ntawn txhav, phaib@
@cardiologist@|@kev kho plawv@
@care@|@ua tus pab tu mob, xav muaj siab pab@
@care (1)@|@kev siab xyuas@
@care for@|@kwm, kwm, saib xyuas, tsom kab tsom kwm, tsom kwm, tsom kwm, tu, tu@
@career@|@dej num, haujlwm@
@careful@|@ceevfaj, faj, paub ceev faj@
@carefully@|@xyuam xim@
@careless@|@plhom moj, tsis saib xyuas, tsis tu@
@caress@|@plhws@
@carful@|@ceebfaj@
@carnivorous@|@noj nqaij@
@carpenter@|@kws ntoo, kws ua vajtse@
@carpet@|@ntaub pua taw rooj, ntaub pua tsev@
@carried away@|@dej tshoob@
@carrot@|@zaub ntug hauv paus@
@carry@|@ev, nqa, ris@
@cart@|@laub@
@cartilage@|@pob txha mos@
@cartoon@|@tas luav@
@carve@|@hlais, npawm, tws, txiav, txua@
@case@|@hnab, qhov chaw pib@
@cash@|@nyiaj@
@cashier@|@neeg khaws nyiaj@
@casket@|@hleb@
@cast aside@|@tseg@
@cast vote@|@xaiv tsa@
@castle@|@tsev fuabtais@
@castrate@|@las, sam@
@casual@|@nyob li qub@
@casuality@|@neeg tsaug mob los tuag@
@cat@|@miv, plis@
@cataloupe@|@dib txaig@
@catastrophe@|@kev teeb meem, piam sij puag ntsoog@
@catch@|@mag, ntes, nuv, txais, txhom@
@category@|@qeb, theem, tso muaj chaw@
@caterpillar@|@kab ntsig@
@cattle@|@cov nyujtwm@
@cauliflower@|@zaub paj@
@cause@|@kom, paus ntsis, ua kom@
@cause and effect@|@kev ua cas thiab tshwm li cas@
@cause suffering@|@txim txoj@
@cause trouble@|@looj koov, thab, txoj@
@caution@|@ceev faj@
@cautious@|@ceevfaj@
@cave@|@qhov tsua@
@cavity@|@hniav kab noj, hniav to qhov@
@cavity hole@|@khub zeb taub txuab@
@cease@|@tsum@
@cede@|@muab rau, tu tebchaws rau luag@
@ceiling@|@qab nthab@
@celebrate@|@noj tsiab, ua kev zoo siab@
@celebrate New Year by eating@|@tsiab@
@celebration@|@kev ua koob tsheej, sib sau ua ke@
@celebration (1)@|@ua kev zoo siab ua ke@
@celery@|@zaub kav@
@celestial@|@nrig txog saum ntsuab ntug@
@cement@|@xemas@
@cemetery@|@toj ntxas@
@censor@|@txwv tsis pub ua los yog hais@
@census@|@tebchaws txheeb tibneeg@
@cent@|@ib npib tooj@
@center@|@hauv plawv, nrab@
@centi@|@ib feem ntawm ib puas@
@centipede@|@laum kib tshooj@
@century@|@ib puas xyoo, tiam neej@
@cereal@|@cereal, khaubnoom@
@ceremony@|@kabke, ua kev cai@
@certain@|@meej, paub meej@
@chafe@|@tshiav@
@chaff@|@npluag, npluag nplej@
@chain@|@hlua caj dab, hlua tes, sawv hlau@
@chair@|@rooj zaum@
@chalk@|@cwj mem av dawb@
@chalk board@|@txiag sau ntawv@
@challenge@|@kev sib kheem, nyuaj, sib tw, sib tw, twv kom ua@
@challenge (1)@|@sib kheem@
@chamaleon@|@pawj qaus hloov xim@
@champion@|@tau zus ib@
@chance@|@hmoo, muaj caij, phav hmoov, sijhawm, twv tsis tau@
@change@|@hloov, kev hloov, kho, nyiaj ntxiv, pauv, txauv@
@change from@|@phlis@
@change money@|@nyiaj ntxiv rov los@
@change one's mind@|@hloov siab@
@change vessel to container@|@rhawv@
@chant@|@hu nkauj, hu plig, hu qhua neeb@
@chant (1)@|@zaj nkauj uas hu tib lub suab@
@chaos@|@tej yam cheem tsis tau lawm@
@chapel@|@lub menyuam tsev teev ntuj@
@chapter@|@nqe, tshooj@
@characteristic@|@xeeb ceem, yam ntxwv@
@charcoal@|@thee@
@charge@|@raug lus tsis zoo, raug npluag@
@charity@|@chaw pab@
@charm@|@povhaum@
@chart@|@cov kab, daim ntawv qhia kev@
@chase@|@caum, raws@
@chat@|@tham@
@chauffeur@|@neeg tsav tsheb@
@cheap@|@pheejyig@
@cheat@|@dag, khib lav, tsis ncaj@
@check@|@kuaj xyuas, soj ntsuam, tshawb xyuas@
@cheek@|@plhu@
@cheerful@|@muaj lus zoo siab, ua kom zoo siab@
@cheese@|@cheese@
@cheetah@|@tsov pom teev@
@chef@|@kws ua zaub mov@
@chemical@|@tshuaj, tshuaj khe mi@
@cherries@|@txiv ntoo qab zib@
@chest@|@hauv siab, xubntiag@
@chest of animals@|@nrob@
@chestnut tree@|@ntseej@
@chew@|@ntsuas, xo, zom@
@chew hard@|@cua@
@chick@|@menyuam qaib@
@chicken@|@nqaij qaib, qaib@
@chicken coop@|@coj qaib@
@chicken pox@|@qhua maj, ua pob qoob, ua qoob@
@chief soldier@|@leem@
@child@|@me, menyuam, njua@
@child abuse@|@yuam kev ua phem@
@child care worker@|@kws zov menyuam@
@childless@|@mooj, tseg tub tseg ki@
@children@|@menyuam, menyuam yaus, tub ki@
@children's crossing@|@menyuam hla kev@
@chills and fever@|@mob npaws, npaws, npaws@
@chilly@|@txias@
@chime@|@suab tswb@
@chimmey@|@chaw tso pa hluav taws@
@chimpanzee@|@liab@
@chin@|@kauj tsaig, puab tsaig@
@China@|@Tuam Tshoj@
@Chinatown@|@Zos Suav@
@Chinese cabbage@|@zaub qhwv Suav@
@Chinese New Year@|@Suav lub xyoo tshiab@
@chinese parsley@|@zaub txhwb@
@Chinese people@|@Suav@
@chip@|@nti@
@chipmunk@|@nas ciav@
@chirp@|@quaj@
@chisel@|@tws, txaug@
@chocolate@|@qhob noom xim kasfes@
@choice@|@xaiv@
@choke@|@txhawm chim@
@choke with bad air@|@ntshawb@
@choko@|@taub maum@
@cholera@|@mob plab zaw@
@choose@|@xaiv@
@chop@|@ntov, tsuav@
@chop down@|@ntov@
@chopping block@|@log, log cam, log mam, tog@
@choppy@|@dej ntas@
@chopsticks@|@rab rawg tais, rawg, rawg tais@
@chore@|@ua haujlwm hauv tsev@
@chronic@|@mob ntsuj ntsoos mus tas li@
@chrysalis@|@zuag kab@
@chubby@|@pham@
@church@|@koom txoos tsev teev ntuj, tsev teev ntuj@
@church (1)@|@cov ntseeg@
@church building@|@Tsev nloog lus qhuab qhia@
@cigarette@|@luam yeeb@
@cigarette lighter@|@ntais@
@cilantro@|@zaub txhwb@
@cimera@|@lub yees duab@
@ciminal@|@neeg txhaum txim@
@Cinco de Mayo@|@Hnub tim  lub  tsib hlis ntuj@
@circle@|@voj voos, yuj@
@circular@|@yeej@
@circumcision@|@txiav daim tawv noov@
@citizen@|@laj mej pej xeem, neeg@
@citizens@|@huabhwm, pejxeem huabhwm@
@citronella@|@tauj dub@
@city@|@nroog loj@
@city hall@|@tsev kav xwm kav zos@
@civet@|@mab txho@
@civil action@|@kev ua plaub ntug@
@civil court@|@tsev txiav txim plaub ntug@
@civilian@|@neeg peg xeem@
@civilization@|@kev ua neej ntawm ib haiv neeg@
@claim@|@kev mus lav yus qhov khoom@
@claim (1)@|@lav yus qhov khoom, nug kom tau ib yam dab tsi@
@claim of your property@|@lav yus qhov khoom@
@claim your things@|@lav yus qhov khoom@
@clam@|@pias deg@
@clan@|@xeem@
@clan members@|@caj ces, kwv tij neej tsa@
@clap@|@npuaj teg@
@clarify@|@tshab kom meej@
@clasp@|@tuav@
@class@|@chav tsev qhia ntawv@
@class schedule@|@caij faib qhia@
@classification@|@kev faib tawm, kev muaj qeb muaj quag@
@classify@|@cais tawm, faib, kev cais tawm, muaj qeb muaj quag@
@classmate@|@phooj ywg kawm ntawv ua ke@
@classroom@|@chav tsev kawm ntawv, hoob@
@claw@|@kaus taw, rau tes@
@clay@|@av nplaum@
@clean@|@cheb, du, huv, ntshiab, ntshiab, tsis qias@
@clean the ear@|@nrws pobntseg@
@clean up and put away@|@ntsaig@
@cleaner@|@nqus tsev vacuum@
@clear@|@luaj, meej, ntshiab, thws@
@clear a field@|@ncaws teb@
@clear a space for a house@|@ncaws tsev@
@clear of weeds@|@thws@
@clear off@|@tshem@
@clear out the weeds@|@ncaws nroj@
@clear the ground@|@du@
@clear the table@|@du@
@cleft palate@|@khis di ncauj@
@clerk@|@neeg muag khoom, neeg ntaus ntawv@
@clever@|@kees, ntse@
@cliff@|@npoo, pob tsuas, tsag tsua@
@climate@|@huab cua@
@climax@|@qhov kawg nkaus@
@climb@|@nce, nce, nce ntoo@
@cling@|@lo@
@clinic@|@chaw kho mob, tsev khu mob@
@clock@|@lub teev dai, lub teev txawb, moo loj@
@clog@|@txhaws@
@clood of dirt@|@plua tshauv@
@close@|@kaw, npog, qe qhov muag, qi, ze, ze@
@close and bolt the door@|@liaj@
@close eye@|@qe qhov muag@
@close eyes@|@qe@
@Close the door!@|@Kaw qhovrooj.@
@close the mouth@|@qhaws ncauj@
@close to@|@ze rau ntawm@
@closet@|@txee dai khaub ncaws, txee rau ntaub linen@
@cloth@|@ntaub, ris tsho@
@clothing@|@khaub ncaws, khaubncaws, tsoos tsho@
@cloud@|@fuab, huab@
@cloudy@|@ntsau, ntxoov@
@clumps of moss@|@ntxhuab@
@clustres of grass@|@xyuv@
@coach@|@cov qhia, tsheb loj thauj neeg, tsheb neescab@
@coals@|@hluav, ncaig, ncaig@
@coarse@|@ntxhib@
@coarse surface@|@xem@
@coast@|@ntug dej hiav txwv@
@coat@|@tsho loj, tsho sov ntsab@
@cock@|@lau qaib@
@cockfight@|@kev qaib sib ncaws@
@cockroach@|@kab laum, laum@
@cocky@|@khav@
@coconut@|@txiv mav poj, txiv moj phob@
@codfish@|@ntses pas thu@
@coerce someone to do something@|@zij@
@coffee@|@kas fes, kav fes@
@coffee pot@|@lauj kaub kas fes@
@coffee table@|@rooj kas fes, rooj kav fes@
@coffin@|@hleb@
@coffin maker@|@txiv txiag@
@cognitive delay@|@laj lim qeeb, tswv yim qeeb@
@coherent@|@paub tau, to taub tau@
@coil@|@chev, kauj@
@coiled sewn patterns@|@chev@
@coin@|@nyiaj npib@
@coincidence@|@ntau yam los sib txuam@
@colander@|@sab cib, suab sib@
@cold@|@mob khaub thuas, no, txias@
@cold season@|@caij ntuj no@
@cold-blooded@|@ntshav txias@
@colered pencils@|@cov cwj mem kua kob@
@collaborate@|@ua haujlwm ua ke@
@collaboration@|@koom tes, sib pab tawm tswv yim, sib txhawb@
@collar@|@dab tshos@
@collar bone@|@qaig, qais@
@collarbone@|@qais@
@colleagues@|@phoojywg, phoojywg haujlwm@
@collect@|@sau@
@collect in a container@|@cug@
@collect taxes@|@sau se@
@collection@|@kev muab sib sau coj los ua ke@
@college@|@los sis qib siab, tsev kawm ntawv theem siab@
@collide@|@lawg, tsoo@
@collision@|@kev sib nraus, kev sib tsoo@
@collor@|@foo, pleev xim@
@color@|@kob@
@color blind@|@tsis pom cov kob zoo@
@color crayons@|@cov cwj mem kob qhuav@
@colorful@|@ntau yam xim, xim zoo nkauj@
@colors@|@xim@
@colt@|@menyuam nees@
@columnist@|@neeg sau ntawv xov xwm@
@comb@|@ntsis, zuag@
@combination@|@kev sib tov ua ke@
@combine@|@sib tov ua ke@
@combustible@|@hom kub hnyiab tau zoo@
@come@|@los, rov qab los@
@Come again@|@Mus ho tuaj@
@Come again!@|@Mus ho los, Mus ho tuaj!@
@come back@|@sev npua@
@Come in@|@Los tsev@
@come loose@|@plam@
@Come on in.@|@Los tsev os.@
@come out@|@tawm tuaj@
@Come quickly!@|@Tsuag tsuag maj!@
@come short of@|@tshuav@
@come to a place not one's home@|@tuaj@
@come to an end@|@nto, tws@
@come united@|@plam@
@comedy@|@kev ua yeeb yam tso dag ua si@
@comfort@|@nplij, xwv@
@comfortable@|@zooj@
@command@|@hais kom ua@
@commander@|@tus thawj nthe  laj lam@
@commit@|@ua phem@
@commit adultery@|@deev@
@committee@|@rooj saib xyuas@
@common@|@hom niaj hnub ua@
@communication@|@kev sib nug moog@
@communication ability@|@muaj peev xwm txuas taulus, txawj nrog lwm tustham@
@company@|@tsev ua khoom ub no@
@compare@|@sib piv@
@compensate@|@muaj los txhawb, pab kom txawm peem@
@compensate (1)@|@paub tab@
@compete@|@sib tw@
@complainant@|@tus qog qhia, tus tsis txaus siab@
@complaint@|@qog qhia, tsis txaus siab, tsis txaus siab, yws@
@complete@|@puv nkaus, rau ntxiv@
@completed@|@tas@
@completely@|@tag nrho, txhua nrho, txhua nrho@
@complex directions@|@qhov to taub tsis yooj yim, txoj kev cov nyom heev@
@compliant behavior@|@coj tus cwj pwm raws txoj caj@
@complicate@|@nyuab sib chab sib chaws@
@conceal@|@zais@
@conceive@|@xav ua ntej, xeeb tub@
@concentrate@|@mloog zoo@
@concept@|@tswv yim@
@concern@|@txhawj txog@
@concert@|@kev hais kwv txhiaj@
@conciliation@|@kev sib kho raws li txoj cai@
@conclude@|@xaus lus kawg@
@conclusion@|@kev xaus, tag@
@concrete@|@pob zeb ua kev, ua vaj tse, yooj yim to taub@
@condemn@|@npam, nplua@
@condensation@|@kev ua hws, ntxig hws@
@condiments@|@txuj lom@
@conduct disorder@|@kev coj tsis raws cai@
@conduct funeral ceremony@|@pam@
@conductor@|@neeg xyuas pib@
@cone@|@khob, lub khob hliav qab@
@confer@|@sib hais@
@confess@|@lees txim@
@confident@|@kaj siab lug@
@confidential@|@tsis pub tus twg paub@
@confidential information@|@cov lus npog cia, cov ntaub ntawv npog cia@
@confidentialy@|@qhov tsis pub lwm tus paub@
@confirm@|@rua@
@conflict@|@kev tsis sib haum, kev tsis sib haum xeeb@
@conflict resolution@|@kev kho kom sib haum xeeb@
@conform@|@yoog@
@confront@|@mus hais@
@confused@|@hab, tov, ua kom paub tsis meej, ua niag xyem xyav@
@confused (1)@|@yoob@
@congeal@|@khov, nkoog@
@congenital@|@mob txawm thaum suab hauv plab, yeej yug los muaj yam ntawd@
@congratulate@|@pab zoo siab@
@congratulations@|@kev zoo siab nrog@
@congress@|@rooj tseem fwv kav teb chaws@
@congruent@|@zoo tib yam@
@conjunction like "and" or "but"@|@hos@
@connect@|@twb, txuas@
@connection@|@kev twb kev txuas@
@conscious@|@meejpem@
@conselor@|@tus neeg sab laj@
@consensus@|@kev pom zoo, yeem@
@consent@|@kev pom zoo, kev tso cai@
@consequence@|@qhov tsim nyog tau, qhov yuav tau txais@
@consequence (1)@|@txoj kev txhaum, yam tau txais, yam tshwm los@
@consequently@|@thiaj@
@conservation@|@kev txuag, tshwj cia@
@conservative@|@txhag cia@
@conservator@|@tus saib xyuas@
@consider@|@xav txog@
@considerable@|@loj heev, ntau heev@
@considerate@|@siab dawb@
@consideration@|@paub xav, saib xyuas, ua zoo xav kom thoob@
@consistently@|@ua tau zoo nkaus li qub tas li@
@consolidate@|@muab sib xyaws ua ke, sib koom@
@constant@|@tsi hloov, tsis tu ncua@
@constantly@|@tsis hloov, tsis tu ncua@
@constipation@|@cem quav@
@constitution@|@kevcai tswj, kevcais lij choj@
@constitution (1)@|@txof cai kav haujlwm teb chaws@
@construct@|@tsim, txua@
@construction@|@kev ua, tsim@
@consultant@|@tus tawm tswv yim pab@
@consume food or water@|@qig@
@consumer@|@tus neeg yuav khoom@
@contact@|@kev nug, nug hmoo, nug hmoo, nug xov, nug xov, twb@
@contagious@|@kev sib kis, kis@
@contagious disease@|@kab mob txawj kis@
@contain@|@muaj, ntim@
@container@|@kab poom, lub rau khoom@
@contaminate@|@tsuas@
@continue@|@ntxiv mus@
@contract@|@daim ntwv sib cog lus@
@control@|@kev saib xyuas@
@convenant@|@lus cog tseg@
@convert@|@hloov ua lwm yam@
@convulsion@|@huam ib tshaj@
@convultion@|@huam ib tshaj@
@cook@|@kws ua zaub mov, neeg ua noj, ua mov, ua zaub mov@
@cook (1)@|@ua neeb heal ua noj@
@cooked rice@|@mov@
@cooking fireplace@|@qhov cub@
@cool@|@laj, txias@
@cool of the mouth@|@hob@
@cooperate@|@nrog ua, sib koom ua@
@coordinate@|@koom tes ua ua ke@
@coordinator@|@coj lub luag hauj lwm@
@cop@|@tub ceev xwm@
@copper@|@tooj liab@
@copy@|@luam ntaub ntawv, ntsia sau, qog@
@corkscrew@|@tus kav hlau tshau qhov@
@corn@|@pob kws, pobkws cauj, pobkws taj@
@corn meal@|@mov kuam@
@corn sheller@|@txhuam txwv@
@corn shelter@|@txhuam txwv@
@corner@|@ces kaum, ces kaum, kaum, kaum tsev@
@cornmeal@|@mov kuam@
@cornstarch@|@hmoob pob kws@
@coroner@|@tub soj ntsuam@
@corporal punishment@|@ntaus, tsim txom@
@corpse@|@neeg tuag lub cev@
@correct@|@kho, kho kom raug, thwj@
@correspond@|@sib haum, teb ntawv rov mus rau lwm tus, yeem lus@
@correspond (1)@|@sib raug@
@correspondence@|@kev yeem lus, teb ntawv rov qab rau lwm tus@
@corridor@|@txoj kev hauv tsev@
@corruption@|@kev noj nyiaj txiag@
@cory@|@ua raws@
@cost@|@nqe, nqi, raug nqi, raug nqi@
@cottage@|@tsev me@
@cotton@|@paj, rwb@
@cotton wool@|@paj@
@cougar@|@Tsov daj@
@cough@|@hnoos, nqu, ntsoshic@
@could@|@muaj cuab kav, muaj peev xwm@
@counsel@|@muab tswv yim, tawm tswv yim@
@counselor@|@tawm tswv yim@
@count@|@Suav@
@counterfeit@|@cuav@
@country@|@teb chaws, tebchaws, tuam nroog@
@country border@|@ciam tebchaws@
@couple@|@khuv, nkawm@
@courage@|@kev siab tuab siab tawv, siab tawv, siab tawv@
@course@|@hom kawm, nqe kawm, yam kawm@
@court@|@kab kev, tsev hais plaub, tsev hais plaub ntug@
@cousin@|@niam ntxawm@
@cousin (1)@|@muam npaws, npawg, txiv ntxawm li ntxhais@
@cousins@|@npawg@
@cover@|@hau, khwb, npog, qhwv, thaiv, vov@
@covered with a substance@|@khub@
@covet@|@ntshaw@
@cow@|@nyuj@
@Cow bellows@|@nyuj nqov@
@cow spirit@|@nyuj vaj@
@coyote@|@hma@
@cozy@|@txias zais@
@crab@|@raub ris, roob ris@
@crack@|@pleb@
@cracked@|@txeev@
@crackers (1)@|@ncuav ci nyias thiab nkig@
@cradle@|@menyuam txaj@
@cramp@|@plab khov, tu leeg@
@crash@|@nrau, poob, sib ntsoo, sib tsoo, tsoo@
@crash (1)@|@tsoo ua kom tawg@
@crater@|@kev ua qab yias, ntwj@
@crave@|@huam, nqhis, quav@
@craving@|@yees@
@crawl@|@nkag, swb@
@crawl on belly@|@chaub@
@crawled@|@nkag@
@crayons@|@cov cwj mem kob qhuav, cwj mem zas@
@crazy@|@vwm@
@crazy drunk@|@vwm cawv@
@cream@|@qab zib@
@create@|@kev yees ua@
@creative@|@muaj tswv yim@
@creature@|@sim zeej@
@credit@|@hom kawm tiav, muaj npe zoo, qiv txais nyuj nkham@
@credit (1)@|@qhabnia@
@creek@|@menyuam dej@
@creep@|@nkag, ua nyuj nkham@
@cremate@|@hlawv@
@crest@|@cag qaum roob@
@creust@|@av, txheej av saum@
@crew@|@neeg coob@
@crib@|@txaj me nyuam@
@cricket@|@kooj@
@cries@|@mlis mlos@
@crime@|@kev kub ntxhov, kev ua txhaum, txim@
@crime (1)@|@kev sib ntaus sib tua@
@crimson@|@liab dhoog@
@crippled@|@ceg tawv@
@crisis@|@ti tes ti taw, txom nyem@
@crisp@|@nkig@
@criteria@|@luj xyuas, qhov tau teev cia, tshooj lus teev cia@
@criterion-referenced test@|@qhov ntawv twv xyuas, txog kev paub ntawm tus khee@
@critical@|@mob nyav@
@criticism@|@kev thuam@
@crocodile@|@khej@
@crooked@|@chom, nkhaus, siab nkhaus@
@crooked teeth@|@ntxas@
@crop of a bird@|@txia@
@crop readiness@|@qoos@
@crops@|@loo, qoob loo@
@cross@|@chim siab, dhau, hla, ntoo khaublig@
@cross off@|@cai tawm@
@cross over@|@ntxee@
@cross the street@|@hla kev@
@crossbow@|@hneev@
@crossroads@|@tshuam@
@crosswalk@|@kab hla kev, txoj kab hla kev@
@crotch@|@hlws ris, nkhib, nkhib ntoo, puab tais@
@crouch@|@caws@
@crow@|@qua, uab, uab lag@
@crowd@|@neeg nyob coob ua ke, tib neeg coob@
@crowded and noisy@|@lom zem@
@crucify@|@ntsia saum ntoo khaublig@
@cruel@|@hiam, limhiam, limhiam, nyaum, siab phem, siab txia ntshav@
@crumb@|@ntais is qho me@
@crumble@|@pob@
@crumple@|@zuaj@
@crunch@|@nkig@
@crush@|@mluav, poob tawg, rhw, tsoo, tsoo, tsuam@
@crust of earth@|@av, txheej av saum@
@crutch@|@pas txheem qhov tso@
@crwal under@|@nkag@
@cry@|@quaj@
@cry loudly@|@nthe@
@cryptic@|@tej yam paub tsis txog@
@crystallize@|@nyoj@
@cub@|@menyuam dais, menyuam tsiaj@
@cube@|@thawv muaj rau sab@
@cubit@|@tshim@
@cucumber@|@dib, dib ntsuab@
@cuddle@|@puag rau hauv xub ntiag@
@culinary@|@ua noj@
@culminate@|@nce kom nto@
@cultivate@|@faus, faus teb@
@culture@|@kev lig kev cai@
@cup@|@khob, luj khob, luj khob, pib txwv, tais, tais, txhuav@
@cupboards@|@txee rau tais diav@
@cupping@|@txhuav@
@curds@|@phuas@
@cure@|@muag raug, zoo lawm@
@curfew@|@tsis pub nyobdhau caij nyoog@
@curl@|@caws, nkhaus, ntswj@
@current@|@nyob nov, tam sim nov@
@current of electricity@|@kev hluav taws xob khiav@
@curriculum@|@hom qhia hauv tsev kawm ntawv@
@curriculum-based assessment@|@cov ntaub ntawv khaws tseg@
@curse@|@foom, foom phem, hais lus dev, sib ceg@
