@Mam Todos Santos@|@English@
@a'witz@|@leaves in which tamales are wrapped, the state of a crop when its leaves aren't real tender and can be used to wrap tamales in@
@a'ye@|@they are, they were, the, those that, they, them@
@A'ye anjel mya b'a'n ok che kb'el najsa'n te jun max@|@The bad angels will be destroyed forever (literally 'Those angels not good future they will down erased forever)@
@a'ye jlu@|@these ones (used to respond), those (used to respond)@
@A'ye jlu?@|@These?@
@a'ye k'wa'l lu@|@these children@
@a'ye qeju xb'alen lu@|@these clothes@
@a'ye qeju yol lu@|@these words@
@A'ye tb'anel xjal ok che anq'il te jun max@|@Good people will live forever@
@A'ye xhe tzaj q'onte we'y@|@They gave to me@
@a'ye xjal@|@the people@
@a'ye xjal lu@|@these people@
@A'ye xjal najleqe twi witz@|@The people who live on the hill (A'ye 'they are' - xjal 'the people' - najle 'live' - qe is a pluralizer - twi 'on' - witz 'hill')@
@a'ye xnaq'tzb'il lu@|@these teachings@
@a'ye xu'j lu@|@these women@
@a'yeju@|@these ones (used to respond), those (used to respond)@
@A'yeju?@|@Those?@
@a'yeqe@|@those, those that@
@a'yeqe k'wa'l@|@the children@
@A'yeqe ntate@|@They are my parents (A'ye 'they are' - qe is a plural marker making ntate 'my father' into 'my parents')@
@a'yeqe wixh lu@|@these cats@
@a'yil@|@crocodile, for pus to drain from a swelling or pimple, lizard, this word focuses on the liquid of the pimple or blister, to ooze, to pass over or cross a river, to put water on a dry surface such as a dirt road, to water, water a plant or a garden@
@a'yile@|@to go all the distance by river whether in the water or along the waters edge@
@a'yin@|@lizard@
@a-@|@morpheme that appears with the verb stems q- and t- when there the nouns adjectives etc that normally precede this verb are absent@
@a aq'unl lu wachiye' te@|@I like this work@
@a ati twatl@|@he or she is sleepy@
@a chix@|@that, that one@
@a ichin la@|@this man@
@a jkin@|@that one [close to listener]@
@a jlu@|@this, this one, that@
@A jlu in tzaj tyek'un qe@|@This shows us (A jlu 'this' - tzaj 'toward us' - tyek'un 'it shows' or 'it demonstrates' - qe 'us')@
@A jlu waje@|@I want this@
@A jlu?@|@This?@
@a jun ichin la@|@this man (herer but unknown to the speaker)@
@a jun xinaq@|@it was a man, it is a man@
@a la@|@this@
@a lu@|@this one when the a is in front of a word and the lu follows it@
@a lu'@|@this one [close to the speaker and far from the listener]@
@A ma txi iq'ente@|@He (or she) will bring it@
@A nb'iye John Fulano@|@My name is John Fulano@
@a txix@|@that (We know that person A xjal txix qojtzaqi'ne' twitz), that one [far from the speaker], demonstrative pronoun used when an object is far away in relation to the speaker@
@a txixa@|@since, preposition meaning since (although a txixa was defined as since it appeared in the example sentence as atxix) @
@a tze la@|@this tree@
@a we' nb'i@|@my name is@
@A we' nb'i@|@My name is@
@A we'ye nb'i@|@My name is@
@a xinaq@|@it was the man, it is the man@
@a xjal txix qojtzqi'ne' twitz@|@We know that person@
@a yab'il la@|@this sickness@
@ab'aj@|@rock@
@ab'an@|@particle used to indicate that an activity was realized in less than the expected time@
@ab'aq@|@soot@
@ab'ax@|@message, notification, news item, news@
@ab'axt@|@this word indicates that only one thing would have been enough if ony another would have helped or paid attention.@
@ab'ech@|@flower@
@ab'il@|@temperature@
@ab'ix@|@notice@
@ab'j@|@suffocate, choked to death, to irrigate, rock (noun)@
@ab'kyio@|@ab'kyio or stick fish is a species of tree that grows in temperate climates.@
@ab'q'i@|@year@
@ab'q'i xnaq'tz@|@year, class, level in school@
@ab'q'ichaq@|@each year@
@ab'q'itil@|@next year@
@ab'q'iyal@|@age@
@ab'q'iyi'n@|@annual, happenings or activities that occur each year@
@ab'q'iyi'nchaq@|@each year, annually@
@ab'q'iyil@|@age@
@ab'te'@|@especially in the Cuchumatanes mountain range called the ox tree or palo buey, species of tree that grows in semi-temperate climates@
@ab'tzi@|@place an order@
@ab'tzib'il@|@advance payment, pay that is given when a job is completed whether partial or full payment for the job@
@ab'tzil@|@to put in charge of, to reserve, to order, tonrequest, to recommend, to advise@
@ab'tzil vt@|@to put in charge of, to reserve, to order, to request, to recommend, to advise@
@ab'x@|@news, notice, message@
@ab'xa-@|@hear badly@
@abq'i@|@birthday@
@ach'@|@to like@
@achb'ajal@|@happy@
@achb'aji'b'il@|@happiness@
@achb'ajil@|@beauty, prettiness@
@achb'il@|@like, pleasure, delight produced by pleasant things, to covet, to long for, to yearn for, to insist upon doing something@
@achil@|@to insist upon fulfilling a desire, to like to do something for pleasure or taste, to like a food because it is delicious, to appreciate, to delight@
@achin tzalaja ma tzula@|@I am glad you arrived@
@achno's@|@peacock@
@aj@|@this, that, that one, these, those, who, which, whose, want, reed, returning, returned, when (nonpotential), return, leave, directional verb meaning to leave here and go back to there, to go from here to there, intransitive verb meaning return, to return home, to return to the place from where one initially came, a prefix indicating the actor who does the next verb, introduces an adverbial clause to add information with significance to what will happen in the future and usually means 'when' (Dad is bringing you candy when he gets home), motion behind or to the back, indicates profession or office that someone holds, as a demonstrative it is used to indicate which entities are being referred to and distinguishes them from others as in 'this man' or 'that hat' @
@aj-@|@a prefix placed before the name of a place such as ajpetz'al Petz'al being the place of origin for a person, indicates where a person comes from their national or tribal family, prefix indicating the actor (someone or something that does something either to himself or to someone else) of a particular verb (ajb'itzel 'singer' or ajpaj 'lover'), want, return@
@aj-ichil@|@swimmer@
@aj-il@|@sinner, guilty one, offender, problematic person@
@aj-u'j@|@author, person in charge of reading the original editorials to assess the possibility of their publication, person who loves to read, professor sent to a foreign teaching center to teach his native tongue, reader, to read@
@aj chix@|@that one@
@aj jun xinaq lo'n wu'na@|@I know a man who@
@aj kab' q'ij@|@these two days@
@aj kab' saman@|@these two weeks@
@aj kin@|@that one@
@aj ky'a'@|@disadvantaged or poor person@
@aj ky'a'j@|@adulterous@
@aj lu@|@this one@
@aj machi'w@|@that (indicating something further away)@
@aj matij ja@|@that big house@
@aj matij k'uxb'il@|@that big tool@
@aj matz'@|@witch, person that carries out rites to make bad things happen to someone@
@aj qjapi'n@|@our arrival up there (aj is a directional meaning 'to go from here to there' q- 'we'  japil 'arrive above' -'n is a directional marker)@
@aj ttzqij@|@when it dries@
@aj xinaq@|@the man, this man@
@aj xinaq lo'n wu'na@|@I know the man who@
@aj yol@|@broadcaster, announcer@
@aja@|@that (that coat), this (this hat)@
@ajaj@|@these, those@
@ajaj kyaj laq cha'x@|@these four blue bowls (laq 'bowl or plate' cha'x 'blue')@
@ajaj ox tx'yan saq@|@these three white dogs@
@ajamna@|@without appetite, especially someone who has no appetite because they have missed breakfast or another regular mealtime@
@ajantz@|@inferior, common, can be used in reference to domestic animals to describe their breed@
@ajaq'unal@|@laborer. worker, person who does odd jobs or doesn't specialize in a particular field@
@ajaw@|@type of opossom, marsupial that eats fruits and small chicks, God, Creator@
@ajb'e@|@passenger, person that roams about with no fixed residence, vagabond@
@ajb'e-@|@want@
@ajb'eb'il@|@usefulness, utility@
@ajb'ech@|@mayan priest, mayan leader or spiritual guide@
@Ajb'ech@|@person from Ixtahuacan (Copalero)@
@ajb'el@|@to be useful for something, to serve to accomplish something, to serve, to use something for a particular purpose, servant, a person who volunteers their services to the community for a specified period of time, to deserve@
@ajb'en@|@importance, important@
@ajb'etel@|@hiker, walker@
@ajb'etil@|@walker, vagabond, pilgrim@
