@English@|@Maxakali@
@When are you going?@|@Hãm üm hã ãmõg?@
@When he finished speaking@|@Ha hãm'ãktux kux@
@When one Maxakali cares about another@|@Tikmü'ün te' nõy putup pax@
@When she finished cooking the firewood went out@|@Ük-tet kux ha' xok kuhu@
@When she washed the cloth@|@Ha topixxax pix@
@when?@|@hãm üm hã@
@Where is the dog?@|@Pi'a' xip kokex?@
@where?@|@pi'a@
@Which sickness is this?@|@Hãmpakut üm nühü?@
@while@|@ïhã@
@whiskers@|@yïnnut@
@whiskey@|@hãpxophepxüy, hãpxophepxüy@
@Whiskey is like cane liquor@|@Hãpxophepxüy te kexmuk putup@
@who asked: What do you want?@|@yïy: -Xatep-tep putup? Kaxïy@
@who is in heaven@|@nõm te pexkox tu'xip@
@Whose image is this?@|@Putep koxuk nühü?@
@why are you doing this?@|@tep ha@
@Why did you come?@|@Putep ha nün?@
@Why did you discard the yams?@|@Tep tu xate kõmïy putyõn?@
@why?@|@putep ha, putep tu, tep tu@
@wide awake@|@pa ka'ok@
@wife@|@xetut@
@wild@|@gãy@
@wild animals@|@xokxop@
@wild birds@|@xokxop yïmãg@
@wild canine@|@kokexkata@
@wild canine spirit@|@Kokexkata@
@wild cat@|@mëõgnãg@
@wild duck@|@puxap@
@wild pig@|@xapupnãg@
@willful@|@kuxa ka'ok@
@wind@|@ãmuuh@
@wind blowing@|@HOOOO@
@wind_blowing@|@HOOOO@
@window@|@hãpkatet@
@window opening@|@hãpkatet@
@wing@|@yïmãg@
@wise person@|@nõm te hãmyümmüg@
@with@|@mütik@
@Women fear the Inmõxa spirit@|@Ïn xop te Gnmõxa yïpkutuk@
@Women wear earrings@|@Ün te yïpkoxxap mõ'tat@
@wood@|@mïhïm@
@wood ashes@|@putok@
@wood frame for a fish net@|@tutkup@
@wood parasite@|@mïpkut@
@work@|@hãm@
@worn out@|@teknõg@
@worry@|@xutïgãhã@
@wound@|@kayet@
@woven@|@net tut@
@woven basket@|@manax@
@wrap@|@kïy@
@wrap up@|@yãykoxuk@
@wristwatch@|@henox@
@write@|@kax'ãmi@
@year@|@ãn@
@Yeast causes bread to increase in volume@|@Tokatogã'ax te pãm mõmmãhã@
@yellow@|@ãta, yïxux@
@yes@|@'e, Ë'ë'ë, he'e, hë'ë@
@Yesterday a man saw a porcupine@|@Hõmã tik te õnyãm penãhã@
@yoke for oxen@|@moxkup@
@you@|@ã, xate@
@you (ergative)@|@xa@
@you (pl)@|@ãxop@
@You (pl.) are the ancestors descendents@|@Ãxop yã mõnãyxop hã mõkputox@
@You are not listening!@|@Ãyïpkox ohnãg!@
@You are very wealthy@|@Ãptexop xexka@
@You did it yourself.@|@Ãmün te' mïy.@
@you go@|@Ãmõg@
@You lied@|@Xate koit@
@You traveled far@|@Xate hãpkumep hãptox tu@
@you yourself@|@ãmün@
@young woman@|@mõyxa@
@Your thumb is large@|@Ãyïpkutoktut xexka@
@youth@|@hapax@

