@English@|@Tanacross@
@the duck is flying around@|@dets'ên xâanit-t'ax@
@the duck is laying eggs@|@dets'ên etxees@
@the fire started@|@kón' diik'aa@
@the fire went out@|@kón' natnétdek@
@the goose is walking around@|@xah natedaak@
@the gray one@|@delmaay@
@the ground is bumpy@|@nén' xánéltók@
@the ground is completely dry@|@xdéeshaak@
@the handle is curved@|@wutíi' ch'eexót@
@the house feels cold@|@shax elíh xúnlee@
@the house is crowded@|@shax shíi xaltl'ét@
@the house is large@|@shax xuncháax@
@the ice dissolved in my mouth@|@luut shthaa ta'udeelet@
@the ice is breaking up@|@luut téedéek@
@the ice is ready to move@|@tenh téedéek@
@the ice on the lake shattered@|@menh k'et luut latnaldox@
@the inside of my check@|@shxostl'aa@
@The kids are outside shouting@|@Nah'ög ts'inkeey iin xesek@
@the lake is frozen@|@menh neltenh@
@the little girl is bashful@|@ts'éhxeh gaay unétshaa@
@the man is carrying his pack@|@dendeh dexeel' áaxeel@
@the meat became moldy@|@shí' u'alxáa'@
@the meat is frozen solid@|@shí' nelts'íi'@
@the meat is undercooked@|@shí' éltel@
@the moccasins were resoled@|@wukéjelkáa'@
@the moose is big@|@dendîig ncháax@
@the moose ran away from him@|@dendîig yich'á' sta'itdetth@
@the moss is really dry@|@dlaat deshaak@
@the old man is bald@|@ch'etey wutthí' kedz xúnlee@
@the puppy is following him@|@lii gaay yik'eh aahaal@
@the puppy is running around@|@lii gaay nah'og xa'atdetth@
@the red one@|@delt'el@
@the river bank is eroding@|@taxnetlox@
@the road is bad@|@tey ts'axuntleeg@
@the rope broke@|@tl'uul k'enéldox@
@the sewing@|@nanihtl'ú'u@
@the sky is clear@|@shaa k'et cheltsonh@
@the snow is deep@|@shéth dínchaax@
@the snow is melting@|@shétth na'elxee@
@the soup is cooled off@|@tuuthel nánink'é'@
@the soup is cooling@|@tuuthel natnetk'é'e@
@the streams all flow together@|@leeke'udit-leyh@
@the sun came up the wrong way@|@tadasaaghin'aa@
@the water is boiling@|@tuu tnelxots@
@the water is clear@|@tuu nihkón'@
@the water is cold@|@tuu néek'etth@
@the water is hot@|@tuu néethel@
@the wolves are howling@|@tiikâan iin shaxeh'aa@
@the woman is drying fish@|@ts'éhxeh má' éhgeyh@
@the wood is crooked@|@tsets détgétth@
@them@|@xunelt'eh@
@there are lots of Fairbanks@|@Fairbanks xt'een iin xghindláa@
@there are many@|@xindláa@
@there are only men around@|@dendeh saay xúnlee@
@there are stars in the sky@|@sén shaak'et xúnlee@
@there is a crunching sound@|@ch'etnelk'on@
@there is a hill above here@|@yandóg dashée' teyh tée'ah@
@there is a knocking@|@xdeldón'@
@there is a lunar halo@|@gheldzeey nakech'etneet'eyh@
@there is a ring around moon@|@gheldzeey nakech'eneet'eyh@
@there is foam on the water@|@tuu k'et xunxos xúnlee@
@there is forest fire@|@nén' díik'aa@
@there is news about it@|@maa xdek xúnlee@
@there is no one@|@dendeey kól@
@there is nothing around me@|@shxghendah ch'ekô1@
@there was a mud slide@|@léech'aak na'alják@
@there's nobody at home@|@neeshax dóo t'êey kól@
@there's nothing@|@ch'ekól@
@they aer sitting togheter@|@nil'el dixdéltth'ii@
@they also carry guns@|@k'á' chíh naxtelshíik@
@they are@|@sínánt'eh@
@they are afraid@|@xneljet@
@they are against each other@|@lét'axnéltee@
@they are already married@|@k'ôd nilxútdíik@
@they are assembled@|@nilshíi'álsheeyh@
@they are braiding each other's@|@niltthí' xnéltl'uul@
@they are busy@|@xaxahsaas@
@they are crowded in@|@daxnet-t'ots@
@they are drinking tea@|@ldîil xetnaa@
@they are eating@|@nach'exe'áal@
@they are insulted@|@xeenixtétdeek@
@they are living in Fairbanks@|@Fairbanks xdélttth'ih@
@they are making baskets@|@k'ii tth'áak xéxaa@
@they are moving from place@|@naxtetndeek@
@they are playing@|@xdelxos@
@they are pointing at you@|@nets'uxettheyh@
@they are similar in appearance@|@nilts'í' at-t'ee@
@they are sitting@|@xdélttth'ih@
@they are standing side-by-side@|@nilk'eddh náxedéex@
@they are talking to each other@|@nilts'í' xaxat.heeyh.@
@they are there@|@eedlah, xúh éedlah@
@they arrived@|@xnindeetl@
@they breathe@|@xetsheyh@
@they camped@|@xnéeháal@
@they carry@|@xiyaa'aal, xiyaakaal, xiyaaleel, xiyaatiil@
@they gave me the small rocks@|@tthee gaay shtl'áxníndlah@
@they harnessed up the dogs@|@lii keey iin daxdíndlah@
@they live away from us@|@neeyaach'á' xdéltth'ih@
@they look alike@|@nilk'eh eltsii@
@they look different@|@nilch'ítsédz xélts'ii@
@they made a potlatch@|@xaxotíitl@
@they passed each other@|@nilk'etsixghitdeetl@
@they put the food in center@|@taandîidz tah shí' níxníndlah@
@they rushed to help him@|@xe'édáldek@
@they say it is forbidden@|@lá'a ch'e injih xendiix@
@they scattered@|@stanilxnetdeetl@
@they're gossiping about s.o.@|@ch'aghaxunheeyh@
@they're kissing each other@|@nanilxnelts'ú'@
@they're offering him something@|@daxiyudetken@
@they're playing@|@xdelxos@
@they're sleeping@|@xehteets@
@thigh@|@shxothchonn'@
@thighbone@|@shxoltth'ann'@
@thin snowshoe webbing@|@ch'enxet@
@thin willow stick@|@tedenin'aay@
@things fall out of his hand@|@mintl'ách'étdaagh@
@this belongs to her@|@wutsen sínt'eh@
@this is a brown coat@|@jâan eek deltthogh sínt'eh@
@this is a kind of mukluk@|@keechotl k'ent'eey sínt'eh@
@this is a sharp knife@|@jah seey dehk'eyh@
@this is a young boy@|@jâan tsiil gaay sínt'eh@
@this is boiling water for tea@|@ldîil gha tuu tnelxodz sínt'eh@
@this is his@|@wutsen sínt'eh@
@this is mine@|@jâan ch'e stsen@
@this is Silla's grandmother@|@Silas wutsuu sínt'eh@
@this morning@|@k'áhmén' dá'a@
@this morning it was sunny@|@k'áhmén' dá'a xesaghin'aa@
@this one is cheap@|@jâan diitlog sínt'eh@
@this one is mine too@|@jâan ch'e sts'en sínt'eh@
@this surface is hard@|@jah wuk'et detgek@
@this way@|@jah dée' suu@
@thorns@|@xos@
@those are shirts@|@êy eek sínánt'eh@
@thoughtful person@|@teejuh ch'uuney@
@thre is@|@ahlee, ihlee, inlee, nlee, ts'inlee, xinlee@
@three cornered needle@|@kâay tl'ankaan, natnatk'aay@
@thunder is rumbling@|@nahten xunheeyh@
@tie a knot!@|@wuchíi ch'etxêez ihtseyh, wuchii dinihtl'uh@
@tied it together@|@mech'ekcheth@
@tip@|@wuchíi@
@tip of his tail is completely@|@wuche' chíi shée' xdát-seyh@
@tip of something@|@wuchíi@
@to camp@|@nédhihháal, nédhinháal, néeháal, ts'enéeháal@
@to carry@|@ghahtiil, ghihtiil, ghintiil, ts'aatiil, yaatiil@
@to carry (2)@|@ghekcheth, ghihcheth, ts'aacheth, yaacheth@
@to carry (3)@|@ghahkaal, ghihkaal, ghinkaal, ts'aakaal, yaakaal@
@to carry (4)@|@ghahleel, ghihleel, ghinleel, ts'aaleel, yaaleel@
@toboggan style sled@|@meth@
@tomorrow morning@|@k'áhmén' dé'@
@too@|@chích'ah@
@tool for digging roots@|@chinxos@
@tool for removing flesh@|@náhtthel@
@top of my foot@|@shkeet'aag@
@torso@|@-sék@
@toward downriver@|@yanadá'a@
@toward evening@|@xel ts'í'@
@toward the back@|@yaandíi@
@toward the fireplace@|@kón' ndêedz@
@towards noon@|@dzeen ts'í' deg@
@traditional skin house@|@niimaal shax@
@traditional stick@|@nach'imaal@
@trap@|@éel@
@tree bark@|@ch'elaats'eyh@
@tree branch@|@ch'elaa'el@
@Ts'egâag collects dry branches@|@Ts'egâag tth'êy nehtseyh@
@Ts'egãag has found his matches@|@Ts'egâag dekónn' éxdíh'aa@
@Ts'egâag is carrying is pack@|@Ts'egâag dexëel' áaxeel@
@Ts'egâag is eating now@|@ts'sgâag k'ôd nach'e'áal@
@ts'egâag is hungry now@|@Ts'egâag k'ôd dintsii@
@Ts'egâag is sleeping@|@Ts'egâag eetee@
@ts'egâag is smilling@|@ts'egâag tsaaynihthenh@
@Ts'egâag is thinking@|@Ts'egâag naních'ethet@
@Ts'egâag kneels on the ground@|@Ts'egâag nén' k'et gót-éh'ah@
@Ts'egâag puts rocks togheter@|@Ts'egâag tthee ahlet nídéleeyh@
@Ts'egâag smells the bannock@|@Ts'egâag léets éhtsenh@
@Ts'egâag walks along the river@|@Ts'egâag tth'iitú' mâagh aahal@
@Ts'egâagis really hungry@|@ts'egâag loot'ëeyy' díntsii@
@Ts'egâag's Story@|@Ts'egâag ghah nats'axaldek@
@turned around@|@xâanitshah@
@twilight@|@xel t'aagh@
@type of something@|@k'ent'eey@
@uncomfortable for me@|@shaa tsadaxudínt'eh@
@under part of my upper arm@|@shgaantthíi'@
@underground fish cache@|@tsaa k'ée@
@underground food cache@|@tsaak'ée@
@undershirt@|@ch'et'aa eek@
@uneven@|@xulxos@
@unforested area@|@chenh@
@uninhabited village@|@kón' k'ée@
@unpleasant manner@|@ts'adaxdintleg@
@unripe@|@ch'inluut@
@unripe berries@|@ch'inluut@
@until later@|@tthé' de'ukah@
@upper body@|@ssék@
@vagina@|@wutsénn'@
@velvet on antlers@|@ch'edé' théth@
@very@|@loot'êe'@
@walk on this side@|@dists'ey taghinhaa, wusts'ey taghinhaal@
@walking around beside the lake@|@menh k'eddh lóoghihhaal@
@waning moon@|@gheldzeey nâa'at-'aa@
@wash basin@|@taatleex tth'áak@
@watch out!@|@súu' de'@
@water@|@tuu@
@water bug that can fly in air@|@tehtsá'a@
@water disappeared@|@tuu natét-tsetth@
@water flooded@|@tuu níihaa@
@water flows over shallows@|@dees k'et dehleeyh@
@water is deep@|@texninthaat@
@water is overflowing@|@tuu na'ílgok@
@water is shallow@|@texnihk'ôdl@
@water leaked into the boat@|@ts'eyh shíi tuu níihaa@
@waxing moon@|@gheldzeey na'ít-'aa@
@way of talking about potlatch@|@this is a metaphorical@
@we accidentally met@|@nilts'í' xâats'atdeetl@
@we are arguing with each other@|@ledadzetxaa@
@we are descended from them@|@wuts'enh xáts'áltsii@
@we are eating berries@|@jêg ts'eneldiil@
@we are fighting@|@lets'etxaa@
@we are going to the store@|@ch'utkeet shax ts'í' ts'aadél@
@we are learning our language@|@nee'aandeg' dadzeldíix@
@we are pointing at it@|@mets'u'ts'ettheyh@
@we are related to each other@|@nilts'udelken@
@we are searching@|@mikah nats'eneta'@
@we are skipping rocks@|@tthee ts'ehk'eeyh@
@we ask her@|@ts'udehket@
@we brought him back@|@neeshax nîits'iltee@
@we camped overnight@|@kón' k'ée ts'enéeháal@
@we carry@|@ghahcheth, xiyaacheth@
@we divided them@|@nilk'édzálsh_ah@
@we gave him the small rocks@|@tthee gaay wutl'áts'enindlah@
@we killed a moose@|@dendîig ts'edhehxee@
@we killed caribou@|@wudzih ts'inxaa@
@we will meet again@|@nanilts'étnal'íil@
@we will meet again tomorrow@|@k'ahdaadé' nanilts'étnal'íil@
@weather is hot@|@xnéethel@
@well cooked meat@|@shí' tnetlog@
@went off@|@k'á' téldek@
@we're hunting for caribou@|@wudzih de'ukah nats'elséex@
@we're telling each other story@|@nil'él nats'exaldek@
@what a small amount!@|@díi gaay ch'e t'ih'en!@
@what are they doing?@|@nts'éxéde'e?@
@what are you cooking?@|@díi ch'e ihmeedz?@
@what are you doing?@|@nts'é t'inde'e?@
@what are you going to do with@|@nts'é' tedhih'e'?@
@what are you going to do?@|@nts'é' tedhindé'?@
@what are your plans?@|@nts'é' tindii?@
@what area are you from?@|@ndée xt'een inlee?@
@what do you do all day?@|@dzeen uudíh nts'é t'índe'e?@
@what do you see?@|@díi níh'eh?@
@what does it look like to you?@|@nts'é ná'éltsii?@
@what does your shirt look like@|@n'ëeg' nts'é éltsii?@
@what else do you see?@|@díi chíh níh'eh?@
@what else do you want?@|@díi chíh eyninthenh?@
@what happened to you?@|@nts'é t'ítshaak?@
@what happened?@|@nts'é' xútshaak@
@what is he cooking?@|@díi ch'e eht'êedh?@
@what is his name?@|@nâan nt'sé miisí'?@
@what is Silas doing?@|@Silas nts'étde'e?@
@what is that person's name?@|@naan nt'sé miisí'?@
@what is that plant called?@|@naa nesheegh, nsts'é xiyusiix?@
@what size is it?@|@ndóxk'e ghihchaax?@
@what were you doing@|@nts'é' t'índe'@
@What you see in the sky?@|@díi yaa k'et níh'eh?@
@what's his grandmother doing?@|@wutsuu nts'étde'e?@
@what's the boy doing?@|@tsiil gaay nts'étde'e?@
@what's your name?@|@nts'é nuusi'?@
@when are you returnin@|@ndée dé' jah nîitindaal@
@when are you returning here?@|@ndée dé' jah nîitindaa?@
@when did you arrive here?@|@ndée dá'a jah nininshah?@
@where are my matches?@|@shkónn' nt'ïh?@
@where are you from?@|@ndée xt'een inlee?@
@where could I get dry spruce?@|@ndéeg ts'enh tth'êy ughuhdiih?@
@where did you put the box?@|@chenhtiil ndée nínín'aa?@
@where do you usually stay?@|@ndée índaax?@
@where is your belt?@|@nthédh' nt'ih?@
@whiskers@|@minchedl' xá'@
@white-winged scoter@|@ndêl@
@who all is sitting next to you@|@dóo iin nk'eddh dixdéltth'ih?@
@who are these people?@|@jâan dóo in ch'ent'eey?@
@who is this?@|@jâan dóo ch'ent'eey?@
@Who put this sand here?@|@Dóo ch'e thaayh jah di'endel?@
@why did you ask me?@|@díi gha shúdihkét@
@wild rose@|@xos t'äa'@
@will go@|@taahaal, tahdel, tihhaal, tinhaal, ts'aadel, xtaadel@
@willow branches@|@k'aaz tsets@
@willow ptarmigan@|@k'étmah@
@willow roots@|@k'éy xêyy'@
@willow stick@|@tedenin'aay@
@wind comes and goes@|@xâa'elts'eyh@
@winter coat@|@xey eek@
@wolves are crying@|@tiikâan iin tsaxdelxos@
@wolves look like dogs@|@tiikaan lii k'eh t'êey eltsii@
@women wear dresses@|@ts'éhxeey iin eek naxdelshax@
@women's daughter-in-law@|@shchâay@
@wood@|@tsets@
@wood chips@|@tsets ttheel'@
@wood frog@|@naaxey@
@wood is drifting along@|@tsets tadaaleel@
@wood is heaped up@|@tsets xatnaldók@
@wood os laying beside fire@|@tsets kón' mâagh déedlah@
@wooden club@|@dechenh xel'@
@worm@|@guu@
@worn out@|@wugha dach'inch'el@
@wounded animal@|@nahkaay@
@woven basket@|@tth'áak ét-tl'uun@
@write@|@ch'etnetl'éts, ch'etnihtl'éts, ch'etnintl'éts@
@write (1)@|@ch'axtnetl'éts, ch'etnahtl'éts, ts'eytnetl'éts@
@wrong way!@|@k'á xúu'@
@xdelxos@|@they're playing@
@xosk'ée@|@a hole in the ground@
@yawm@|@xetháat@
@yawn@|@ahtháat, etháat, ihtháat, intháat, ts'etháat@
@yellow@|@deltthogh@
@yellow warbler@|@k'elaxdihtsogh@
@yellow-jacket@|@ch'elahdziid@
@yellowlegs@|@dees ney@
@Yerrick Creek@|@Dachi'1ndêedl Ndiig@
@yes@|@aa@
@yesterday@|@k'ahdaa dá'a@
@yolk@|@ch'exeestthiig'@
@you@|@nen@
@you (more than one)@|@nuhxon@
@you all are pointing at it@|@mets'u'ahttheyh@
@you all sit here around me@|@jah shghendah didédhaltth'ih@
@you are bending it@|@nanihxót@
@you are bending over@|@xanén' inttheyh@
@you are conscious@|@xól xghutndéyh@
@you are filing your fingernail@|@ninlagey' ínk'aax@
@you are jumping up and down@|@ya'ihshek@
@you are making a dipnet@|@éth íntl'uh@
@you are pointing at it@|@mets'u'inttheyh@
@you ask me@|@shudihket@
@you build a fire@|@kón' nádíhk'aayh@
@you camped (pl)@|@nédhaháal@
@you can never say that@|@k'á t'êey xú' tdíndíil@
@you feed all of those people@|@xunelt'êey iin ech'ih'aal@
@you found it for yourself@|@mexdil'aa@
@you gave us the small rock@|@tthee gaay neetl'áníndlah@
@you give me the coats@|@eek shtl'á'indlah@
@you go home!@|@tâaghindaal@
@you guys be quiet!@|@dádháhne?y@
@you have a cold@|@koth t'iníláak@
@you hit me@|@shídhiihgót@
@you keep@|@dhindlah@
@you knock@|@xdihdón'@
@you light a fire@|@kón' nádíhk'aayh@
@you mended them@|@wukéjédhihkáa'@
@you poor thing!@|@te'injuh@
@you probably won't see me@|@k'á shníh'îil súle'@
@you refuse it@|@wuts'í' tnin'en@
@you say@|@diinih@
@you say to him@|@medíinih@
@you say to me@|@shedíinih@
@you say to them@|@xuu'edíinih@
@you scratched me@|@nihts'ét@
@you see me@|@shnih'eh@
@you should remember this@|@jâan eghuldéyh de'@
@you sound funny@|@tsaa dadiht'eh@
@you sound funny to me@|@shaa tsaa dadindlih@
@young@|@gaay@
@young boy@|@tsiil gaay@
@young girl@|@ts'éxeh gaay@
@young growth@|@k'éy' jiits@
@young people@|@ch'ilkeey@
@younger@|@ch'ek'eetl'aan@
@youngest in the family@|@ch'etl'aataay@
@your house@|@nshax@
@you're sitting near your mate@|@ntlee aaxáh dídhíndah@
@yours@|@ntsen@

