@English@|@Koine Greek@
@a Ninevite@|@Νινευίτης -ου -ὁ@
@a noose or snare@|@βρόχος -ου -ὁ@
@a number@|@ἀριθμός -οῦ -ὁ@
@a nurse@|@τροφός -οῦ -ἡ@
@a paid worker@|@μίσθιος -ου -ὁ@
@a pail@|@ἄντλημα -ατος -τό@
@a palm branch@|@βαΐον -ου -τό@
@a palm tree@|@φοίνιξ -ικός -ὁ@
@a papyrus roll@|@βιβλίον -ου -τό@
@a parable@|@παραβολή -ῆς -ἡ@
@a parchment leaf@|@μεμβράνα -ης -ἡ@
@a parent@|@γονεύς -έως -ὁ@
@a part@|@μερίς -ίδος -ἡ, μέρος -ους -τό@
@a partaker with@|@συγκοινωνός -ου -ὁ -ἡ@
@a Parthian@|@Πάρθος -ου -ὁ@
@a particle asking a question@|@ἆρα@
@a particular time@|@χρόνος -ου -ὁ@
@a passage of Scripture@|@περιοχή -ῆς -ἡ@
@a passing by or through@|@πάροδος -ου -ἡ@
@a patch on a garment@|@ἐπίβλημα -ατος -τό@
@a path@|@τροχιά -ᾶς -ἡ@
@a patriarch@|@πατριάρχης -ου -ὁ@
@a pattern@|@ὑποτύπωσις -εως -ἡ@
@a peacemaker@|@εἰρηνοποιός -όν@
@a pearl@|@μαργαρίτης -ου -ὁ@
@a pebble@|@ψῆφος -ου -ἡ@
@a people@|@λαός -οῦ -ὁ@
@a perfecter@|@τελειωτής -οῦ -ὁ@
@a perfecting@|@κατάρτισις -εως -ἡ, καταρτισμός -ου -ὁ@
@a perfume@|@νάρδος -ου -ἡ@
@a persecutor@|@διώκτης -ου -ὁ@
@a pestilence@|@λοιμός -οῦ -ὁ@
@a petition@|@αἴτημα -ατος -τό, ἔντευξις -εως -ἡ@
@a Pharisee@|@Φαρισαῖος -ου -ὁ@
@a Philippian@|@Φιλιππήσιος -ου -ὁ@
@a philosopher@|@φιλόσοφος -ου -ὁ@
@a phylactery@|@φυλακτήριον -ου -τό@
@a physician@|@ἰατρός -οῦ -ὁ@
@a piece of cloth@|@ῥάκος -ους -τό@
@a pillar@|@στῦλος -ου -ὁ@
@a pillow or cushion@|@προσκεφάλαιον -ου -τό@
@a pit@|@βόθυνος -ου -ὁ, φρέαρ -φρέατος -τό@
@a pit under the wine-press@|@ὑπολήνιον -ου -τό@
@a pitcher@|@κεράμιον -ου -τό@
@a place@|@τόπος -ου -ὁ, χωρίον -ου -τό@
@a place for prayer@|@προσευχή -ῆς -ἡ@
@a plain token@|@ἔνδειγμα -ατος -τό@
@a plaited basket@|@σπυρίς -ίδος -ἡ@
@a plaiting@|@ἐμπλοκή -ῆς -ἡ@
@a plank@|@σανίς -ίδος -ἡ@
@a plant@|@φυτεία -ας -ἡ@
@a plant used for flavoring food@|@πήγανον -ου -τό@
@a plate@|@πίναξ -ακος -ἡ@
@a platter@|@τρύβλιον -ου -τό@
@a plot@|@ἐπιβουλή -ῆς -ἡ@
@a plow@|@ἄροτρον -ου -τό@
@a point of time@|@στιγμή -ῆς -ἡ@
@a poll-tax@|@κῆνσος -ου -ὁ@
@a pool@|@κολυμβήθρα -ας -ἡ@
@a poor weak woman@|@γυναικάριον -ου -τό@
@a porch@|@προαύλιον -ου -τό@
@a position@|@βαθμός -οῦ -ὁ@
@a possession@|@κατάσχεσις -εως -ἡ@
@a possessor@|@κτήτωρ -ορος -ὁ@
@a potter@|@κεραμεύς -έως -ὁ@
@a prayer@|@εὐχή -ῆς -ἡ@
@a prayer or prayer for evil@|@ἀρά -ᾶς -ἡ@
@a precursor@|@πρόδρομος -ου -ὁ -ἡ@
@a prejudgment@|@πρόκριμα -ατος -τό@
@a pretext@|@πρόφασις -εως -ἡ@
@a price@|@τιμή -ῆς -ἡ@
@a prier into other men’s affairs@|@ἀλλοτριοεπίσκοπος -ου -ὁ hippo’@
@a priest@|@ἱερεύς -έως -ὁ@
@a prison@|@δεσμωτήριον -ου -τό, οἴκημα -ατος -τό, τήρησις -εως -ἡ@
@a prisoner@|@δέσμιος -ου -ὁ, δεσμώτης -ου -ὁ@
@a prize@|@ἁρπαγμός -οῦ -ὁ, βραβεῖον -ου -τό@
@a proclamation@|@κήρυγμα -ατος -τό@
@a proconsul@|@ἀνθύπατος -ου -ὁ@
@a profession@|@ὁμολογία -ας -ἡ@
@a promise@|@ἐπαγγελία -ας -ἡ, ἐπάγγελμα -ατος -τό@
@a proof@|@ἔλεγχος -ου -ὁ@
@a prophet@|@προφήτης -ου -ὁ@
@a prophetess@|@προφῆτις -ιδος -ἡ@
@a propitiation@|@ἱλασμός -οῦ -ὁ@
@a prosecutor@|@κατήγορος -ου -ὁ@
@a proselyte@|@προσήλυτος -ου -ὁ@
@a prostitute@|@πόρνη -ης -ἡ@
@a provocation@|@παραπικρασμός -οῦ -ὁ@
@a psalm@|@ψαλμός -οῦ -ὁ@
@a public spot in a city@|@διέξοδος -ου -ἡ@
@a puffing up@|@φυσίωσις -εως -ἡ@
@a purple garment@|@πορφύρα -ας -ἡ@
@a purse@|@βαλάντιον -ου -τό@
@a putting around@|@περίθεσις -εως -ἡ@
@a putting off@|@ἀπέκδυσις -εως -ἡ, ἀπόθεσις -εως -ἡ@
@a putting on of clothing@|@ἔνδυσις -εως -ἡ@
@a queen@|@βασίλισσα -ης -ἡ@
@a question@|@ζήτημα -ατος -τό, ζήτησις -εως -ἡ@
@a race@|@ἔθνος -ους -τό@
@a railer@|@λοίδορος -ου -ὁ@
@a rainbow@|@ἶρις -ιδος -ἡ@
@a ransom@|@ἀντίλυτρον -ου -τό, λύτρον -ου -τό@
@a raven@|@κόραξ -ός -ὁ@
@a reaper@|@θεριστής -οῦ -ὁ@
@a reasoning@|@διανόημα -ατος -τό@
@a recalling@|@ἀνάμνησις -εως -ἡ@
@a receiving@|@λῆψις -εως -ἡ, πρόσληψις -εως -ἡ@
@a reception@|@δοχή -ῆς -ἡ@
@a recompense@|@ἀνταπόδομα -ατος -τό@
@a redeemer@|@λυτρωτής -οῦ -ὁ@
@a reed@|@κάλαμος -ου -ὁ@
@a relative@|@συγγενής -ές@
@a remnant@|@κατάλειμμα -ατος -τό, λεῖμμα -ατος -τό@
@a renewal@|@ἐγκαίνια -ίων -τά@
@a rent@|@σχίσμα -ατος -τό@
@a rented house@|@μίσθωμα -ατος -τό@
@a report@|@φήμη -ης -ἡ@
@a reporter@|@καταγγελεύς -έως -ὁ@
@a repository@|@ἀποθήκη -ης -ἡ@
@a resurrection@|@ἐξανάστασις -εως -ἡ@
@a return@|@ἀνταπόδομα -ατος -τό@
@a reward@|@ἀνταπόδοσις -εως -ἡ, ἀντιμισθία -ας -ἡ@
@a rewarder@|@μισθαποδότης -ου -ὁ@
@a riddle@|@αἴνιγμα -ατος -τό@
@a ridge@|@ὀφρῦς -ύος -ἡ@
@a rising again@|@ἀνάστασις -εως -ἡ@
@a river@|@ποταμός -οῦ -ὁ@
@a robber@|@ἅρπαξ -αγος -ὁ, λῃστής -οῦ -ὁ@
@a rod@|@ῥάβδος -ου -ἡ@
@a roll@|@κεφαλίς -ίδος -ἡ@
@a Roman citizen@|@Ῥωμαῖος -α -ον@
@a Roman measure@|@ξέστης -ου -ὁ@
@a Roman mile@|@μίλιον -ου -τό@
@a Roman pound@|@λίτρα -ας -ἡ@
@a root@|@ῥίζα -ης -ἡ@
@a ruin@|@ῥῆγμα -ατος -τό@
@a ruler@|@ἄρχων -οντος -ὁ, δυνάστης -ου -ὁ@
@a ruler of a city@|@πολιτάρχης -ου -ὁ@
@a ruler of angels@|@ἀρχάγγελος -ου -ὁ@
@a running@|@δρόμος -ου -ὁ@
@a running together@|@συνδρομή -ῆς -ἡ@
@a rush@|@ὁρμή -ῆς -ἡ@
@a rushing on@|@ὅρμημα -ατος -τό@
@a Sabbath rest@|@σαββατισμός -οῦ -ὁ@
@a sack@|@πήρα -ας -ἡ@
@a sacrifice@|@θυσία -ας -ἡ@
@a Sadducee@|@Σαδδουκαῖος -ου -ὁ@
@a sailor@|@ναύτης -ου -ὁ@
@a Samaritan@|@Σαμαρείτης -ου -ὁ@
@a Samaritan woman@|@Σαμαρεῖτις -ιδος -ἡ@
@a sandal@|@σανδάλιον -ου -τό, ὑπόδημα -ατος -τό@
@a sapphire@|@σάπφειρος -ου -ἡ@
@a savior@|@σωτήρ -ῆρος -ὁ@
@a scabbard@|@θήκη -ῆς -ἡ@
@a scale@|@λεπίς -ίδος -ἡ@
@a school@|@σχολή -ῆς -ἡ@
@a scorching heat@|@καύσων -ῶνος -ὁ@
@a scorpion@|@σκορπίος -ου -ὁ@
@a scourge@|@μάστιξ -ιγος -ἡ, φραγέλλιον -ου -τό@
@a scribe@|@γραμματεύς -έως -ὁ -@
@a Scythian@|@Σκύθης -ου -ὁ@
@a sea monster@|@κῆτος -ους -τό@
@a seat@|@καθέδρα -ας -ἡ@
@a secret chamber@|@ταμεῖον -ου -τό@
@a secret place@|@γωνία -ας -ἡ@
@a sect@|@αἵρεσις -εως -ἡ@
@a self-chosen opinion@|@αἵρεσις -εως -ἡ@
@a serpent@|@ἔχιδνα -ης -ἡ, ὄφις -εως -ὁ@
@a servant@|@θεράπων -οντος -ὁ, ὑπηρέτης -ου -ὁ@
@a setting of boundaries@|@ὁροθεσία -ας -ἡ@
@a setting of the sun@|@δυσμή -ῆς -ἡ@
@a shackle@|@πέδη -ης -ἡ@
@a shadow@|@ἀποσκίασμα -ατος -τό, σκιά -ᾶς -ἡ@
@a shallow and flat bowl@|@φιάλη -ης -ἡ@
@a sharer@|@κοινωνός -οῦ -ὁ -ἡ, μέτοχος -ου -ὁ@
@a shedding or pouring forth of blood@|@αἱματεκχυσία -ας -ἡ@
@a sheep@|@πρόβατον -ου -τό@
@a sheepskin@|@μηλωτή -ῆς -ἡ@
@a shekel@|@ἀργύριον -ου -τό@
@a shepherd@|@ποιμήν -ένος -ὁ@
@a ship@|@ναῦς -νεώς -ἡ, πλοῖον -ου -τό@
@a short cloak@|@χλαμύς -ύδος -ἡ@
@a shoulder@|@ὦμος -ου -ὁ@
@a shout@|@βοή -ῆς -ἡ, κραυγή -ῆς -ἡ@
@a showing@|@ἔνδειξις -εως -ἡ@
@a shrinking@|@ὑποστολή -ῆς -ἡ@
@a sickle@|@δρέπανον -ου -τό@
@a sight@|@θεωρία -ας -ἡ, ὅρασις -εως -ἡ@
@a sign@|@σημεῖον -ου -τό, τεκμήριον -ου -τό@
@a signal agreed upon@|@σύσσημον -ου -τό@
@a signet-ring@|@σφραγίς -ῖδος -ἡ -@
@a silversmith@|@ἀργυροκόπος -ου -ὁ@
@a simple wooden pitchfork@|@πτύον -ου -τό@
@a sin@|@ἁμαρτία -ας -ἡ@
@a sin offering@|@ἱλαστήριον -ου -τό@
@a sinner@|@ἁμαρτωλός -ον@
@a sister@|@ἀδελφή -ῆς -ἡ@
@a skull@|@κρανίον -ου -τό@
@a slap@|@ῥάπισμα -ατος -τό@
@a slaughtered victim@|@σφάγιον -ου -τό@
@a small bird@|@στρουθίον -ου -τό@
@a small coin@|@ἀσσάριον -ίου -τό, κέρμα -ατος -τό@
@a small piece of money@|@λεπτόν -οῦ -τό@
@a snare@|@παγίς -ίδος -ἡ, σκάνδαλον -ου -τό@
@a sojourning@|@παροικία -ας -ἡ@
@a soldier@|@στρατιώτης -ου -ὁ@
@a son@|@υἱός -οῦ -ὁ@
@a sorcerer@|@μάγος -ου -ὁ@
@a sound@|@ἦχος -ου -ὁ, φθόγγος -ου -ὁ, φωνή -ῆς -ἡ@
@a source of gain@|@πορισμός -οῦ -ὁ@
@a source of light@|@φῶς -φωτός -τό@
@a space of three years@|@τριετία -ας -ἡ@
@a spear-man@|@δεξιόλαβος -ου -ὁ@
@a spectacle@|@ὅραμα -ατος -τό@
@a sponge@|@σπόγγος -ου -ὁ@
@a spot@|@σπῖλος -ου -ὁ@
@a sprinkling@|@πρόσχυσις -εως -ἡ@
@a spy@|@ἐγκάθετος -ου -ὁ -ἡ, κατάσκοπος -ου -ὁ@
@a staff@|@ξύλον -ου -τό@
@a stage@|@βαθμός -οῦ -ὁ@
@a stake or thorn@|@σκόλοψ -οπος -ὁ@
@a stammerer@|@μογγιλάλος -ου -ὁ@
@a stamp@|@χάραγμα -ατος -τό@
@a star@|@ἀστήρ -έρος -ὁ, ἄστρον -ου -τό@
@a state@|@πολίτευμα -ατος -τό@
@a steersman@|@κυβερνήτης -ου -ὁ@
@a step@|@ἀναβαθμός -οῦ -ὁ, βαθμός -οῦ -ὁ@
@a steward@|@ἐπίτροπος -ου -ὁ, οἰκονόμος -ου -ὁ@
@a sting@|@κέντρον -ου -τό@
@a stone@|@λίθος -ου -ὁ@
@a storm@|@θύελλα -ης -ἡ@
@a stranger@|@παρεπίδημος -ον, πάροικος -ον@
@a street@|@ἄμφοδον -ου -τό, πλατεῖα -ας -ἡ, ῥύμη -ης -ἡ@
@a structure@|@ἐνδόμησις -εως -ἡ@
@a stumbling-block@|@πρόσκομμα -ατος -τό@
@a successor@|@διάδοχος -ου -ὁ@
@a sudden storm@|@λαῖλαψ -απος -ἡ@
@a sum of money@|@κεφάλαιον -ου -τό@
@a superior angel@|@ἀρχάγγελος -ου -ὁ@
@a supposition@|@ὑπόνοια -ας -ἡ@
@a surety@|@ἔγγυος -ου -ὁ -ἡ@
@a sweet smell@|@εὐωδία -ας -ἡ@
@a sword@|@μάχαιρα -ας -ἡ, ῥομφαία -ας -ἡ@
@a sycamore tree@|@συκάμινος -ου -ἡ, συκομωραία -ας -ἡ@
@a table for food or business@|@τράπεζα -ης -ἡ@
@a tablet@|@πλάξ -πλακός -ἡ@
@a tablet for writing@|@πινακίδιον -ου -τό@
@a tail@|@οὐρά -ᾶς -ἡ@
@a taking up@|@ἀνάληψις -εως -ἡ@
@a talent in weight@|@ταλαντιαῖος -αία -αῖον@
@a talent of silver or gold@|@τάλαντον -ου -τό@
@a tanner@|@βυρσεύς -έως -ὁ@
@a tax@|@φόρος -ου -ὁ@
@a tax-collector’s office@|@τελώνιον -ου -τό’@
@a teacher@|@διδάσκαλος -ου -ὁ@
@a teacher and interpreter of the Mosaic Law@|@νομοδιδάσκαλος -ου -ὁ@
@a teacher of that which is noble@|@καλοδιδάσκαλος -ου -ὁ -ἡ@
@a tear@|@δάκρυον -ου -τό@
@a tempest@|@χειμών -ῶνος -ὁ@
@a temple@|@ἱερόν -οῦ -τό, ναός -οῦ -ὁ@
@a temple for an image@|@εἰδωλεῖον -ου -τό@
@a tent@|@σκηνή -ῆς -ἡ, σκῆνος -ους -τό@
@a tenth part@|@δεκάτη -ης -ἡ@
@a tent-maker@|@σκηνοποιός -οῦ -ὁ@
@a territory@|@κλίμα -ατος -τό@
@a test@|@δοκίμιον -ου -τό@
@a tetrarch@|@τετράρχης -ου -ὁ@
@a theatre@|@θέατρον -ου -τό@
@a theft@|@κλέμμα -ατος -τό@
@a thief@|@κλέπτης -ου -ὁ@
@a thing done@|@πρᾶγμα -ατος -τό@
@a thing formed or fashioned@|@πλάσμα -ατος -τό@
@a thing made@|@ποίημα -ατος -τό@
@a thing pronounced to be just@|@δικαίωμα -ατος -τό@
@a thing spoken@|@ῥῆμα -ατος -τό@
@a thistle@|@τρίβολος -ου -ὁ@
@a thong@|@ἱμάς -άντος -ὁ@
@a thorn bush or bramble@|@βάτος -ου -ὁ -ἡ@
@a thorn-bush@|@ἄκανθα -ης -ἡ@
@a thought@|@νόημα -ατος -τό@
@a thousand@|@χιλιάς -άδος -ἡ, χίλιοι -αι -α@
@a threatening@|@ἀπειλή -ῆς -ἡ@
@a threshing-floor@|@ἅλων -ωνος -ἡ@
@a throne@|@θρόνος -ου -ὁ@
@a throwing out@|@ἐκβολή -ῆς -ἡ@
@a tile@|@κέραμος -ου -ὁ@
@a tilled field@|@γεώργιον -ου -τό@
@a tithe@|@δεκάτη -ης -ἡ@
@a title@|@τίτλος -ου -ὁ@
@a tomb@|@μνῆμα -ατος -τό, μνημεῖον -ου -τό, τάφος -ου -ὁ@
@a tooth@|@ὀδούς -όντος -ὁ@
@a topaz@|@χρυσόλιθος -ου -ὁ@
@a torch@|@λαμπάς -άδος -ἡ, φανός -οῦ -ὁ@
@a tormentor@|@βασανιστής -οῦ -ὁ@
@a towel@|@λέντιον -ου -τό@
@a tower@|@πύργος -ου -ὁ@
@a track@|@ἴχνος -ους -τό@
@a transgression@|@παράβασις -εως -ἡ, παρανομία -ας -ἡ@
@a transgressor@|@παραβάτης -ου -ὁ@
@a treasure@|@θησαυρός -οῦ -ὁ@
@a treasury@|@γαζοφυλάκιον -ου -τό@
@a tree@|@δένδρον -ου -τό@
@a trembling@|@τρόμος -ου -ὁ@
@a trial@|@δοκιμή -ῆς -ἡ ;, πεῖρα -ας -ἡ@
@a tribe@|@φυλή -ῆς -ἡ@
@a tribunal@|@βῆμα -ατος -τό hippo -@
@a trouble@|@νόσημα -ατος -τό@
@a trumpet@|@σάλπιγξ -ιγγος -ἡ@
@a trumpeter@|@σαλπιστής -οῦ -ὁ@
@a tunic@|@χιτών -ῶνος -ὁ@
@a turning@|@τροπή -ῆς -ἡ@
@a turning to God@|@ἐπιστροφή -ῆς -ἡ@
@a turtle-dove@|@τρυγών -όνος -ἡ@
@a vain@|@ματαιολόγος -ου -ὁ@
@a valley@|@φάραγξ -αγγος -ἡ@
@a veil@|@κάλυμμα -ατος -τό, καταπέτασμα -ατος -τό@
@a verbal defense@|@ἀπολογία -ας -ἡ@
@a vessel@|@ἀγγεῖον -ου -τό@
@a vessel to contain liquid@|@σκεῦος -ους -τό@
@a village@|@κώμη -ης -ἡ@
@a vine@|@ἄμπελος -ου -ἡ@
@a vine-dresser@|@ἀμπελουργός -οῦ -ὁ@
@a vineyard@|@ἀμπελών -ῶνος -ὁ@
@a violent rain@|@ὄμβρος -ου -ὁ@
@a virgin@|@παρθένος -ου -ὁ -ἡ@
@a vision@|@ὀπτασία -ας -ἡ@
@a vote@|@ψῆφος -ου -ἡ@
@a voyage@|@πλόος -οῦς@
@a waiter@|@διάκονος -οῦ -ὁ -ἡ@
@a waiting for@|@ἐκδοχή -ῆς -ἡ@
@a waking up@|@ἔγερσις -εως -ἡ@
@a wall@|@τεῖχος -ους -τό, τοῖχος -ου -ὁ@
@a wanderer@|@πλανήτης -ου -ὁ@
@a wandering@|@πλάνη -ης -ἡ@
@a war@|@πόλεμος -ου -ὁ@
@a warning@|@νουθεσία -ας -ἡ@
@a watching@|@φυλακή -ῆς -ἡ@
@a water pot@|@ὑδρία -ας -ἡ@
@a wave@|@κῦμα -ατος -τό@
@a way@|@ὁδός -οῦ -ἡ@
@a way out@|@ἔκβασις -εως -ἡ@
@a week@|@σάββατον -ου -τό@
@a weight@|@βάρος -ους -τό, ὄγκος -ου -ὁ@
@a wheel@|@τροχός -οῦ -ὁ@
@a whisperer@|@ψιθυριστής -οῦ -ὁ@
@a whispering@|@ψιθυρισμός -οῦ -ὁ@
@a whole burnt offering@|@ὁλοκαύτωμα -ατος -τό@
@a widow@|@χήρα -ας -ἡ@
@a wild beast@|@θηρίον -ου -τό@
@a wild olive tree@|@ἀγριέλαιος -ου -ἡ@
@a willing@|@θέλησις -εως -ἡ@
@a window-sill@|@θυρίς -ίδος -ἡ@
@a winepress@|@ληνός -οῦ -ὁ -ἡ@
@a wine-skin@|@ἀσκός -οῦ -ὁ@
@a wing@|@πτέρυξ -υγος -ἡ@
@a winter torrent@|@χείμαρρος -ου -ὁ@
@a witness@|@μάρτυς -υρος -ὁ@
@a wolf@|@λύκος -ου -ὁ@
@a woman@|@γυναικάριον -ου -τό, γυνή -αικός -ἡ@
@a wonder@|@τέρας -ατος -τό@
@a word@|@ἔπος -ους -τό, λόγος -ου -ὁ@
@a word of command@|@κέλευσμα -ατος -τό@
@a worker in brass or copper@|@χαλκεύς -έως -ὁ@
@a worker of the soil@|@γεωργός -οῦ -ὁ@
@a working@|@ἐνέργημα -ατος -τό@
@a worn path@|@τρίβος -ου -ἡ@
@a worshipper@|@προσκυνητής -οῦ -ὁ@
@a worshipper of an image@|@εἰδωλολάτρης -ου -ὁ@
@a wound@|@τραῦμα -ατος -τό@
@a wrapper@|@περιβόλαιον -ου -τό@
@a wrestling@|@πάλη -ης -ἡ@
@a wrinkle@|@ῥυτίς -ίδος -ἡ@
@a writing@|@γραφή -ῆς -ἡ@
@a writing-copy@|@ὑπογραμμός -οῦ -ὁ -@
@a written book@|@βίβλος -ου -ἡ@
@a year@|@ἐνιαυτός -οῦ -ὁ, ἔτος -ους -τό@
@a yoke@|@ζεῦγος -ους -τό, ζυγός -οῦ -ὁ@
@a yoke-fellow@|@σύζυγος -ου -ὁ -@
@a young ass@|@ὀνάριον -ου -τό@
@a young bird@|@νεοσσός -οῦ -ὁ@
@a young man@|@νεανίας -ου -ὁ, νεανίσκος -ου -ὁ@
@a zealot@|@ζηλωτής -οῦ -ὁ@
@Aaron@|@Ἀαρών -ὁ@
@Abaddon@|@Ἀβαδδών -ὁ@
@abandon@|@καταλείπω@
@abasement@|@ταπείνωσις -εως -ἡ@
@Abel@|@Ἄβελ -ὁ@
@abhor@|@ἀποστυγέω@
